stimulus_presentation_id,stimulus_block,start_time,stop_time,color,contrast,frame,y_position,size,phase,spatial_frequency,orientation,stimulus_name,x_position,temporal_frequency,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
11,0.0,90.60914,90.859338,null,0.8,null,30.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",0.08,90.0,gabors,0.0,4.0,0.25019744,11,,,0,,False,0,train,2
12,0.0,90.859338,91.109535,null,0.8,null,10.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",0.08,90.0,gabors,40.0,4.0,0.25019744,12,,,0,,False,0,train,2
13,0.0,91.109535,91.359745,null,0.8,null,10.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",0.08,90.0,gabors,10.0,4.0,0.25021006,13,,,0,,False,0,train,2
14,0.0,91.359745,91.609955,null,0.8,null,10.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",0.08,90.0,gabors,30.0,4.0,0.25021006,14,,,0,,False,0,train,2
15,0.0,91.609955,91.860165,null,0.8,null,10.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",0.08,45.0,gabors,-40.0,4.0,0.25021006,15,,,0,,False,0,train,1
16,0.0,91.860165,92.110375,null,0.8,null,-30.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",0.08,45.0,gabors,10.0,4.0,0.25021006,16,,,0,,False,0,train,1
17,0.0,92.110375,92.360583,null,0.8,null,-30.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",0.08,90.0,gabors,40.0,4.0,0.25020744,17,,,0,,False,0,train,2
18,0.0,92.360583,92.61079,null,0.8,null,-40.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",0.08,45.0,gabors,-20.0,4.0,0.25020744,18,,,0,,False,0,train,1
19,0.0,92.61079,92.860998,null,0.8,null,40.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",0.08,0.0,gabors,20.0,4.0,0.25020744,19,,,0,,False,0,train,0
20,0.0,92.860998,93.111205,null,0.8,null,-30.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",0.08,90.0,gabors,10.0,4.0,0.25020744,20,,,0,,False,0,train,2
21,0.0,93.111205,93.361413,null,0.8,null,-10.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",0.08,45.0,gabors,-40.0,4.0,0.25020756,21,,,0,,False,0,train,1
22,0.0,93.361413,93.61162,null,0.8,null,-30.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",0.08,45.0,gabors,0.0,4.0,0.25020756,22,,,0,,False,0,train,1
23,0.0,93.61162,93.861828,null,0.8,null,0.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",0.08,45.0,gabors,-10.0,4.0,0.25020756,23,,,0,,False,0,train,1
24,0.0,93.861828,94.112035,null,0.8,null,-30.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",0.08,45.0,gabors,20.0,4.0,0.25020756,24,,,0,,False,0,train,1
25,0.0,94.112035,94.362243,null,0.8,null,10.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",0.08,90.0,gabors,-20.0,4.0,0.25020744,25,,,0,,False,0,train,2
26,0.0,94.362243,94.61245,null,0.8,null,-30.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",0.08,90.0,gabors,-10.0,4.0,0.25020744,26,,,0,,False,0,train,2
27,0.0,94.61245,94.862658,null,0.8,null,10.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",0.08,90.0,gabors,20.0,4.0,0.25020744,27,,,0,,False,0,train,2
28,0.0,94.862658,95.112865,null,0.8,null,-20.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",0.08,0.0,gabors,20.0,4.0,0.25020744,28,,,0,,False,0,train,0
29,0.0,95.112865,95.363083,null,0.8,null,20.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",0.08,90.0,gabors,30.0,4.0,0.25021756,6,,,0,,False,1,train,2
30,0.0,95.363083,95.6133,null,0.8,null,-30.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",0.08,90.0,gabors,10.0,4.0,0.25021756,20,,,0,,False,1,train,2
31,0.0,95.6133,95.863518,null,0.8,null,20.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",0.08,45.0,gabors,-20.0,4.0,0.25021756,29,,,0,,False,0,train,1
32,0.0,95.863518,96.113735,null,0.8,null,40.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",0.08,0.0,gabors,-20.0,4.0,0.25021756,30,,,0,,False,0,train,0
33,0.0,96.113735,96.363935,null,0.8,null,-40.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",0.08,45.0,gabors,-40.0,4.0,0.25019994,31,,,0,,False,0,train,1
34,0.0,96.363935,96.614135,null,0.8,null,10.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",0.08,0.0,gabors,-10.0,4.0,0.25019994,32,,,0,,False,0,train,0
35,0.0,96.614135,96.864335,null,0.8,null,-30.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",0.08,90.0,gabors,30.0,4.0,0.25019994,33,,,0,,False,0,train,2
36,0.0,96.864335,97.114535,null,0.8,null,10.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",0.08,45.0,gabors,-40.0,4.0,0.25019994,15,,,0,,False,1,train,1
37,0.0,97.114535,97.364748,null,0.8,null,-40.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",0.08,90.0,gabors,40.0,4.0,0.25021256,34,,,0,,False,0,train,2
38,0.0,97.364748,97.61496,null,0.8,null,30.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",0.08,90.0,gabors,-10.0,4.0,0.25021256,35,,,0,,False,0,train,2
39,0.0,97.61496,97.865173,null,0.8,null,0.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",0.08,0.0,gabors,40.0,4.0,0.25021256,36,,,0,,False,0,train,0
40,0.0,97.865173,98.115385,null,0.8,null,-10.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",0.08,0.0,gabors,-40.0,4.0,0.25021256,37,,,0,,False,0,train,0
41,0.0,98.115385,98.365593,null,0.8,null,-30.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",0.08,90.0,gabors,20.0,4.0,0.25020744,38,,,0,,False,0,train,2
42,0.0,98.365593,98.6158,null,0.8,null,-30.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",0.08,90.0,gabors,-40.0,4.0,0.25020744,39,,,0,,False,0,train,2
43,0.0,98.6158,98.866008,null,0.8,null,-10.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",0.08,45.0,gabors,-20.0,4.0,0.25020744,40,,,0,,False,0,train,1
44,0.0,98.866008,99.116215,null,0.8,null,20.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",0.08,0.0,gabors,20.0,4.0,0.25020744,41,,,0,,False,0,train,0
45,0.0,99.116215,99.36643,null,0.8,null,20.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",0.08,90.0,gabors,20.0,4.0,0.25021506,42,,,0,,False,0,train,2
46,0.0,99.36643,99.616645,null,0.8,null,30.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",0.08,0.0,gabors,30.0,4.0,0.25021506,43,,,0,,False,0,train,0
47,0.0,99.616645,99.86686,null,0.8,null,10.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",0.08,90.0,gabors,0.0,4.0,0.25021506,44,,,0,,False,0,train,2
48,0.0,99.86686,100.11708,null,0.8,null,0.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",0.08,90.0,gabors,-20.0,4.0,0.25021506,45,,,0,,False,0,train,2
49,0.0,100.11708,100.36728,null,0.8,null,-20.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",0.08,0.0,gabors,0.0,4.0,0.25020244,46,,,0,,False,0,train,0
50,0.0,100.36728,100.61748,null,0.8,null,-40.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",0.08,90.0,gabors,-30.0,4.0,0.25020244,47,,,0,,False,0,train,2
51,0.0,100.61748,100.86768,null,0.8,null,-20.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",0.08,45.0,gabors,-30.0,4.0,0.25020244,48,,,0,,False,0,train,1
52,0.0,100.86768,101.11789,null,0.8,null,30.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",0.08,0.0,gabors,10.0,4.0,0.25020244,49,,,0,,False,0,train,0
53,0.0,101.11789,101.3681,null,0.8,null,10.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",0.08,45.0,gabors,10.0,4.0,0.25021006,9,,,0,,False,1,train,1
54,0.0,101.3681,101.61831,null,0.8,null,40.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",0.08,45.0,gabors,30.0,4.0,0.25021006,50,,,0,,False,0,train,1
55,0.0,101.61831,101.86852,null,0.8,null,-20.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",0.08,0.0,gabors,40.0,4.0,0.25021006,51,,,0,,False,0,train,0
56,0.0,101.86852,102.11873,null,0.8,null,20.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",0.08,90.0,gabors,40.0,4.0,0.25021006,52,,,0,,False,0,train,2
57,0.0,102.11873,102.36893,null,0.8,null,-40.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",0.08,90.0,gabors,30.0,4.0,0.25020494,53,,,0,,False,0,train,2
58,0.0,102.36893,102.61914,null,0.8,null,30.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",0.08,45.0,gabors,0.0,4.0,0.25020494,1,,,0,,False,1,train,1
59,0.0,102.61914,102.86934,null,0.8,null,-30.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",0.08,90.0,gabors,30.0,4.0,0.25020494,33,,,0,,False,1,train,2
60,0.0,102.86934,103.11955,null,0.8,null,-10.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",0.08,0.0,gabors,-30.0,4.0,0.25020494,54,,,0,,False,0,train,0
61,0.0,103.11955,103.36976,null,0.8,null,40.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",0.08,0.0,gabors,0.0,4.0,0.25021006,55,,,0,,False,0,train,0
62,0.0,103.36976,103.61997,null,0.8,null,-30.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",0.08,45.0,gabors,-10.0,4.0,0.25021006,56,,,0,,False,0,train,1
63,0.0,103.61997,103.87018,null,0.8,null,-20.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",0.08,45.0,gabors,40.0,4.0,0.25021006,57,,,0,,False,0,train,1
64,0.0,103.87018,104.12039,null,0.8,null,10.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",0.08,45.0,gabors,-40.0,4.0,0.25021006,15,,,0,,False,2,test,1
65,0.0,104.12039,104.3706,null,0.8,null,20.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",0.08,0.0,gabors,30.0,4.0,0.25020994,58,,,0,,False,0,train,0
66,0.0,104.3706,104.62081,null,0.8,null,30.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",0.08,45.0,gabors,-40.0,4.0,0.25020994,59,,,0,,False,0,train,1
67,0.0,104.62081,104.87102,null,0.8,null,20.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",0.08,0.0,gabors,30.0,4.0,0.25020994,58,,,0,,False,1,train,0
68,0.0,104.87102,105.12123,null,0.8,null,-20.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",0.08,45.0,gabors,20.0,4.0,0.25020994,60,,,0,,False,0,train,1
69,0.0,105.12123,105.37144,null,0.8,null,-20.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",0.08,0.0,gabors,40.0,4.0,0.25021756,51,,,0,,False,1,train,0
70,0.0,105.37144,105.62166,null,0.8,null,30.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",0.08,90.0,gabors,-10.0,4.0,0.25021756,35,,,0,,False,1,train,2
71,0.0,105.62166,105.87188,null,0.8,null,-40.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",0.08,0.0,gabors,-30.0,4.0,0.25021756,61,,,0,,False,0,train,0
72,0.0,105.87188,106.1221,null,0.8,null,0.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",0.08,45.0,gabors,30.0,4.0,0.25021756,62,,,0,,False,0,train,1
73,0.0,106.1221,106.3723,null,0.8,null,20.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",0.08,0.0,gabors,40.0,4.0,0.25019994,63,,,0,,False,0,train,0
74,0.0,106.3723,106.6225,null,0.8,null,20.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",0.08,90.0,gabors,-30.0,4.0,0.25019994,64,,,0,,False,0,train,2
75,0.0,106.6225,106.8727,null,0.8,null,30.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",0.08,45.0,gabors,-30.0,4.0,0.25019994,65,,,0,,False,0,train,1
76,0.0,106.8727,107.1229,null,0.8,null,-20.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",0.08,45.0,gabors,20.0,4.0,0.25019994,60,,,0,,False,1,train,1
77,0.0,107.1229,107.3731,null,0.8,null,30.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",0.08,90.0,gabors,-20.0,4.0,0.25020506,66,,,0,,False,0,train,2
78,0.0,107.3731,107.62331,null,0.8,null,20.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",0.08,90.0,gabors,-40.0,4.0,0.25020506,67,,,0,,False,0,train,2
79,0.0,107.62331,107.87351,null,0.8,null,30.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",0.08,45.0,gabors,10.0,4.0,0.25020506,68,,,0,,False,0,train,1
80,0.0,107.87351,108.12372,null,0.8,null,0.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",0.08,90.0,gabors,-10.0,4.0,0.25020506,69,,,0,,False,0,train,2
81,0.0,108.12372,108.37393,null,0.8,null,-30.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",0.08,0.0,gabors,0.0,4.0,0.25021244,3,,,0,,False,1,train,0
82,0.0,108.37393,108.62414,null,0.8,null,-40.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",0.08,0.0,gabors,-20.0,4.0,0.25021244,70,,,0,,False,0,train,0
83,0.0,108.62414,108.87435,null,0.8,null,40.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",0.08,0.0,gabors,-10.0,4.0,0.25021244,71,,,0,,False,0,train,0
84,0.0,108.87435,109.12457,null,0.8,null,10.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",0.08,90.0,gabors,-20.0,4.0,0.25021244,25,,,0,,False,1,train,2
85,0.0,109.12457,109.37477,null,0.8,null,-40.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",0.08,90.0,gabors,-20.0,4.0,0.25020756,72,,,0,,False,0,train,2
86,0.0,109.37477,109.62498,null,0.8,null,40.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",0.08,45.0,gabors,0.0,4.0,0.25020756,73,,,0,,False,0,train,1
87,0.0,109.62498,109.87519,null,0.8,null,0.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",0.08,0.0,gabors,30.0,4.0,0.25020756,74,,,0,,False,0,train,0
88,0.0,109.87519,110.1254,null,0.8,null,20.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",0.08,0.0,gabors,-40.0,4.0,0.25020756,75,,,0,,False,0,train,0
89,0.0,110.1254,110.37561,null,0.8,null,-40.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",0.08,45.0,gabors,-30.0,4.0,0.25020994,76,,,0,,False,0,train,1
90,0.0,110.37561,110.62582,null,0.8,null,-40.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",0.08,90.0,gabors,30.0,4.0,0.25020994,53,,,0,,False,1,train,2
91,0.0,110.62582,110.87603,null,0.8,null,-20.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",0.08,45.0,gabors,-40.0,4.0,0.25020994,77,,,0,,False,0,train,1
92,0.0,110.87603,111.12624,null,0.8,null,-10.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",0.08,0.0,gabors,-10.0,4.0,0.25020994,78,,,0,,False,0,train,0
93,0.0,111.12624,111.37645,null,0.8,null,10.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",0.08,0.0,gabors,40.0,4.0,0.25021506,79,,,0,,False,0,train,0
94,0.0,111.37645,111.62667,null,0.8,null,-10.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",0.08,90.0,gabors,-10.0,4.0,0.25021506,80,,,0,,False,0,train,2
95,0.0,111.62667,111.87688,null,0.8,null,0.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",0.08,90.0,gabors,-10.0,4.0,0.25021506,69,,,0,,False,1,train,2
96,0.0,111.87688,112.1271,null,0.8,null,-30.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",0.08,0.0,gabors,-20.0,4.0,0.25021506,81,,,0,,False,0,train,0
97,0.0,112.1271,112.3773,null,0.8,null,-30.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",0.08,90.0,gabors,30.0,4.0,0.25020494,33,,,0,,False,2,test,2
98,0.0,112.3773,112.62751,null,0.8,null,10.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",0.08,0.0,gabors,-10.0,4.0,0.25020494,32,,,0,,False,1,train,0
99,0.0,112.62751,112.87771,null,0.8,null,0.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",0.08,45.0,gabors,-40.0,4.0,0.25020494,82,,,0,,False,0,train,1
100,0.0,112.87771,113.12792,null,0.8,null,-20.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",0.08,90.0,gabors,20.0,4.0,0.25020494,83,,,0,,False,0,train,2
101,0.0,113.12792,113.37812,null,0.8,null,30.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",0.08,90.0,gabors,-30.0,4.0,0.25020756,84,,,0,,False,0,train,2
102,0.0,113.37812,113.62833,null,0.8,null,-40.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",0.08,45.0,gabors,-30.0,4.0,0.25020756,76,,,0,,False,1,train,1
103,0.0,113.62833,113.87854,null,0.8,null,-30.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",0.08,45.0,gabors,40.0,4.0,0.25020756,85,,,0,,False,0,train,1
104,0.0,113.87854,114.12875,null,0.8,null,-20.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",0.08,45.0,gabors,-10.0,4.0,0.25020756,86,,,0,,False,0,train,1
105,0.0,114.12875,114.37895,null,0.8,null,20.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",0.08,0.0,gabors,0.0,4.0,0.25020744,7,,,0,,False,1,train,0
106,0.0,114.37895,114.62916,null,0.8,null,30.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",0.08,90.0,gabors,10.0,4.0,0.25020744,87,,,0,,False,0,train,2
107,0.0,114.62916,114.87937,null,0.8,null,30.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",0.08,90.0,gabors,40.0,4.0,0.25020744,88,,,0,,False,0,train,2
108,0.0,114.87937,115.12958,null,0.8,null,-20.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",0.08,0.0,gabors,0.0,4.0,0.25020744,46,,,0,,False,1,train,0
109,0.0,115.12958,115.37979,null,0.8,null,-10.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",0.08,45.0,gabors,30.0,4.0,0.25021006,89,,,0,,False,0,train,1
110,0.0,115.37979,115.63,null,0.8,null,30.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",0.08,90.0,gabors,-10.0,4.0,0.25021006,35,,,0,,False,2,test,2
111,0.0,115.63,115.88021,null,0.8,null,0.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",0.08,45.0,gabors,10.0,4.0,0.25021006,90,,,0,,False,0,train,1
112,0.0,115.88021,116.13042,null,0.8,null,0.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",0.08,45.0,gabors,-30.0,4.0,0.25021006,91,,,0,,False,0,train,1
113,0.0,116.13042,116.38062,null,0.8,null,30.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",0.08,45.0,gabors,10.0,4.0,0.25020744,68,,,0,,False,1,train,1
114,0.0,116.38062,116.63083,null,0.8,null,-30.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",0.08,90.0,gabors,40.0,4.0,0.25020744,17,,,0,,False,1,train,2
115,0.0,116.63083,116.88104,null,0.8,null,30.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",0.08,0.0,gabors,-10.0,4.0,0.25020744,92,,,0,,False,0,train,0
116,0.0,116.88104,117.13125,null,0.8,null,10.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",0.08,90.0,gabors,-30.0,4.0,0.25020744,93,,,0,,False,0,train,2
117,0.0,117.13125,117.38146,null,0.8,null,0.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",0.08,45.0,gabors,-30.0,4.0,0.25021256,91,,,0,,False,1,train,1
118,0.0,117.38146,117.63167,null,0.8,null,-20.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",0.08,45.0,gabors,0.0,4.0,0.25021256,94,,,0,,False,0,train,1
119,0.0,117.63167,117.88188,null,0.8,null,40.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",0.08,90.0,gabors,-20.0,4.0,0.25021256,95,,,0,,False,0,train,2
120,0.0,117.88188,118.1321,null,0.8,null,20.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",0.08,0.0,gabors,-20.0,4.0,0.25021256,96,,,0,,False,0,train,0
121,0.0,118.1321,118.3823,null,0.8,null,-30.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",0.08,0.0,gabors,40.0,4.0,0.25020494,97,,,0,,False,0,train,0
122,0.0,118.3823,118.63251,null,0.8,null,40.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",0.08,45.0,gabors,30.0,4.0,0.25020494,50,,,0,,False,1,train,1
123,0.0,118.63251,118.88271,null,0.8,null,10.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",0.08,0.0,gabors,30.0,4.0,0.25020494,98,,,0,,False,0,train,0
124,0.0,118.88271,119.13292,null,0.8,null,-40.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",0.08,90.0,gabors,-20.0,4.0,0.25020494,72,,,0,,False,1,train,2
125,0.0,119.13292,119.38313,null,0.8,null,-40.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",0.08,45.0,gabors,40.0,4.0,0.25021756,99,,,0,,False,0,train,1
126,0.0,119.38313,119.63335,null,0.8,null,-10.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",0.08,0.0,gabors,10.0,4.0,0.25021756,100,,,0,,False,0,train,0
127,0.0,119.63335,119.88357,null,0.8,null,40.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",0.08,45.0,gabors,-40.0,4.0,0.25021756,101,,,0,,False,0,train,1
128,0.0,119.88357,120.13379,null,0.8,null,10.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",0.08,90.0,gabors,-10.0,4.0,0.25021756,102,,,0,,False,0,train,2
129,0.0,120.13379,120.38399,null,0.8,null,40.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",0.08,45.0,gabors,-30.0,4.0,0.25019994,103,,,0,,False,0,train,1
130,0.0,120.38399,120.63419,null,0.8,null,0.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",0.08,45.0,gabors,10.0,4.0,0.25019994,90,,,0,,False,1,train,1
131,0.0,120.63419,120.88439,null,0.8,null,-30.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",0.08,0.0,gabors,40.0,4.0,0.25019994,97,,,0,,False,1,train,0
132,0.0,120.88439,121.13459,null,0.8,null,0.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",0.08,90.0,gabors,0.0,4.0,0.25019994,104,,,0,,False,0,train,2
133,0.0,121.13459,121.38479,null,0.8,null,40.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",0.08,45.0,gabors,20.0,4.0,0.25020756,105,,,0,,False,0,train,1
134,0.0,121.38479,121.635,null,0.8,null,0.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",0.08,90.0,gabors,40.0,4.0,0.25020756,106,,,0,,False,0,train,2
135,0.0,121.635,121.88521,null,0.8,null,-40.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",0.08,90.0,gabors,10.0,4.0,0.25020756,107,,,0,,False,0,train,2
136,0.0,121.88521,122.13542,null,0.8,null,20.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",0.08,45.0,gabors,-20.0,4.0,0.25020756,29,,,0,,False,1,train,1
137,0.0,122.13542,122.38563,null,0.8,null,0.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",0.08,0.0,gabors,-20.0,4.0,0.25021494,108,,,0,,False,0,train,0
138,0.0,122.38563,122.63585,null,0.8,null,30.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",0.08,0.0,gabors,-10.0,4.0,0.25021494,92,,,0,,False,1,train,0
