stimulus_presentation_id,stimulus_block,start_time,stop_time,stimulus_name,x_position,spatial_frequency,y_position,temporal_frequency,size,phase,color,orientation,contrast,frame,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
429,0.0,185.90904,186.15925,gabors,-10.0,0.08,0.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,90.0,0.8,null,0.25021206,173,,,0,,False,2,test,2
430,0.0,186.15925,186.40946,gabors,0.0,0.08,0.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,90.0,0.8,null,0.25021206,28,,,0,,False,3,train,2
431,0.0,186.40946,186.65967,gabors,40.0,0.08,-30.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,90.0,0.8,null,0.25021206,42,,,0,,False,3,train,2
432,0.0,186.65967,186.90988,gabors,-30.0,0.08,20.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,0.0,0.8,null,0.25021206,199,,,0,,False,0,train,0
433,0.0,186.90988,187.16009,gabors,40.0,0.08,20.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,0.0,0.8,null,0.25020544,119,,,0,,False,1,train,0
434,0.0,187.16009,187.4103,gabors,-20.0,0.08,10.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,90.0,0.8,null,0.25020544,200,,,0,,False,0,train,2
435,0.0,187.4103,187.6605,gabors,30.0,0.08,-30.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,90.0,0.8,null,0.25020544,48,,,0,,False,2,test,2
436,0.0,187.6605,187.91071,gabors,20.0,0.08,10.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,90.0,0.8,null,0.25020544,74,,,0,,False,1,train,2
437,0.0,187.91071,188.16092,gabors,40.0,0.08,0.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,45.0,0.8,null,0.25021206,176,,,0,,False,2,test,1
438,0.0,188.16092,188.41113,gabors,20.0,0.08,40.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,0.0,0.8,null,0.25021206,201,,,0,,False,0,train,0
439,0.0,188.41113,188.66134,gabors,-40.0,0.08,20.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,0.0,0.8,null,0.25021206,96,,,0,,False,2,test,0
440,0.0,188.66134,188.91155,gabors,-20.0,0.08,-40.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,0.0,0.8,null,0.25021206,8,,,0,,False,3,train,0
441,0.0,188.91155,189.16176,gabors,30.0,0.08,0.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,0.0,0.8,null,0.25020794,177,,,0,,False,3,train,0
442,0.0,189.16176,189.41197,gabors,-10.0,0.08,0.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,45.0,0.8,null,0.25020794,146,,,0,,False,1,train,1
443,0.0,189.41197,189.66218,gabors,20.0,0.08,-40.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,90.0,0.8,null,0.25020794,130,,,0,,False,2,test,2
444,0.0,189.66218,189.91239,gabors,40.0,0.08,10.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,0.0,0.8,null,0.25020794,202,,,0,,False,0,train,0
445,0.0,189.91239,190.1626,gabors,40.0,0.08,30.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,90.0,0.8,null,0.25021206,62,,,0,,False,3,train,2
446,0.0,190.1626,190.41281,gabors,-20.0,0.08,-20.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,0.0,0.8,null,0.25021206,71,,,0,,False,4,train,0
447,0.0,190.41281,190.66302,gabors,-40.0,0.08,-40.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,90.0,0.8,null,0.25021206,203,,,0,,False,0,train,2
448,0.0,190.66302,190.91323,gabors,40.0,0.08,-10.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,90.0,0.8,null,0.25021206,174,,,0,,False,1,train,2
449,0.0,190.91323,191.16344,gabors,30.0,0.08,0.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,90.0,0.8,null,0.25020294,47,,,0,,False,2,test,2
450,0.0,191.16344,191.41364,gabors,30.0,0.08,-10.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,90.0,0.8,null,0.25020294,171,,,0,,False,1,train,2
451,0.0,191.41364,191.66384,gabors,-40.0,0.08,30.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,90.0,0.8,null,0.25020294,36,,,0,,False,2,test,2
452,0.0,191.66384,191.91405,gabors,-20.0,0.08,-20.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,45.0,0.8,null,0.25020294,112,,,0,,False,2,test,1
453,0.0,191.91405,192.16426,gabors,0.0,0.08,30.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,45.0,0.8,null,0.25021706,186,,,0,,False,1,train,1
454,0.0,192.16426,192.41448,gabors,-10.0,0.08,-10.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,90.0,0.8,null,0.25021706,158,,,0,,False,2,test,2
455,0.0,192.41448,192.6647,gabors,-20.0,0.08,-30.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,45.0,0.8,null,0.25021706,18,,,0,,False,5,test,1
456,0.0,192.6647,192.91491,gabors,-10.0,0.08,20.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,0.0,0.8,null,0.25021706,94,,,0,,False,3,train,0
457,0.0,192.91491,193.16512,gabors,-40.0,0.08,10.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,90.0,0.8,null,0.25020294,204,,,0,,False,0,train,2
458,0.0,193.16512,193.41532,gabors,20.0,0.08,10.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,90.0,0.8,null,0.25020294,74,,,0,,False,2,test,2
459,0.0,193.41532,193.66552,gabors,-10.0,0.08,20.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,0.0,0.8,null,0.25020294,94,,,0,,False,4,train,0
460,0.0,193.66552,193.91573,gabors,10.0,0.08,0.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,90.0,0.8,null,0.25020294,169,,,0,,False,1,train,2
461,0.0,193.91573,194.16594,gabors,-30.0,0.08,0.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,0.0,0.8,null,0.25021456,180,,,0,,False,1,train,0
462,0.0,194.16594,194.41616,gabors,30.0,0.08,-10.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,45.0,0.8,null,0.25021456,5,,,0,,False,3,train,1
463,0.0,194.41616,194.66637,gabors,-40.0,0.08,0.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,90.0,0.8,null,0.25021456,25,,,0,,False,2,test,2
464,0.0,194.66637,194.91658,gabors,-10.0,0.08,-20.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,90.0,0.8,null,0.25021456,115,,,0,,False,2,test,2
465,0.0,194.91658,195.16679,gabors,-10.0,0.08,-30.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,45.0,0.8,null,0.25020294,92,,,0,,False,2,test,1
466,0.0,195.16679,195.41699,gabors,-10.0,0.08,20.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,45.0,0.8,null,0.25020294,116,,,0,,False,3,train,1
467,0.0,195.41699,195.66719,gabors,0.0,0.08,-20.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,45.0,0.8,null,0.25020294,205,,,0,,False,0,train,1
468,0.0,195.66719,195.9174,gabors,-30.0,0.08,0.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,90.0,0.8,null,0.25020294,111,,,0,,False,1,train,2
469,0.0,195.9174,196.1676,gabors,-10.0,0.08,40.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,0.0,0.8,null,0.25020456,6,,,0,,False,2,test,0
470,0.0,196.1676,196.41781,gabors,40.0,0.08,-30.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,45.0,0.8,null,0.25020456,206,,,0,,False,0,train,1
471,0.0,196.41781,196.66801,gabors,-40.0,0.08,-40.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,90.0,0.8,null,0.25020456,203,,,0,,False,1,train,2
472,0.0,196.66801,196.91821,gabors,30.0,0.08,-30.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,0.0,0.8,null,0.25020456,9,,,0,,False,1,train,0
473,0.0,196.91821,197.16843,gabors,-30.0,0.08,0.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,90.0,0.8,null,0.25021294,111,,,0,,False,2,test,2
474,0.0,197.16843,197.41864,gabors,40.0,0.08,30.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,45.0,0.8,null,0.25021294,12,,,0,,False,1,train,1
475,0.0,197.41864,197.66885,gabors,40.0,0.08,20.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,0.0,0.8,null,0.25021294,119,,,0,,False,2,test,0
476,0.0,197.66885,197.91907,gabors,-20.0,0.08,-10.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,0.0,0.8,null,0.25021294,65,,,0,,False,4,train,0
477,0.0,197.91907,198.16929,gabors,10.0,0.08,-30.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,0.0,0.8,null,0.25021956,207,,,0,,False,0,train,0
478,0.0,198.16929,198.41951,gabors,-10.0,0.08,-10.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,45.0,0.8,null,0.25021956,53,,,0,,False,1,train,1
479,0.0,198.41951,198.66972,gabors,30.0,0.08,10.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,0.0,0.8,null,0.25021956,208,,,0,,False,0,train,0
480,0.0,198.66972,198.91994,gabors,-30.0,0.08,0.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,45.0,0.8,null,0.25021956,125,,,0,,False,3,train,1
481,0.0,198.91994,199.17014,gabors,-30.0,0.08,40.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,90.0,0.8,null,0.25020044,153,,,0,,False,3,train,2
482,0.0,199.17014,199.42035,gabors,-40.0,0.08,-30.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,45.0,0.8,null,0.25020044,102,,,0,,False,1,train,1
483,0.0,199.42035,199.67055,gabors,-20.0,0.08,-20.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,45.0,0.8,null,0.25020044,112,,,0,,False,3,train,1
484,0.0,199.67055,199.92075,gabors,-40.0,0.08,-10.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,0.0,0.8,null,0.25020044,196,,,0,,False,2,test,0
485,0.0,199.92075,200.17096,gabors,30.0,0.08,-30.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,45.0,0.8,null,0.25021206,167,,,0,,False,1,train,1
486,0.0,200.17096,200.42117,gabors,30.0,0.08,-40.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,45.0,0.8,null,0.25021206,109,,,0,,False,2,test,1
487,0.0,200.42117,200.67138,gabors,30.0,0.08,20.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,0.0,0.8,null,0.25021206,182,,,0,,False,1,train,0
488,0.0,200.67138,200.92159,gabors,-20.0,0.08,20.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,45.0,0.8,null,0.25021206,183,,,0,,False,2,test,1
489,0.0,200.92159,201.1718,gabors,30.0,0.08,-30.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,45.0,0.8,null,0.25020794,167,,,0,,False,2,test,1
490,0.0,201.1718,201.42201,gabors,30.0,0.08,40.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,45.0,0.8,null,0.25020794,155,,,0,,False,2,test,1
491,0.0,201.42201,201.67222,gabors,-40.0,0.08,-20.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,90.0,0.8,null,0.25020794,69,,,0,,False,2,test,2
492,0.0,201.67222,201.92243,gabors,20.0,0.08,20.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,90.0,0.8,null,0.25020794,163,,,0,,False,1,train,2
493,0.0,201.92243,202.17264,gabors,10.0,0.08,-30.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,45.0,0.8,null,0.25020956,122,,,0,,False,2,test,1
494,0.0,202.17264,202.42285,gabors,-10.0,0.08,-30.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,90.0,0.8,null,0.25020956,82,,,0,,False,1,train,2
495,0.0,202.42285,202.67305,gabors,40.0,0.08,-10.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,45.0,0.8,null,0.25020956,133,,,0,,False,4,train,1
496,0.0,202.67305,202.92326,gabors,0.0,0.08,-20.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,45.0,0.8,null,0.25020956,205,,,0,,False,1,train,1
497,0.0,202.92326,203.17347,gabors,20.0,0.08,10.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,0.0,0.8,null,0.25020544,79,,,0,,False,2,test,0
498,0.0,203.17347,203.42368,gabors,30.0,0.08,20.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,90.0,0.8,null,0.25020544,131,,,0,,False,2,test,2
499,0.0,203.42368,203.67388,gabors,40.0,0.08,10.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,0.0,0.8,null,0.25020544,202,,,0,,False,1,train,0
500,0.0,203.67388,203.92409,gabors,10.0,0.08,20.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,45.0,0.8,null,0.25020544,63,,,0,,False,4,train,1
501,0.0,203.92409,204.1743,gabors,-30.0,0.08,-30.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,90.0,0.8,null,0.25021456,142,,,0,,False,1,train,2
502,0.0,204.1743,204.42452,gabors,-20.0,0.08,-20.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,0.0,0.8,null,0.25021456,71,,,0,,False,5,test,0
503,0.0,204.42452,204.67473,gabors,-40.0,0.08,-30.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,90.0,0.8,null,0.25021456,209,,,0,,False,0,train,2
504,0.0,204.67473,204.92494,gabors,-20.0,0.08,10.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,0.0,0.8,null,0.25021456,210,,,0,,False,0,train,0
505,0.0,204.92494,205.17514,gabors,0.0,0.08,-20.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,90.0,0.8,null,0.25020044,33,,,0,,False,3,train,2
506,0.0,205.17514,205.42535,gabors,-30.0,0.08,-10.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,0.0,0.8,null,0.25020044,43,,,0,,False,3,train,0
507,0.0,205.42535,205.67555,gabors,40.0,0.08,0.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,0.0,0.8,null,0.25020044,35,,,0,,False,4,train,0
508,0.0,205.67555,205.92575,gabors,30.0,0.08,20.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,45.0,0.8,null,0.25020044,211,,,0,,False,0,train,1
509,0.0,205.92575,206.17596,gabors,-10.0,0.08,20.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,90.0,0.8,null,0.25021456,128,,,0,,False,1,train,2
510,0.0,206.17596,206.42618,gabors,0.0,0.08,20.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,90.0,0.8,null,0.25021456,212,,,0,,False,0,train,2
511,0.0,206.42618,206.67639,gabors,-30.0,0.08,-40.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,90.0,0.8,null,0.25021456,175,,,0,,False,3,train,2
512,0.0,206.67639,206.9266,gabors,10.0,0.08,-40.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,45.0,0.8,null,0.25021456,55,,,0,,False,2,test,1
513,0.0,206.9266,207.17681,gabors,0.0,0.08,30.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,45.0,0.8,null,0.25020544,186,,,0,,False,2,test,1
514,0.0,207.17681,207.42702,gabors,-20.0,0.08,-30.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,90.0,0.8,null,0.25020544,22,,,0,,False,2,test,2
515,0.0,207.42702,207.67722,gabors,20.0,0.08,30.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,45.0,0.8,null,0.25020544,195,,,0,,False,1,train,1
516,0.0,207.67722,207.92743,gabors,0.0,0.08,-10.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,0.0,0.8,null,0.25020544,67,,,0,,False,2,test,0
517,0.0,207.92743,208.17764,gabors,20.0,0.08,-10.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,90.0,0.8,null,0.25021206,75,,,0,,False,2,test,2
518,0.0,208.17764,208.42785,gabors,40.0,0.08,10.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,90.0,0.8,null,0.25021206,213,,,0,,False,0,train,2
519,0.0,208.42785,208.67806,gabors,20.0,0.08,30.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,90.0,0.8,null,0.25021206,84,,,0,,False,3,train,2
520,0.0,208.67806,208.92827,gabors,-20.0,0.08,40.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,90.0,0.8,null,0.25021206,214,,,0,,False,0,train,2
521,0.0,208.92827,209.17848,gabors,40.0,0.08,10.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,90.0,0.8,null,0.25020794,213,,,0,,False,1,train,2
522,0.0,209.17848,209.42869,gabors,-20.0,0.08,20.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,90.0,0.8,null,0.25020794,45,,,0,,False,1,train,2
523,0.0,209.42869,209.6789,gabors,10.0,0.08,10.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,0.0,0.8,null,0.25020794,100,,,0,,False,1,train,0
524,0.0,209.6789,209.92911,gabors,0.0,0.08,10.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,90.0,0.8,null,0.25020794,145,,,0,,False,1,train,2
525,0.0,209.92911,210.17932,gabors,0.0,0.08,-20.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,90.0,0.8,null,0.25021456,33,,,0,,False,4,train,2
526,0.0,210.17932,210.42954,gabors,-30.0,0.08,40.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,0.0,0.8,null,0.25021456,113,,,0,,False,1,train,0
527,0.0,210.42954,210.67975,gabors,30.0,0.08,-20.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,90.0,0.8,null,0.25021456,101,,,0,,False,4,train,2
528,0.0,210.67975,210.92996,gabors,10.0,0.08,20.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,0.0,0.8,null,0.25021456,215,,,0,,False,0,train,0
529,0.0,210.92996,211.18016,gabors,0.0,0.08,40.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,45.0,0.8,null,0.25020044,216,,,0,,False,0,train,1
530,0.0,211.18016,211.43037,gabors,40.0,0.08,-40.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,90.0,0.8,null,0.25020044,217,,,0,,False,0,train,2
531,0.0,211.43037,211.68057,gabors,-10.0,0.08,40.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,90.0,0.8,null,0.25020044,218,,,0,,False,0,train,2
532,0.0,211.68057,211.93077,gabors,40.0,0.08,-20.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,45.0,0.8,null,0.25020044,141,,,0,,False,1,train,1
533,0.0,211.93077,212.18099,gabors,20.0,0.08,-10.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,90.0,0.8,null,0.25021956,75,,,0,,False,3,train,2
534,0.0,212.18099,212.43121,gabors,-40.0,0.08,-30.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,90.0,0.8,null,0.25021956,209,,,0,,False,1,train,2
535,0.0,212.43121,212.68142,gabors,0.0,0.08,-20.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,0.0,0.8,null,0.25021956,219,,,0,,False,0,train,0
536,0.0,212.68142,212.93164,gabors,30.0,0.08,0.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,0.0,0.8,null,0.25021956,177,,,0,,False,4,train,0
537,0.0,212.93164,213.18184,gabors,30.0,0.08,-20.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,0.0,0.8,null,0.25020044,117,,,0,,False,2,test,0
538,0.0,213.18184,213.43205,gabors,-30.0,0.08,10.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,45.0,0.8,null,0.25020044,220,,,0,,False,0,train,1
539,0.0,213.43205,213.68225,gabors,40.0,0.08,-40.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,0.0,0.8,null,0.25020044,170,,,0,,False,1,train,0
540,0.0,213.68225,213.93245,gabors,-10.0,0.08,-10.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,45.0,0.8,null,0.25020044,53,,,0,,False,2,test,1
541,0.0,213.93245,214.18266,gabors,-30.0,0.08,-10.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,0.0,0.8,null,0.25021456,43,,,0,,False,4,train,0
542,0.0,214.18266,214.43288,gabors,-10.0,0.08,10.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,45.0,0.8,null,0.25021456,24,,,0,,False,2,test,1
543,0.0,214.43288,214.68309,gabors,-20.0,0.08,30.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,0.0,0.8,null,0.25021456,29,,,0,,False,4,train,0
544,0.0,214.68309,214.9333,gabors,30.0,0.08,-20.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,45.0,0.8,null,0.25021456,221,,,0,,False,0,train,1
545,0.0,214.9333,215.1835,gabors,10.0,0.08,-10.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,0.0,0.8,null,0.25020044,222,,,0,,False,0,train,0
546,0.0,215.1835,215.43371,gabors,-20.0,0.08,-30.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,0.0,0.8,null,0.25020044,189,,,0,,False,1,train,0
547,0.0,215.43371,215.68391,gabors,-20.0,0.08,30.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,0.0,0.8,null,0.25020044,29,,,0,,False,5,test,0
548,0.0,215.68391,215.93411,gabors,-30.0,0.08,-20.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,45.0,0.8,null,0.25020044,188,,,0,,False,1,train,1
549,0.0,215.93411,216.18432,gabors,-10.0,0.08,40.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,0.0,0.8,null,0.25021206,6,,,0,,False,3,train,0
550,0.0,216.18432,216.43453,gabors,0.0,0.08,-10.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,90.0,0.8,null,0.25021206,223,,,0,,False,0,train,2
551,0.0,216.43453,216.68474,gabors,20.0,0.08,-40.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,45.0,0.8,null,0.25021206,127,,,0,,False,3,train,1
552,0.0,216.68474,216.93495,gabors,10.0,0.08,-20.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,45.0,0.8,null,0.25021206,185,,,0,,False,1,train,1
553,0.0,216.93495,217.18516,gabors,10.0,0.08,-30.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,0.0,0.8,null,0.25020794,207,,,0,,False,1,train,0
554,0.0,217.18516,217.43537,gabors,-10.0,0.08,0.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,45.0,0.8,null,0.25020794,146,,,0,,False,2,test,1
555,0.0,217.43537,217.68558,gabors,-30.0,0.08,-10.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,45.0,0.8,null,0.25020794,99,,,0,,False,1,train,1
556,0.0,217.68558,217.93579,gabors,20.0,0.08,10.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,45.0,0.8,null,0.25020794,148,,,0,,False,1,train,1
557,0.0,217.93579,218.186,gabors,0.0,0.08,-40.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,90.0,0.8,null,0.25021456,105,,,0,,False,3,train,2
558,0.0,218.186,218.43622,gabors,-30.0,0.08,-30.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,0.0,0.8,null,0.25021456,81,,,0,,False,2,test,0
559,0.0,218.43622,218.68643,gabors,40.0,0.08,10.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,45.0,0.8,null,0.25021456,144,,,0,,False,2,test,1
560,0.0,218.68643,218.93664,gabors,10.0,0.08,10.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,45.0,0.8,null,0.25021456,77,,,0,,False,4,train,1
561,0.0,218.93664,219.18685,gabors,-40.0,0.08,-30.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,0.0,0.8,null,0.25020544,2,,,0,,False,4,train,0
562,0.0,219.18685,219.43706,gabors,-30.0,0.08,10.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,0.0,0.8,null,0.25020544,121,,,0,,False,1,train,0
563,0.0,219.43706,219.68726,gabors,20.0,0.08,-40.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,45.0,0.8,null,0.25020544,127,,,0,,False,4,train,1
564,0.0,219.68726,219.93747,gabors,-30.0,0.08,-10.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,90.0,0.8,null,0.25020544,224,,,0,,False,0,train,2
565,0.0,219.93747,220.18768,gabors,-30.0,0.08,30.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,0.0,0.8,null,0.25021206,93,,,0,,False,1,train,0
566,0.0,220.18768,220.43789,gabors,40.0,0.08,-40.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,45.0,0.8,null,0.25021206,30,,,0,,False,2,test,1
567,0.0,220.43789,220.6881,gabors,-10.0,0.08,30.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,90.0,0.8,null,0.25021206,172,,,0,,False,1,train,2
