ecephys_unit_id,ecephys_session_id,specimen_id,area,group,map,lifetime_sparseness,stimulus_firing_rate_hz,fano_factor,tuning_strength,response_evidence,stability_proxy,raw_tuning_quality_weight,normalized_unit_weight
950931977,715093703,699733581,V1,V1,sf,0.197287,1.96569,1.8174,0.108096,0.66281,0.354937,0.29407,0.854467
950932013,715093703,699733581,V1,V1,sf,0.204036,2.07493,1.91484,0.115595,0.67479,0.343072,0.29911,0.869112
950933907,715093703,699733581,V1,V1,sf,0.394018,0.958532,2.00769,0.326687,0.489414,0.332481,0.376003,1.09254
950932102,715093703,699733581,V1,V1,sf,0.137448,3.7462,2.97619,0.0416094,0.789305,0.251497,0.214906,0.624445
950932118,715093703,699733581,V1,V1,sf,0.288458,1.20433,1.37095,0.209398,0.546347,0.421772,0.36406,1.05783
950933924,715093703,699733581,V1,V1,sf,0.562916,1.12972,2.19983,0.514351,0.530455,0.312516,0.440143,1.27891
950932315,715093703,699733581,V1,V1,sf,0.549917,1.28493,2.099,0.499907,0.562349,0.322685,0.449322,1.30558
950932410,715093703,699733581,V1,V1,sf,0.382042,2.96685,3.64179,0.31338,0.747911,0.215434,0.369611,1.07397
950932428,715093703,699733581,V1,V1,sf,0.146348,5.57867,1.59091,0.0514976,0.847994,0.385965,0.256395,0.744996
950932445,715093703,699733581,V1,V1,sf,0.19189,3.1114,1.16985,0.1021,0.756774,0.460862,0.328994,0.955944
950932496,715093703,699733581,V1,V1,sf,0.175315,2.5552,1.7472,0.0836838,0.718722,0.364007,0.27975,0.812859
950932529,715093703,699733581,V1,V1,sf,0.133508,2.38201,3.26232,0.0372306,0.704318,0.234614,0.202161,0.587411
950932563,715093703,699733581,V1,V1,sf,0.188208,12.9125,4.63257,0.0980087,0.928122,0.177539,0.252767,0.734456
950932578,715093703,699733581,V1,V1,sf,0.544057,1.86044,2.98106,0.493397,0.650404,0.251189,0.431977,1.25518
950932614,715093703,699733581,V1,V1,sf,0.278767,2.8263,2.93061,0.19863,0.738651,0.254413,0.334201,0.971075
950932597,715093703,699733581,V1,V1,sf,0.22506,1.94371,1.64583,0.138956,0.660292,0.377953,0.326099,0.947534
950932630,715093703,699733581,V1,V1,sf,0.20661,2.57518,1.23117,0.118456,0.720294,0.448195,0.336908,0.97894
950932643,715093703,699733581,V1,V1,sf,0.432666,0.503579,1.27481,0.369629,0.33492,0.439596,0.378955,1.10111
950932669,715093703,699733581,V1,V1,sf,0.193473,3.32922,1.36087,0.103858,0.769011,0.423573,0.32342,0.93975
950932696,715093703,699733581,V1,V1,sf,0.694328,0.583512,1.9195,0.660365,0.368492,0.342524,0.436819,1.26925
950932721,715093703,699733581,V1,V1,sf,0.255117,1.48876,2.21377,0.172352,0.598193,0.311161,0.317747,0.923264
950932745,715093703,699733581,V1,V1,sf,0.226029,1.21498,2.65163,0.140032,0.54853,0.27385,0.276045,0.802094
950933960,715093703,699733581,V1,V1,sf,0.799263,1.01782,2.78428,0.776959,0.504415,0.264251,0.469606,1.36452
950930105,715093703,699733581,V1,V1,tf,0.160895,7.61246,16.1886,0.0676612,0.883889,0.0581782,0.15153,0.562026
950930173,715093703,699733581,V1,V1,tf,0.423171,2.674,4.42273,0.359079,0.727817,0.184409,0.363914,1.34976
950930215,715093703,699733581,V1,V1,tf,0.126608,9.56404,7.45547,0.029564,0.905339,0.118267,0.174937,0.648841
950930237,715093703,699733581,V1,V1,tf,0.652536,4.56131,16.6409,0.613928,0.820186,0.0566863,0.305611,1.13351
950933698,715093703,699733581,V1,V1,tf,0.247699,1.77895,3.66667,0.16411,0.640152,0.214286,0.28236,1.04728
950930276,715093703,699733581,V1,V1,tf,0.214877,8.93989,6.99468,0.127641,0.899395,0.125083,0.24306,0.90151
950930295,715093703,699733581,V1,V1,tf,0.532778,2.16459,4.55019,0.480864,0.684003,0.180174,0.389874,1.44604
950930375,715093703,699733581,V1,V1,tf,0.120207,4.52413,2.37451,0.0224528,0.818976,0.296339,0.229797,0.852316
950930392,715093703,699733581,V1,V1,tf,0.142992,3.58074,2.37654,0.0477685,0.781695,0.296161,0.22621,0.839014
950930423,715093703,699733581,V1,V1,tf,0.340953,0.598649,6.20606,0.267725,0.374472,0.138772,0.240512,0.89206
950930437,715093703,699733581,V1,V1,tf,0.360326,0.39361,3.60989,0.289252,0.282439,0.216925,0.260717,0.967002
950930522,715093703,699733581,V1,V1,tf,0.444272,9.90613,6.83078,0.382525,0.908308,0.127701,0.354021,1.31307
950930541,715093703,699733581,V1,V1,tf,0.206982,6.08741,8.20963,0.118869,0.858905,0.108582,0.222975,0.827016
950930590,715093703,699733581,V1,V1,tf,0.31801,2.01692,3.78788,0.242234,0.668536,0.208861,0.323399,1.19949
950930689,715093703,699733581,V1,V1,tf,0.369839,5.43193,36.652,0.299822,0.844526,0.026559,0.233068,0.864449
950930716,715093703,699733581,V1,V1,tf,0.403773,3.72575,7.5186,0.337526,0.788393,0.11739,0.31494,1.16811
950930767,715093703,699733581,V1,V1,tf,0.169057,1.82729,4.70145,0.0767298,0.646304,0.175394,0.205655,0.762774
950930795,715093703,699733581,V1,V1,tf,0.133604,12.0277,17.1987,0.0373382,0.92324,0.0549491,0.136379,0.505831
950930866,715093703,699733581,V1,V1,tf,0.463725,6.29086,30.3918,0.404138,0.862842,0.0318555,0.259305,0.961762
950930888,715093703,699733581,V1,V1,tf,0.535157,3.30665,7.16752,0.483507,0.767801,0.122436,0.356879,1.32366
950930923,715093703,699733581,V1,V1,tf,0.367663,4.30315,42.7003,0.297403,0.811433,0.0228831,0.229363,0.850707
950934181,715093703,699733581,V1,V1,tf,0.220728,0.575277,2.4172,0.134142,0.365191,0.292637,0.242925,0.901008
950930985,715093703,699733581,V1,V1,tf,0.167342,32.9677,27.8195,0.0748249,0.97056,0.0346988,0.153702,0.570081
950931004,715093703,699733581,V1,V1,tf,0.171199,5.25664,7.75883,0.0791101,0.84017,0.11417,0.19651,0.728856
950931118,715093703,699733581,V1,V1,tf,0.42603,0.981104,4.78693,0.362256,0.495231,0.172803,0.314141,1.16515
950931164,715093703,699733581,V1,V1,tf,0.414735,0.863712,1.59298,0.349706,0.463436,0.385656,0.396854,1.47193
950931181,715093703,699733581,V1,V1,tf,0.185506,3.72628,13.184,0.0950065,0.788417,0.0705018,0.174142,0.645893
950931236,715093703,699733581,V1,V1,tf,0.384446,0.108362,1.13333,0.316051,0.097768,0.46875,0.243761,0.904112
950931272,715093703,699733581,V1,V1,tf,0.287927,0.362801,2,0.208808,0.266217,0.333333,0.264619,0.981472
950931423,715093703,699733581,V1,V1,tf,0.131972,5.2083,7.23101,0.0355249,0.838925,0.121492,0.172086,0.638269
950931517,715093703,699733581,V1,V1,tf,0.2231,8.11124,0.879115,0.136778,0.890245,0.532165,0.401659,1.48975
950931533,715093703,699733581,V1,V1,tf,0.297489,2.8392,3.83089,0.219432,0.739529,0.207001,0.322658,1.19674
950931490,715093703,699733581,V1,V1,tf,0.172375,3.04211,16.9118,0.0804162,0.752605,0.055829,0.150057,0.556563
950933840,715093703,699733581,V1,V1,tf,0.313392,4.80141,5.4797,0.237102,0.827628,0.154328,0.311701,1.1561
950931581,715093703,699733581,V1,V1,tf,0.37087,2.62885,6.94386,0.300967,0.724431,0.125883,0.301644,1.1188
950931617,715093703,699733581,V1,V1,tf,0.135049,1.87722,3.72754,0.0389432,0.652442,0.211527,0.190382,0.706127
950931805,715093703,699733581,V1,V1,tf,0.271365,1.63765,7.52754,0.190406,0.620875,0.117267,0.240226,0.891
950931751,715093703,699733581,V1,V1,tf,0.114604,2.77971,2.95397,0.0162266,0.735429,0.25291,0.210294,0.77998
950931790,715093703,699733581,V1,V1,tf,0.148419,1.77629,2.52316,0.0537986,0.639807,0.283836,0.213778,0.792903
950931821,715093703,699733581,V1,V1,tf,0.221742,3.65935,7.64065,0.135269,0.785378,0.115732,0.230804,0.856052
950931837,715093703,699733581,V1,V1,tf,0.11374,2.43019,1.45333,0.0152664,0.708471,0.407609,0.243507,0.903169
950931853,715093703,699733581,V1,V1,tf,0.319528,6.82417,7.55279,0.24392,0.872191,0.116921,0.291911,1.0827
950931916,715093703,699733581,V1,V1,tf,0.18058,4.09918,11.7718,0.0895339,0.80389,0.0782974,0.177955,0.660036
950931937,715093703,699733581,V1,V1,tf,0.234451,1.09159,2.04131,0.14939,0.521895,0.328805,0.294859,1.09363
950931959,715093703,699733581,V1,V1,tf,0.42282,0.906738,33.2772,0.358688,0.475544,0.0291739,0.204311,0.757792
950931977,715093703,699733581,V1,V1,tf,0.261998,1.13834,2.68982,0.179998,0.532347,0.271016,0.296132,1.09836
