unit_id,time_to_first_spike
7000000,0.084
7000001,0.099
7000002,0.102
7000003,0.1005
7000004,0.1
7000005,0.1
7000006,0.095
7000007,0.0855
7000008,0.0765
7000009,0.0935
7000010,0.0845
7000011,0.096
7000012,0.131
7000013,0.095
7000014,0.055
7000015,0.11
7000016,
7000017,0.1125
7000018,0.1385
7000019,0.113
7000020,0.099
7000021,0.078
7000022,0.0725
7000023,0.116
7000024,0.099
7000025,0.113
7000026,0.086
7000027,0.1285
7000028,0.0925
7000029,0.0845
7000030,0.112
7000031,0.0945
7000032,0.08
7000033,0.091
7000034,0.1035
7000035,0.111
7000036,0.0855
7000037,0.0995
7000038,0.083
7000039,0.1145
7000040,0.1375
7000041,0.092
7000042,0.126
7000043,0.101
7000044,0.115
7000045,0.091
7000046,0.09
7000047,0.13
7000048,0.105
7000049,0.107
7000050,0.1245
7000051,0.094
7000052,0.118
7000053,0.1
7000054,0.0815
7000055,0.119
7000056,0.122
7000057,0.0935
7000058,0.121
7000059,0.108
7000060,
7000061,0.166
7000062,0.108
7000063,0.123
7000064,0.108
7000065,0.095
7000066,0.1055
7000067,0.074
7000068,0.084
7000069,0.069
7000070,0.1205
7000071,0.1275
7000072,0.1105
7000073,0.086
7000074,0.088
7000075,0.103
7000076,0.09
7000077,0.1255
7000078,0.1195
7000079,0.115
7000080,0.112
7000081,0.121
7000082,0.054
7000083,0.092
7000084,0.0955
7000085,0.1095
7000086,0.1165
7000087,0.109
7000088,0.074
7000089,0.088
7000090,0.085
7000091,0.089
7000092,0.082
7000093,0.08
7000094,0.1605
7000095,0.0925
7000096,0.078
7000097,0.1185
7000098,0.091
7000099,0.07
7000100,0.064
7000101,0.104
7000102,0.093
7000103,0.0765
7000104,0.081
7000105,0.073
7000106,0.105
7000107,0.07
7000108,
7000109,
7000110,0.084
7000111,0.0745
7000112,0.045
7000113,0.088
7000114,0.117
7000115,0.052
7000116,0.141
7000117,0.059
7000118,0.072
7000119,0.095
7000120,0.085
7000121,0.09
7000122,0.078
7000123,0.089
7000124,0.086
7000125,0.083
7000126,0.089
7000127,0.1
7000128,0.1
7000129,0.1185
7000130,0.095
7000131,0.089
7000132,0.107
7000133,0.106
7000134,0.085
7000135,
7000136,0.105
7000137,0.08
7000138,0.118
7000139,0.102
7000140,0.098
7000141,
7000142,0.109
7000143,0.0835
7000144,0.084
7000145,0.1025
7000146,0.098
7000147,0.057
7000148,0.045
7000149,0.0875
7000150,0.088
7000151,0.09
7000152,0.085
7000153,0.099
7000154,0.096
7000155,0.097
7000156,0.0765
7000157,0.096
7000158,0.105
7000159,0.1005
7000160,0.126
7000161,0.102
7000162,0.102
7000163,0.0935
7000164,0.093
7000165,0.076
7000166,0.075
7000167,0.107
7000168,0.0805
7000169,0.101
7000170,0.078
7000171,0.0895
7000172,0.161
7000173,
7000174,0.101
7000175,0.115
7000176,0.107
7000177,0.1165
7000178,0.077
7000179,0.083
7000180,0.086
7000181,0.16
7000182,0.1185
7000183,0.094
7000184,0.108
7000185,0.105
7000186,0.1135
7000187,0.103
7000188,0.084
7000189,0.119
7000190,0.088
7000191,0.155
7000192,0.129
7000193,0.119
7000194,0.111
7000195,0.116
7000196,0.092
7000197,0.085
7000198,0.1055
7000199,0.088
7000200,0.1
7000201,0.104
7000202,0.108
7000203,0.075
7000204,0.104
7000205,0.067
7000206,0.051
7000207,0.079
7000208,
7000209,0.111
7000210,0.086
7000211,0.061
7000212,0.103
7000213,0.171
7000214,
7000215,0.081
7000216,0.112
7000217,0.0985
7000218,0.072
7000219,0.11
7000220,0.051
7000221,0.116
7000222,0.0745
7000223,0.11
7000224,0.1055
7000225,0.069
7000226,0.0795
7000227,0.062
7000228,0.106
7000229,0.1075
7000230,0.083
7000231,0.065
7000232,0.152
7000233,0.11
7000234,0.1015
7000235,0.071
7000236,0.096
7000237,0.109
7000238,0.104
7000239,0.13
7000240,0.054
7000241,0.085
7000242,0.088
7000243,0.052
7000244,0.128
7000245,0.095
7000246,0.136
7000247,0.157
7000248,0.087
7000249,0.082
7000250,0.084
7000251,0.085
7000252,0.092
7000253,0.117
7000254,0.126
7000255,0.083
7000256,0.104
7000257,0.138
7000258,0.082
7000259,0.141
7000260,0.076
7000261,0.119
7000262,0.093
7000263,0.039
7000264,0.117
7000265,0.1045
7000266,0.048
7000267,
7000268,0.071
7000269,0.0685
7000270,0.1085
7000271,0.068
7000272,
7000273,0.129
7000274,0.067
7000275,0.079
7000276,0.106
7000277,0.195
7000278,0.097
7000279,0.0705
7000280,0.063
7000281,0.059
7000282,0.078
7000283,0.0595
7000284,0.073
7000285,0.062
7000286,0.077
7000287,0.075
7000288,0.0515
7000289,0.0865
7000290,0.0495
7000291,0.084
7000292,0.0675
7000293,0.163
7000294,0.06
7000295,0.151
7000296,0.071
7000297,0.091
7000298,0.0695
7000299,0.054
7000300,0.062
7000301,0.0705
7000302,
7000303,0.096
7000304,0.067
7000305,0.1
7000306,0.0485
7000307,0.054
7000308,0.0555
7000309,
7000310,0.05
7000311,0.0605
7000312,0.05
7000313,0.115
7000314,0.097
7000315,0.07
7000316,0.053
7000317,0.058
7000318,0.0495
7000319,0.1
7000320,0.0595
7000321,0.0375
7000322,0.0585
7000323,
7000324,0.0605
7000325,0.056
7000326,0.062
7000327,
7000328,0.091
7000329,
7000330,0.0585
