stimulus_presentation_id,stimulus_block,start_time,stop_time,contrast,y_position,stimulus_name,phase,temporal_frequency,frame,orientation,size,color,x_position,spatial_frequency,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
3142,0.0,870.17819,870.42841,0.8,30.0,gabors,"[3644.93333333, 3644.93333333]",4.0,null,90.0,"[20.0, 20.0]",null,10.0,0.08,0.25022009,78,,,0,,False,12,train,2
3143,0.0,870.42841,870.67863,0.8,20.0,gabors,"[3644.93333333, 3644.93333333]",4.0,null,45.0,"[20.0, 20.0]",null,10.0,0.08,0.25022009,111,,,0,,False,9,train,1
3144,0.0,870.67863,870.92885,0.8,20.0,gabors,"[3644.93333333, 3644.93333333]",4.0,null,90.0,"[20.0, 20.0]",null,40.0,0.08,0.25022009,160,,,0,,False,13,train,2
3145,0.0,870.92885,871.17904,0.8,-40.0,gabors,"[3644.93333333, 3644.93333333]",4.0,null,0.0,"[20.0, 20.0]",null,30.0,0.08,0.25019741,125,,,0,,False,14,test,0
3146,0.0,871.17904,871.42924,0.8,-40.0,gabors,"[3644.93333333, 3644.93333333]",4.0,null,0.0,"[20.0, 20.0]",null,-40.0,0.08,0.25019741,187,,,0,,False,13,train,0
3147,0.0,871.42924,871.67944,0.8,10.0,gabors,"[3644.93333333, 3644.93333333]",4.0,null,45.0,"[20.0, 20.0]",null,-40.0,0.08,0.25019741,95,,,0,,False,10,train,1
3148,0.0,871.67944,871.92964,0.8,10.0,gabors,"[3644.93333333, 3644.93333333]",4.0,null,90.0,"[20.0, 20.0]",null,-20.0,0.08,0.25019741,202,,,0,,False,11,test,2
3149,0.0,871.92964,872.17985,0.8,-40.0,gabors,"[3644.93333333, 3644.93333333]",4.0,null,0.0,"[20.0, 20.0]",null,-30.0,0.08,0.25021759,167,,,0,,False,13,train,0
3150,0.0,872.17985,872.43007,0.8,0.0,gabors,"[3644.93333333, 3644.93333333]",4.0,null,45.0,"[20.0, 20.0]",null,20.0,0.08,0.25021759,28,,,0,,False,11,test,1
3151,0.0,872.43007,872.68029,0.8,10.0,gabors,"[3644.93333333, 3644.93333333]",4.0,null,90.0,"[20.0, 20.0]",null,-20.0,0.08,0.25021759,202,,,0,,False,12,train,2
