stimulus_presentation_id,stimulus_block,start_time,stop_time,temporal_frequency,stimulus_name,frame,phase,size,contrast,orientation,spatial_frequency,color,x_position,y_position,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
2129,0.0,617.23241,617.48262,4.0,gabors,null,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,0.0,0.08,null,0.0,0.0,0.25020816,3,,,0,,False,11,test,0
2130,0.0,617.48262,617.73283,4.0,gabors,null,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,0.0,0.08,null,30.0,30.0,0.25020816,95,,,0,,False,8,test,0
2131,0.0,617.73283,617.98303,4.0,gabors,null,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,45.0,0.08,null,-20.0,40.0,0.25020816,205,,,0,,False,5,test,1
2132,0.0,617.98303,618.23324,4.0,gabors,null,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,45.0,0.08,null,-30.0,0.0,0.25020816,55,,,0,,False,10,train,1
2133,0.0,618.23324,618.48344,4.0,gabors,null,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,90.0,0.08,null,-30.0,-10.0,0.25020184,207,,,0,,False,11,test,2
2134,0.0,618.48344,618.73365,4.0,gabors,null,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,45.0,0.08,null,-30.0,20.0,0.25020184,143,,,0,,False,10,train,1
2135,0.0,618.73365,618.98385,4.0,gabors,null,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,0.0,0.08,null,20.0,0.0,0.25020184,154,,,0,,False,13,train,0
2136,0.0,618.98385,619.23405,4.0,gabors,null,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,0.0,0.08,null,-30.0,0.0,0.25020184,114,,,0,,False,11,test,0
2137,0.0,619.23405,619.48427,4.0,gabors,null,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,45.0,0.08,null,20.0,-30.0,0.25021816,101,,,0,,False,8,test,1
2138,0.0,619.48427,619.73449,4.0,gabors,null,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,45.0,0.08,null,0.0,10.0,0.25021816,96,,,0,,False,9,train,1
2139,0.0,619.73449,619.9847,4.0,gabors,null,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,0.0,0.08,null,20.0,-10.0,0.25021816,111,,,0,,False,7,train,0
