start_time,stop_time,x_position,y_position,orientation,orientation_index,repeat,trial_split
84.6539574243459,84.88748358346804,10.0,40.0,45.0,1,0,train
84.88748358346804,85.13769018252748,0.0,-10.0,45.0,1,0,train
85.13769018252748,85.38789678158695,20.0,10.0,90.0,2,0,train
85.38789678158695,85.63810338064641,20.0,10.0,90.0,2,1,train
85.63810338064641,85.8883143915713,0.0,-30.0,45.0,1,0,train
85.8883143915713,86.13852540249614,10.0,10.0,0.0,0,0,train
86.13852540249614,86.38873641342104,-20.0,20.0,90.0,2,0,train
86.38873641342104,86.63894742434591,10.0,40.0,90.0,2,0,train
86.63894742434591,86.88915391342104,-40.0,-30.0,90.0,2,0,train
86.88915391342104,87.13936040249615,30.0,30.0,45.0,1,0,train
87.13936040249615,87.38956689157128,-30.0,0.0,45.0,1,0,train
87.38956689157128,87.63977338064642,0.0,10.0,45.0,1,0,train
87.63977338064642,87.88998939157128,-10.0,-40.0,90.0,2,0,train
87.88998939157128,88.14020540249615,40.0,20.0,90.0,2,0,train
88.14020540249615,88.39042141342102,30.0,-20.0,90.0,2,0,train
88.39042141342102,88.64063742434591,20.0,20.0,45.0,1,0,train
88.64063742434591,88.89084141342101,10.0,-10.0,45.0,1,0,train
88.89084141342101,89.14104540249615,10.0,40.0,90.0,2,1,train
89.14104540249615,89.39124939157128,30.0,10.0,90.0,2,0,train
89.39124939157128,89.6414533806464,0.0,30.0,45.0,1,0,train
89.6414533806464,89.8916593915713,-40.0,30.0,45.0,1,0,train
89.8916593915713,90.14186540249615,-20.0,-30.0,45.0,1,0,train
90.14186540249615,90.39207141342104,-30.0,40.0,90.0,2,0,train
90.39207141342104,90.6422774243459,-10.0,-40.0,0.0,0,0,train
90.6422774243459,90.89248641342104,-20.0,-10.0,90.0,2,0,train
90.89248641342104,91.14269540249614,40.0,30.0,90.0,2,0,train
91.14269540249614,91.39290439157128,0.0,30.0,0.0,0,0,train
91.39290439157128,91.6431133806464,0.0,20.0,45.0,1,0,train
91.6431133806464,91.89333689157128,30.0,-10.0,0.0,0,0,train
91.89333689157128,92.14356040249615,-10.0,-20.0,0.0,0,0,train
92.14356040249615,92.39378391342102,30.0,20.0,90.0,2,0,train
92.39378391342102,92.64400742434592,-40.0,-20.0,0.0,0,0,train
92.64400742434592,92.89420391342104,0.0,10.0,45.0,1,1,train
92.89420391342104,93.14440040249615,-20.0,0.0,90.0,2,0,train
93.14440040249615,93.39459689157127,-30.0,0.0,45.0,1,1,train
93.39459689157127,93.6447933806464,-10.0,30.0,45.0,1,0,train
93.6447933806464,93.89500689157127,-20.0,-30.0,90.0,2,0,train
93.89500689157127,94.14522040249615,40.0,-30.0,90.0,2,0,train
94.14522040249615,94.39543391342102,20.0,40.0,45.0,1,0,train
94.39543391342102,94.64564742434591,30.0,-40.0,0.0,0,0,train
94.64564742434591,94.895851413421,40.0,30.0,45.0,1,0,train
94.895851413421,95.14605540249615,-10.0,-20.0,0.0,0,1,train
95.14605540249615,95.39625939157128,10.0,40.0,0.0,0,0,train
95.39625939157128,95.64646338064642,30.0,40.0,45.0,1,0,train
95.64646338064642,95.89667689157127,30.0,10.0,90.0,2,1,train
95.89667689157127,96.14689040249614,-40.0,30.0,0.0,0,0,train
96.14689040249614,96.39710391342103,40.0,30.0,45.0,1,1,train
96.39710391342103,96.64731742434591,20.0,-30.0,0.0,0,0,train
96.64731742434591,96.89752391342104,0.0,30.0,45.0,1,1,train
96.89752391342104,97.14773040249615,0.0,40.0,0.0,0,0,train
97.14773040249615,97.39793689157128,10.0,-30.0,45.0,1,0,train
97.39793689157128,97.64814338064642,40.0,20.0,45.0,1,0,train
97.64814338064642,97.8983568915713,20.0,0.0,90.0,2,0,train
97.8983568915713,98.14857040249615,-10.0,30.0,45.0,1,1,train
98.14857040249615,98.39878391342104,-30.0,-40.0,90.0,2,0,train
98.39878391342104,98.64899742434591,30.0,20.0,90.0,2,1,train
98.64899742434591,98.89919891342102,-40.0,-40.0,90.0,2,0,train
98.89919891342102,99.14940040249614,20.0,0.0,0.0,0,0,train
99.14940040249614,99.39960189157128,-40.0,40.0,0.0,0,0,train
99.39960189157128,99.64980338064642,-20.0,-10.0,45.0,1,0,train
