stimulus_presentation_id,stimulus_block,start_time,stop_time,temporal_frequency,stimulus_name,frame,phase,spatial_frequency,orientation,x_position,contrast,color,size,y_position,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
1,0.0,91.711444,91.944965,4.0,gabors,null,"[3644.93333333, 3644.93333333]",0.08,0.0,-20.0,0.8,null,"[20.0, 20.0]",30.0,0.23352061,1,,,0,,False,0,train,0
2,0.0,91.944965,92.195165,4.0,gabors,null,"[3644.93333333, 3644.93333333]",0.08,45.0,20.0,0.8,null,"[20.0, 20.0]",40.0,0.25020066,2,,,0,,False,0,train,1
3,0.0,92.195165,92.445366,4.0,gabors,null,"[3644.93333333, 3644.93333333]",0.08,0.0,40.0,0.8,null,"[20.0, 20.0]",20.0,0.25020066,3,,,0,,False,0,train,0
4,0.0,92.445366,92.695567,4.0,gabors,null,"[3644.93333333, 3644.93333333]",0.08,45.0,40.0,0.8,null,"[20.0, 20.0]",-30.0,0.25020066,4,,,0,,False,0,train,1
5,0.0,92.695567,92.945786,4.0,gabors,null,"[3644.93333333, 3644.93333333]",0.08,90.0,-10.0,0.8,null,"[20.0, 20.0]",0.0,0.25021936,5,,,0,,False,0,train,2
6,0.0,92.945786,93.196006,4.0,gabors,null,"[3644.93333333, 3644.93333333]",0.08,0.0,30.0,0.8,null,"[20.0, 20.0]",40.0,0.25021936,6,,,0,,False,0,train,0
7,0.0,93.196006,93.446225,4.0,gabors,null,"[3644.93333333, 3644.93333333]",0.08,0.0,10.0,0.8,null,"[20.0, 20.0]",0.0,0.25021936,7,,,0,,False,0,train,0
8,0.0,93.446225,93.696444,4.0,gabors,null,"[3644.93333333, 3644.93333333]",0.08,45.0,-20.0,0.8,null,"[20.0, 20.0]",40.0,0.25021936,8,,,0,,False,0,train,1
9,0.0,93.696444,93.946645,4.0,gabors,null,"[3644.93333333, 3644.93333333]",0.08,45.0,30.0,0.8,null,"[20.0, 20.0]",0.0,0.25020064,9,,,0,,False,0,train,1
10,0.0,93.946645,94.196846,4.0,gabors,null,"[3644.93333333, 3644.93333333]",0.08,90.0,0.0,0.8,null,"[20.0, 20.0]",40.0,0.25020064,10,,,0,,False,0,train,2
11,0.0,94.196846,94.447046,4.0,gabors,null,"[3644.93333333, 3644.93333333]",0.08,0.0,40.0,0.8,null,"[20.0, 20.0]",30.0,0.25020064,11,,,0,,False,0,train,0
12,0.0,94.447046,94.697247,4.0,gabors,null,"[3644.93333333, 3644.93333333]",0.08,90.0,-20.0,0.8,null,"[20.0, 20.0]",30.0,0.25020064,12,,,0,,False,0,train,2
13,0.0,94.697247,94.947461,4.0,gabors,null,"[3644.93333333, 3644.93333333]",0.08,45.0,-10.0,0.8,null,"[20.0, 20.0]",-10.0,0.25021436,13,,,0,,False,0,train,1
14,0.0,94.947461,95.197676,4.0,gabors,null,"[3644.93333333, 3644.93333333]",0.08,0.0,10.0,0.8,null,"[20.0, 20.0]",10.0,0.25021436,14,,,0,,False,0,train,0
15,0.0,95.197676,95.44789,4.0,gabors,null,"[3644.93333333, 3644.93333333]",0.08,90.0,-30.0,0.8,null,"[20.0, 20.0]",20.0,0.25021436,15,,,0,,False,0,train,2
16,0.0,95.44789,95.698104,4.0,gabors,null,"[3644.93333333, 3644.93333333]",0.08,0.0,40.0,0.8,null,"[20.0, 20.0]",40.0,0.25021436,16,,,0,,False,0,train,0
17,0.0,95.698104,95.948305,4.0,gabors,null,"[3644.93333333, 3644.93333333]",0.08,45.0,40.0,0.8,null,"[20.0, 20.0]",10.0,0.25020064,17,,,0,,False,0,train,1
18,0.0,95.948305,96.198506,4.0,gabors,null,"[3644.93333333, 3644.93333333]",0.08,0.0,-30.0,0.8,null,"[20.0, 20.0]",-10.0,0.25020064,18,,,0,,False,0,train,0
19,0.0,96.198506,96.448706,4.0,gabors,null,"[3644.93333333, 3644.93333333]",0.08,0.0,-10.0,0.8,null,"[20.0, 20.0]",-30.0,0.25020064,19,,,0,,False,0,train,0
20,0.0,96.448706,96.698907,4.0,gabors,null,"[3644.93333333, 3644.93333333]",0.08,45.0,30.0,0.8,null,"[20.0, 20.0]",0.0,0.25020064,9,,,0,,False,1,train,1
21,0.0,96.698907,96.949124,4.0,gabors,null,"[3644.93333333, 3644.93333333]",0.08,90.0,30.0,0.8,null,"[20.0, 20.0]",30.0,0.25021686,20,,,0,,False,0,train,2
