site,probe,site_semantics,anatomy_zhuang_row,anatomy_zhuang_col,anatomy_predicted_azimuth_deg,anatomy_predicted_elevation_deg,rf_zhuang_row,rf_zhuang_col,rf_predicted_azimuth_deg,rf_predicted_elevation_deg,zhuang_pixel_distance_px,retinotopic_vector_error_deg
site3,A,realized_probe_location,270.18319788518943,319.03587086335995,90.0,4.393571154149915,167,210,23.387959,-26.186857,150.11859798421202,73.29615673605818
site3,B,realized_probe_location,364.14100813691374,178.55965561224042,35.27982780612021,30.0,236,266,71.394585,-4.224028,155.13198185092136,49.75499753509869
site3,C,realized_probe_location,224.05415531398012,97.52904366118165,12.036565568190246,4.775169381451867,288,205,38.11301,19.406618,125.05629735838487,29.900840170177094
site3,E,realized_probe_location,164.22545084362557,249.62760854860187,50.44829182042991,-18.510206766842447,197,195,14.922307,-12.831521,63.70515432948016,35.97697971620124
site4,A,intended_penetration_target,120.59933274323706,325.1967686497879,35.0,-2.4719820978375626,155,222,32.22749,-31.215078,108.77949699951901,28.876502103631026
site4,B,intended_penetration_target,308.4551321510361,289.1950686914264,83.08566135321014,13.42059756758966,237,277,79.65865,-4.0337014,72.48831361751105,17.787550682008824
site4,C,intended_penetration_target,295.15356029802206,120.69503658755377,5.0,20.022065702894228,298,206,41.72431,23.093811,85.3524399286616,36.85255166398104
site5,A,realized_probe_location,125.79192684545451,184.39972772378718,14.764373550400247,-25.0,185,217,28.892786,-19.380363,67.58974536982086,15.205010962106352
site5,B,realized_probe_location,257.2777470911028,325.8158591799658,87.38206154208052,2.5781918180557426,244,273,77.71683,-1.3719795,54.459283402678615,10.441290830353228
site5,C,realized_probe_location,362.113670826766,210.69290404559914,49.92565134664476,27.182970728648684,303,209,45.024002,25.280415,59.13790664812926,5.2579353950079035
site5,E,realized_probe_location,274.57168661598644,137.0207165803634,5.0,14.798972785557527,257,193,23.371603,8.280989,58.672347342734106,19.493586366248767
site6,A,intended_penetration_target,106.47467068892752,261.01427803764614,42.529624699033064,-12.659326647726873,170,211,24.071981,-24.74633,80.85106970045095,22.063097265758422
site6,B,intended_penetration_target,303.2719586036806,325.48273442819544,86.14403711236193,7.483025416428924,245,259,67.36184,-0.7613457,88.40574153616399,20.511961960598118
site6,C,intended_penetration_target,345.62669800396316,174.58529566526727,30.404497398165063,30.0,291,207,40.481438,20.219307,63.51999049058755,14.043029853032373
site2,A,approximate_opening_center,105.02734627503057,184.6280840891504,22.5559654522888,-25.0,207,221,32.571728,-11.327286,108.2651300037941,16.94870518765166
site2,B,approximate_opening_center,289.722474048061,289.25562609764887,83.58549999439518,10.03954344312519,302,239,65.71205,22.254812,51.733602213331544,21.648856797039404
site2,C,approximate_opening_center,352.8761287148142,165.75021757678516,28.049652843264916,30.0,309,187,31.607765,29.632544,48.75108126014141,3.577035928229125
site2,E,approximate_opening_center,271.5259967211195,99.29694096675671,10.703059033243294,15.922544439109844,252,195,23.416622,6.3758726,97.67466435198854,15.898856138519543
site7,B,realized_probe_location,316.2690797002317,328.5588920543814,81.88165441551314,7.4001978474318975,277,273,83.03115,11.188805,68.03566055248933,3.959151961625743
site7,C,realized_probe_location,347.2616844739793,155.7564799995335,22.671564941294086,30.0,304,173,22.23037,28.77366,46.571582811115945,1.3032892126552313
site8,A,approximate_opening_center,351.2561478088235,120.31718047285439,15.0,25.24615960843183,160,200,16.852503,-28.646608,207.19137482643,53.924597057942385
site8,B,approximate_opening_center,140.53833552051574,168.15024454747646,6.000036764332063,-21.137466400330066,222,274,75.73222,-9.0139675,133.56711237848597,70.77822125766563
site8,C,approximate_opening_center,178.9983543133542,312.6806454815013,63.46513580164179,-1.256677229942994,274,189,24.901155,15.167509,155.95581024729984,41.915802611726825
site9,A,realized_probe_location,113.86518995425466,199.0382309137926,25.003681365169477,-25.0,183,218,29.662632,-20.427328,71.68800908757295,6.528028051209011
site9,B,realized_probe_location,265.44362493282955,315.12707292475886,90.0,3.899619936734279,259,259,70.19736,5.4107776,56.49573981616828,19.86021521667997
site9,C,realized_probe_location,340.8114208864361,237.57728299481315,60.817277198660975,24.014007686493855,304,228,58.782623,24.038662,38.03689074097779,2.034803563812288
site9,E,realized_probe_location,240.06762110500014,129.64426983048207,1.8446523321869102,5.895807491906939,252,175,12.596503,8.175959,46.899082350339825,10.990968277763876
