stimulus_presentation_id,stimulus_block,start_time,stop_time,phase,stimulus_name,size,spatial_frequency,color,y_position,orientation,x_position,temporal_frequency,frame,contrast,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
27,0.0,91.10308,91.35328,"[3644.93333333, 3644.93333333]",gabors,"[20.0, 20.0]",0.08,null,0.0,0.0,-40.0,4.0,null,0.8,0.25020012,26,,,0,,False,0,train,0
28,0.0,91.35328,91.60348,"[3644.93333333, 3644.93333333]",gabors,"[20.0, 20.0]",0.08,null,-10.0,90.0,30.0,4.0,null,0.8,0.25020012,27,,,0,,False,0,train,2
29,0.0,91.60348,91.853703,"[3644.93333333, 3644.93333333]",gabors,"[20.0, 20.0]",0.08,null,-40.0,45.0,40.0,4.0,null,0.8,0.25022238,23,,,0,,False,1,train,1
30,0.0,91.853703,92.103925,"[3644.93333333, 3644.93333333]",gabors,"[20.0, 20.0]",0.08,null,40.0,45.0,40.0,4.0,null,0.8,0.25022238,28,,,0,,False,0,train,1
31,0.0,92.103925,92.354148,"[3644.93333333, 3644.93333333]",gabors,"[20.0, 20.0]",0.08,null,20.0,0.0,-30.0,4.0,null,0.8,0.25022238,29,,,0,,False,0,train,0
32,0.0,92.354148,92.60437,"[3644.93333333, 3644.93333333]",gabors,"[20.0, 20.0]",0.08,null,30.0,90.0,-10.0,4.0,null,0.8,0.25022238,30,,,0,,False,0,train,2
33,0.0,92.60437,92.854565,"[3644.93333333, 3644.93333333]",gabors,"[20.0, 20.0]",0.08,null,-20.0,0.0,-10.0,4.0,null,0.8,0.25019512,31,,,0,,False,0,train,0
34,0.0,92.854565,93.10476,"[3644.93333333, 3644.93333333]",gabors,"[20.0, 20.0]",0.08,null,0.0,90.0,0.0,4.0,null,0.8,0.25019512,9,,,0,,False,1,train,2
35,0.0,93.10476,93.354955,"[3644.93333333, 3644.93333333]",gabors,"[20.0, 20.0]",0.08,null,-30.0,45.0,-30.0,4.0,null,0.8,0.25019512,32,,,0,,False,0,train,1
36,0.0,93.354955,93.60515,"[3644.93333333, 3644.93333333]",gabors,"[20.0, 20.0]",0.08,null,10.0,0.0,-10.0,4.0,null,0.8,0.25019512,17,,,0,,False,1,train,0
