unit_id,time_to_first_spike
9000000,0.1035
9000001,0.096
9000002,0.117
9000003,0.1095
9000004,0.112
9000005,0.1095
9000006,0.108
9000007,0.1115
9000008,0.117
9000009,0.103
9000010,0.114
9000011,0.11
9000012,0.1105
9000013,0.115
9000014,0.1075
9000015,0.114
9000016,0.101
9000017,0.0955
9000018,0.12
9000019,0.101
9000020,0.098
9000021,0.092
9000022,0.099
9000023,0.105
9000024,0.0755
9000025,0.113
9000026,0.101
9000027,0.062
9000028,0.108
9000029,0.1095
9000030,0.101
9000031,0.0545
9000032,0.113
9000033,0.0915
9000034,0.16
9000035,0.096
9000036,0.1055
9000037,0.122
9000038,0.046
9000039,
9000040,0.07
9000041,0.14
9000042,0.098
9000043,0.154
9000044,0.138
9000045,0.115
9000046,0.1475
9000047,0.097
9000048,0.112
9000049,0.112
9000050,0.0785
9000051,0.117
9000052,0.107
9000053,0.11
9000054,0.1475
9000055,0.0785
9000056,0.09
9000057,0.1
9000058,
9000059,0.07
9000060,0.176
9000061,
9000062,0.07
9000063,0.146
9000064,0.091
9000065,0.056
9000066,0.0605
9000067,0.0865
9000068,0.092
9000069,0.131
9000070,0.117
9000071,0.098
9000072,0.0885
9000073,0.082
9000074,0.045
9000075,0.105
9000076,0.118
9000077,0.086
9000078,0.089
9000079,0.11
9000080,0.094
9000081,0.1165
9000082,0.0915
9000083,0.109
9000084,0.102
9000085,0.116
9000086,0.082
9000087,0.113
9000088,0.0905
9000089,0.137
9000090,0.075
9000091,0.11
9000092,0.098
9000093,0.077
9000094,0.116
9000095,0.085
9000096,0.122
9000097,0.105
9000098,0.11
9000099,0.127
9000100,0.1385
9000101,0.1
9000102,0.113
9000103,0.1015
9000104,0.13
9000105,0.088
9000106,0.072
9000107,0.09
9000108,0.083
9000109,0.139
9000110,0.081
9000111,0.115
9000112,0.0915
9000113,0.1165
9000114,0.0965
9000115,0.102
9000116,0.093
9000117,0.1175
9000118,0.082
9000119,0.103
9000120,0.057
9000121,0.115
9000122,0.116
9000123,0.1035
9000124,0.1005
9000125,0.0955
9000126,0.106
9000127,0.092
9000128,0.105
9000129,0.112
9000130,0.106
9000131,0.092
9000132,0.068
9000133,0.137
9000134,0.105
9000135,0.088
9000136,0.115
9000137,0.077
9000138,0.103
9000139,0.063
9000140,0.101
9000141,0.054
9000142,0.1
9000143,0.1075
9000144,0.1055
9000145,0.1
9000146,0.072
9000147,0.062
9000148,0.078
9000149,0.106
9000150,0.09
9000151,0.087
9000152,0.114
9000153,0.0925
9000154,0.094
9000155,0.097
9000156,0.101
9000157,0.095
9000158,0.09
9000159,0.108
9000160,0.091
9000161,0.103
9000162,0.0705
9000163,0.074
9000164,0.108
9000165,0.103
9000166,0.1
9000167,0.08
9000168,0.092
9000169,0.115
9000170,0.089
9000171,0.089
9000172,0.0975
9000173,0.106
9000174,0.089
9000175,0.097
9000176,0.0975
9000177,0.079
9000178,0.094
9000179,0.0895
9000180,0.064
9000181,0.107
9000182,0.076
9000183,0.082
9000184,0.144
9000185,0.098
9000186,0.0965
9000187,0.0845
9000188,0.124
9000189,0.0875
9000190,0.112
9000191,0.084
9000192,0.079
9000193,0.078
9000194,0.129
9000195,
9000196,0.1185
9000197,0.074
9000198,0.111
9000199,0.093
9000200,0.152
9000201,0.108
9000202,0.102
9000203,0.067
9000204,0.108
9000205,0.1075
9000206,0.088
9000207,0.0865
9000208,0.126
9000209,0.098
9000210,0.1275
9000211,0.11
9000212,0.0935
9000213,0.0915
9000214,0.0715
9000215,0.098
9000216,0.1135
9000217,0.0435
9000218,0.1
9000219,0.1165
9000220,0.105
9000221,0.067
9000222,0.134
9000223,0.07
9000224,0.094
9000225,0.097
9000226,0.107
9000227,0.095
9000228,0.0955
9000229,0.074
9000230,0.068
9000231,0.082
9000232,0.0885
9000233,0.0675
9000234,0.11
9000235,0.113
9000236,0.052
9000237,0.12
9000238,0.101
9000239,0.096
9000240,0.111
9000241,0.128
9000242,0.0815
9000243,0.085
9000244,0.089
9000245,0.133
9000246,0.0625
9000247,0.15
9000248,0.091
9000249,0.131
9000250,0.104
9000251,0.073
9000252,0.1025
9000253,0.058
9000254,0.0685
9000255,0.097
9000256,0.1025
9000257,0.093
9000258,0.096
9000259,0.044
9000260,0.101
9000261,0.119
9000262,0.1
9000263,0.106
9000264,0.05
9000265,0.113
9000266,0.075
9000267,0.0745
9000268,0.1225
9000269,0.063
9000270,0.094
9000271,0.043
9000272,0.12
9000273,0.096
9000274,0.1
9000275,0.1135
9000276,0.057
9000277,0.1065
9000278,0.108
9000279,0.112
9000280,0.055
9000281,0.09
9000282,0.102
9000283,0.0605
9000284,0.092
9000285,0.081
9000286,0.116
9000287,0.102
9000288,0.126
9000289,0.0445
9000290,0.098
9000291,0.119
9000292,0.075
9000293,0.056
9000294,0.053
9000295,0.071
9000296,0.078
9000297,0.056
9000298,0.096
9000299,0.109
9000300,0.075
9000301,0.072
9000302,0.118
9000303,0.059
9000304,0.0955
9000305,0.089
9000306,0.159
9000307,0.0385
9000308,0.16
9000309,0.096
9000310,0.1165
9000311,0.058
9000312,0.093
9000313,0.0715
9000314,
9000315,0.05
9000316,0.062
9000317,0.0725
9000318,
9000319,0.054
9000320,0.077
9000321,0.074
9000322,0.08
9000323,0.158
9000324,0.077
9000325,0.07
9000326,0.0445
9000327,0.0765
9000328,0.065
9000329,0.148
9000330,0.05
9000331,0.068
9000332,0.076
9000333,0.055
9000334,0.05
9000335,0.085
9000336,0.1075
9000337,0.055
9000338,0.043
9000339,0.072
9000340,0.0965
9000341,0.046
9000342,0.1
9000343,0.057
9000344,0.0675
9000345,0.057
9000346,0.082
9000347,0.058
9000348,0.0755
9000349,0.052
9000350,0.055
9000351,0.0615
9000352,0.05
9000353,0.108
9000354,0.058
9000355,0.058
9000356,0.0675
9000357,0.043
9000358,0.044
9000359,0.059
9000360,0.0575
