unit_id,autocorr_tau,err_ac,spike_count_ac
9000000,999.9999999999999,2286.1734586334724,371.0
9000001,160.10441961855662,123.19065687594393,100.0
9000002,999.9999999999301,2284.867758047413,190.0
9000003,89.4989401914473,61.43684964244999,151.0
9000004,999.9999999999999,6959.709305321651,127.0
9000005,165.18599660367255,201.99995571296222,186.0
9000006,310.32758262652385,395.65677870374356,234.0
9000007,999.9999999957845,6815.630962949015,123.0
9000008,12.063485661722838,4.47088366502031,81.0
9000009,999.999999999996,3785.3300275962747,165.0
9000010,999.9999999998524,5365.519368272889,195.0
9000011,999.9999999999999,6619.246459203578,112.0
9000012,999.9999999998756,4434.852871717505,160.0
9000013,999.9982790972928,3025.510981677247,113.0
9000014,999.9999999999999,3577.614424038246,196.0
9000015,999.9999999999998,3602.153939008304,166.0
9000016,220.02844963705036,165.93098773905487,167.0
9000017,280.7025504622713,204.08886735431162,243.0
9000018,999.999578510594,2158.8023346828218,219.0
9000019,194.32984515681312,93.41165016630644,275.0
9000020,426.2751715075467,576.294142570126,340.0
9000021,423.51030805157467,288.30381265070764,403.0
9000022,999.9999999999995,2227.7595979529724,482.0
9000023,999.9999999999999,1721.8968477356045,489.0
9000024,999.9999999999995,1735.4335520321224,612.0
9000025,999.9980607039626,11453.580981008288,93.0
9000026,999.9999999999999,1834.805101768636,370.0
9000027,4.823993852238271,6.380795547268199,1.0
9000028,999.9999999999999,1893.5853342916796,431.0
9000029,999.9999999999367,6332.67333332701,102.0
9000030,999.9999999999948,5812.932377212304,198.0
9000031,999.9999999999999,526.9595285714696,2566.0
9000032,49.35607031314041,15.51350522076993,108.0
9000033,672.7702486313267,852.6494134547398,414.0
9000034,999.9999402607262,34867.62796706029,5.0
9000035,999.9999999999999,1445.2351768577728,516.0
9000036,196.49648462892733,233.61557604235293,94.0
9000037,999.9999999999999,7301.745153344711,78.0
9000038,999.9999999999999,385.7746229469491,3538.0
9000039,4.823993861871321,6.380795548758156,0.0
9000040,999.9092184159028,34713.87522258583,7.0
9000041,29.84438891052737,0.0,11.0
9000042,999.9999999999999,1797.9820309572542,456.0
9000043,999.6010930681986,0.0,4.0
9000044,999.9999999998226,65829.70829968303,12.0
9000045,134.37565223595885,167.13770009920609,14.0
9000046,30.370030728620506,20.94431461397907,32.0
9000047,999.999999999963,1788.3264763863954,472.0
9000048,11.3469331669761,114.63329879277842,9.0
9000049,1.0000000012810772,2303.498792885651,7.0
9000050,1.0000001027582381,2002.8419750007029,6.0
9000051,25.432111411430263,28.911879572037506,14.0
9000052,830.344574169683,2401.4740706485422,142.0
9000053,999.9999999999984,9787.550398558293,109.0
9000054,1.0000000000959797,24048647.590473924,12.0
9000055,999.9999999999999,1103.5116873752256,830.0
9000056,516.0459094900837,363.9422944793506,569.0
9000057,999.9999999987299,34870.31184927486,35.0
9000058,4.823993861871321,6.380795548758156,0.0
9000059,87.33334946734293,48.6914873873148,48.0
9000060,4.82399386353781,6.380795606808625,1.0
9000061,4.823993861871321,6.380795548758156,0.0
9000062,999.9999999999999,601.1584224684008,1515.0
9000063,999.9999999269581,17507.778143507338,17.0
9000064,74.00062358257355,12.775163411207963,326.0
9000065,110.4808512697298,195.1967562248641,9.0
9000066,53.81764352445153,11.457843613006057,63.0
9000067,213.37606825541283,74.7395692374281,394.0
9000068,955.4979834903744,1086.3745482316522,611.0
9000069,7.6113252819307435,11.420708420024486,18.0
9000070,999.9999999995723,19404.11175106808,29.0
9000071,440.9964864304785,420.532249086086,340.0
9000072,107.17768068658842,64.37117278473396,32.0
9000073,999.9999999998663,976.1961324016013,601.0
9000074,999.9999999999999,391.1413871195795,3486.0
9000075,999.9999999999999,3639.8120520177063,241.0
9000076,206.80588297071375,166.65006547627627,177.0
9000077,999.9999999997332,1099.1429719722423,592.0
9000078,999.9999995489978,2986.5548795533273,383.0
9000079,999.999906903722,1769.8902058987014,409.0
9000080,22.008145731020154,11.432013671074127,59.0
9000081,999.9999999999994,9142.339502024503,109.0
9000082,279.23145588895903,101.24052982571322,535.0
9000083,999.999999999998,3688.559505791282,313.0
9000084,999.9999999999999,1945.555342991502,423.0
9000085,999.9996425492525,7041.5815460398,128.0
9000086,542.3779955404809,322.8950091082924,478.0
9000087,68.04647841970716,24.88903971474347,101.0
9000088,999.9999999998729,17970.500592759345,43.0
9000089,999.9999999988789,30926.573933943502,39.0
9000090,999.9999999999999,1004.0662998557549,1101.0
9000091,999.9999999999999,2585.7817626879146,376.0
9000092,999.9999797701728,1899.546582335379,512.0
9000093,999.9999999999995,1450.9791924376482,749.0
9000094,999.9999999999936,7678.350995170059,76.0
9000095,999.9999999999998,1534.1681289121332,566.0
9000096,999.9999993472335,6356.910676450331,120.0
9000097,999.9999999848502,10508.34550710006,40.0
9000098,999.9971638397649,9980.308358760714,79.0
9000099,999.9999999991102,115695.43519711378,10.0
9000100,15.500864071925681,16.81815056156539,17.0
9000101,44.4993400341449,18.90782473046821,92.0
9000102,999.9999998544677,9373.478329730013,76.0
9000103,999.9999999999999,2578.0639920175213,503.0
9000104,21.591132792450612,9.98785081783599,96.0
9000105,999.9999999999999,2359.2815830660807,592.0
9000106,999.9999999999999,1269.6238293658146,1207.0
9000107,1.0000705465171482,240054.75400196962,3.0
9000108,16.678678517893374,427.0976403433783,12.0
9000109,999.9998489595862,7802.603906936143,44.0
9000110,12.451602062902728,5.602719534702524,33.0
9000111,998.5454676723818,35961.310392538195,5.0
9000112,363.97275031992007,157.27589320005825,370.0
9000113,999.9999999999999,3707.6055895122054,405.0
9000114,999.9999999999999,3263.9730304186683,476.0
9000115,91.9253603080259,32.9567914532766,242.0
9000116,999.9999999999999,2715.0870511975045,309.0
9000117,999.9999999999999,4411.15568691816,135.0
9000118,999.9999999999999,1224.6376507419163,998.0
9000119,370.63269036449435,403.29033190128257,223.0
9000120,30.03497310428412,33.75788750928073,9.0
9000121,999.9999999995157,29500.642634409916,27.0
9000122,634.6310372952325,1478.2875753854685,230.0
9000123,999.9999999999884,38652.61630966753,31.0
9000124,999.9999999999997,6642.10394408257,63.0
9000125,402.4504992398033,878.5749602118824,84.0
9000126,999.9999999943544,165654.26597908302,34.0
9000127,128.67800051269919,34.942425114677974,230.0
9000128,999.9999999999637,2096.965776071228,259.0
9000129,999.9999999999999,8441.219764522311,151.0
9000130,999.9999999999977,92212.4179252195,34.0
9000131,999.9999999999999,1554.6997503745447,787.0
9000132,999.9999999999999,1421.0402835218767,1162.0
9000133,999.9999999973335,34459.93531219032,24.0
9000134,999.9999999999943,3120.44828971104,267.0
9000135,999.9999999999823,9230.82771889355,10.0
9000136,999.9985042520078,11206.262199206918,73.0
9000137,200.3866333018063,29.053811722599583,774.0
9000138,999.9999999999999,1842.6985652048352,543.0
9000139,999.9999999999999,803.90840252118,1453.0
9000140,316.90175127968024,253.59729522809297,238.0
9000141,999.9999999999999,636.1644647353655,2443.0
9000142,95.97707073576433,33.83382801834259,238.0
9000143,359.79941967076695,465.0979926943252,188.0
9000144,999.9999999999999,2961.2912651976767,335.0
9000145,999.9999999999999,3003.0649694434396,329.0
9000146,999.9999999999947,545.000951272762,1270.0
9000147,999.9999999999999,669.2932057828201,1277.0
9000148,999.9999999999999,1196.9018734031454,1436.0
9000149,999.9999999999995,1172.3674539031342,611.0
9000150,330.68650458366886,175.19617859751025,743.0
9000151,251.22858982337698,78.29210342642318,845.0
9000152,74.99522417787435,42.833254963330134,115.0
9000153,999.9999999999999,1706.0759033161626,630.0
9000154,999.9999999999999,1587.4674741959132,521.0
9000155,332.07730225415975,187.3902267864143,553.0
9000156,999.9999999999999,2317.846631024997,474.0
9000157,999.9999999999999,1032.255683933856,537.0
9000158,220.93930797584565,124.3648762479946,489.0
9000159,999.9999999999999,2483.2559376628337,307.0
9000160,999.9999924057998,1364.9186647788508,703.0
9000161,834.3871703980026,1206.21769518985,349.0
9000162,999.9999999999999,1188.9595819937977,1311.0
9000163,999.9999999999993,1013.6704534233713,1079.0
9000164,999.9999018564409,2642.7792890533706,300.0
9000165,207.76308952266487,104.05347581849122,204.0
9000166,999.9999999999999,4011.4778771704923,227.0
9000167,999.9999999999999,1093.2468973740094,1110.0
9000168,457.97462284485727,1197.5391244387167,88.0
9000169,999.9999994592944,4892.1834338032195,161.0
9000170,999.9999999999218,3736.581489170511,171.0
9000171,999.9999999999999,1467.1114455765944,572.0
9000172,534.0014840444263,930.6520668476256,183.0
9000173,496.48493581358775,478.6796525049026,346.0
9000174,999.9999999999991,2007.894581198336,693.0
9000175,1.00007097495502,240054.8671025796,3.0
9000176,397.8416880879483,152.11249915791254,341.0
9000177,603.6160810627908,455.89646048504926,621.0
9000178,999.9999999999995,1902.8864952006902,550.0
9000179,133.648048287167,68.93851983559635,159.0
9000180,41.67620562162399,78.79115303851208,9.0
9000181,999.9999999999999,3814.4176639966713,117.0
9000182,999.9999999999998,1113.713751334825,721.0
9000183,999.9998635689893,31445.684348725797,24.0
9000184,999.9917932976754,14677.045339721308,19.0
9000185,999.9999999999999,2061.29715085355,446.0
9000186,999.9991791182192,20065.014912419996,25.0
9000187,1.0000000065436425,5759.29756305027,9.0
9000188,999.9999999920545,16415.5298036895,39.0
9000189,999.9999999999999,1689.6600432473067,500.0
9000190,732.1248177505839,4602.452112483595,121.0
9000191,999.9999999999999,1396.2006000049334,534.0
9000192,999.9999999999999,1048.8129476209888,837.0
9000193,999.9999999999999,1240.2242499391327,1120.0
9000194,999.9999999999999,4485.721433853285,166.0
9000195,4.823993861871321,6.380795548758156,0.0
9000196,999.9999999999999,3492.992569315923,338.0
9000197,8.896538738675046,23.91152403073703,8.0
9000198,1.0000909337768509,240077.49110902776,3.0
9000199,59.83699237444128,39.446780964726024,41.0
9000200,999.9999999999933,21254.223226332597,48.0
9000201,999.99999999996,3059.587838851222,213.0
9000202,999.9999999999999,1221.2065226310413,618.0
9000203,999.9999999999999,930.0424930945736,1164.0
9000204,67.37039621415218,67.28734897549494,26.0
9000205,999.999977865645,2728.6302930110032,201.0
9000206,999.9999999999982,6191.089843187634,47.0
9000207,999.9999999999999,1988.1614285222129,376.0
9000208,999.9999999999999,4822.512332243165,146.0
9000209,999.9999999999999,3083.440136325419,324.0
9000210,999.9999999999982,35684.28504638753,35.0
9000211,999.9999999999999,2449.2236681953955,233.0
9000212,361.79197705779455,227.49938232259325,296.0
9000213,999.9999974173043,2176.1235783141638,452.0
9000214,999.9999999999999,758.3242244215838,999.0
9000215,374.8937481209512,1275.7974821155942,71.0
9000216,113.69398153432721,107.3176614509859,71.0
9000217,30.84692477732553,184.4518199349048,7.0
9000218,999.9999999999787,3782.6837085412376,115.0
9000219,1.0000705906517997,240054.7618230201,3.0
9000220,999.9999999999014,25926.882152796887,34.0
9000221,4.823993858816768,6.3807954895259815,3.0
9000222,1.000000047982624,1514.0071202135266,7.0
9000223,3.0370086908710525,8.986995471740082,24.0
9000224,64.34473430165289,55.31276661365423,50.0
9000225,102.53799239832145,48.794135475987865,99.0
9000226,999.9999996291803,5793.465790376197,75.0
9000227,999.9999999999999,1669.8893606191266,305.0
9000228,999.9999999998323,2555.015665955719,313.0
9000229,999.9999999999999,697.5510189193259,992.0
9000230,999.9999999999999,1236.6466986884907,1327.0
