unit_id,direction,rows_or_columns_removed,remaining_rows,remaining_columns,crop_x_min_px,crop_x_max_px,crop_y_min_px,crop_y_max_px,allen_success,allen_center_x_px,allen_center_y_px,allen_width_sigma_deg,allen_height_sigma_deg,allen_major_sigma_deg,baseline_success,baseline_at_bound,baseline_spike_count,baseline_center_x_px,baseline_center_y_px,baseline_width_sigma_deg,baseline_height_sigma_deg,baseline_major_sigma_deg,baseline_rmse_per_pixel,threshold_center_x_px,threshold_center_y_px,threshold_area_pixels,threshold_area_deg2,threshold_component_touches_crop_edge,allen_center_error_deg,allen_major_sigma_ratio,baseline_center_error_deg,baseline_major_sigma_ratio,threshold_center_error_deg,threshold_area_ratio
951867908,top,0,9,9,0,8,0,8,True,3.9846423,3.6169462,8.7293125,10.858633,10.858633,True,False,9.7729789,4.0011117,3.5963056,9.5147283,7.5613568,9.5147283,4.748213,3.6667,3.6667,3,300,False,0,1,0,1,0,1
951867908,top,1,8,9,0,8,1,8,True,3.9846608,3.6169819,8.724861,10.858236,10.858236,True,False,9.5851186,4.0008386,3.5967805,9.5354419,7.5816939,9.5354419,4.919113,3.6667,3.6667,3,300,False,0.00040153738,0.99996345,0.0054778712,1.002177,0,1
951867908,top,2,7,9,0,8,2,8,True,3.9850234,3.6187341,8.6143092,10.841856,10.841856,True,False,9.3794391,4.0005345,3.5973092,9.5580128,7.59516,9.5580128,5.1567589,4,3.75,4,400,False,0.018280543,0.99845499,0.011577517,1.0045492,3.4355171,1.3333333
951867908,top,3,6,9,0,8,3,8,True,-5.2860278,12.682645,0.3314463,11.906753,11.906753,True,False,9.5667341,3.9953565,3.5677358,9.4984385,8.3585167,9.4984385,4.7901532,4,3.25,4,400,True,129.66581,1.0965241,0.29143738,0.99828794,5.3359889,1.3333333
951867908,top,4,5,9,0,8,4,8,False,3.9750672,-23.299366,52.667352,11.292017,52.667352,True,True,9.7879121,4.009014,4,9.8677702,6.0852033,9.8677702,4.848573,3.5,4,2,200,True,269.16313,4.8502747,4.037717,1.0371048,3.7266309,0.66666667
951867908,bottom,0,9,9,0,8,0,8,True,3.9846423,3.6169462,8.7293125,10.858633,10.858633,True,False,9.7729789,4.0011117,3.5963056,9.5147283,7.5613568,9.5147283,4.748213,3.6667,3.6667,3,300,False,0,1,0,1,0,1
951867908,bottom,1,8,9,0,8,0,7,True,3.9846432,3.6169425,8.729183,10.858614,10.858614,True,False,9.2845483,4.0003979,3.5975342,9.5689025,7.6145225,9.5689025,4.813346,3.6667,3.6667,3,300,False,3.7985587e-05,0.99999827,0.014208217,1.0056937,0,1
951867908,bottom,2,7,9,0,8,0,6,True,3.9847232,3.6165579,8.7173477,10.857358,10.857358,True,False,9.1394703,4.0001875,3.5978805,9.5852037,7.6299851,9.5852037,4.9836028,4,3.75,4,400,False,0.0039670594,0.99988261,0.018259946,1.007407,3.4355171,1.3333333
951867908,bottom,3,6,9,0,8,0,5,True,3.9860789,3.6094308,8.5450291,10.834761,10.834761,True,False,8.9670405,4.0001567,3.5974986,9.6059258,7.6308338,9.6059258,5.2287569,4,4,5,500,True,0.076515287,0.9978016,0.015281581,1.0095849,4.7135738,1.6666667
951867908,bottom,4,5,9,0,8,0,4,True,4.0017303,3.5555868,7.5870488,10.741158,10.741158,True,False,9.7620154,4.0105669,3.5339681,9.5416822,5.8709211,9.5416822,4.0829743,4,4,3,300,True,0.63694397,0.98918146,0.63050576,1.0028329,4.7135738,1
951867908,left,0,9,9,0,8,0,8,True,3.9846423,3.6169462,8.7293125,10.858633,10.858633,True,False,9.7729789,4.0011117,3.5963056,9.5147283,7.5613568,9.5147283,4.748213,3.6667,3.6667,3,300,False,0,1,0,1,0,1
951867908,left,1,9,8,1,8,0,8,True,3.9850682,3.6169177,8.7281541,10.84482,10.84482,True,False,9.8847112,4.0012551,3.596022,9.5030411,7.5492283,9.5030411,4.9504193,3.6667,3.6667,3,300,False,0.004268627,0.99872793,0.0031780342,0.99877167,0,1
951867908,left,2,9,7,2,8,0,8,True,3.9916177,3.6162505,8.7074893,10.676257,10.676257,True,False,9.6946182,4.001311,3.5963983,9.5161068,7.5689984,9.5161068,5.1434808,4,3.75,4,400,False,0.07010052,0.98320452,0.0021984706,1.0001449,3.4355171,1.3333333
951867908,left,3,9,6,3,8,0,8,True,4.023532,3.6145025,8.6461688,10.10826,10.10826,True,False,9.48555,4.0186516,3.5960679,9.24551,7.6033958,9.24551,5.1680705,3.8,3.6,5,500,True,0.3896638,0.93089619,0.17541568,0.97170511,1.490563,1.6666667
951867908,left,4,9,5,4,8,0,8,True,13.563677,-7.2997773,4.7981275,3.1417377,4.7981275,True,False,9.3540066,4.1611285,3.5825042,8.0340196,7.4452868,8.0340196,4.8285728,4,3.5,2,200,True,145.23524,0.44187216,1.6061091,0.8443772,3.7266309,0.66666667
951867908,right,0,9,9,0,8,0,8,True,3.9846423,3.6169462,8.7293125,10.858633,10.858633,True,False,9.7729789,4.0011117,3.5963056,9.5147283,7.5613568,9.5147283,4.748213,3.6667,3.6667,3,300,False,0,1,0,1,0,1
951867908,right,1,9,8,0,7,0,8,True,3.9845139,3.6169472,8.7284483,10.849728,10.849728,True,False,9.8656795,4.0012642,3.5960729,9.505618,7.5512622,9.505618,4.9032593,3.6667,3.6667,3,300,False,0.0012843347,0.99917997,0.0027828809,0.99904251,0,1
951867908,right,2,9,7,0,6,0,8,True,3.9827112,3.6168898,8.7206706,10.772234,10.772234,True,False,10.28779,4.0024961,3.5950658,9.4830966,7.5065453,9.4830966,5.0153045,4,3.75,4,400,False,0.01931943,0.99204329,0.018584706,0.9966755,3.4355171,1.3333333
951867908,right,3,9,6,0,5,0,8,True,3.9963207,3.6207497,8.6562415,11.053091,11.053091,True,False,10.563415,4.0175524,3.5975274,9.7479916,7.4795154,9.7479916,5.0462838,4.2,3.6,5,500,True,0.12282153,1.0179082,0.16486097,1.024516,5.3745491,1.6666667
951867908,right,4,9,5,0,4,0,8,True,5.7018334,3.6169177,8.9584433,19.910924,19.910924,True,True,10.695316,4,3.5888634,9.6526286,7.7401159,9.6526286,5.023024,4,3.5,2,200,True,17.171911,1.8336493,0.075247641,1.0144934,3.7266309,0.66666667
