stimulus_presentation_id,stimulus_block,start_time,stop_time,coherence,Speed,y_position,x_position,orientation,Dir,size,spatial_frequency,contrast,frame,stimulus_name,color,temporal_frequency,phase,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
1727,0.0,500.84262,501.09283,null,null,-30.0,40.0,45.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25021413,91,,,0,,False,8,test,1
1728,0.0,501.09283,501.34305,null,null,-30.0,30.0,45.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25021413,135,,,0,,False,6,train,1
1729,0.0,501.34305,501.59325,null,null,-30.0,-40.0,0.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25020337,217,,,0,,False,6,train,0
1730,0.0,501.59325,501.84345,null,null,20.0,-10.0,0.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25020337,114,,,0,,False,5,test,0
1731,0.0,501.84345,502.09366,null,null,-10.0,20.0,45.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25020337,94,,,0,,False,8,test,1
1732,0.0,502.09366,502.34386,null,null,40.0,-20.0,0.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25020337,101,,,0,,False,7,train,0
1733,0.0,502.34386,502.59408,null,null,20.0,-20.0,90.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25021663,242,,,0,,False,4,train,2
1734,0.0,502.59408,502.84429,null,null,40.0,20.0,45.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25021663,154,,,0,,False,5,test,1
1735,0.0,502.84429,503.09451,null,null,-30.0,-40.0,0.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25021663,217,,,0,,False,7,train,0
1736,0.0,503.09451,503.34473,null,null,-10.0,-30.0,90.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25021663,209,,,0,,False,7,train,2
1737,0.0,503.34473,503.59493,null,null,-10.0,0.0,45.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25020337,207,,,0,,False,6,train,1
1738,0.0,503.59493,503.84513,null,null,-40.0,10.0,90.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25020337,183,,,0,,False,8,test,2
1739,0.0,503.84513,504.09534,null,null,-40.0,-20.0,90.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25020337,98,,,0,,False,7,train,2
1740,0.0,504.09534,504.34554,null,null,30.0,0.0,45.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25020337,15,,,0,,False,8,test,1
1741,0.0,504.34554,504.59576,null,null,10.0,40.0,45.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25021413,158,,,0,,False,8,test,1
1742,0.0,504.59576,504.84597,null,null,-10.0,-10.0,0.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25021413,171,,,0,,False,7,train,0
1743,0.0,504.84597,505.09618,null,null,30.0,30.0,90.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25021413,81,,,0,,False,8,test,2
1744,0.0,505.09618,505.3464,null,null,40.0,0.0,45.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25021413,49,,,0,,False,7,train,1
1745,0.0,505.3464,505.5966,null,null,-20.0,-30.0,0.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25020337,60,,,0,,False,8,test,0
1746,0.0,505.5966,505.8468,null,null,-30.0,0.0,45.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25020337,210,,,0,,False,7,train,1
1747,0.0,505.8468,506.09701,null,null,10.0,40.0,90.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25020337,35,,,0,,False,9,train,2
1748,0.0,506.09701,506.34721,null,null,-20.0,30.0,90.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25020337,228,,,0,,False,8,test,2
1749,0.0,506.34721,506.59741,null,null,-40.0,-20.0,90.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25020163,98,,,0,,False,8,test,2
1750,0.0,506.59741,506.84761,null,null,10.0,-40.0,90.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25020163,92,,,0,,False,9,train,2
1751,0.0,506.84761,507.09782,null,null,-40.0,20.0,90.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25020163,95,,,0,,False,7,train,2
1752,0.0,507.09782,507.34802,null,null,20.0,-40.0,0.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25020163,55,,,0,,False,6,train,0
1753,0.0,507.34802,507.59824,null,null,40.0,-10.0,90.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25021837,56,,,0,,False,8,test,2
1754,0.0,507.59824,507.84845,null,null,30.0,-20.0,90.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25021837,218,,,0,,False,8,test,2
1755,0.0,507.84845,508.09867,null,null,0.0,-10.0,45.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25021837,68,,,0,,False,10,train,1
1756,0.0,508.09867,508.34889,null,null,40.0,20.0,90.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25021837,181,,,0,,False,8,test,2
1757,0.0,508.34889,508.59911,null,null,-20.0,30.0,45.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25021913,11,,,0,,False,10,train,1
1758,0.0,508.59911,508.84933,null,null,10.0,-10.0,0.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25021913,50,,,0,,False,6,train,0
1759,0.0,508.84933,509.09955,null,null,10.0,-30.0,90.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25021913,16,,,0,,False,7,train,2
1760,0.0,509.09955,509.34977,null,null,-20.0,-10.0,45.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25021913,233,,,0,,False,8,test,1
1761,0.0,509.34977,509.59996,null,null,-30.0,-10.0,45.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25019587,25,,,0,,False,7,train,1
1762,0.0,509.59996,509.85016,null,null,-20.0,40.0,90.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25019587,65,,,0,,False,11,test,2
1763,0.0,509.85016,510.10036,null,null,20.0,30.0,0.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25019587,232,,,0,,False,10,train,0
1764,0.0,510.10036,510.35055,null,null,-10.0,30.0,90.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25019587,3,,,0,,False,7,train,2
1765,0.0,510.35055,510.60077,null,null,20.0,-10.0,90.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25021913,172,,,0,,False,9,train,2
