ecephys_session_id,group,feature,source_units,supported_grid_fraction
715093703,V1,area_rf,93,0.286734
715093703,HVA pooled,area_rf,311,0.881023
719161530,V1,area_rf,82,0.212374
719161530,HVA pooled,area_rf,179,0.748959
721123822,V1,area_rf,58,0.227841
721123822,HVA pooled,area_rf,286,0.971446
732592105,V1,area_rf,154,0.359905
732592105,HVA pooled,area_rf,296,0.963712
737581020,V1,area_rf,85,0.256395
737581020,HVA pooled,area_rf,128,0.383105
739448407,V1,area_rf,40,0.206425
739448407,HVA pooled,area_rf,183,0.806663
742951821,V1,area_rf,81,0.229625
742951821,HVA pooled,area_rf,245,0.92088
744228101,V1,area_rf,56,0.221297
744228101,HVA pooled,area_rf,130,0.569304
746083955,V1,area_rf,45,0.20345
746083955,HVA pooled,area_rf,273,0.939322
750332458,V1,area_rf,103,0.308745
750332458,HVA pooled,area_rf,299,0.702558
750749662,V1,area_rf,92,0.259964
750749662,HVA pooled,area_rf,240,0.800714
751348571,V1,area_rf,74,0.269482
751348571,HVA pooled,area_rf,284,0.883998
754312389,V1,area_rf,144,0.331945
754312389,HVA pooled,area_rf,214,0.829863
754829445,V1,area_rf,141,0.475312
754829445,HVA pooled,area_rf,119,0.46163
755434585,V1,area_rf,141,0.311124
755434585,HVA pooled,area_rf,336,0.989292
756029989,V1,area_rf,90,0.273647
756029989,HVA pooled,area_rf,333,0.95003
757216464,V1,area_rf,149,0.358715
757216464,HVA pooled,area_rf,289,0.876264
757970808,V1,area_rf,148,0.318263
757970808,HVA pooled,area_rf,235,0.886377
758798717,V1,area_rf,83,0.264723
758798717,HVA pooled,area_rf,221,0.907198
759883607,V1,area_rf,90,0.25461
759883607,HVA pooled,area_rf,218,0.760857
760345702,V1,area_rf,92,0.270672
760345702,HVA pooled,area_rf,247,0.891136
760693773,V1,area_rf,153,0.397977
760693773,HVA pooled,area_rf,378,0.960143
761418226,V1,area_rf,58,0.23141
761418226,HVA pooled,area_rf,342,0.953004
762120172,V1,area_rf,127,0.346817
762120172,HVA pooled,area_rf,187,0.690065
762602078,V1,area_rf,106,0.333135
762602078,HVA pooled,area_rf,156,0.302796
763673393,V1,area_rf,104,0.301606
763673393,HVA pooled,area_rf,189,0.724569
773418906,V1,area_rf,99,0.251636
773418906,HVA pooled,area_rf,260,0.938132
791319847,V1,area_rf,127,0.345033
791319847,HVA pooled,area_rf,256,0.928019
797828357,V1,area_rf,117,0.359905
797828357,HVA pooled,area_rf,279,0.971446
798911424,V1,area_rf,127,0.344438
798911424,HVA pooled,area_rf,384,0.995836
799864342,V1,area_rf,127,0.345628
799864342,HVA pooled,area_rf,236,0.841166
