unit_id,time_to_first_spike
6000000,0.106
6000001,0.1125
6000002,0.101
6000003,0.111
6000004,0.101
6000005,0.101
6000006,0.09
6000007,0.122
6000008,0.105
6000009,0.0985
6000010,0.091
6000011,0.0895
6000012,0.092
6000013,0.1
6000014,0.095
6000015,0.099
6000016,0.082
6000017,0.094
6000018,0.1
6000019,0.093
6000020,
6000021,0.1065
6000022,0.071
6000023,0.111
6000024,0.046
6000025,0.056
6000026,0.1115
6000027,0.083
6000028,0.125
6000029,0.106
6000030,0.0785
6000031,0.088
6000032,0.094
6000033,0.08
6000034,0.141
6000035,0.16
6000036,0.14
6000037,0.124
6000038,0.18
6000039,0.074
6000040,0.111
6000041,0.066
6000042,0.112
6000043,0.083
6000044,0.0925
6000045,0.0655
6000046,0.091
6000047,0.0835
6000048,0.074
6000049,0.067
6000050,0.09
6000051,0.1765
6000052,0.122
6000053,0.102
6000054,0.106
6000055,0.0525
6000056,0.07
6000057,0.073
6000058,0.068
6000059,0.117
6000060,0.161
6000061,0.1185
6000062,0.086
6000063,0.09
6000064,0.164
6000065,0.097
6000066,0.091
6000067,0.0975
6000068,0.062
6000069,0.1
6000070,0.082
6000071,0.146
6000072,0.1085
6000073,0.145
6000074,
6000075,0.068
6000076,0.0895
6000077,0.104
6000078,0.097
6000079,0.121
6000080,0.1125
6000081,0.114
6000082,0.1265
6000083,0.086
6000084,0.084
6000085,0.12
6000086,0.088
6000087,0.057
6000088,0.083
6000089,0.1035
6000090,0.097
6000091,0.1215
6000092,0.109
6000093,0.175
6000094,0.114
6000095,0.1595
6000096,
6000097,0.096
6000098,0.079
6000099,0.1185
6000100,0.128
6000101,0.1345
6000102,0.077
6000103,0.066
6000104,0.0985
6000105,0.1235
6000106,0.095
6000107,0.067
6000108,0.033
6000109,0.057
6000110,
6000111,0.161
6000112,0.139
6000113,0.108
6000114,0.075
6000115,0.105
6000116,0.046
6000117,0.09
6000118,0.054
6000119,0.124
6000120,0.1195
6000121,0.081
6000122,0.066
6000123,0.075
6000124,0.1035
6000125,
6000126,
6000127,
6000128,
6000129,0.0945
6000130,0.119
6000131,0.084
6000132,0.074
6000133,
6000134,0.1105
6000135,0.095
6000136,0.111
6000137,0.097
6000138,0.109
6000139,0.0745
6000140,
6000141,0.073
6000142,0.083
6000143,0.057
6000144,0.0635
6000145,0.079
6000146,0.102
6000147,0.134
6000148,0.1005
6000149,0.1055
6000150,0.106
6000151,0.136
6000152,0.088
6000153,0.056
6000154,0.094
6000155,0.123
6000156,0.1135
6000157,0.067
6000158,0.056
6000159,0.1115
6000160,0.1
6000161,0.101
6000162,0.093
6000163,0.1065
6000164,0.106
6000165,0.091
6000166,0.114
6000167,0.1125
6000168,0.077
6000169,0.097
6000170,0.079
6000171,0.1325
6000172,0.0875
6000173,0.114
6000174,0.123
6000175,0.099
6000176,0.075
6000177,0.123
6000178,0.0675
6000179,0.094
6000180,0.095
6000181,0.101
6000182,0.104
6000183,0.115
6000184,0.086
6000185,0.118
6000186,0.106
6000187,0.08
6000188,0.0695
6000189,0.147
6000190,0.107
6000191,0.096
6000192,0.0895
6000193,0.088
6000194,0.107
6000195,0.1055
6000196,0.089
6000197,0.106
6000198,0.123
6000199,0.11
6000200,0.0985
6000201,0.095
6000202,0.0885
6000203,0.099
6000204,
6000205,0.1015
6000206,0.125
6000207,0.084
6000208,
6000209,0.09
6000210,0.117
6000211,0.134
6000212,0.109
6000213,0.1115
6000214,0.0985
6000215,0.1035
6000216,0.091
6000217,0.113
6000218,0.0965
6000219,0.1
6000220,0.0925
6000221,0.108
6000222,0.09
6000223,0.085
6000224,0.078
6000225,0.09
6000226,0.0745
6000227,0.162
6000228,0.08
6000229,0.0885
6000230,0.063
6000231,0.104
6000232,0.104
6000233,0.117
6000234,0.125
6000235,0.108
6000236,0.167
6000237,0.0925
6000238,0.073
6000239,
6000240,0.1355
6000241,0.124
6000242,0.0765
6000243,0.149
6000244,0.103
6000245,0.087
6000246,0.122
6000247,0.061
6000248,0.1225
6000249,0.119
6000250,0.0895
6000251,0.108
6000252,0.1155
6000253,0.131
6000254,0.073
6000255,0.1745
6000256,0.088
6000257,0.089
6000258,0.16
6000259,0.163
6000260,0.147
6000261,0.047
6000262,0.1135
6000263,0.074
6000264,0.088
6000265,0.0735
6000266,0.08
6000267,0.098
6000268,0.096
6000269,
6000270,0.097
6000271,0.1185
6000272,0.062
6000273,0.0395
6000274,0.1255
6000275,0.101
6000276,0.109
6000277,0.103
6000278,0.103
6000279,0.1335
6000280,
6000281,0.097
6000282,0.125
6000283,0.055
6000284,0.109
6000285,0.041
6000286,0.072
6000287,0.098
6000288,0.074
6000289,0.0535
6000290,0.091
6000291,0.101
6000292,0.13
6000293,0.101
6000294,0.115
6000295,0.14
6000296,0.078
6000297,0.073
6000298,0.104
6000299,0.098
6000300,0.105
6000301,0.09
6000302,0.113
6000303,0.063
6000304,0.084
6000305,0.0645
6000306,0.101
6000307,0.076
6000308,
6000309,0.056
6000310,0.062
6000311,
6000312,0.06
6000313,0.0425
6000314,0.043
6000315,0.055
6000316,0.073
6000317,0.13
6000318,0.053
