unit_id,cortical_depth,cortical_layer,ecephys_structure_acronym
6000000,19.42,,V1_site6_A
6000001,2074.23,,V1_site6_A
6000002,36.49,,V1_site6_A
6000003,85.29,,V1_site6_A
6000004,2067.26,,V1_site6_A
6000005,2096.52,,V1_site6_A
6000006,118.23,,V1_site6_A
6000007,83.5,,V1_site6_A
6000008,155.78,,V1_site6_A
6000009,2118.95,,V1_site6_A
6000010,187.04,,V1_site6_A
6000011,189.11,,V1_site6_A
6000012,222.75,,V1_site6_A
6000013,232.04,,V1_site6_A
6000014,270.43,,V1_site6_A
6000015,262.73,,V1_site6_A
6000016,315.15,,V1_site6_A
6000017,304.25,,V1_site6_A
6000018,294.91,,V1_site6_A
6000019,368.56,,V1_site6_A
6000020,361.66,,V1_site6_A
6000021,347.99,,V1_site6_A
6000022,352.85,,V1_site6_A
6000023,454.71,,V1_site6_A
6000024,405.53,,V1_site6_A
6000025,390.39,,V1_site6_A
6000026,378.76,,V1_site6_A
6000027,407.11,,V1_site6_A
6000028,391.46,,V1_site6_A
6000029,377.65,,V1_site6_A
6000030,388.48,,V1_site6_A
6000031,435.68,,V1_site6_A
6000032,426.71,,V1_site6_A
6000033,415.16,,V1_site6_A
6000034,415.44,,V1_site6_A
6000035,404.35,,V1_site6_A
6000036,415.45,,V1_site6_A
6000037,444.0,,V1_site6_A
6000038,424.44,,V1_site6_A
6000039,403.42,,V1_site6_A
6000040,413.02,,V1_site6_A
6000041,399.17,,V1_site6_A
6000042,433.08,,V1_site6_A
6000043,417.22,,V1_site6_A
6000044,442.42,,V1_site6_A
6000045,454.86,,V1_site6_A
6000046,457.12,,V1_site6_A
6000047,455.76,,V1_site6_A
6000048,457.25,,V1_site6_A
6000049,514.37,,V1_site6_A
6000050,428.91,,V1_site6_A
6000051,486.49,,V1_site6_A
6000052,435.22,,V1_site6_A
6000053,463.58,,V1_site6_A
6000054,451.09,,V1_site6_A
6000055,454.88,,V1_site6_A
6000056,454.03,,V1_site6_A
6000057,518.27,,V1_site6_A
6000058,513.36,,V1_site6_A
6000059,483.6,,V1_site6_A
6000060,506.39,,V1_site6_A
6000061,515.02,,V1_site6_A
6000062,501.44,,V1_site6_A
6000063,515.85,,V1_site6_A
6000064,480.1,,V1_site6_A
6000065,509.01,,V1_site6_A
6000066,514.66,,V1_site6_A
6000067,495.63,,V1_site6_A
6000068,484.27,,V1_site6_A
6000069,499.75,,V1_site6_A
6000070,547.12,,V1_site6_A
6000071,542.84,,V1_site6_A
6000072,560.84,,V1_site6_A
6000073,529.66,,V1_site6_A
6000074,510.49,,V1_site6_A
6000075,532.84,,V1_site6_A
6000076,520.89,,V1_site6_A
6000077,613.27,,V1_site6_A
6000078,536.03,,V1_site6_A
6000079,525.88,,V1_site6_A
6000080,549.06,,V1_site6_A
6000081,507.94,,V1_site6_A
6000082,539.24,,V1_site6_A
6000083,535.37,,V1_site6_A
6000084,520.42,,V1_site6_A
6000085,529.29,,V1_site6_A
6000086,554.99,,V1_site6_A
6000087,579.18,,V1_site6_A
6000088,417.02,,V1_site6_A
6000089,575.38,,V1_site6_A
6000090,588.23,,V1_site6_A
6000091,588.49,,V1_site6_A
6000092,563.12,,V1_site6_A
6000093,615.79,,V1_site6_A
6000094,590.15,,V1_site6_A
6000095,593.56,,V1_site6_A
6000096,579.99,,V1_site6_A
6000097,570.69,,V1_site6_A
6000098,589.19,,V1_site6_A
6000099,579.83,,V1_site6_A
6000100,637.9,,V1_site6_A
6000101,621.78,,V1_site6_A
6000102,655.38,,V1_site6_A
6000103,617.34,,V1_site6_A
6000104,622.68,,V1_site6_A
6000105,609.98,,V1_site6_A
6000106,620.28,,V1_site6_A
6000107,616.9,,V1_site6_A
6000108,616.44,,V1_site6_A
6000109,641.45,,V1_site6_A
6000110,605.32,,V1_site6_A
6000111,614.09,,V1_site6_A
6000112,632.84,,V1_site6_A
6000113,633.32,,V1_site6_A
6000114,615.83,,V1_site6_A
6000115,616.61,,V1_site6_A
6000116,637.79,,V1_site6_A
6000117,669.29,,V1_site6_A
6000118,672.65,,V1_site6_A
6000119,673.8,,V1_site6_A
6000120,649.66,,V1_site6_A
6000121,642.95,,V1_site6_A
6000122,652.53,,V1_site6_A
6000123,659.45,,V1_site6_A
6000124,708.31,,V1_site6_A
6000125,712.92,,V1_site6_A
6000126,699.76,,V1_site6_A
6000127,712.79,,V1_site6_A
6000128,709.06,,V1_site6_A
6000129,693.4,,V1_site6_A
6000130,717.53,,V1_site6_A
6000131,683.85,,V1_site6_A
6000132,716.53,,V1_site6_A
6000133,709.39,,V1_site6_A
6000134,757.34,,V1_site6_A
6000135,706.99,,V1_site6_A
6000136,737.93,,V1_site6_A
6000137,713.01,,V1_site6_A
6000138,763.29,,V1_site6_A
6000139,746.57,,V1_site6_A
6000140,720.53,,V1_site6_A
6000141,740.82,,V1_site6_A
6000142,747.96,,V1_site6_A
6000143,725.91,,V1_site6_A
6000144,755.92,,V1_site6_A
6000145,777.79,,V1_site6_A
6000146,763.11,,V1_site6_A
6000147,760.58,,V1_site6_A
6000148,759.92,,V1_site6_A
6000149,759.02,,V1_site6_A
6000150,784.27,,V1_site6_A
6000151,713.28,,V1_site6_A
6000152,781.77,,V1_site6_A
6000153,789.72,,V1_site6_A
6000154,824.02,,V1_site6_A
6000155,803.99,,V1_site6_A
6000156,806.84,,V1_site6_A
6000157,808.26,,V1_site6_A
6000158,786.88,,V1_site6_A
6000159,798.35,,V1_site6_A
6000160,894.12,,V1_site6_A
6000161,860.02,,V1_site6_A
6000162,819.18,,V1_site6_A
6000163,903.05,,V1_site6_A
6000164,2078.05,,V1_site6_A
6000165,942.39,,V1_site6_A
6000166,982.82,,V1_site6_A
6000167,988.45,,V1_site6_A
6000168,1032.45,,V1_site6_A
6000169,1026.79,,V1_site6_A
6000170,1070.04,,V1_site6_A
6000171,1063.22,,V1_site6_A
6000172,1069.64,,V1_site6_A
6000173,2096.37,,V1_site6_A
6000174,1065.93,,V1_site6_A
6000175,1106.98,,V1_site6_A
6000176,1100.71,,V1_site6_A
6000177,1109.44,,V1_site6_A
6000178,1105.98,,V1_site6_A
6000179,1122.68,,V1_site6_A
6000180,1143.37,,V1_site6_A
6000181,1118.23,,V1_site6_A
6000182,1144.5,,V1_site6_A
6000183,1180.66,,V1_site6_A
6000184,1182.23,,V1_site6_A
6000185,1269.61,,V1_site6_A
6000186,1227.93,,V1_site6_A
6000187,1240.96,,V1_site6_A
6000188,1191.38,,V1_site6_A
6000189,1270.74,,V1_site6_A
6000190,1286.43,,V1_site6_A
6000191,1251.71,,V1_site6_A
6000192,1275.59,,V1_site6_A
6000193,1272.86,,V1_site6_A
6000194,1310.75,,V1_site6_A
6000195,1294.35,,V1_site6_A
6000196,1308.47,,V1_site6_A
6000197,1287.24,,V1_site6_A
6000198,1404.22,,V1_site6_A
6000199,1400.12,,V1_site6_A
6000200,1303.96,,V1_site6_A
6000201,1321.07,,V1_site6_A
6000202,1357.69,,V1_site6_A
6000203,1365.97,,V1_site6_A
6000204,1382.14,,V1_site6_A
6000205,1362.89,,V1_site6_A
6000206,1410.48,,V1_site6_A
6000207,1357.16,,V1_site6_A
6000208,1325.19,,V1_site6_A
6000209,1380.73,,V1_site6_A
6000210,1357.88,,V1_site6_A
6000211,1381.27,,V1_site6_A
6000212,1363.49,,V1_site6_A
6000213,1346.66,,V1_site6_A
6000214,1355.53,,V1_site6_A
6000215,1370.33,,V1_site6_A
6000216,1377.98,,V1_site6_A
6000217,1400.25,,V1_site6_A
6000218,1412.95,,V1_site6_A
6000219,1396.74,,V1_site6_A
6000220,1371.82,,V1_site6_A
6000221,1371.43,,V1_site6_A
6000222,1420.33,,V1_site6_A
6000223,1380.65,,V1_site6_A
6000224,1415.3,,V1_site6_A
6000225,1414.01,,V1_site6_A
6000226,1413.46,,V1_site6_A
6000227,1413.95,,V1_site6_A
6000228,1395.08,,V1_site6_A
6000229,1377.97,,V1_site6_A
6000230,1390.99,,V1_site6_A
6000231,1409.82,,V1_site6_A
6000232,1389.25,,V1_site6_A
6000233,1376.22,,V1_site6_A
6000234,1403.31,,V1_site6_A
6000235,1386.27,,V1_site6_A
6000236,1432.42,,V1_site6_A
6000237,1444.11,,V1_site6_A
6000238,1410.29,,V1_site6_A
6000239,1407.73,,V1_site6_A
6000240,1426.49,,V1_site6_A
6000241,1409.34,,V1_site6_A
6000242,1394.89,,V1_site6_A
6000243,1428.32,,V1_site6_A
6000244,1424.89,,V1_site6_A
6000245,1430.87,,V1_site6_A
6000246,1402.19,,V1_site6_A
6000247,1426.02,,V1_site6_A
6000248,1429.21,,V1_site6_A
6000249,1411.22,,V1_site6_A
6000250,1418.7,,V1_site6_A
6000251,1423.58,,V1_site6_A
6000252,1453.0,,V1_site6_A
6000253,1431.35,,V1_site6_A
6000254,1445.3,,V1_site6_A
6000255,1441.33,,V1_site6_A
