ecephys_probe_id,area,cells,ccf_ap_mm,ccf_ml_mm,direction_ap,direction_ml,span_mm,observed_delta_azimuth_deg,observed_delta_elevation_deg,delta_azimuth_scale_deg,delta_elevation_scale_deg,gradient_weight,predicted_delta_azimuth_deg,predicted_delta_elevation_deg,gradient_vector_error_deg
800036196,VISam,42,7.677,7.506,0.8416652108532872,-0.5399996970733333,0.1489481268196011,-31.026113779999537,-18.237195190330866,9.026542107484206,6.390548361806441,0.0,-8.864878518530489,1.2291375886459441,29.496753383653022
800036198,VISam,12,7.914,7.407,0.9146630389209892,0.40421717582485445,0.060411896536275295,22.011905202961987,-7.785640827394706,11.68623711010596,10.803654903062416,0.0,-0.0894791783728408,-0.6427228664969942,23.226977172409377
800036200,VISp,86,9.004,8.215,0.9865077174020863,0.16371476263955428,0.27207866210781895,7.3197094162074645,-8.166143295089261,3.586328631781917,3.0,0.0,13.639202107172913,10.004660281333724,19.23834947400925
800036202,VISl,63,8.459,9.784,0.7035614984438571,0.7106343770937589,0.4482859467881247,-4.76727135432353,-10.581838249314645,11.472634695675655,11.985222655671171,0.0,5.617606131553238,0.9549909173866595,15.522374419473332
800036204,VISal,43,8.16,9.737,0.18491628592471757,0.9827542761035477,0.343022833346079,11.431485303973986,15.584373002696145,7.364729583607737,6.278583652188755,0.0,11.863683330828373,-13.110544001716113,28.698171666928967
800036206,VISrl,29,7.299,8.855,-0.31719676034504235,0.9483597498980066,0.39971556430630206,12.435497196096533,2.0400502415601687,7.04241036597295,9.500827746783798,0.0,-3.467782550672439,8.368581925674892,17.116209276029437
800036196,VISam,42,7.677,7.506,0.8416652108532872,-0.5399996970733333,0.1489481268196011,-31.026113779999537,-18.237195190330866,9.026542107484206,6.390548361806441,0.1,-8.186965990281521,1.1344224447831976,29.948059061676158
800036198,VISam,12,7.914,7.407,0.9146630389209892,0.40421717582485445,0.060411896536275295,22.011905202961987,-7.785640827394706,11.68623711010596,10.803654903062416,0.1,-0.10282079032623415,-0.5600316525451188,23.265221548609595
800036200,VISp,86,9.004,8.215,0.9865077174020863,0.16371476263955428,0.27207866210781895,7.3197094162074645,-8.166143295089261,3.586328631781917,3.0,0.1,12.052569722105808,8.757314542059206,17.572802617707
800036202,VISl,63,8.459,9.784,0.7035614984438571,0.7106343770937589,0.4482859467881247,-4.76727135432353,-10.581838249314645,11.472634695675655,11.985222655671171,0.1,5.124346439866777,0.6324170434040095,14.953381703033285
800036204,VISal,43,8.16,9.737,0.18491628592471757,0.9827542761035477,0.343022833346079,11.431485303973986,15.584373002696145,7.364729583607737,6.278583652188755,0.1,11.024375227883922,-11.255340109866692,26.842800498061514
800036206,VISrl,29,7.299,8.855,-0.31719676034504235,0.9483597498980066,0.39971556430630206,12.435497196096533,2.0400502415601687,7.04241036597295,9.500827746783798,0.1,-3.2144428501103306,7.275334895021338,16.50238858022181
