held_out_probe_id,held_out_area,gradient_weight,observed_azimuth_deg,observed_elevation_deg,predicted_azimuth_deg,predicted_elevation_deg,held_out_center_vector_error_deg,observed_delta_azimuth_deg,observed_delta_elevation_deg,predicted_delta_azimuth_deg,predicted_delta_elevation_deg,held_out_gradient_vector_error_deg
800036196,VISam,0.0,55.4479612,24.7328886,57.13680197802741,9.009814582782841,15.813514464672851,-31.026113779999537,-18.237195190330866,-9.401078746881097,2.879584678650554,30.225163890682524
800036196,VISam,0.1,55.4479612,24.7328886,56.160055202037896,8.558838361812589,16.18971831055589,-31.026113779999537,-18.237195190330866,-8.331536784636711,2.5179929773957204,30.754213709282006
800036196,VISam,0.3,55.4479612,24.7328886,55.183292704799754,8.460305589858473,16.274735243139844,-31.026113779999537,-18.237195190330866,-7.320735034808088,1.9925729632186524,31.163897397458822
800036196,VISam,1.0,55.4479612,24.7328886,55.42539066449249,8.60945129391202,16.12345310386155,-31.026113779999537,-18.237195190330866,-6.444405054490261,1.3494122263967352,31.430806447859204
800036196,VISam,3.0,55.4479612,24.7328886,52.479185144790634,10.441141366587631,14.596837679776211,-31.026113779999537,-18.237195190330866,-4.578876096996332,0.6000225721933834,32.46994231738061
800036198,VISam,0.0,35.2161315,25.9823601,47.87875286634573,10.032326887864722,20.365302338429785,22.011905202961987,-7.785640827394706,-1.8570375392391227,-1.6328775797861486,24.649197212315002
800036198,VISam,0.1,35.2161315,25.9823601,48.294643061398354,9.81480257695731,20.795128778695375,22.011905202961987,-7.785640827394706,-1.5575614695758944,-1.2890174037033582,24.448432979173308
800036198,VISam,0.3,35.2161315,25.9823601,48.75033396343155,9.541692187252174,21.29483969741056,22.011905202961987,-7.785640827394706,-1.4934728858797541,-0.9489034123211031,24.479456235424607
800036198,VISam,1.0,35.2161315,25.9823601,49.53172532887122,9.175781114309382,22.07707688702182,22.011905202961987,-7.785640827394706,-2.1515664244196273,0.0,25.38679901406382
800036198,VISam,3.0,35.2161315,25.9823601,47.648574484273944,10.365447488873011,19.96130251413468,22.011905202961987,-7.785640827394706,-2.0558771185342266,0.0,25.29573776287462
800036200,VISp,0.0,57.328272,13.4184474,75.20315273322741,42.024341768956326,33.73141790489976,7.3197094162074645,-8.166143295089261,17.686131848623333,19.545284281608627,29.586921644298634
800036200,VISp,0.1,57.328272,13.4184474,73.70543023015956,38.463025604802354,29.923940401493656,7.3197094162074645,-8.166143295089261,18.03551617142584,18.722891651124637,28.9456165032617
800036200,VISp,0.3,57.328272,13.4184474,64.04181119426973,32.57951317316555,20.30315369780203,7.3197094162074645,-8.166143295089261,18.482733696133643,17.45942219883006,27.951434989233917
800036200,VISp,1.0,57.328272,13.4184474,66.98038392071003,26.44800598846217,16.215198473656773,7.3197094162074645,-8.166143295089261,18.356599862116653,11.202403557290804,22.292455178554093
800036200,VISp,3.0,57.328272,13.4184474,56.79777999424367,21.484573023340833,8.083551468240115,7.3197094162074645,-8.166143295089261,22.330724650612495,7.41567856241706,21.636167654337534
800036202,VISl,0.0,44.1582625,-4.932775,31.539283066320333,11.353814960075256,20.603195249165953,-4.76727135432353,-10.581838249314645,3.0396375036177474,-0.27421520111213127,12.930387419564722
800036202,VISl,0.1,44.1582625,-4.932775,35.18204440897559,11.727087481127228,18.924151476557793,-4.76727135432353,-10.581838249314645,1.8348235326364701,-2.3194810650959408,10.57611474673161
800036202,VISl,0.3,44.1582625,-4.932775,38.204991426053,12.964899868354559,18.86181863376977,-4.76727135432353,-10.581838249314645,3.4435551899309473,0.4832001832772157,13.778706327321474
800036202,VISl,1.0,44.1582625,-4.932775,41.21555739791851,14.120720497663283,19.279398434528282,-4.76727135432353,-10.581838249314645,3.0024668751499988,-1.2336438059070716,12.155557227305486
800036202,VISl,3.0,44.1582625,-4.932775,42.88008320743681,14.833564237453604,19.807622501300738,-4.76727135432353,-10.581838249314645,8.07776760292412,2.0314212356658405,18.002481513631945
800036204,VISal,0.0,71.9098544,18.0881301,47.686736790885995,11.525419446816478,25.09638615064682,11.431485303973986,15.584373002696145,9.30876394069233,-11.472478668985175,27.139992048073573
800036204,VISal,0.1,71.9098544,18.0881301,47.75561128876778,11.115834361569151,25.140413046341344,11.431485303973986,15.584373002696145,8.82695284244403,-10.317361265786394,26.032353475209383
800036204,VISal,0.3,71.9098544,18.0881301,48.06755401783256,10.215890472174879,25.10831424591069,11.431485303973986,15.584373002696145,8.453852593784589,-8.468590571443908,24.23657057538665
800036204,VISal,1.0,71.9098544,18.0881301,47.969439032857274,9.0558345127945,25.587611289957795,11.431485303973986,15.584373002696145,4.8020481235090315,-3.9681208943222206,20.645809621389798
800036204,VISal,3.0,71.9098544,18.0881301,47.862406413995814,8.994769956694428,25.70931646962702,11.431485303973986,15.584373002696145,6.834106181353597,-3.865371956458448,19.98570673689738
800036206,VISrl,0.0,40.3065362,-4.9096602,52.23717275190397,2.6425858092304253,14.120074656940169,12.435497196096533,2.0400502415601687,-4.221639596470212,7.135708141478208,17.419125568158638
800036206,VISrl,0.1,40.3065362,-4.9096602,53.37905674704158,7.164020660978483,17.795071311618354,12.435497196096533,2.0400502415601687,-5.521610738813287,5.345639821866692,18.25882383559884
800036206,VISrl,0.3,40.3065362,-4.9096602,53.487194063313865,9.72095054101396,19.692244980316765,12.435497196096533,2.0400502415601687,-4.955115660590685,-0.24762941359698232,17.54043596196499
800036206,VISrl,1.0,40.3065362,-4.9096602,54.62121745440371,13.581257584383785,23.384271207887103,12.435497196096533,2.0400502415601687,-6.800667559421953,0.04172981355265648,19.339682495698934
800036206,VISrl,3.0,40.3065362,-4.9096602,57.01635315831513,14.725311738210646,25.782748220364628,12.435497196096533,2.0400502415601687,-8.938257573143503,0.02214547729690075,21.468799048229215
