site,n_probes_supported,iterations,delta_azimuth_deg,delta_elevation_deg
site2,4,3,-0.06064563835667443,0.17338737447596533
site3,4,2,0.053871708237622655,0.01443636989695339
site4,3,2,0.04553035341478532,0.09758759210283821
site5,4,3,0.01774469550197245,-0.08668762001182108
site6,3,2,0.1960904774235449,-0.15056798022081708
site7,2,2,-0.1847112638924866,-0.0968157648847372
site8,3,2,0.05060103955105477,-0.04268543120915332
site9,4,2,0.1756679080579778,0.030057322530061416
