site,n_probes,spearman_rho,abs_spearman_rho,p_value
site2,4,-0.6000000000000001,0.6000000000000001,0.3999999999999999
site3,4,-0.6000000000000001,0.6000000000000001,0.3999999999999999
site4,3,-0.5,0.5,0.6666666666666667
site5,4,0.0,0.0,1.0
site6,3,-0.5,0.5,0.6666666666666667
site8,3,-0.5,0.5,0.6666666666666667
site9,4,-0.6000000000000001,0.6000000000000001,0.3999999999999999
