ecephys_probe_id,ecephys_session_id,probe_letter,primary_structure,n_vis_units,dv_thickness_um,dv_range_minmax_um
773462999,767871931,probeF,VISrl,88,413.5500,480.0000
773463013,763673393,probeA,VISam,114,490.0000,577.0000
773463015,763673393,probeB,VISam,60,588.5000,638.0000
773463017,763673393,probeC,VISp,145,494.2000,640.0000
773463019,763673393,probeD,VISl,89,302.0000,395.0000
773463023,763673393,probeE,VIS,140,353.0000,462.0000
773463026,763673393,probeF,VISrl,137,419.6000,484.0000
773549842,768515987,probeA,VISam,107,576.9000,664.0000
773549846,768515987,probeB,VISmma,124,565.0000,701.0000
773549848,768515987,probeC,VISp,159,549.0000,736.0000
773549850,768515987,probeD,VISl,117,360.2000,513.0000
773549852,768515987,probeE,VISal,110,375.7000,416.0000
773549856,768515987,probeF,VISrl,110,425.3000,502.0000
773592315,766640955,probeA,VISam,126,509.5000,728.0000
773592318,766640955,probeB,VISmma,127,564.0000,720.0000
773592320,766640955,probeC,VISp,119,595.9000,683.0000
773592324,766640955,probeD,VISl,98,458.3500,499.0000
773592328,766640955,probeE,VISal,173,455.8000,537.0000
773592330,766640955,probeF,VISrl,80,426.0000,539.0000
773621937,771160300,probeA,VISam,164,497.0000,614.0000
773621939,771160300,probeB,VISpm,122,569.1500,669.0000
773621942,771160300,probeC,VISp,171,511.0000,626.0000
773621945,771160300,probeD,VISli,182,596.8500,702.0000
773621948,771160300,probeE,VISal,203,466.4000,564.0000
773621950,771160300,probeF,VIS,86,516.2500,553.0000
773654723,771990200,probeA,VISam,109,476.0000,644.0000
773654726,771990200,probeB,VISpm,92,568.9500,721.0000
773654728,771990200,probeC,VISp,163,695.1000,761.0000
773654730,771990200,probeD,VISli,128,496.0000,563.0000
773654732,771990200,probeE,VISal,66,343.2500,437.0000
773654734,771990200,probeF,VISrl,60,313.0000,391.0000
792586836,787025148,probeA,VISam,127,537.8000,640.0000
792586840,787025148,probeB,VIS,44,346.2000,470.0000
792586842,787025148,probeC,VISp,168,686.1000,766.0000
792586845,787025148,probeD,VISli,137,472.0000,606.0000
792586848,787025148,probeE,VISal,131,695.0000,940.0000
792586852,787025148,probeF,VISrl,35,192.1000,280.0000
792586876,781842082,probeA,VISam,113,595.6000,759.0000
792586879,781842082,probeB,VISmma,150,543.5000,728.0000
792586881,781842082,probeC,VISp,174,732.8500,845.0000
792586883,781842082,probeD,VISal,167,595.0000,685.0000
792586887,781842082,probeE,VISal,163,636.0000,752.0000
792586891,781842082,probeF,VISrl,104,451.1000,530.0000
792602650,774875821,probeA,VISam,114,602.4000,762.0000
792602652,774875821,probeB,VISmma,100,665.0000,815.0000
792602654,774875821,probeC,VISp,196,746.0000,873.0000
792602656,774875821,probeD,VISl,122,687.5500,857.0000
792602658,774875821,probeE,VISal,158,696.5000,900.0000
792602660,774875821,probeF,VISrl,110,519.9500,652.0000
792607545,778240327,probeA,VISam,138,520.8500,607.0000
792607547,778240327,probeB,VISpm,135,584.0000,637.0000
792607549,778240327,probeC,VISp,172,558.8000,723.0000
792607553,778240327,probeD,VISl,144,470.9500,585.0000
792607557,778240327,probeE,VISal,147,376.9000,518.0000
792607559,778240327,probeF,VISrl,40,430.7000,461.0000
792623916,786091066,probeA,VISam,147,493.5000,709.0000
792623919,786091066,probeB,VISpm,137,562.6000,699.0000
792623921,786091066,probeC,VISp,171,725.0000,876.0000
792623925,786091066,probeD,VISal,150,687.4500,781.0000
792623928,786091066,probeE,VISal,158,667.6500,788.0000
792623931,786091066,probeF,VISrl,102,465.5000,513.0000
792626841,778998620,probeA,VISam,113,553.2000,693.0000
792626844,778998620,probeB,VISpm,130,517.3500,618.0000
792626847,778998620,probeC,VISp,174,646.8000,792.0000
792626851,778998620,probeD,VISl,136,369.7500,488.0000
792626853,778998620,probeE,VISal,130,496.0000,571.0000
792626855,778998620,probeF,VISrl,114,493.2500,661.0000
792645490,779839471,probeA,VISam,148,578.0500,689.0000
792645493,779839471,probeB,VISpm,171,514.0000,580.0000
792645497,779839471,probeC,VISp,241,595.0000,688.0000
792645499,779839471,probeD,VIS,185,539.0000,694.0000
792645501,779839471,probeE,VIS,144,463.9500,575.0000
792645504,779839471,probeF,VISrl,62,313.4000,419.0000
792676154,773418906,probeA,VISam,38,360.7500,555.0000
792676156,773418906,probeB,VISmmp,81,439.0000,681.0000
792676158,773418906,probeC,VISp,135,658.2000,777.0000
792676160,773418906,probeD,VISal,186,531.0000,577.0000
792676162,773418906,probeE,VISal,161,542.0000,607.0000
792676164,773418906,probeF,VISrl,94,392.1000,534.0000
800036196,798911424,probeA,VISam,154,570.4500,709.0000
800036198,798911424,probeB,VISam,110,614.8500,682.0000
800036200,798911424,probeC,VISp,200,671.0000,814.0000
800036202,798911424,probeD,VISl,145,504.4000,650.0000
800036204,798911424,probeE,VISal,175,583.1000,678.0000
800036206,798911424,probeF,VISrl,102,501.6500,639.0000
805002027,789848216,probeA,VISam,94,543.6000,630.0000
805002029,789848216,probeB,VISmmp,37,481.8000,532.0000
805002031,789848216,probeC,VISp,44,590.8000,656.0000
805002033,789848216,probeD,VISl,90,250.1000,320.0000
805002035,789848216,probeE,VISal,26,161.7500,168.0000
805002037,789848216,probeF,VISrl,54,242.6500,582.0000
805008600,791319847,probeA,VISam,116,521.0000,625.0000
805008602,791319847,probeB,VISpm,83,456.1000,587.0000
805008604,791319847,probeC,VISp,190,591.9500,668.0000
805008606,791319847,probeD,VISl,124,609.7500,704.0000
805008608,791319847,probeE,VISal,97,551.0000,574.0000
805008610,791319847,probeF,VISrl,124,473.9500,574.0000
805124804,793224716,probeB,VIS,49,449.2000,711.0000
805124806,793224716,probeC,VISp,176,701.0000,855.0000
805124809,793224716,probeD,VISal,135,630.3000,756.0000
805124812,793224716,probeE,VISal,180,626.4500,772.0000
805124815,793224716,probeF,VISrl,66,399.7500,546.0000
805579698,799864342,probeA,VISam,77,560.0000,641.0000
805579700,799864342,probeB,VISmma,115,541.3000,675.0000
805579703,799864342,probeC,VISp,155,771.0000,866.0000
805579706,799864342,probeD,VISl,88,796.1500,883.0000
805579710,799864342,probeE,VISal,119,543.0000,626.0000
805579713,799864342,probeF,VISrl,74,549.8000,716.0000
805579734,797828357,probeA,VISam,144,597.6000,665.0000
805579738,797828357,probeB,VISpm,142,581.0000,737.0000
805579741,797828357,probeC,VISp,190,666.7500,769.0000
805579745,797828357,probeD,VISl,135,497.6000,594.0000
805579749,797828357,probeE,VISal,121,422.0000,503.0000
805579753,797828357,probeF,VISrl,29,401.4000,435.0000
810753195,760345702,probeA,VISam,109,437.2000,589.0000
810753197,760345702,probeB,VISpm,93,538.0000,796.0000
810753199,760345702,probeC,VISp,155,602.4000,691.0000
810753201,760345702,probeD,VISl,112,405.0000,535.0000
810753203,760345702,probeE,VISal,136,518.0000,615.0000
810755797,715093703,probeA,VISam,74,563.1000,659.0000
810755801,715093703,probeC,VISp,135,713.6000,801.0000
810755803,715093703,probeD,VISl,126,463.7500,518.0000
810755805,715093703,probeE,VISrl,89,439.8000,549.0000
810755807,715093703,probeF,VISrl,94,493.5000,695.0000
810758777,794812542,probeA,VISam,187,637.0000,765.0000
810758779,794812542,probeB,VISpm,143,608.9000,812.0000
810758781,794812542,probeC,VISp,226,643.7500,835.0000
810758783,794812542,probeD,VISl,201,429.0000,596.0000
810758785,794812542,probeE,VISal,94,463.0000,518.0000
810758787,794812542,probeF,VISrl,161,504.0000,643.0000
820311754,819186360,probeA,VISam,141,560.0000,632.0000
820311756,819186360,probeB,VISpm,73,668.0000,695.0000
820311760,819186360,probeD,VISl,149,465.8000,609.0000
820311762,819186360,probeE,VISrl,99,480.0000,568.0000
820311764,819186360,probeF,VISrl,146,413.2500,520.0000
822645893,821695405,probeA,VISam,122,496.0000,590.0000
822645895,821695405,probeB,VISpm,140,538.7500,723.0000
822645899,821695405,probeD,VISl,145,404.0000,437.0000
822645901,821695405,probeE,VISal,87,213.5000,235.0000
832129149,829720705,probeA,VISam,142,521.6000,705.0000
