ecephys_session_id,selected_model,translation_azimuth_deg,translation_elevation_deg,rotation_deg,log_scale_azimuth,log_scale_elevation,shear,isotropic_scale
715093703,similarity,3.30235,-4.30138,7.71165,-0.0465797,-0.0465797,0,0.954488
719161530,similarity,0.34965,14.447,5.36968,-0.0608094,-0.0608094,0,0.941003
721123822,similarity,-5.96316,14.9329,-2.93948,-0.0716683,-0.0716683,0,0.93084
732592105,similarity,6.94126,2.32653,-7.83524,-0.0258054,-0.0258054,0,0.974525
737581020,similarity,-0.0388983,-7.76595,7.30823,-0.0610533,-0.0610533,0,0.940773
739448407,similarity,-4.40305,-7.01683,-1.83583,-0.0519271,-0.0519271,0,0.949398
742951821,similarity,-5.15573,14.8642,0.635189,-0.0491218,-0.0491218,0,0.952065
744228101,similarity,-1.5577,12.3649,-4.23614,-0.0570281,-0.0570281,0,0.944568
746083955,similarity,-12.5677,-2.9194,7.85945,-0.0448662,-0.0448662,0,0.956125
750332458,similarity,-14.9609,-1.72897,-5.84331,-0.0376831,-0.0376831,0,0.963018
750749662,similarity,-3.73804,-1.55313,0.521461,-0.0174209,-0.0174209,0,0.98273
751348571,similarity,11.5258,-14.8923,7.62243,0.0545269,0.0545269,0,1.05604
754312389,similarity,-2.42576,10.5039,0.627435,-0.0496701,-0.0496701,0,0.951543
754829445,similarity,3.02748,4.83491,0.788955,-0.0674439,-0.0674439,0,0.93478
755434585,similarity,-8.21591,-3.38999,-2.77555,-0.0399554,-0.0399554,0,0.960832
756029989,similarity,-2.39013,14.7941,3.11701,-0.0355258,-0.0355258,0,0.965098
757216464,similarity,-2.0803,6.36308,2.2735,-0.0678007,-0.0678007,0,0.934447
757970808,similarity,11.8576,-5.87628,-7.13796,-0.0684392,-0.0684392,0,0.93385
758798717,similarity,4.24759,-15,8,-0.0228746,-0.0228746,0,0.977385
759883607,similarity,4.82757,-14.8812,0.975819,-0.0295891,-0.0295891,0,0.970844
760345702,similarity,-5.09691,5.5443,3.76459,-0.0826774,-0.0826774,0,0.920648
760693773,similarity,2.30839,-1.88128,6.34112,-0.0833816,-0.0833816,0,0.92
761418226,similarity,7.38721,-14.9862,3.30168,0.0284092,0.0284092,0,1.02882
762120172,similarity,12.2498,-5.81192,-2.70384,-0.00367408,-0.00367408,0,0.996333
762602078,similarity,9.75971,-14.954,7.79205,-0.0326939,-0.0326939,0,0.967835
763673393,similarity,5.89919,-9.9363,2.16454,-0.0721668,-0.0721668,0,0.930376
773418906,similarity,0.350893,7.6929,-3.71692,-0.00795311,-0.00795311,0,0.992078
791319847,similarity,9.65627,6.83845,7.91973,0.025838,0.025838,0,1.02617
797828357,similarity,-0.556709,6.85061,-2.98939,0.014174,0.014174,0,1.01427
798911424,similarity,-1.55929,-7.8079,-0.324434,-0.0547971,-0.0547971,0,0.946677
799864342,similarity,3.07032,-8.16678,2.01231,-0.0221558,-0.0221558,0,0.978088
