ecephys_session_id,group,feature,feature_weight,source_units,supported_grid_fraction
715093703,V1,area_rf,0.27,93,0.286734
715093703,V1,dorsal_ventral_ccf_coordinate,1,93,0.286734
715093703,V1,probe_horizontal_position,0.68,93,0.286734
715093703,V1,time_to_peak_rf,0.34,93,0.286734
715093703,V1,time_to_first_spike_fl,0.1,92,0.286734
715093703,HVA pooled,area_rf,0.27,311,0.881023
715093703,HVA pooled,dorsal_ventral_ccf_coordinate,1,238,0.807852
715093703,HVA pooled,probe_horizontal_position,0.68,311,0.881023
715093703,HVA pooled,time_to_peak_rf,0.34,311,0.881023
715093703,HVA pooled,time_to_first_spike_fl,0.1,246,0.722189
719161530,V1,area_rf,0.27,82,0.212374
719161530,V1,dorsal_ventral_ccf_coordinate,1,82,0.212374
719161530,V1,probe_horizontal_position,0.68,82,0.212374
719161530,V1,time_to_peak_rf,0.34,82,0.212374
719161530,V1,time_to_first_spike_fl,0.1,80,0.212374
719161530,HVA pooled,area_rf,0.27,179,0.748959
719161530,HVA pooled,dorsal_ventral_ccf_coordinate,1,179,0.748959
719161530,HVA pooled,probe_horizontal_position,0.68,179,0.748959
719161530,HVA pooled,time_to_peak_rf,0.34,179,0.748959
719161530,HVA pooled,time_to_first_spike_fl,0.1,171,0.729923
721123822,V1,area_rf,0.27,58,0.227841
721123822,V1,dorsal_ventral_ccf_coordinate,1,58,0.227841
721123822,V1,probe_horizontal_position,0.68,58,0.227841
721123822,V1,time_to_peak_rf,0.34,58,0.227841
721123822,V1,time_to_first_spike_fl,0.1,56,0.223081
721123822,HVA pooled,area_rf,0.27,286,0.971446
721123822,HVA pooled,dorsal_ventral_ccf_coordinate,1,286,0.971446
721123822,HVA pooled,probe_horizontal_position,0.68,286,0.971446
721123822,HVA pooled,time_to_peak_rf,0.34,286,0.971446
721123822,HVA pooled,time_to_first_spike_fl,0.1,277,0.969661
732592105,V1,area_rf,0.27,154,0.359905
732592105,V1,dorsal_ventral_ccf_coordinate,1,0,0
732592105,V1,probe_horizontal_position,0.68,154,0.359905
732592105,V1,time_to_peak_rf,0.34,154,0.359905
732592105,V1,time_to_first_spike_fl,0.1,140,0.330161
732592105,HVA pooled,area_rf,0.27,296,0.963712
732592105,HVA pooled,dorsal_ventral_ccf_coordinate,1,0,0
732592105,HVA pooled,probe_horizontal_position,0.68,296,0.963712
732592105,HVA pooled,time_to_peak_rf,0.34,296,0.963712
732592105,HVA pooled,time_to_first_spike_fl,0.1,288,0.963712
737581020,V1,area_rf,0.27,85,0.256395
737581020,V1,dorsal_ventral_ccf_coordinate,1,0,0
737581020,V1,probe_horizontal_position,0.68,85,0.256395
737581020,V1,time_to_peak_rf,0.34,85,0.256395
737581020,V1,time_to_first_spike_fl,0.1,82,0.255205
737581020,HVA pooled,area_rf,0.27,128,0.383105
737581020,HVA pooled,dorsal_ventral_ccf_coordinate,1,0,0
737581020,HVA pooled,probe_horizontal_position,0.68,128,0.383105
737581020,HVA pooled,time_to_peak_rf,0.34,128,0.383105
737581020,HVA pooled,time_to_first_spike_fl,0.1,124,0.383105
739448407,V1,area_rf,0.27,40,0.206425
739448407,V1,dorsal_ventral_ccf_coordinate,1,0,0
739448407,V1,probe_horizontal_position,0.68,40,0.206425
739448407,V1,time_to_peak_rf,0.34,40,0.206425
739448407,V1,time_to_first_spike_fl,0.1,39,0.205235
739448407,HVA pooled,area_rf,0.27,183,0.806663
739448407,HVA pooled,dorsal_ventral_ccf_coordinate,1,0,0
739448407,HVA pooled,probe_horizontal_position,0.68,183,0.806663
739448407,HVA pooled,time_to_peak_rf,0.34,183,0.806663
739448407,HVA pooled,time_to_first_spike_fl,0.1,181,0.806663
742951821,V1,area_rf,0.27,81,0.229625
742951821,V1,dorsal_ventral_ccf_coordinate,1,0,0
742951821,V1,probe_horizontal_position,0.68,81,0.229625
742951821,V1,time_to_peak_rf,0.34,81,0.229625
742951821,V1,time_to_first_spike_fl,0.1,80,0.229625
742951821,HVA pooled,area_rf,0.27,245,0.92088
742951821,HVA pooled,dorsal_ventral_ccf_coordinate,1,0,0
742951821,HVA pooled,probe_horizontal_position,0.68,245,0.92088
742951821,HVA pooled,time_to_peak_rf,0.34,245,0.92088
742951821,HVA pooled,time_to_first_spike_fl,0.1,243,0.92088
744228101,V1,area_rf,0.27,56,0.221297
744228101,V1,dorsal_ventral_ccf_coordinate,1,56,0.221297
744228101,V1,probe_horizontal_position,0.68,56,0.221297
744228101,V1,time_to_peak_rf,0.34,56,0.221297
744228101,V1,time_to_first_spike_fl,0.1,54,0.220107
744228101,HVA pooled,area_rf,0.27,130,0.569304
744228101,HVA pooled,dorsal_ventral_ccf_coordinate,1,130,0.569304
744228101,HVA pooled,probe_horizontal_position,0.68,130,0.569304
744228101,HVA pooled,time_to_peak_rf,0.34,130,0.569304
744228101,HVA pooled,time_to_first_spike_fl,0.1,128,0.56514
746083955,V1,area_rf,0.27,45,0.20345
746083955,V1,dorsal_ventral_ccf_coordinate,1,0,0
746083955,V1,probe_horizontal_position,0.68,45,0.20345
746083955,V1,time_to_peak_rf,0.34,45,0.20345
746083955,V1,time_to_first_spike_fl,0.1,43,0.197501
746083955,HVA pooled,area_rf,0.27,273,0.939322
746083955,HVA pooled,dorsal_ventral_ccf_coordinate,1,27,0.0785247
746083955,HVA pooled,probe_horizontal_position,0.68,273,0.939322
746083955,HVA pooled,time_to_peak_rf,0.34,273,0.939322
746083955,HVA pooled,time_to_first_spike_fl,0.1,270,0.935753
750332458,V1,area_rf,0.27,103,0.308745
750332458,V1,dorsal_ventral_ccf_coordinate,1,0,0
750332458,V1,probe_horizontal_position,0.68,103,0.308745
750332458,V1,time_to_peak_rf,0.34,103,0.308745
750332458,V1,time_to_first_spike_fl,0.1,97,0.302201
750332458,HVA pooled,area_rf,0.27,299,0.702558
750332458,HVA pooled,dorsal_ventral_ccf_coordinate,1,65,0.167162
750332458,HVA pooled,probe_horizontal_position,0.68,299,0.702558
750332458,HVA pooled,time_to_peak_rf,0.34,299,0.702558
750332458,HVA pooled,time_to_first_spike_fl,0.1,292,0.684711
750749662,V1,area_rf,0.27,92,0.259964
750749662,V1,dorsal_ventral_ccf_coordinate,1,92,0.259964
750749662,V1,probe_horizontal_position,0.68,92,0.259964
750749662,V1,time_to_peak_rf,0.34,92,0.259964
750749662,V1,time_to_first_spike_fl,0.1,92,0.259964
750749662,HVA pooled,area_rf,0.27,240,0.800714
750749662,HVA pooled,dorsal_ventral_ccf_coordinate,1,240,0.800714
750749662,HVA pooled,probe_horizontal_position,0.68,240,0.800714
