stimulus_presentation_id,stimulus_block,start_time,stop_time,spatial_frequency,size,phase,x_position,contrast,orientation,y_position,color,frame,stimulus_name,temporal_frequency,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
1,0.0,84.410468,84.643989,0.08,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",0.0,0.8,90.0,20.0,null,null,gabors,4.0,0.2335211,1,,,0,,False,0,train,2
2,0.0,84.643989,84.89419,0.08,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",20.0,0.8,90.0,-10.0,null,null,gabors,4.0,0.25020118,2,,,0,,False,0,train,2
3,0.0,84.89419,85.144391,0.08,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",-30.0,0.8,45.0,-10.0,null,null,gabors,4.0,0.25020118,3,,,0,,False,0,train,1
4,0.0,85.144391,85.394592,0.08,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",40.0,0.8,0.0,30.0,null,null,gabors,4.0,0.25020118,4,,,0,,False,0,train,0
5,0.0,85.394592,85.644819,0.08,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",0.0,0.8,90.0,0.0,null,null,gabors,4.0,0.25022634,5,,,0,,False,0,train,2
6,0.0,85.644819,85.895045,0.08,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",10.0,0.8,0.0,-10.0,null,null,gabors,4.0,0.25022634,6,,,0,,False,0,train,0
7,0.0,85.895045,86.145271,0.08,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",40.0,0.8,45.0,10.0,null,null,gabors,4.0,0.25022634,7,,,0,,False,0,train,1
8,0.0,86.145271,86.395498,0.08,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",30.0,0.8,45.0,-30.0,null,null,gabors,4.0,0.25022634,8,,,0,,False,0,train,1
9,0.0,86.395498,86.645689,0.08,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",30.0,0.8,0.0,-40.0,null,null,gabors,4.0,0.25019116,9,,,0,,False,0,train,0
10,0.0,86.645689,86.89588,0.08,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",-10.0,0.8,45.0,-40.0,null,null,gabors,4.0,0.25019116,10,,,0,,False,0,train,1
11,0.0,86.89588,87.146071,0.08,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",20.0,0.8,45.0,-30.0,null,null,gabors,4.0,0.25019116,11,,,0,,False,0,train,1
12,0.0,87.146071,87.396262,0.08,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",-10.0,0.8,90.0,-10.0,null,null,gabors,4.0,0.25019116,12,,,0,,False,0,train,2
13,0.0,87.396262,87.646484,0.08,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",-20.0,0.8,45.0,40.0,null,null,gabors,4.0,0.25022134,13,,,0,,False,0,train,1
14,0.0,87.646484,87.896705,0.08,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",-10.0,0.8,0.0,-10.0,null,null,gabors,4.0,0.25022134,14,,,0,,False,0,train,0
15,0.0,87.896705,88.146926,0.08,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",20.0,0.8,0.0,20.0,null,null,gabors,4.0,0.25022134,15,,,0,,False,0,train,0
16,0.0,88.146926,88.397148,0.08,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",40.0,0.8,0.0,-10.0,null,null,gabors,4.0,0.25022134,16,,,0,,False,0,train,0
17,0.0,88.397148,88.647339,0.08,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",-30.0,0.8,90.0,-20.0,null,null,gabors,4.0,0.25019116,17,,,0,,False,0,train,2
18,0.0,88.647339,88.89753,0.08,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",20.0,0.8,45.0,0.0,null,null,gabors,4.0,0.25019116,18,,,0,,False,0,train,1
19,0.0,88.89753,89.147721,0.08,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",30.0,0.8,90.0,10.0,null,null,gabors,4.0,0.25019116,19,,,0,,False,0,train,2
20,0.0,89.147721,89.397912,0.08,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",-30.0,0.8,90.0,-40.0,null,null,gabors,4.0,0.25019116,20,,,0,,False,0,train,2
21,0.0,89.397912,89.648126,0.08,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",-40.0,0.8,90.0,-30.0,null,null,gabors,4.0,0.25021384,21,,,0,,False,0,train,2
22,0.0,89.648126,89.89834,0.08,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",-10.0,0.8,90.0,-10.0,null,null,gabors,4.0,0.25021384,12,,,0,,False,1,train,2
23,0.0,89.89834,90.148554,0.08,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",0.0,0.8,90.0,-20.0,null,null,gabors,4.0,0.25021384,22,,,0,,False,0,train,2
24,0.0,90.148554,90.398768,0.08,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",20.0,0.8,45.0,-20.0,null,null,gabors,4.0,0.25021384,23,,,0,,False,0,train,1
25,0.0,90.398768,90.648974,0.08,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",-10.0,0.8,45.0,-20.0,null,null,gabors,4.0,0.25020616,24,,,0,,False,0,train,1
26,0.0,90.648974,90.89918,0.08,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",-20.0,0.8,45.0,30.0,null,null,gabors,4.0,0.25020616,25,,,0,,False,0,train,1
27,0.0,90.89918,91.149386,0.08,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",10.0,0.8,90.0,40.0,null,null,gabors,4.0,0.25020616,26,,,0,,False,0,train,2
28,0.0,91.149386,91.399592,0.08,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",0.0,0.8,45.0,10.0,null,null,gabors,4.0,0.25020616,27,,,0,,False,0,train,1
29,0.0,91.399592,91.649819,0.08,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",10.0,0.8,0.0,20.0,null,null,gabors,4.0,0.25022634,28,,,0,,False,0,train,0
30,0.0,91.649819,91.900045,0.08,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",-10.0,0.8,0.0,-10.0,null,null,gabors,4.0,0.25022634,14,,,0,,False,1,train,0
31,0.0,91.900045,92.150271,0.08,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",10.0,0.8,45.0,20.0,null,null,gabors,4.0,0.25022634,29,,,0,,False,0,train,1
32,0.0,92.150271,92.400498,0.08,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",40.0,0.8,45.0,-40.0,null,null,gabors,4.0,0.25022634,30,,,0,,False,0,train,1
33,0.0,92.400498,92.650689,0.08,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",-10.0,0.8,45.0,40.0,null,null,gabors,4.0,0.25019116,31,,,0,,False,0,train,1
34,0.0,92.650689,92.90088,0.08,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",-20.0,0.8,45.0,0.0,null,null,gabors,4.0,0.25019116,32,,,0,,False,0,train,1
35,0.0,92.90088,93.151071,0.08,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",20.0,0.8,0.0,10.0,null,null,gabors,4.0,0.25019116,33,,,0,,False,0,train,0
36,0.0,93.151071,93.401262,0.08,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",-30.0,0.8,0.0,40.0,null,null,gabors,4.0,0.25019116,34,,,0,,False,0,train,0
37,0.0,93.401262,93.651484,0.08,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",40.0,0.8,45.0,30.0,null,null,gabors,4.0,0.25022134,35,,,0,,False,0,train,1
38,0.0,93.651484,93.901705,0.08,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",10.0,0.8,90.0,20.0,null,null,gabors,4.0,0.25022134,36,,,0,,False,0,train,2
39,0.0,93.901705,94.151926,0.08,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",10.0,0.8,90.0,-10.0,null,null,gabors,4.0,0.25022134,37,,,0,,False,0,train,2
40,0.0,94.151926,94.402148,0.08,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",-30.0,0.8,0.0,-20.0,null,null,gabors,4.0,0.25022134,38,,,0,,False,0,train,0
41,0.0,94.402148,94.652346,0.08,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",20.0,0.8,90.0,10.0,null,null,gabors,4.0,0.25019866,39,,,0,,False,0,train,2
42,0.0,94.652346,94.902545,0.08,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",0.0,0.8,90.0,40.0,null,null,gabors,4.0,0.25019866,40,,,0,,False,0,train,2
43,0.0,94.902545,95.152744,0.08,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",-10.0,0.8,45.0,-40.0,null,null,gabors,4.0,0.25019866,10,,,0,,False,1,train,1
44,0.0,95.152744,95.402942,0.08,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",10.0,0.8,90.0,40.0,null,null,gabors,4.0,0.25019866,26,,,0,,False,1,train,2
