stimulus_presentation_id,stimulus_block,start_time,stop_time,spatial_frequency,size,phase,x_position,contrast,orientation,y_position,color,frame,stimulus_name,temporal_frequency,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
45,0.0,95.402942,95.653159,0.08,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",-10.0,0.8,45.0,-40.0,null,null,gabors,4.0,0.25021634,10,,,0,,False,2,test,1
46,0.0,95.653159,95.903375,0.08,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",30.0,0.8,0.0,-20.0,null,null,gabors,4.0,0.25021634,41,,,0,,False,0,train,0
47,0.0,95.903375,96.153591,0.08,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",40.0,0.8,0.0,20.0,null,null,gabors,4.0,0.25021634,42,,,0,,False,0,train,0
48,0.0,96.153591,96.403808,0.08,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",10.0,0.8,45.0,-20.0,null,null,gabors,4.0,0.25021634,43,,,0,,False,0,train,1
49,0.0,96.403808,96.654006,0.08,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",30.0,0.8,45.0,-40.0,null,null,gabors,4.0,0.25019866,44,,,0,,False,0,train,1
50,0.0,96.654006,96.904205,0.08,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",40.0,0.8,0.0,-10.0,null,null,gabors,4.0,0.25019866,16,,,0,,False,1,train,0
51,0.0,96.904205,97.154404,0.08,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",40.0,0.8,45.0,-40.0,null,null,gabors,4.0,0.25019866,30,,,0,,False,1,train,1
52,0.0,97.154404,97.404602,0.08,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",30.0,0.8,0.0,40.0,null,null,gabors,4.0,0.25019866,45,,,0,,False,0,train,0
53,0.0,97.404602,97.654819,0.08,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",20.0,0.8,0.0,-10.0,null,null,gabors,4.0,0.25021634,46,,,0,,False,0,train,0
54,0.0,97.654819,97.905035,0.08,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",-40.0,0.8,0.0,20.0,null,null,gabors,4.0,0.25021634,47,,,0,,False,0,train,0
55,0.0,97.905035,98.155251,0.08,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",40.0,0.8,90.0,0.0,null,null,gabors,4.0,0.25021634,48,,,0,,False,0,train,2
56,0.0,98.155251,98.405468,0.08,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",30.0,0.8,0.0,-20.0,null,null,gabors,4.0,0.25021634,41,,,0,,False,1,train,0
57,0.0,98.405468,98.655669,0.08,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",20.0,0.8,90.0,-40.0,null,null,gabors,4.0,0.25020116,49,,,0,,False,0,train,2
58,0.0,98.655669,98.90587,0.08,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",10.0,0.8,0.0,0.0,null,null,gabors,4.0,0.25020116,50,,,0,,False,0,train,0
59,0.0,98.90587,99.156071,0.08,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",-40.0,0.8,90.0,-10.0,null,null,gabors,4.0,0.25020116,51,,,0,,False,0,train,2
60,0.0,99.156071,99.406272,0.08,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",0.0,0.8,0.0,40.0,null,null,gabors,4.0,0.25020116,52,,,0,,False,0,train,0
61,0.0,99.406272,99.656496,0.08,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",-40.0,0.8,90.0,20.0,null,null,gabors,4.0,0.25022384,53,,,0,,False,0,train,2
62,0.0,99.656496,99.90672,0.08,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",0.0,0.8,45.0,-20.0,null,null,gabors,4.0,0.25022384,54,,,0,,False,0,train,1
63,0.0,99.90672,100.15694,0.08,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",-40.0,0.8,90.0,-20.0,null,null,gabors,4.0,0.25022384,55,,,0,,False,0,train,2
64,0.0,100.15694,100.40717,0.08,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",-20.0,0.8,0.0,-20.0,null,null,gabors,4.0,0.25022384,56,,,0,,False,0,train,0
65,0.0,100.40717,100.65736,0.08,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",10.0,0.8,45.0,20.0,null,null,gabors,4.0,0.25019366,29,,,0,,False,1,train,1
66,0.0,100.65736,100.90756,0.08,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",-20.0,0.8,45.0,20.0,null,null,gabors,4.0,0.25019366,57,,,0,,False,0,train,1
67,0.0,100.90756,101.15775,0.08,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",10.0,0.8,45.0,10.0,null,null,gabors,4.0,0.25019366,58,,,0,,False,0,train,1
68,0.0,101.15775,101.40794,0.08,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",-30.0,0.8,90.0,0.0,null,null,gabors,4.0,0.25019366,59,,,0,,False,0,train,2
69,0.0,101.40794,101.65816,0.08,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",10.0,0.8,90.0,-40.0,null,null,gabors,4.0,0.25022134,60,,,0,,False,0,train,2
70,0.0,101.65816,101.90839,0.08,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",-30.0,0.8,0.0,-20.0,null,null,gabors,4.0,0.25022134,38,,,0,,False,1,train,0
71,0.0,101.90839,102.15861,0.08,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",-20.0,0.8,90.0,40.0,null,null,gabors,4.0,0.25022134,61,,,0,,False,0,train,2
72,0.0,102.15861,102.40883,0.08,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",-30.0,0.8,0.0,-40.0,null,null,gabors,4.0,0.25022134,62,,,0,,False,0,train,0
73,0.0,102.40883,102.65903,0.08,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",40.0,0.8,0.0,0.0,null,null,gabors,4.0,0.25019866,63,,,0,,False,0,train,0
74,0.0,102.65903,102.90923,0.08,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",40.0,0.8,45.0,-20.0,null,null,gabors,4.0,0.25019866,64,,,0,,False,0,train,1
75,0.0,102.90923,103.15942,0.08,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",10.0,0.8,90.0,-20.0,null,null,gabors,4.0,0.25019866,65,,,0,,False,0,train,2
76,0.0,103.15942,103.40962,0.08,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",-30.0,0.8,90.0,-20.0,null,null,gabors,4.0,0.25019866,17,,,0,,False,1,train,2
77,0.0,103.40962,103.65984,0.08,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",-30.0,0.8,90.0,-40.0,null,null,gabors,4.0,0.25021384,20,,,0,,False,1,train,2
78,0.0,103.65984,103.91005,0.08,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",-30.0,0.8,0.0,20.0,null,null,gabors,4.0,0.25021384,66,,,0,,False,0,train,0
79,0.0,103.91005,104.16026,0.08,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",40.0,0.8,90.0,20.0,null,null,gabors,4.0,0.25021384,67,,,0,,False,0,train,2
80,0.0,104.16026,104.41048,0.08,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",-30.0,0.8,0.0,20.0,null,null,gabors,4.0,0.25021384,66,,,0,,False,1,train,0
81,0.0,104.41048,104.66068,0.08,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",40.0,0.8,45.0,30.0,null,null,gabors,4.0,0.25020366,35,,,0,,False,1,train,1
82,0.0,104.66068,104.91089,0.08,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",-10.0,0.8,0.0,-10.0,null,null,gabors,4.0,0.25020366,14,,,0,,False,2,test,0
83,0.0,104.91089,105.16109,0.08,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",-20.0,0.8,45.0,20.0,null,null,gabors,4.0,0.25020366,57,,,0,,False,1,train,1
84,0.0,105.16109,105.41129,0.08,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",10.0,0.8,45.0,40.0,null,null,gabors,4.0,0.25020366,68,,,0,,False,0,train,1
85,0.0,105.41129,105.66151,0.08,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",-40.0,0.8,0.0,-40.0,null,null,gabors,4.0,0.25021634,69,,,0,,False,0,train,0
86,0.0,105.66151,105.91173,0.08,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",-20.0,0.8,45.0,-30.0,null,null,gabors,4.0,0.25021634,70,,,0,,False,0,train,1
87,0.0,105.91173,106.16194,0.08,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",-20.0,0.8,90.0,0.0,null,null,gabors,4.0,0.25021634,71,,,0,,False,0,train,2
88,0.0,106.16194,106.41216,0.08,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",0.0,0.8,45.0,-30.0,null,null,gabors,4.0,0.25021634,72,,,0,,False,0,train,1
89,0.0,106.41216,106.66236,0.08,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",30.0,0.8,45.0,40.0,null,null,gabors,4.0,0.25020116,73,,,0,,False,0,train,1
90,0.0,106.66236,106.91256,0.08,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",0.0,0.8,0.0,-30.0,null,null,gabors,4.0,0.25020116,74,,,0,,False,0,train,0
91,0.0,106.91256,107.16276,0.08,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",-10.0,0.8,90.0,-40.0,null,null,gabors,4.0,0.25020116,75,,,0,,False,0,train,2
92,0.0,107.16276,107.41296,0.08,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",-10.0,0.8,90.0,40.0,null,null,gabors,4.0,0.25020116,76,,,0,,False,0,train,2
93,0.0,107.41296,107.66319,0.08,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",30.0,0.8,0.0,40.0,null,null,gabors,4.0,0.25022384,45,,,0,,False,1,train,0
94,0.0,107.66319,107.91341,0.08,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",20.0,0.8,90.0,10.0,null,null,gabors,4.0,0.25022384,39,,,0,,False,1,train,2
95,0.0,107.91341,108.16363,0.08,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",10.0,0.8,45.0,30.0,null,null,gabors,4.0,0.25022384,77,,,0,,False,0,train,1
96,0.0,108.16363,108.41386,0.08,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",-30.0,0.8,0.0,-30.0,null,null,gabors,4.0,0.25022384,78,,,0,,False,0,train,0
97,0.0,108.41386,108.66405,0.08,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",10.0,0.8,45.0,-20.0,null,null,gabors,4.0,0.25019116,43,,,0,,False,1,train,1
98,0.0,108.66405,108.91424,0.08,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",0.0,0.8,90.0,20.0,null,null,gabors,4.0,0.25019116,1,,,0,,False,1,train,2
99,0.0,108.91424,109.16443,0.08,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",0.0,0.8,0.0,0.0,null,null,gabors,4.0,0.25019116,79,,,0,,False,0,train,0
100,0.0,109.16443,109.41462,0.08,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",10.0,0.8,90.0,-20.0,null,null,gabors,4.0,0.25019116,65,,,0,,False,1,train,2
101,0.0,109.41462,109.66484,0.08,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",-10.0,0.8,0.0,30.0,null,null,gabors,4.0,0.25021884,80,,,0,,False,0,train,0
102,0.0,109.66484,109.91506,0.08,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",-30.0,0.8,45.0,-10.0,null,null,gabors,4.0,0.25021884,3,,,0,,False,1,train,1
103,0.0,109.91506,110.16528,0.08,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",30.0,0.8,0.0,10.0,null,null,gabors,4.0,0.25021884,81,,,0,,False,0,train,0
104,0.0,110.16528,110.4155,0.08,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",-10.0,0.8,0.0,-30.0,null,null,gabors,4.0,0.25021884,82,,,0,,False,0,train,0
105,0.0,110.4155,110.6657,0.08,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",-40.0,0.8,0.0,20.0,null,null,gabors,4.0,0.25019866,47,,,0,,False,1,train,0
106,0.0,110.6657,110.9159,0.08,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",10.0,0.8,45.0,0.0,null,null,gabors,4.0,0.25019866,83,,,0,,False,0,train,1
107,0.0,110.9159,111.16609,0.08,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",-30.0,0.8,45.0,30.0,null,null,gabors,4.0,0.25019866,84,,,0,,False,0,train,1
108,0.0,111.16609,111.41629,0.08,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",-40.0,0.8,90.0,40.0,null,null,gabors,4.0,0.25019866,85,,,0,,False,0,train,2
109,0.0,111.41629,111.66652,0.08,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",-40.0,0.8,90.0,-30.0,null,null,gabors,4.0,0.25022634,21,,,0,,False,1,train,2
110,0.0,111.66652,111.91675,0.08,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",-40.0,0.8,45.0,-20.0,null,null,gabors,4.0,0.25022634,86,,,0,,False,0,train,1
111,0.0,111.91675,112.16697,0.08,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",30.0,0.8,0.0,-10.0,null,null,gabors,4.0,0.25022634,87,,,0,,False,0,train,0
112,0.0,112.16697,112.4172,0.08,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",30.0,0.8,90.0,-10.0,null,null,gabors,4.0,0.25022634,88,,,0,,False,0,train,2
113,0.0,112.4172,112.66739,0.08,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",40.0,0.8,90.0,40.0,null,null,gabors,4.0,0.25019116,89,,,0,,False,0,train,2
114,0.0,112.66739,112.91758,0.08,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",10.0,0.8,0.0,10.0,null,null,gabors,4.0,0.25019116,90,,,0,,False,0,train,0
115,0.0,112.91758,113.16777,0.08,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",0.0,0.8,90.0,20.0,null,null,gabors,4.0,0.25019116,1,,,0,,False,2,test,2
116,0.0,113.16777,113.41796,0.08,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",-20.0,0.8,90.0,20.0,null,null,gabors,4.0,0.25019116,91,,,0,,False,0,train,2
117,0.0,113.41796,113.66819,0.08,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",30.0,0.8,0.0,40.0,null,null,gabors,4.0,0.25022384,45,,,0,,False,2,test,0
118,0.0,113.66819,113.91841,0.08,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",-20.0,0.8,0.0,-30.0,null,null,gabors,4.0,0.25022384,92,,,0,,False,0,train,0
119,0.0,113.91841,114.16863,0.08,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",40.0,0.8,90.0,-20.0,null,null,gabors,4.0,0.25022384,93,,,0,,False,0,train,2
120,0.0,114.16863,114.41886,0.08,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",30.0,0.8,0.0,-40.0,null,null,gabors,4.0,0.25022384,9,,,0,,False,1,train,0
121,0.0,114.41886,114.66905,0.08,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",-10.0,0.8,90.0,0.0,null,null,gabors,4.0,0.25019616,94,,,0,,False,0,train,2
122,0.0,114.66905,114.91925,0.08,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",-20.0,0.8,45.0,-40.0,null,null,gabors,4.0,0.25019616,95,,,0,,False,0,train,1
123,0.0,114.91925,115.16945,0.08,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",30.0,0.8,45.0,-10.0,null,null,gabors,4.0,0.25019616,96,,,0,,False,0,train,1
124,0.0,115.16945,115.41964,0.08,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",0.0,0.8,0.0,-20.0,null,null,gabors,4.0,0.25019616,97,,,0,,False,0,train,0
125,0.0,115.41964,115.66986,0.08,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",-20.0,0.8,45.0,30.0,null,null,gabors,4.0,0.25021384,25,,,0,,False,1,train,1
126,0.0,115.66986,115.92007,0.08,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",40.0,0.8,90.0,40.0,null,null,gabors,4.0,0.25021384,89,,,0,,False,1,train,2
127,0.0,115.92007,116.17028,0.08,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",10.0,0.8,0.0,-10.0,null,null,gabors,4.0,0.25021384,6,,,0,,False,1,train,0
128,0.0,116.17028,116.4205,0.08,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",-40.0,0.8,90.0,0.0,null,null,gabors,4.0,0.25021384,98,,,0,,False,0,train,2
129,0.0,116.4205,116.6707,0.08,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",10.0,0.8,0.0,-30.0,null,null,gabors,4.0,0.25020366,99,,,0,,False,0,train,0
130,0.0,116.6707,116.92091,0.08,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",-20.0,0.8,0.0,10.0,null,null,gabors,4.0,0.25020366,100,,,0,,False,0,train,0
131,0.0,116.92091,117.17111,0.08,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",-40.0,0.8,90.0,20.0,null,null,gabors,4.0,0.25020366,53,,,0,,False,1,train,2
132,0.0,117.17111,117.42131,0.08,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",10.0,0.8,90.0,-40.0,null,null,gabors,4.0,0.25020366,60,,,0,,False,1,train,2
133,0.0,117.42131,117.67153,0.08,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",40.0,0.8,45.0,20.0,null,null,gabors,4.0,0.25022134,101,,,0,,False,0,train,1
134,0.0,117.67153,117.92176,0.08,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",-20.0,0.8,45.0,-20.0,null,null,gabors,4.0,0.25022134,102,,,0,,False,0,train,1
135,0.0,117.92176,118.17198,0.08,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",-10.0,0.8,0.0,20.0,null,null,gabors,4.0,0.25022134,103,,,0,,False,0,train,0
136,0.0,118.17198,118.4222,0.08,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",20.0,0.8,90.0,-30.0,null,null,gabors,4.0,0.25022134,104,,,0,,False,0,train,2
137,0.0,118.4222,118.67239,0.08,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",30.0,0.8,45.0,20.0,null,null,gabors,4.0,0.25019616,105,,,0,,False,0,train,1
138,0.0,118.67239,118.92259,0.08,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",-20.0,0.8,0.0,10.0,null,null,gabors,4.0,0.25019616,100,,,0,,False,1,train,0
