group,preference,sessions,median_correlation_raw,median_correlation_aligned,median_paired_correlation_change,median_rmse_raw_octaves,median_rmse_aligned_octaves,median_paired_rmse_change_octaves,median_coverage_raw,median_coverage_aligned
HVA pooled,sf,31,0.148888,0.135891,0.0177268,0.240661,0.249861,-0.000645762,1,1
HVA pooled,tf,31,0.36653,0.0677002,-0.323705,0.360797,0.36972,0.0192885,1,1
V1,sf,31,0.00191219,0.223144,-0.0207635,0.249912,0.254134,0.0133114,1,1
V1,tf,31,0.481616,0.136067,-0.341567,0.140907,0.159191,0.0100126,1,1
