ecephys_session_id,selected_model,translation_azimuth_deg,translation_elevation_deg,rotation_deg,log_scale_azimuth,log_scale_elevation,shear,identity_regularized_loss,aligned_regularized_loss,regularized_loss_gain,identity_rf_size_correlation,aligned_rf_size_correlation,azimuth_profile_width_deg,elevation_profile_width_deg,translation_at_bound,split_half
739448407,interior_v1_rf_size_translation,3.66831,13.7815,0,0,0,0,0.847986,0.205889,0.642097,0.152014,0.81445,2,8,False,1
742951821,interior_v1_rf_size_translation,20,6.5504,0,0,0,0,0.876715,0.263334,0.613381,0.127843,0.780956,,10,True,1
744228101,interior_v1_rf_size_translation,11.9717,17.328,0,0,0,0,1.72373,0.55106,1.17267,-0.723734,0.493298,,,False,1
746083955,interior_v1_rf_size_translation,17.334,5.33158,0,0,0,0,0.467127,0.110872,0.356255,0.532873,0.922017,1,4,False,1
750332458,interior_v1_rf_size_translation,-9.34896,-5.33341,0,0,0,0,0.240149,0.123607,0.116541,0.759851,0.887977,9,3,False,1
750749662,interior_v1_rf_size_translation,20,20,0,0,0,0,1.29323,0.390639,0.902588,-0.293227,0.689361,2.5,0,True,1
751348571,interior_v1_rf_size_translation,-5.34839,2.6668,0,0,0,0,0.273015,0.126039,0.146976,0.727297,0.877533,4,2.5,False,1
754312389,interior_v1_rf_size_translation,19.9938,0.000310216,0,0,0,0,1.24947,0.464566,0.784907,-0.249205,0.57541,0,2,True,1
754829445,interior_v1_rf_size_translation,-16.0006,-4.0007,0,0,0,0,0.217877,0.147427,0.0704507,0.782123,0.879776,4.5,5,False,1
755434585,interior_v1_rf_size_translation,19.9415,3.07176,0,0,0,0,0.871363,0.463728,0.407634,0.128927,0.576982,1,27,True,1
756029989,interior_v1_rf_size_translation,20,-14.6737,0,0,0,0,1.04456,0.271587,0.772968,-0.0437991,0.789944,0.5,4.5,True,1
757216464,interior_v1_rf_size_translation,-4.00289,-5.33396,0,0,0,0,0.45009,0.125896,0.324194,0.54991,0.878551,4,2,False,1
757970808,interior_v1_rf_size_translation,-20,-0.371701,0,0,0,0,1.37149,0.284488,1.087,-0.369645,0.755526,0,7,True,1
758798717,interior_v1_rf_size_translation,19.505,-2.66668,0,0,0,0,0.711532,0.231207,0.480325,0.288468,0.807549,3.5,2.5,False,1
759883607,interior_v1_rf_size_translation,17.3297,-2.66756,0,0,0,0,0.836943,0.264,0.572944,0.163057,0.766744,4.5,2.5,False,1
760345702,interior_v1_rf_size_translation,2.663,6.66696,0,0,0,0,0.549182,0.398393,0.150789,0.450818,0.606761,26.5,16.5,False,1
760693773,interior_v1_rf_size_translation,-5.35155,-16.8551,0,0,0,0,1.24053,0.551087,0.689445,-0.240533,0.480186,1.5,2.5,False,1
761418226,interior_v1_rf_size_translation,-12.6474,17.3336,0,0,0,0,1.76151,0.594158,1.16735,-0.760712,0.451882,1,2,False,1
762120172,interior_v1_rf_size_translation,-12.0069,4.00016,0,0,0,0,0.189889,0.090097,0.0997916,0.81097,0.92592,3,3.5,False,1
762602078,interior_v1_rf_size_translation,-19.9893,17.3331,0,0,0,0,1.63371,0.53947,1.09424,-0.63371,0.530531,,0,True,1
763673393,interior_v1_rf_size_translation,-17.3299,-19.992,0,0,0,0,1.69578,0.600956,1.09483,-0.695034,0.469045,,,True,1
773418906,interior_v1_rf_size_translation,7.94039,-2.66671,0,0,0,0,0.308435,0.180847,0.127588,0.691565,0.826169,7.5,2,False,1
791319847,interior_v1_rf_size_translation,-1.33984,17.3339,0,0,0,0,0.688943,0.37727,0.311674,0.311635,0.652956,1,3,False,1
797828357,interior_v1_rf_size_translation,-1.87911,-20,0,0,0,0,1.10311,0.299872,0.803233,-0.10215,0.740481,9,1,True,1
798911424,interior_v1_rf_size_translation,19.9992,-5.33466,0,0,0,0,0.981448,0.263656,0.717792,0.0188298,0.779187,0.5,2,True,1
799864342,interior_v1_rf_size_translation,-19.9992,-2.67149,0,0,0,0,0.789961,0.500135,0.289826,0.210039,0.540575,0,2.5,True,1
