unit_id,cortical_depth,cortical_layer,ecephys_structure_acronym
4000162,996.61,,V1_site4_A
4000163,998.39,,V1_site4_A
4000164,1021.55,,V1_site4_A
4000165,991.87,,V1_site4_A
4000166,1001.83,,V1_site4_A
4000167,1015.06,,V1_site4_A
4000168,1005.38,,V1_site4_A
4000169,1022.47,,V1_site4_A
4000170,1004.6,,V1_site4_A
4000171,1021.76,,V1_site4_A
4000172,990.87,,V1_site4_A
4000173,1024.24,,V1_site4_A
4000174,1023.72,,V1_site4_A
4000175,1005.04,,V1_site4_A
4000176,1037.54,,V1_site4_A
4000177,1045.17,,V1_site4_A
4000178,1063.77,,V1_site4_A
4000179,1056.16,,V1_site4_A
4000180,1035.87,,V1_site4_A
4000181,1037.67,,V1_site4_A
4000182,1059.16,,V1_site4_A
4000183,1064.41,,V1_site4_A
4000184,1058.72,,V1_site4_A
4000185,1059.2,,V1_site4_A
4000186,1027.78,,V1_site4_A
4000187,1061.72,,V1_site4_A
4000188,1055.38,,V1_site4_A
4000189,1078.26,,V1_site4_A
4000190,1111.31,,V1_site4_A
4000191,1079.22,,V1_site4_A
4000192,1089.11,,V1_site4_A
4000193,1070.83,,V1_site4_A
4000194,1080.2,,V1_site4_A
4000195,1079.42,,V1_site4_A
4000196,1082.97,,V1_site4_A
4000197,1109.31,,V1_site4_A
4000198,1127.46,,V1_site4_A
4000199,1127.02,,V1_site4_A
4000200,1262.95,,V1_site4_A
4000201,1177.64,,V1_site4_A
4000202,1110.79,,V1_site4_A
4000203,1215.62,,V1_site4_A
4000204,1265.79,,V1_site4_A
4000205,1296.34,,V1_site4_A
4000206,2413.24,,V1_site4_A
4000207,1279.62,,V1_site4_A
4000208,1325.7,,V1_site4_A
4000209,1343.16,,V1_site4_A
4000210,1347.6,,V1_site4_A
4000211,1381.85,,V1_site4_A
4000212,1383.19,,V1_site4_A
4000213,1419.25,,V1_site4_A
4000214,1424.76,,V1_site4_A
4000215,1424.24,,V1_site4_A
4000216,1457.83,,V1_site4_A
4000217,1458.91,,V1_site4_A
4000218,1455.67,,V1_site4_A
4000219,1496.57,,V1_site4_A
4000220,1494.54,,V1_site4_A
4000221,1526.29,,V1_site4_A
4000222,1543.37,,V1_site4_A
4000223,1545.86,,V1_site4_A
4000224,1583.21,,V1_site4_A
4000225,-7.39,,V1_site4_A
4000226,1623.41,,V1_site4_A
4000227,1578.22,,V1_site4_A
4000228,1585.44,,V1_site4_A
4000229,1610.0,,V1_site4_A
4000230,1661.32,,V1_site4_A
4000231,1650.29,,V1_site4_A
4000232,1632.82,,V1_site4_A
4000233,1607.94,,V1_site4_A
4000234,1659.67,,V1_site4_A
4000235,1626.28,,V1_site4_A
4000236,1606.74,,V1_site4_A
4000237,1625.68,,V1_site4_A
4000238,1610.19,,V1_site4_A
4000239,1660.5,,V1_site4_A
4000240,1621.07,,V1_site4_A
4000241,1732.57,,V1_site4_A
4000242,1652.91,,V1_site4_A
4000243,1677.99,,V1_site4_A
4000244,1647.37,,V1_site4_A
4000245,1670.23,,V1_site4_A
4000246,1678.36,,V1_site4_A
4000247,1662.59,,V1_site4_A
4000248,1714.11,,V1_site4_A
4000249,1679.73,,V1_site4_A
4000250,1659.35,,V1_site4_A
4000251,1689.0,,V1_site4_A
4000252,1710.11,,V1_site4_A
4000253,1697.37,,V1_site4_A
4000254,1685.39,,V1_site4_A
4000255,1702.49,,V1_site4_A
4000256,1696.29,,V1_site4_A
4000257,1730.43,,V1_site4_A
4000258,1712.3,,V1_site4_A
4000259,1688.55,,V1_site4_A
4000260,1707.88,,V1_site4_A
4000261,1727.72,,V1_site4_A
4000262,1742.08,,V1_site4_A
4000263,1689.93,,V1_site4_A
4000264,1695.27,,V1_site4_A
4000265,1693.72,,V1_site4_A
4000266,1731.4,,V1_site4_A
4000267,1719.14,,V1_site4_A
4000268,1706.42,,V1_site4_A
4000269,1712.17,,V1_site4_A
4000270,1702.85,,V1_site4_A
4000271,1749.44,,V1_site4_A
4000272,1719.12,,V1_site4_A
4000273,1735.19,,V1_site4_A
4000274,1734.03,,V1_site4_A
4000275,1728.75,,V1_site4_A
4000276,1701.61,,V1_site4_A
4000277,1747.33,,V1_site4_A
4000278,1729.63,,V1_site4_A
4000279,1744.45,,V1_site4_A
4000280,1753.05,,V1_site4_A
4000281,1740.77,,V1_site4_A
4000282,1735.53,,V1_site4_A
4000283,1761.68,,V1_site4_A
4000284,1756.5,,V1_site4_A
4000285,1756.29,,V1_site4_A
4000286,1747.06,,V1_site4_A
4000287,1742.12,,V1_site4_A
4000288,1750.26,,V1_site4_A
4000289,1727.06,,V1_site4_A
4000290,1742.9,,V1_site4_A
4000291,1769.92,,V1_site4_A
4000292,1774.5,,V1_site4_A
4000293,1767.67,,V1_site4_A
4000294,1783.4,,V1_site4_A
4000295,1767.62,,V1_site4_A
4000296,1751.51,,V1_site4_A
4000297,1782.96,,V1_site4_A
4000298,1762.19,,V1_site4_A
4000299,1770.41,,V1_site4_A
4000300,1743.65,,V1_site4_A
4000301,1775.3,,V1_site4_A
4000302,1757.49,,V1_site4_A
4000303,1764.22,,V1_site4_A
4000304,1771.93,,V1_site4_A
4000305,1776.75,,V1_site4_A
4000306,1778.24,,V1_site4_A
4000307,1835.02,,V1_site4_A
4000308,1827.97,,V1_site4_A
4000309,1790.08,,V1_site4_A
4000310,1787.98,,V1_site4_A
4000311,1790.18,,V1_site4_A
4000312,1831.06,,V1_site4_A
4000313,1791.01,,V1_site4_A
4000314,1803.68,,V1_site4_A
4000315,1860.32,,V1_site4_A
4000316,1838.98,,V1_site4_A
4000317,1850.67,,V1_site4_A
4000318,1856.94,,V1_site4_A
4000319,1826.81,,V1_site4_A
4000320,1867.55,,V1_site4_A
4000321,1847.29,,V1_site4_A
4000322,1827.25,,V1_site4_A
4000323,1871.03,,V1_site4_A
4000324,1886.92,,V1_site4_A
4000325,1790.32,,V1_site4_A
4000326,1882.97,,V1_site4_A
4000327,1892.16,,V1_site4_A
4000328,1876.8,,V1_site4_A
4000329,1878.18,,V1_site4_A
4000330,1905.68,,V1_site4_A
4000331,1896.63,,V1_site4_A
4000332,1919.96,,V1_site4_A
4000333,1910.83,,V1_site4_A
4000334,1908.13,,V1_site4_A
4000335,1909.05,,V1_site4_A
4000336,1919.2,,V1_site4_A
4000337,1910.46,,V1_site4_A
4000338,1948.55,,V1_site4_A
4000339,1943.97,,V1_site4_A
4000340,1942.06,,V1_site4_A
4000341,1940.21,,V1_site4_A
4000342,1918.17,,V1_site4_A
4000343,1930.05,,V1_site4_A
4000344,1964.99,,V1_site4_A
4000345,1965.2,,V1_site4_A
4000346,1968.69,,V1_site4_A
4000347,1948.83,,V1_site4_A
4000348,2002.57,,V1_site4_A
4000349,2010.2,,V1_site4_A
4000350,2020.94,,V1_site4_A
4000351,2000.59,,V1_site4_A
4000352,2065.04,,V1_site4_A
4000353,2069.81,,V1_site4_A
4000354,2195.09,,V1_site4_A
4000355,2062.74,,V1_site4_A
4000356,2101.63,,V1_site4_A
4000357,2083.03,,V1_site4_A
4000358,2098.64,,V1_site4_A
4000359,2084.24,,V1_site4_A
4000360,2077.58,,V1_site4_A
4000361,2099.38,,V1_site4_A
4000362,2075.36,,V1_site4_A
4000363,2103.69,,V1_site4_A
4000364,2112.39,,V1_site4_A
4000365,2111.93,,V1_site4_A
4000366,2092.94,,V1_site4_A
4000367,2113.14,,V1_site4_A
4000368,2108.12,,V1_site4_A
4000369,2145.77,,V1_site4_A
4000370,2121.94,,V1_site4_A
4000371,2148.43,,V1_site4_A
4000372,2122.46,,V1_site4_A
4000373,2148.05,,V1_site4_A
4000374,2147.47,,V1_site4_A
4000375,2146.65,,V1_site4_A
4000376,2163.7,,V1_site4_A
4000377,2170.86,,V1_site4_A
4000378,2183.6,,V1_site4_A
4000379,2191.56,,V1_site4_A
4000380,2168.7,,V1_site4_A
4000381,2190.82,,V1_site4_A
4000382,2179.68,,V1_site4_A
4000383,2165.47,,V1_site4_A
4000384,2171.46,,V1_site4_A
4000385,2193.52,,V1_site4_A
4000386,2229.42,,V1_site4_A
4000387,2222.39,,V1_site4_A
4000388,2197.27,,V1_site4_A
4000389,2221.92,,V1_site4_A
4000390,2227.11,,V1_site4_A
4000391,2212.65,,V1_site4_A
4000392,2233.27,,V1_site4_A
4000393,2200.2,,V1_site4_A
4000394,2221.69,,V1_site4_A
4000395,2237.14,,V1_site4_A
4000396,2255.8,,V1_site4_A
4000397,2271.18,,V1_site4_A
4000398,2263.93,,V1_site4_A
4000399,2260.48,,V1_site4_A
4000400,2247.1,,V1_site4_A
4000401,2267.9,,V1_site4_A
4000402,2250.61,,V1_site4_A
4000403,2235.37,,V1_site4_A
4000404,2233.38,,V1_site4_A
4000405,2269.16,,V1_site4_A
4000406,2255.32,,V1_site4_A
4000407,2273.67,,V1_site4_A
4000408,2308.82,,V1_site4_A
4000409,2298.46,,V1_site4_A
4000410,2284.46,,V1_site4_A
4000411,2271.32,,V1_site4_A
4000412,2308.62,,V1_site4_A
4000413,2279.46,,V1_site4_A
4000414,2304.35,,V1_site4_A
4000415,2294.32,,V1_site4_A
4000416,2297.02,,V1_site4_A
