stimulus_presentation_id,stimulus_block,start_time,stop_time,y_position,frame,temporal_frequency,size,Dir,x_position,spatial_frequency,coherence,stimulus_name,Speed,phase,color,contrast,orientation,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
13,0.0,71.356958,71.607177,-10.0,null,4.0,"[20.0, 20.0]",null,30.0,0.08,null,gabors,null,"[3644.93333333, 3644.93333333]",null,0.8,0.0,0.25021882,12,,,0,,False,0,train,0
14,0.0,71.607177,71.857395,-30.0,null,4.0,"[20.0, 20.0]",null,40.0,0.08,null,gabors,null,"[3644.93333333, 3644.93333333]",null,0.8,90.0,0.25021882,13,,,0,,False,0,train,2
15,0.0,71.857395,72.107614,0.0,null,4.0,"[20.0, 20.0]",null,-20.0,0.08,null,gabors,null,"[3644.93333333, 3644.93333333]",null,0.8,0.0,0.25021882,14,,,0,,False,0,train,0
16,0.0,72.107614,72.357833,20.0,null,4.0,"[20.0, 20.0]",null,-30.0,0.08,null,gabors,null,"[3644.93333333, 3644.93333333]",null,0.8,90.0,0.25021882,15,,,0,,False,0,train,2
17,0.0,72.357833,72.608034,-10.0,null,4.0,"[20.0, 20.0]",null,30.0,0.08,null,gabors,null,"[3644.93333333, 3644.93333333]",null,0.8,0.0,0.25020118,12,,,0,,False,1,train,0
18,0.0,72.608034,72.858235,-30.0,null,4.0,"[20.0, 20.0]",null,-10.0,0.08,null,gabors,null,"[3644.93333333, 3644.93333333]",null,0.8,0.0,0.25020118,16,,,0,,False,0,train,0
19,0.0,72.858235,73.108437,10.0,null,4.0,"[20.0, 20.0]",null,30.0,0.08,null,gabors,null,"[3644.93333333, 3644.93333333]",null,0.8,0.0,0.25020118,17,,,0,,False,0,train,0
20,0.0,73.108437,73.358638,0.0,null,4.0,"[20.0, 20.0]",null,-40.0,0.08,null,gabors,null,"[3644.93333333, 3644.93333333]",null,0.8,45.0,0.25020118,18,,,0,,False,0,train,1
21,0.0,73.358638,73.608852,20.0,null,4.0,"[20.0, 20.0]",null,0.0,0.08,null,gabors,null,"[3644.93333333, 3644.93333333]",null,0.8,0.0,0.25021382,19,,,0,,False,0,train,0
22,0.0,73.608852,73.859065,40.0,null,4.0,"[20.0, 20.0]",null,0.0,0.08,null,gabors,null,"[3644.93333333, 3644.93333333]",null,0.8,0.0,0.25021382,20,,,0,,False,0,train,0
23,0.0,73.859065,74.109279,30.0,null,4.0,"[20.0, 20.0]",null,40.0,0.08,null,gabors,null,"[3644.93333333, 3644.93333333]",null,0.8,90.0,0.25021382,21,,,0,,False,0,train,2
24,0.0,74.109279,74.359493,30.0,null,4.0,"[20.0, 20.0]",null,20.0,0.08,null,gabors,null,"[3644.93333333, 3644.93333333]",null,0.8,45.0,0.25021382,22,,,0,,False,0,train,1
25,0.0,74.359493,74.609699,-40.0,null,4.0,"[20.0, 20.0]",null,-40.0,0.08,null,gabors,null,"[3644.93333333, 3644.93333333]",null,0.8,45.0,0.25020618,23,,,0,,False,0,train,1
26,0.0,74.609699,74.859905,-30.0,null,4.0,"[20.0, 20.0]",null,-30.0,0.08,null,gabors,null,"[3644.93333333, 3644.93333333]",null,0.8,45.0,0.25020618,24,,,0,,False,0,train,1
27,0.0,74.859905,75.110112,20.0,null,4.0,"[20.0, 20.0]",null,-30.0,0.08,null,gabors,null,"[3644.93333333, 3644.93333333]",null,0.8,45.0,0.25020618,25,,,0,,False,0,train,1
28,0.0,75.110112,75.360318,40.0,null,4.0,"[20.0, 20.0]",null,30.0,0.08,null,gabors,null,"[3644.93333333, 3644.93333333]",null,0.8,0.0,0.25020618,26,,,0,,False,0,train,0
29,0.0,75.360318,75.610534,40.0,null,4.0,"[20.0, 20.0]",null,-30.0,0.08,null,gabors,null,"[3644.93333333, 3644.93333333]",null,0.8,0.0,0.25021632,27,,,0,,False,0,train,0
30,0.0,75.610534,75.86075,-40.0,null,4.0,"[20.0, 20.0]",null,-10.0,0.08,null,gabors,null,"[3644.93333333, 3644.93333333]",null,0.8,45.0,0.25021632,28,,,0,,False,0,train,1
31,0.0,75.86075,76.110967,-10.0,null,4.0,"[20.0, 20.0]",null,-40.0,0.08,null,gabors,null,"[3644.93333333, 3644.93333333]",null,0.8,0.0,0.25021632,29,,,0,,False,0,train,0
32,0.0,76.110967,76.361183,-40.0,null,4.0,"[20.0, 20.0]",null,-40.0,0.08,null,gabors,null,"[3644.93333333, 3644.93333333]",null,0.8,45.0,0.25021632,23,,,0,,False,1,train,1
33,0.0,76.361183,76.611379,20.0,null,4.0,"[20.0, 20.0]",null,-40.0,0.08,null,gabors,null,"[3644.93333333, 3644.93333333]",null,0.8,0.0,0.25019618,30,,,0,,False,0,train,0
34,0.0,76.611379,76.861575,10.0,null,4.0,"[20.0, 20.0]",null,-10.0,0.08,null,gabors,null,"[3644.93333333, 3644.93333333]",null,0.8,0.0,0.25019618,31,,,0,,False,0,train,0
35,0.0,76.861575,77.111772,30.0,null,4.0,"[20.0, 20.0]",null,-30.0,0.08,null,gabors,null,"[3644.93333333, 3644.93333333]",null,0.8,90.0,0.25019618,32,,,0,,False,0,train,2
36,0.0,77.111772,77.361968,10.0,null,4.0,"[20.0, 20.0]",null,20.0,0.08,null,gabors,null,"[3644.93333333, 3644.93333333]",null,0.8,90.0,0.25019618,33,,,0,,False,0,train,2
37,0.0,77.361968,77.612189,-10.0,null,4.0,"[20.0, 20.0]",null,40.0,0.08,null,gabors,null,"[3644.93333333, 3644.93333333]",null,0.8,0.0,0.25022132,34,,,0,,False,0,train,0
38,0.0,77.612189,77.86241,10.0,null,4.0,"[20.0, 20.0]",null,-10.0,0.08,null,gabors,null,"[3644.93333333, 3644.93333333]",null,0.8,90.0,0.25022132,35,,,0,,False,0,train,2
39,0.0,77.86241,78.112632,-20.0,null,4.0,"[20.0, 20.0]",null,-40.0,0.08,null,gabors,null,"[3644.93333333, 3644.93333333]",null,0.8,0.0,0.25022132,36,,,0,,False,0,train,0
40,0.0,78.112632,78.362853,-30.0,null,4.0,"[20.0, 20.0]",null,10.0,0.08,null,gabors,null,"[3644.93333333, 3644.93333333]",null,0.8,0.0,0.25022132,37,,,0,,False,0,train,0
41,0.0,78.362853,78.613052,40.0,null,4.0,"[20.0, 20.0]",null,-30.0,0.08,null,gabors,null,"[3644.93333333, 3644.93333333]",null,0.8,90.0,0.25019868,38,,,0,,False,0,train,2
42,0.0,78.613052,78.86325,30.0,null,4.0,"[20.0, 20.0]",null,-40.0,0.08,null,gabors,null,"[3644.93333333, 3644.93333333]",null,0.8,0.0,0.25019868,39,,,0,,False,0,train,0
43,0.0,78.86325,79.113449,0.0,null,4.0,"[20.0, 20.0]",null,-30.0,0.08,null,gabors,null,"[3644.93333333, 3644.93333333]",null,0.8,45.0,0.25019868,40,,,0,,False,0,train,1
44,0.0,79.113449,79.363648,-20.0,null,4.0,"[20.0, 20.0]",null,-20.0,0.08,null,gabors,null,"[3644.93333333, 3644.93333333]",null,0.8,90.0,0.25019868,41,,,0,,False,0,train,2
45,0.0,79.363648,79.613864,20.0,null,4.0,"[20.0, 20.0]",null,10.0,0.08,null,gabors,null,"[3644.93333333, 3644.93333333]",null,0.8,0.0,0.25021632,42,,,0,,False,0,train,0
46,0.0,79.613864,79.86408,-20.0,null,4.0,"[20.0, 20.0]",null,-40.0,0.08,null,gabors,null,"[3644.93333333, 3644.93333333]",null,0.8,90.0,0.25021632,43,,,0,,False,0,train,2
47,0.0,79.86408,80.114297,-30.0,null,4.0,"[20.0, 20.0]",null,20.0,0.08,null,gabors,null,"[3644.93333333, 3644.93333333]",null,0.8,45.0,0.25021632,44,,,0,,False,0,train,1
48,0.0,80.114297,80.364513,30.0,null,4.0,"[20.0, 20.0]",null,-30.0,0.08,null,gabors,null,"[3644.93333333, 3644.93333333]",null,0.8,45.0,0.25021632,45,,,0,,False,0,train,1
49,0.0,80.364513,80.614714,30.0,null,4.0,"[20.0, 20.0]",null,-20.0,0.08,null,gabors,null,"[3644.93333333, 3644.93333333]",null,0.8,0.0,0.25020118,46,,,0,,False,0,train,0
50,0.0,80.614714,80.864915,-40.0,null,4.0,"[20.0, 20.0]",null,-40.0,0.08,null,gabors,null,"[3644.93333333, 3644.93333333]",null,0.8,0.0,0.25020118,47,,,0,,False,0,train,0
51,0.0,80.864915,81.115117,10.0,null,4.0,"[20.0, 20.0]",null,40.0,0.08,null,gabors,null,"[3644.93333333, 3644.93333333]",null,0.8,45.0,0.25020118,48,,,0,,False,0,train,1
52,0.0,81.115117,81.365318,-20.0,null,4.0,"[20.0, 20.0]",null,-30.0,0.08,null,gabors,null,"[3644.93333333, 3644.93333333]",null,0.8,90.0,0.25020118,49,,,0,,False,0,train,2
53,0.0,81.365318,81.615532,30.0,null,4.0,"[20.0, 20.0]",null,20.0,0.08,null,gabors,null,"[3644.93333333, 3644.93333333]",null,0.8,0.0,0.25021382,50,,,0,,False,0,train,0
54,0.0,81.615532,81.865745,-20.0,null,4.0,"[20.0, 20.0]",null,40.0,0.08,null,gabors,null,"[3644.93333333, 3644.93333333]",null,0.8,45.0,0.25021382,51,,,0,,False,0,train,1
55,0.0,81.865745,82.115959,-30.0,null,4.0,"[20.0, 20.0]",null,40.0,0.08,null,gabors,null,"[3644.93333333, 3644.93333333]",null,0.8,45.0,0.25021382,52,,,0,,False,0,train,1
56,0.0,82.115959,82.366173,-40.0,null,4.0,"[20.0, 20.0]",null,10.0,0.08,null,gabors,null,"[3644.93333333, 3644.93333333]",null,0.8,45.0,0.25021382,53,,,0,,False,0,train,1
57,0.0,82.366173,82.616379,-40.0,null,4.0,"[20.0, 20.0]",null,-40.0,0.08,null,gabors,null,"[3644.93333333, 3644.93333333]",null,0.8,90.0,0.25020618,54,,,0,,False,0,train,2
58,0.0,82.616379,82.866585,-30.0,null,4.0,"[20.0, 20.0]",null,-40.0,0.08,null,gabors,null,"[3644.93333333, 3644.93333333]",null,0.8,45.0,0.25020618,55,,,0,,False,0,train,1
59,0.0,82.866585,83.116792,30.0,null,4.0,"[20.0, 20.0]",null,20.0,0.08,null,gabors,null,"[3644.93333333, 3644.93333333]",null,0.8,0.0,0.25020618,50,,,0,,False,1,train,0
60,0.0,83.116792,83.366998,0.0,null,4.0,"[20.0, 20.0]",null,10.0,0.08,null,gabors,null,"[3644.93333333, 3644.93333333]",null,0.8,90.0,0.25020618,56,,,0,,False,0,train,2
61,0.0,83.366998,83.617212,0.0,null,4.0,"[20.0, 20.0]",null,-30.0,0.08,null,gabors,null,"[3644.93333333, 3644.93333333]",null,0.8,0.0,0.25021382,57,,,0,,False,0,train,0
62,0.0,83.617212,83.867425,-40.0,null,4.0,"[20.0, 20.0]",null,-10.0,0.08,null,gabors,null,"[3644.93333333, 3644.93333333]",null,0.8,45.0,0.25021382,28,,,0,,False,1,train,1
63,0.0,83.867425,84.117639,40.0,null,4.0,"[20.0, 20.0]",null,30.0,0.08,null,gabors,null,"[3644.93333333, 3644.93333333]",null,0.8,45.0,0.25021382,58,,,0,,False,0,train,1
64,0.0,84.117639,84.367853,0.0,null,4.0,"[20.0, 20.0]",null,-10.0,0.08,null,gabors,null,"[3644.93333333, 3644.93333333]",null,0.8,0.0,0.25021382,59,,,0,,False,0,train,0
65,0.0,84.367853,84.618054,-30.0,null,4.0,"[20.0, 20.0]",null,40.0,0.08,null,gabors,null,"[3644.93333333, 3644.93333333]",null,0.8,90.0,0.25020118,13,,,0,,False,1,train,2
66,0.0,84.618054,84.868255,0.0,null,4.0,"[20.0, 20.0]",null,-40.0,0.08,null,gabors,null,"[3644.93333333, 3644.93333333]",null,0.8,45.0,0.25020118,18,,,0,,False,1,train,1
67,0.0,84.868255,85.118457,30.0,null,4.0,"[20.0, 20.0]",null,40.0,0.08,null,gabors,null,"[3644.93333333, 3644.93333333]",null,0.8,0.0,0.25020118,60,,,0,,False,0,train,0
68,0.0,85.118457,85.368658,-20.0,null,4.0,"[20.0, 20.0]",null,-10.0,0.08,null,gabors,null,"[3644.93333333, 3644.93333333]",null,0.8,45.0,0.25020118,61,,,0,,False,0,train,1
69,0.0,85.368658,85.618872,-20.0,null,4.0,"[20.0, 20.0]",null,0.0,0.08,null,gabors,null,"[3644.93333333, 3644.93333333]",null,0.8,45.0,0.25021382,62,,,0,,False,0,train,1
70,0.0,85.618872,85.869085,10.0,null,4.0,"[20.0, 20.0]",null,-30.0,0.08,null,gabors,null,"[3644.93333333, 3644.93333333]",null,0.8,0.0,0.25021382,63,,,0,,False,0,train,0
71,0.0,85.869085,86.119299,-40.0,null,4.0,"[20.0, 20.0]",null,40.0,0.08,null,gabors,null,"[3644.93333333, 3644.93333333]",null,0.8,90.0,0.25021382,64,,,0,,False,0,train,2
72,0.0,86.119299,86.369513,-10.0,null,4.0,"[20.0, 20.0]",null,10.0,0.08,null,gabors,null,"[3644.93333333, 3644.93333333]",null,0.8,90.0,0.25021382,65,,,0,,False,0,train,2
73,0.0,86.369513,86.619717,20.0,null,4.0,"[20.0, 20.0]",null,-30.0,0.08,null,gabors,null,"[3644.93333333, 3644.93333333]",null,0.8,45.0,0.25020368,25,,,0,,False,1,train,1
74,0.0,86.619717,86.86992,-10.0,null,4.0,"[20.0, 20.0]",null,30.0,0.08,null,gabors,null,"[3644.93333333, 3644.93333333]",null,0.8,90.0,0.25020368,66,,,0,,False,0,train,2
75,0.0,86.86992,87.120124,-40.0,null,4.0,"[20.0, 20.0]",null,0.0,0.08,null,gabors,null,"[3644.93333333, 3644.93333333]",null,0.8,45.0,0.25020368,67,,,0,,False,0,train,1
76,0.0,87.120124,87.370328,30.0,null,4.0,"[20.0, 20.0]",null,10.0,0.08,null,gabors,null,"[3644.93333333, 3644.93333333]",null,0.8,90.0,0.25020368,68,,,0,,False,0,train,2
77,0.0,87.370328,87.620542,20.0,null,4.0,"[20.0, 20.0]",null,40.0,0.08,null,gabors,null,"[3644.93333333, 3644.93333333]",null,0.8,45.0,0.25021382,69,,,0,,False,0,train,1
78,0.0,87.620542,87.870755,10.0,null,4.0,"[20.0, 20.0]",null,-20.0,0.08,null,gabors,null,"[3644.93333333, 3644.93333333]",null,0.8,90.0,0.25021382,70,,,0,,False,0,train,2
79,0.0,87.870755,88.120969,-30.0,null,4.0,"[20.0, 20.0]",null,40.0,0.08,null,gabors,null,"[3644.93333333, 3644.93333333]",null,0.8,45.0,0.25021382,52,,,0,,False,1,train,1
80,0.0,88.120969,88.371183,40.0,null,4.0,"[20.0, 20.0]",null,40.0,0.08,null,gabors,null,"[3644.93333333, 3644.93333333]",null,0.8,90.0,0.25021382,8,,,0,,False,1,train,2
81,0.0,88.371183,88.621387,-30.0,null,4.0,"[20.0, 20.0]",null,-30.0,0.08,null,gabors,null,"[3644.93333333, 3644.93333333]",null,0.8,90.0,0.25020368,71,,,0,,False,0,train,2
82,0.0,88.621387,88.87159,-40.0,null,4.0,"[20.0, 20.0]",null,-10.0,0.08,null,gabors,null,"[3644.93333333, 3644.93333333]",null,0.8,45.0,0.25020368,28,,,0,,False,2,test,1
83,0.0,88.87159,89.121794,20.0,null,4.0,"[20.0, 20.0]",null,-20.0,0.08,null,gabors,null,"[3644.93333333, 3644.93333333]",null,0.8,90.0,0.25020368,72,,,0,,False,0,train,2
84,0.0,89.121794,89.371998,0.0,null,4.0,"[20.0, 20.0]",null,-40.0,0.08,null,gabors,null,"[3644.93333333, 3644.93333333]",null,0.8,0.0,0.25020368,73,,,0,,False,0,train,0
85,0.0,89.371998,89.622214,40.0,null,4.0,"[20.0, 20.0]",null,-30.0,0.08,null,gabors,null,"[3644.93333333, 3644.93333333]",null,0.8,45.0,0.25021632,74,,,0,,False,0,train,1
86,0.0,89.622214,89.87243,10.0,null,4.0,"[20.0, 20.0]",null,-20.0,0.08,null,gabors,null,"[3644.93333333, 3644.93333333]",null,0.8,0.0,0.25021632,75,,,0,,False,0,train,0
87,0.0,89.87243,90.122647,-10.0,null,4.0,"[20.0, 20.0]",null,40.0,0.08,null,gabors,null,"[3644.93333333, 3644.93333333]",null,0.8,45.0,0.25021632,76,,,0,,False,0,train,1
88,0.0,90.122647,90.372863,-30.0,null,4.0,"[20.0, 20.0]",null,-40.0,0.08,null,gabors,null,"[3644.93333333, 3644.93333333]",null,0.8,45.0,0.25021632,55,,,0,,False,1,train,1
89,0.0,90.372863,90.623064,-10.0,null,4.0,"[20.0, 20.0]",null,20.0,0.08,null,gabors,null,"[3644.93333333, 3644.93333333]",null,0.8,90.0,0.25020118,77,,,0,,False,0,train,2
90,0.0,90.623064,90.873265,30.0,null,4.0,"[20.0, 20.0]",null,-10.0,0.08,null,gabors,null,"[3644.93333333, 3644.93333333]",null,0.8,0.0,0.25020118,78,,,0,,False,0,train,0
91,0.0,90.873265,91.123467,-20.0,null,4.0,"[20.0, 20.0]",null,20.0,0.08,null,gabors,null,"[3644.93333333, 3644.93333333]",null,0.8,45.0,0.25020118,79,,,0,,False,0,train,1
92,0.0,91.123467,91.373668,-10.0,null,4.0,"[20.0, 20.0]",null,-10.0,0.08,null,gabors,null,"[3644.93333333, 3644.93333333]",null,0.8,90.0,0.25020118,80,,,0,,False,0,train,2
93,0.0,91.373668,91.623889,20.0,null,4.0,"[20.0, 20.0]",null,-20.0,0.08,null,gabors,null,"[3644.93333333, 3644.93333333]",null,0.8,90.0,0.25022132,72,,,0,,False,1,train,2
94,0.0,91.623889,91.87411,30.0,null,4.0,"[20.0, 20.0]",null,10.0,0.08,null,gabors,null,"[3644.93333333, 3644.93333333]",null,0.8,45.0,0.25022132,81,,,0,,False,0,train,1
95,0.0,91.87411,92.124332,-20.0,null,4.0,"[20.0, 20.0]",null,-20.0,0.08,null,gabors,null,"[3644.93333333, 3644.93333333]",null,0.8,0.0,0.25022132,82,,,0,,False,0,train,0
96,0.0,92.124332,92.374553,10.0,null,4.0,"[20.0, 20.0]",null,-30.0,0.08,null,gabors,null,"[3644.93333333, 3644.93333333]",null,0.8,90.0,0.25022132,83,,,0,,False,0,train,2
97,0.0,92.374553,92.624749,0.0,null,4.0,"[20.0, 20.0]",null,20.0,0.08,null,gabors,null,"[3644.93333333, 3644.93333333]",null,0.8,45.0,0.25019618,84,,,0,,False,0,train,1
98,0.0,92.624749,92.874945,-30.0,null,4.0,"[20.0, 20.0]",null,-30.0,0.08,null,gabors,null,"[3644.93333333, 3644.93333333]",null,0.8,0.0,0.25019618,85,,,0,,False,0,train,0
99,0.0,92.874945,93.125142,-30.0,null,4.0,"[20.0, 20.0]",null,40.0,0.08,null,gabors,null,"[3644.93333333, 3644.93333333]",null,0.8,0.0,0.25019618,86,,,0,,False,0,train,0
100,0.0,93.125142,93.375338,-30.0,null,4.0,"[20.0, 20.0]",null,-10.0,0.08,null,gabors,null,"[3644.93333333, 3644.93333333]",null,0.8,90.0,0.25019618,87,,,0,,False,0,train,2
101,0.0,93.375338,93.625557,-10.0,null,4.0,"[20.0, 20.0]",null,-20.0,0.08,null,gabors,null,"[3644.93333333, 3644.93333333]",null,0.8,90.0,0.25021882,88,,,0,,False,0,train,2
102,0.0,93.625557,93.875775,-20.0,null,4.0,"[20.0, 20.0]",null,-30.0,0.08,null,gabors,null,"[3644.93333333, 3644.93333333]",null,0.8,0.0,0.25021882,89,,,0,,False,0,train,0
103,0.0,93.875775,94.125994,0.0,null,4.0,"[20.0, 20.0]",null,-40.0,0.08,null,gabors,null,"[3644.93333333, 3644.93333333]",null,0.8,0.0,0.25021882,73,,,0,,False,1,train,0
104,0.0,94.125994,94.376213,-40.0,null,4.0,"[20.0, 20.0]",null,30.0,0.08,null,gabors,null,"[3644.93333333, 3644.93333333]",null,0.8,0.0,0.25021882,90,,,0,,False,0,train,0
105,0.0,94.376213,94.626412,20.0,null,4.0,"[20.0, 20.0]",null,-10.0,0.08,null,gabors,null,"[3644.93333333, 3644.93333333]",null,0.8,0.0,0.25019868,91,,,0,,False,0,train,0
106,0.0,94.626412,94.87661,20.0,null,4.0,"[20.0, 20.0]",null,-40.0,0.08,null,gabors,null,"[3644.93333333, 3644.93333333]",null,0.8,90.0,0.25019868,92,,,0,,False,0,train,2
107,0.0,94.87661,95.126809,0.0,null,4.0,"[20.0, 20.0]",null,0.0,0.08,null,gabors,null,"[3644.93333333, 3644.93333333]",null,0.8,0.0,0.25019868,93,,,0,,False,0,train,0
108,0.0,95.126809,95.377008,0.0,null,4.0,"[20.0, 20.0]",null,40.0,0.08,null,gabors,null,"[3644.93333333, 3644.93333333]",null,0.8,0.0,0.25019868,94,,,0,,False,0,train,0
109,0.0,95.377008,95.627234,10.0,null,4.0,"[20.0, 20.0]",null,10.0,0.08,null,gabors,null,"[3644.93333333, 3644.93333333]",null,0.8,90.0,0.25022632,95,,,0,,False,0,train,2
110,0.0,95.627234,95.87746,10.0,null,4.0,"[20.0, 20.0]",null,30.0,0.08,null,gabors,null,"[3644.93333333, 3644.93333333]",null,0.8,90.0,0.25022632,96,,,0,,False,0,train,2
111,0.0,95.87746,96.127687,-40.0,null,4.0,"[20.0, 20.0]",null,20.0,0.08,null,gabors,null,"[3644.93333333, 3644.93333333]",null,0.8,0.0,0.25022632,97,,,0,,False,0,train,0
112,0.0,96.127687,96.377913,40.0,null,4.0,"[20.0, 20.0]",null,-30.0,0.08,null,gabors,null,"[3644.93333333, 3644.93333333]",null,0.8,45.0,0.25022632,74,,,0,,False,1,train,1
113,0.0,96.377913,96.628107,-20.0,null,4.0,"[20.0, 20.0]",null,-40.0,0.08,null,gabors,null,"[3644.93333333, 3644.93333333]",null,0.8,0.0,0.25019368,36,,,0,,False,1,train,0
114,0.0,96.628107,96.8783,10.0,null,4.0,"[20.0, 20.0]",null,-40.0,0.08,null,gabors,null,"[3644.93333333, 3644.93333333]",null,0.8,45.0,0.25019368,98,,,0,,False,0,train,1
115,0.0,96.8783,97.128494,-10.0,null,4.0,"[20.0, 20.0]",null,-30.0,0.08,null,gabors,null,"[3644.93333333, 3644.93333333]",null,0.8,0.0,0.25019368,99,,,0,,False,0,train,0
116,0.0,97.128494,97.378688,-30.0,null,4.0,"[20.0, 20.0]",null,40.0,0.08,null,gabors,null,"[3644.93333333, 3644.93333333]",null,0.8,90.0,0.25019368,13,,,0,,False,2,test,2
117,0.0,97.378688,97.628904,40.0,null,4.0,"[20.0, 20.0]",null,-40.0,0.08,null,gabors,null,"[3644.93333333, 3644.93333333]",null,0.8,0.0,0.25021632,11,,,0,,False,1,train,0
118,0.0,97.628904,97.87912,-30.0,null,4.0,"[20.0, 20.0]",null,10.0,0.08,null,gabors,null,"[3644.93333333, 3644.93333333]",null,0.8,0.0,0.25021632,37,,,0,,False,1,train,0
119,0.0,97.87912,98.129337,-20.0,null,4.0,"[20.0, 20.0]",null,-10.0,0.08,null,gabors,null,"[3644.93333333, 3644.93333333]",null,0.8,45.0,0.25021632,61,,,0,,False,1,train,1
120,0.0,98.129337,98.379553,20.0,null,4.0,"[20.0, 20.0]",null,0.0,0.08,null,gabors,null,"[3644.93333333, 3644.93333333]",null,0.8,90.0,0.25021632,100,,,0,,False,0,train,2
121,0.0,98.379553,98.629754,20.0,null,4.0,"[20.0, 20.0]",null,20.0,0.08,null,gabors,null,"[3644.93333333, 3644.93333333]",null,0.8,0.0,0.25020118,101,,,0,,False,0,train,0
122,0.0,98.629754,98.879955,-10.0,null,4.0,"[20.0, 20.0]",null,40.0,0.08,null,gabors,null,"[3644.93333333, 3644.93333333]",null,0.8,90.0,0.25020118,102,,,0,,False,0,train,2
123,0.0,98.879955,99.130157,30.0,null,4.0,"[20.0, 20.0]",null,-30.0,0.08,null,gabors,null,"[3644.93333333, 3644.93333333]",null,0.8,45.0,0.25020118,45,,,0,,False,1,train,1
124,0.0,99.130157,99.380358,-10.0,null,4.0,"[20.0, 20.0]",null,-30.0,0.08,null,gabors,null,"[3644.93333333, 3644.93333333]",null,0.8,90.0,0.25020118,103,,,0,,False,0,train,2
125,0.0,99.380358,99.630572,-40.0,null,4.0,"[20.0, 20.0]",null,20.0,0.08,null,gabors,null,"[3644.93333333, 3644.93333333]",null,0.8,45.0,0.25021382,104,,,0,,False,0,train,1
126,0.0,99.630572,99.880785,-10.0,null,4.0,"[20.0, 20.0]",null,-30.0,0.08,null,gabors,null,"[3644.93333333, 3644.93333333]",null,0.8,90.0,0.25021382,103,,,0,,False,1,train,2
127,0.0,99.880785,100.131,-30.0,null,4.0,"[20.0, 20.0]",null,-10.0,0.08,null,gabors,null,"[3644.93333333, 3644.93333333]",null,0.8,0.0,0.25021382,16,,,0,,False,1,train,0
128,0.0,100.131,100.38121,40.0,null,4.0,"[20.0, 20.0]",null,-20.0,0.08,null,gabors,null,"[3644.93333333, 3644.93333333]",null,0.8,90.0,0.25021382,105,,,0,,False,0,train,2
