group,relation,sessions,pearson_r,pearson_p,spearman_rho,spearman_p
all,x_to_az,40,0.010987228198100663,0.946352603929185,-0.03245778611632271,0.8424005281511977
all,y_to_el,40,0.11813570792536342,0.46783156785823593,0.06078799249530957,0.7094381330463324
all,x_to_el_cross,40,0.32044132927862395,0.04381146647779312,0.3180112570356473,0.045527017814181454
all,y_to_az_cross,40,0.049817158454963525,0.7601604779893443,-0.037898686679174495,0.8164020864937638
brain_observatory_1.1,x_to_az,20,0.11780891322285025,0.6208387589385098,0.012030075187969924,0.9598534442846784
brain_observatory_1.1,y_to_el,20,0.031103055422056155,0.8964306956860406,-0.018045112781954885,0.9398091995407436
brain_observatory_1.1,x_to_el_cross,20,0.24175423892436296,0.30447839305198876,0.2827067669172932,0.22715328510473623
brain_observatory_1.1,y_to_az_cross,20,-0.26481149848659724,0.25918964431198416,-0.33082706766917286,0.15423604448098624
functional_connectivity,x_to_az,20,-0.09007904711975301,0.7056712591946179,-0.08421052631578946,0.7241036435108112
functional_connectivity,y_to_el,20,0.19259606073156865,0.4159230332350079,0.23458646616541348,0.3194764651496698
functional_connectivity,x_to_el_cross,20,0.3994100865060335,0.08104313901849579,0.38796992481203,0.0909728657975423
functional_connectivity,y_to_az_cross,20,0.323942243833018,0.16351628731895593,0.21052631578947367,0.3729699095048
