stimulus_presentation_id,stimulus_block,start_time,stop_time,phase,size,orientation,spatial_frequency,y_position,stimulus_name,frame,temporal_frequency,color,contrast,x_position,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
946,0.0,326.32755,326.57776,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",90.0,0.08,20.0,gabors,null,4.0,null,0.8,10.0,0.25021143,196,,,0,,False,5,test,2
947,0.0,326.57776,326.82797,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.0,0.08,0.0,gabors,null,4.0,null,0.8,-30.0,0.25021143,58,,,0,,False,4,train,0
948,0.0,326.82797,327.07818,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",45.0,0.08,-30.0,gabors,null,4.0,null,0.8,10.0,0.25021143,201,,,0,,False,3,train,1
949,0.0,327.07818,327.32839,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",45.0,0.08,30.0,gabors,null,4.0,null,0.8,20.0,0.25020857,119,,,0,,False,1,train,1
950,0.0,327.32839,327.5786,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",90.0,0.08,20.0,gabors,null,4.0,null,0.8,20.0,0.25020857,101,,,0,,False,4,train,2
951,0.0,327.5786,327.82881,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.0,0.08,0.0,gabors,null,4.0,null,0.8,30.0,0.25020857,48,,,0,,False,2,test,0
952,0.0,327.82881,328.07902,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",90.0,0.08,30.0,gabors,null,4.0,null,0.8,0.0,0.25020857,125,,,0,,False,3,train,2
953,0.0,328.07902,328.32922,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",45.0,0.08,-40.0,gabors,null,4.0,null,0.8,-30.0,0.25020643,171,,,0,,False,3,train,1
954,0.0,328.32922,328.57943,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",90.0,0.08,10.0,gabors,null,4.0,null,0.8,-20.0,0.25020643,45,,,0,,False,4,train,2
955,0.0,328.57943,328.82964,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",45.0,0.08,40.0,gabors,null,4.0,null,0.8,-30.0,0.25020643,235,,,0,,False,2,test,1
956,0.0,328.82964,329.07984,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.0,0.08,-40.0,gabors,null,4.0,null,0.8,0.0,0.25020643,33,,,0,,False,1,train,0
957,0.0,329.07984,329.33005,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.0,0.08,-10.0,gabors,null,4.0,null,0.8,-40.0,0.25020607,113,,,0,,False,6,train,0
958,0.0,329.33005,329.58026,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.0,0.08,-20.0,gabors,null,4.0,null,0.8,-20.0,0.25020607,62,,,0,,False,4,train,0
959,0.0,329.58026,329.83046,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",90.0,0.08,40.0,gabors,null,4.0,null,0.8,-30.0,0.25020607,49,,,0,,False,4,train,2
960,0.0,329.83046,330.08067,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.0,0.08,30.0,gabors,null,4.0,null,0.8,30.0,0.25020607,135,,,0,,False,2,test,0
961,0.0,330.08067,330.33088,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",90.0,0.08,-40.0,gabors,null,4.0,null,0.8,20.0,0.25021143,141,,,0,,False,3,train,2
962,0.0,330.33088,330.58109,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.0,0.08,40.0,gabors,null,4.0,null,0.8,-30.0,0.25021143,116,,,0,,False,4,train,0
963,0.0,330.58109,330.8313,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",90.0,0.08,-20.0,gabors,null,4.0,null,0.8,-30.0,0.25021143,172,,,0,,False,3,train,2
964,0.0,330.8313,331.08151,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",90.0,0.08,10.0,gabors,null,4.0,null,0.8,40.0,0.25021143,50,,,0,,False,3,train,2
