selection_role,session_id,held_out_probe_id,training_probe_id,training_area,training_area_label,template_azimuth_deg,template_elevation_deg,observed_azimuth_deg,observed_elevation_deg,residual_azimuth_deg,residual_elevation_deg
largest improvement,757216464,769322749,769322745,VISam,AM,54.499830828404136,-0.2167387535801118,83.71328075,24.936242,29.21344992159586,25.152980753580113
largest improvement,757216464,769322749,769322751,VISl,LM,37.602381633373916,0.7007444103098184,74.02122779999999,19.734739474999998,36.418846166626075,19.03399506469018
largest improvement,757216464,769322749,769322753,VISal,AL,15.0,3.3309896266168812,22.3567782,37.30403785,7.356778200000001,33.97304822338312
largest improvement,757216464,769322749,769322755,VISrl,RL,15.706604509493156,-24.40762256876068,36.1305134,1.0228201099999996,20.423908890506844,25.430442678760677
median case,781842082,792586891,792586876,VISam,AM,35.00627804984108,0.0,35.854909899999996,4.3004224650000005,0.8486318501589167,4.3004224650000005
median case,781842082,792586891,792586881,VISp,V1,44.98966084674224,3.8316530701213507,51.13510262,2.72769025,6.145441773257758,-1.1039628201213505
median case,781842082,792586891,792586883,VISal,AL,36.443267168447164,-4.965711208984857,40.02571088,-17.3067146,3.582443711552834,-12.341003391015143
median case,781842082,792586891,792586887,VISal,AL,49.99999997339775,-6.93889329697018e-17,80.92349055,6.23468123,30.923490576602248,6.23468123
largest failure,755434585,760642628,760642621,VISam,AM,37.613814399918574,-4.714795726797504,57.76390234,-3.5604551,20.150087940081427,1.1543406267975036
largest failure,755434585,760642628,760642631,VISl,LM,35.0,-4.99999982771076,66.897737,3.89504993,31.897737000000006,8.89504975771076
largest failure,755434585,760642628,760642634,VISal,AL,44.99999961227788,4.137931212612278,83.7324261,30.777219,38.732426487722115,26.639287787387723
