azimuth_convention,cortical_reflection,median_objective,mean_objective
native,1,1.0824533624518449,1.1792326628350243
100_minus_azimuth,1,1.448605568799397,1.4560119823576372
native,-1,9.684593350311896,11.289316050236012
100_minus_azimuth,-1,9.77084681845872,11.593771155176684
