session_id,specimen_id,selected_cells,probe_area_landmarks,areas,censored_fraction,median_axis_test_deviance
715093703,699733581,165,5,4,0.19393939393939394,1.07542764
755434585,730760270,171,4,4,0.24561403508771928,0.991449685
756029989,734865738,166,5,5,0.20481927710843373,1.06837269
757216464,733457989,220,5,5,0.2590909090909091,1.0718358499999998
768515987,754477358,202,5,5,0.24752475247524752,1.0715183000000001
774875821,759711152,232,5,5,0.1724137931034483,1.02488819
778240327,760938797,211,5,5,0.15639810426540285,1.17360409
781842082,760946813,210,5,4,0.23333333333333334,0.9869672035
786091066,763884103,270,5,4,0.1962962962962963,1.2021213099999999
794812542,774672366,175,5,5,0.28,1.25831296
798911424,775876828,256,6,5,0.23828125,1.128555725
829720705,811322619,214,5,5,0.22897196261682243,1.29556603
831882777,803390291,135,3,3,0.18518518518518517,1.18849133
847657808,827809884,200,5,5,0.2,0.976914083
