session_id,azimuth_convention,cortical_reflection,objective,penetration_rf_rmse_deg,penetration_median_vector_error_deg,mean_named_area_distance_px,penetrations_in_named_area
715093703,native,-1,8.559355795317238,18.35427193018401,16.449295755361412,17.205355684529763,1
715093703,native,1,0.44481849040659194,7.640133946559957,8.428927343241087,0.4134383888823933,4
715093703,100_minus_azimuth,-1,11.37120479983973,36.80402162442892,45.78394977305847,17.09190353408705,1
715093703,100_minus_azimuth,1,2.302567509084062,22.431149590911343,37.576584086075506,0.7471866807373971,4
755434585,native,-1,12.20790085745373,26.78953115111941,32.5559337230996,24.41163649630571,0
755434585,native,1,1.639474501733257,18.450091702433674,14.626236046302356,0.19165462369271324,4
755434585,100_minus_azimuth,-1,6.421117230356785,19.311274188142647,19.204580602404988,16.117767351662078,0
755434585,100_minus_azimuth,1,0.4635366428186848,9.211713897219136,2.3846462657251766,0.0124749315313499,4
756029989,native,-1,15.911772725309131,32.62525936787495,39.8407719623679,25.172399539806683,1
756029989,native,1,1.1409181040653307,14.573809436429876,14.971719801749478,0.02313071036497693,5
756029989,100_minus_azimuth,-1,15.66981916268127,27.827797995717162,34.61819917788677,25.1560704788153,1
756029989,100_minus_azimuth,1,1.7513668403623304,19.012751789741678,15.1892873663281,0.821995485137396,4
757216464,native,-1,14.293109316707175,31.905356344058475,40.68550155091653,25.814648616271466,0
757216464,native,1,1.8984825760863822,19.645710027517882,32.32623826327274,0.0,5
757216464,100_minus_azimuth,-1,17.45493591375168,39.08760475374662,51.011591685215244,23.447358985963827,1
757216464,100_minus_azimuth,1,2.1552735775945027,22.462749235876664,23.880900809399296,0.0,5
768515987,native,-1,10.008778174092543,22.30560736377792,27.76118163354061,21.59703129794073,0
768515987,native,1,0.7113238977692591,10.221814607481315,9.479300378206794,3.52397390301931e-06,5
768515987,100_minus_azimuth,-1,9.76249589369629,24.208555184393987,23.948163912928965,21.581004315184384,0
768515987,100_minus_azimuth,1,0.6246520673539937,9.023712067564178,13.458985655583799,0.23146780746119325,5
774875821,native,-1,7.038091393439395,24.551234923993814,36.18706594094018,15.876929354426148,0
774875821,native,1,0.6556220073299381,9.519664728525655,10.348642888786442,0.07894739836664258,5
774875821,100_minus_azimuth,-1,8.430069683193977,25.107622275788067,25.635999714557936,16.51695319936018,0
774875821,100_minus_azimuth,1,1.4126713157137447,15.988074053528003,20.4763440315567,0.2791674006015,5
778240327,native,-1,5.952394545638893,20.811220473472783,26.830979681729787,14.73521706663802,0
778240327,native,1,0.7603023072403473,10.285654163465042,8.392664128602283,0.3746617155617431,4
778240327,100_minus_azimuth,-1,7.374917176876996,30.608148478416567,36.49744157159951,15.46630136962589,0
778240327,100_minus_azimuth,1,1.6476280743188723,17.25992342142956,25.655928359320498,0.644896881968499,3
781842082,native,-1,22.04632074012792,18.571719464861186,22.717640401651924,31.99295716477286,0
781842082,native,1,0.6591654969168782,10.887812049150968,4.410703537686076,0.08891601895265021,5
781842082,100_minus_azimuth,-1,24.45393028672196,24.008014873744067,29.920382856137586,30.17087028671841,0
781842082,100_minus_azimuth,1,1.449072020431576,17.2379697495387,9.678504849466538,0.026300555743546283,5
786091066,native,-1,7.4066195933972905,20.03049177771133,27.884768334143583,14.153439395836463,1
786091066,native,1,1.0431194016430254,14.645164498937298,7.271171080218137,0.46370240585310524,5
786091066,100_minus_azimuth,-1,7.703731636296231,27.527409760824778,23.150153107997166,13.179339787384555,2
786091066,100_minus_azimuth,1,0.9704319865955987,12.651873761892412,14.700281100333443,0.8640878156213642,3
794812542,native,-1,9.360408526531252,24.500200525999574,34.59506198116401,19.15030910662982,1
794812542,native,1,1.0554920227072586,15.761779790419308,12.387427411507108,0.2957315625809157,5
794812542,100_minus_azimuth,-1,9.77919774322115,28.964220958678602,31.5744137576587,19.090963594568944,0
794812542,100_minus_azimuth,1,1.0646330825215937,13.975602636454509,12.552247331734959,0.5566744698949906,5
798911424,native,-1,11.671251823318114,27.334628107515258,38.53601251373996,19.202260592035927,0
798911424,native,1,2.0429026175312206,21.147952525582905,23.958256909350737,0.8403772477946511,4
798911424,100_minus_azimuth,-1,14.151253635335612,27.44529465484793,35.25155616802633,19.662103085264317,2
798911424,100_minus_azimuth,1,1.9060096482532976,20.161210615474094,20.900032456048073,0.2549973255057267,5
829720705,native,-1,8.95406833065154,26.234268500707174,36.3833753120332,18.940965883663488,0
829720705,native,1,1.1094147021964311,13.907503394627055,12.944317166081836,0.34597616056985464,5
829720705,100_minus_azimuth,-1,8.883813427481167,32.14779060413994,25.150261314277962,18.851516443282115,0
829720705,100_minus_azimuth,1,2.46667516488014,26.42769568029792,23.394898699536544,0.28284085646885204,5
831882777,native,-1,8.3542230152334,35.21488315455793,43.587332889111835,15.313582451627084,0
831882777,native,1,1.2158732628859477,13.976423307704776,20.81051223681382,0.0024202392037485274,3
831882777,100_minus_azimuth,-1,6.502306950184092,22.226045934910825,31.672467356884518,15.298380721891185,0
831882777,100_minus_azimuth,1,0.721510705911308,10.426477978433907,13.967991206470682,0.09727140651562156,3
847657808,native,-1,16.286129866086554,38.562393633903724,44.558419294827246,23.41272666336228,0
847657808,native,1,2.13234789117847,21.22822829376951,31.416588975368416,0.3082129129126433,5
847657808,100_minus_azimuth,-1,14.354002632836641,24.787930869678352,39.23489276402765,23.56516447319317,0
847657808,100_minus_azimuth,1,1.448139117167218,15.29892467084416,18.544159221335708,0.30767629979591316,5
