outer_session_id,name,method,alpha,length_px,inner_median_error_deg,inner_mean_error_deg
715093703,none,none,0.0,,15.062957993424702,19.3522569595854
715093703,area_a0.25,area,0.25,,13.907747100221142,17.16651291865949
715093703,kernel_l25_a0.25,kernel,0.25,25.0,13.9099392232912,17.113770674266263
715093703,kernel_l50_a0.25,kernel,0.25,50.0,13.904691729535672,17.123601583854665
715093703,kernel_l100_a0.25,kernel,0.25,100.0,13.89346915133098,17.15016964905094
715093703,area_a0.5,area,0.5,,13.198758191342002,15.647168975061188
715093703,kernel_l25_a0.5,kernel,0.5,25.0,13.037658004048522,15.5980855057045
715093703,kernel_l50_a0.5,kernel,0.5,50.0,13.19942419995982,15.564112864643237
715093703,kernel_l100_a0.5,kernel,0.5,100.0,13.17303317094797,15.616601095124194
715093703,area_a1,area,1.0,,13.453680768422874,14.390769921080354
715093703,kernel_l25_a1,kernel,1.0,25.0,13.513362309711953,14.355608608936306
715093703,kernel_l50_a1,kernel,1.0,50.0,13.537143794817325,14.26153126010207
715093703,kernel_l100_a1,kernel,1.0,100.0,13.411147570957187,14.342328350610448
755434585,none,none,0.0,,14.995345665054383,18.892573659070504
755434585,area_a0.25,area,0.25,,13.014467422665664,16.91041908245998
755434585,kernel_l25_a0.25,kernel,0.25,25.0,13.926095709320856,17.00607113162425
755434585,kernel_l50_a0.25,kernel,0.25,50.0,13.401338526737518,16.928225318000578
755434585,kernel_l100_a0.25,kernel,0.25,100.0,13.138906307181866,16.908903768452213
755434585,area_a0.5,area,0.5,,12.981237238544548,15.540649682960595
755434585,kernel_l25_a0.5,kernel,0.5,25.0,13.258901550687899,15.80214395487395
755434585,kernel_l50_a0.5,kernel,0.5,50.0,13.01462498086811,15.578513154126036
755434585,kernel_l100_a0.5,kernel,0.5,100.0,13.083251622479679,15.535537106458877
755434585,area_a1,area,1.0,,13.219838237420053,14.535070421826926
755434585,kernel_l25_a1,kernel,1.0,25.0,13.35682491226223,15.099316738037192
755434585,kernel_l50_a1,kernel,1.0,50.0,13.335949636556801,14.610288502542138
755434585,kernel_l100_a1,kernel,1.0,100.0,13.287889799240007,14.525861693161886
756029989,none,none,0.0,,14.927733336684065,18.977792499879314
756029989,area_a0.25,area,0.25,,12.310373826592347,16.908805569575893
756029989,kernel_l25_a0.25,kernel,0.25,25.0,13.364807420741126,16.952136813122223
756029989,kernel_l50_a0.25,kernel,0.25,50.0,12.201035467364292,16.911279885158127
756029989,kernel_l100_a0.25,kernel,0.25,100.0,12.22412944270341,16.90361846752249
756029989,area_a0.5,area,0.5,,13.065177259604953,15.4948348211941
756029989,kernel_l25_a0.5,kernel,0.5,25.0,12.707587658528746,15.615163718143814
756029989,kernel_l50_a0.5,kernel,0.5,50.0,12.942446045961084,15.478433594469667
756029989,kernel_l100_a0.5,kernel,0.5,100.0,13.033482493551094,15.476360498026342
756029989,area_a1,area,1.0,,13.101997117002709,14.488227018608393
756029989,kernel_l25_a1,kernel,1.0,25.0,13.103702304658968,14.669005630842696
756029989,kernel_l50_a1,kernel,1.0,50.0,13.468873392942696,14.427783438565182
756029989,kernel_l100_a1,kernel,1.0,100.0,13.185581363475253,14.437709370476096
757216464,none,none,0.0,,14.637488517095225,18.48314782839726
757216464,area_a0.25,area,0.25,,12.213327980586737,16.434144115366372
757216464,kernel_l25_a0.25,kernel,0.25,25.0,12.429373159242726,16.493501419596985
757216464,kernel_l50_a0.25,kernel,0.25,50.0,12.017607644374856,16.44231794856224
757216464,kernel_l100_a0.25,kernel,0.25,100.0,12.114588736496483,16.431021355456735
757216464,area_a0.5,area,0.5,,12.224489257853099,14.964974376829934
757216464,kernel_l25_a0.5,kernel,0.5,25.0,11.783197238998182,15.129183512418896
757216464,kernel_l50_a0.5,kernel,0.5,50.0,12.244157212353306,14.98327118430345
757216464,kernel_l100_a0.5,kernel,0.5,100.0,12.124651274896888,14.957925000867833
757216464,area_a1,area,1.0,,12.80329183409994,13.74313467323446
757216464,kernel_l25_a1,kernel,1.0,25.0,12.656051834397342,14.08618945540991
757216464,kernel_l50_a1,kernel,1.0,50.0,12.997987368799404,13.80351793997175
757216464,kernel_l100_a1,kernel,1.0,100.0,12.971852432689493,13.735680021497911
768515987,none,none,0.0,,15.062957993424702,19.496424322506247
768515987,area_a0.25,area,0.25,,13.94372824435043,17.308314048262453
768515987,kernel_l25_a0.25,kernel,0.25,25.0,14.246466816311921,17.364224220460468
768515987,kernel_l50_a0.25,kernel,0.25,50.0,14.186108172127057,17.305463945366334
768515987,kernel_l100_a0.25,kernel,0.25,100.0,14.04772745409217,17.300513297894373
768515987,area_a0.5,area,0.5,,12.766177781732173,15.849281677913087
768515987,kernel_l25_a0.5,kernel,0.5,25.0,13.40480622789136,16.02198117414254
768515987,kernel_l50_a0.5,kernel,0.5,50.0,13.273912894996172,15.846809775216157
768515987,kernel_l100_a0.5,kernel,0.5,100.0,12.982343973985303,15.834209384570759
768515987,area_a1,area,1.0,,13.431263967305867,14.756106864342803
768515987,kernel_l25_a1,kernel,1.0,25.0,12.862755256383652,15.094509490507255
768515987,kernel_l50_a1,kernel,1.0,50.0,13.504355587388817,14.7973049510022
768515987,kernel_l100_a1,kernel,1.0,100.0,13.314025122155323,14.741225576208059
774875821,none,none,0.0,,15.15975245200444,19.446022415561167
774875821,area_a0.25,area,0.25,,14.103432599074916,17.44279707783566
774875821,kernel_l25_a0.25,kernel,0.25,25.0,14.60932992307416,17.504620261811922
774875821,kernel_l50_a0.25,kernel,0.25,50.0,14.416771429779153,17.444446588113802
774875821,kernel_l100_a0.25,kernel,0.25,100.0,14.228548821626815,17.43692283811589
774875821,area_a0.5,area,0.5,,13.202382924645025,16.122954484201536
774875821,kernel_l25_a0.5,kernel,0.5,25.0,14.03937703663659,16.284450322116427
774875821,kernel_l50_a0.5,kernel,0.5,50.0,13.592891782401031,16.122820516430327
774875821,kernel_l100_a0.5,kernel,0.5,100.0,13.331014169520943,16.10887579598693
774875821,area_a1,area,1.0,,14.019229562049183,15.046325678166687
774875821,kernel_l25_a1,kernel,1.0,25.0,13.237174500074183,15.326472696943659
774875821,kernel_l50_a1,kernel,1.0,50.0,13.82320270072753,15.045948233347056
774875821,kernel_l100_a1,kernel,1.0,100.0,13.83503782952625,15.017300578402056
778240327,none,none,0.0,,14.927733336684065,19.098155760611615
778240327,area_a0.25,area,0.25,,12.40829015758606,17.11129160874269
778240327,kernel_l25_a0.25,kernel,0.25,25.0,13.27160415768447,17.14945145871233
778240327,kernel_l50_a0.25,kernel,0.25,50.0,12.24813052329463,17.114665456750604
778240327,kernel_l100_a0.25,kernel,0.25,100.0,12.327555080907208,17.106529948517114
778240327,area_a0.5,area,0.5,,12.859966539613882,15.730960949665937
778240327,kernel_l25_a0.5,kernel,0.5,25.0,13.141335904283233,15.92797443395841
778240327,kernel_l50_a0.5,kernel,0.5,50.0,13.42418145332739,15.776270052176804
778240327,kernel_l100_a0.5,kernel,0.5,100.0,13.178881017598702,15.72920849311608
778240327,area_a1,area,1.0,,13.256828761623039,14.74809270384861
778240327,kernel_l25_a1,kernel,1.0,25.0,13.91837177192056,15.296280470087007
778240327,kernel_l50_a1,kernel,1.0,50.0,13.449437307623535,14.870768100467188
778240327,kernel_l100_a1,kernel,1.0,100.0,13.230682094731682,14.751780973960964
781842082,none,none,0.0,,15.062957993424702,19.493130371491766
781842082,area_a0.25,area,0.25,,13.651621487609246,17.319253323563952
781842082,kernel_l25_a0.25,kernel,0.25,25.0,14.170846995347032,17.3773382598559
781842082,kernel_l50_a0.25,kernel,0.25,50.0,14.033967366748184,17.322313917569403
781842082,kernel_l100_a0.25,kernel,0.25,100.0,13.8074056076632,17.312068243174288
781842082,area_a0.5,area,0.5,,13.012739187922344,15.741247400123852
781842082,kernel_l25_a0.5,kernel,0.5,25.0,13.25517477149535,15.908813641688605
781842082,kernel_l50_a0.5,kernel,0.5,50.0,13.210574097787097,15.747425923223036
781842082,kernel_l100_a0.5,kernel,0.5,100.0,13.017645158458652,15.72623452216867
781842082,area_a1,area,1.0,,13.165772941976904,14.461458049506506
781842082,kernel_l25_a1,kernel,1.0,25.0,12.739850970780244,14.877411253941084
781842082,kernel_l50_a1,kernel,1.0,50.0,13.452603630508557,14.520420638090211
781842082,kernel_l100_a1,kernel,1.0,100.0,13.271352020498826,14.44318307185861
786091066,none,none,0.0,,15.062957993424702,19.12002581102924
786091066,area_a0.25,area,0.25,,13.65193451538181,17.086447190788892
786091066,kernel_l25_a0.25,kernel,0.25,25.0,14.16953374445165,17.123050315618556
786091066,kernel_l50_a0.25,kernel,0.25,50.0,14.030812804686482,17.096042991640726
786091066,kernel_l100_a0.25,kernel,0.25,100.0,13.805708400057771,17.082163143096373
786091066,area_a0.5,area,0.5,,13.145164027341636,15.611047144883106
786091066,kernel_l25_a0.5,kernel,0.5,25.0,12.721106446601606,15.687538479775524
786091066,kernel_l50_a0.5,kernel,0.5,50.0,13.477175550431516,15.590418881148171
786091066,kernel_l100_a0.5,kernel,0.5,100.0,13.057190687337268,15.590531127405727
786091066,area_a1,area,1.0,,13.311523857563774,14.356509236063362
786091066,kernel_l25_a1,kernel,1.0,25.0,12.82651610490009,14.59442966452533
786091066,kernel_l50_a1,kernel,1.0,50.0,13.248937281345384,14.34129227522297
786091066,kernel_l100_a1,kernel,1.0,100.0,13.204749293063436,14.318097952031746
794812542,none,none,0.0,,15.15975245200444,19.188602229558423
794812542,area_a0.25,area,0.25,,14.10877360850179,17.151483930620596
794812542,kernel_l25_a0.25,kernel,0.25,25.0,14.636243887446078,17.200882293341007
794812542,kernel_l50_a0.25,kernel,0.25,50.0,14.427125490040499,17.15820720702733
794812542,kernel_l100_a0.25,kernel,0.25,100.0,14.235013050401575,17.14832657037505
794812542,area_a0.5,area,0.5,,13.37014818395276,15.753487651723168
794812542,kernel_l25_a0.5,kernel,0.5,25.0,14.00835398489913,15.890480986727551
794812542,kernel_l50_a0.5,kernel,0.5,50.0,13.712108652252663,15.776922085962958
794812542,kernel_l100_a0.5,kernel,0.5,100.0,13.34385979348369,15.748196656462477
794812542,area_a1,area,1.0,,13.032790533965695,14.797552200758314
