session_id,ecephys_probe_id,area,cells,ccf_span_mm,template_span_px,template_direction_x,template_direction_y,observed_delta_azimuth_deg,observed_delta_elevation_deg,predicted_delta_azimuth_deg,predicted_delta_elevation_deg,gradient_vector_error_deg,azimuth_sign_match,elevation_sign_match
715093703,810755797,VISam,31,0.17665179524184882,24.23961554019304,0.5729595940544263,0.8195836159788623,-56.77886459071416,27.242932643693962,-3.7892850046060715,4.555535684545943,57.64211590056737,True,True
715093703,810755801,VISp,47,0.1988898774088408,27.290675333432652,0.6135680635759422,0.7896418373919082,14.731274678764443,3.3844437261576426,13.73703806268032,4.515120262308771,1.5056347094050142,True,True
715093703,810755803,VISl,24,0.31703919908669514,37.568053081332515,-0.6300740018613713,0.7765350939773402,1.7636091678764927,12.232569848455139,19.87683063625017,3.4836996003274567,20.115454819141593,True,True
715093703,810755805,VISrl,32,0.39445577022866307,46.46141974278941,-0.8791294301968631,0.47658309344933614,7.89408227993877,11.527643199339641,27.230268639372365,2.893366549866876,21.176374481633452,True,True
715093703,810755807,VISrl,31,0.2670275692200733,35.04967564381553,-0.9185966422263422,-0.3951964181144475,20.937507661856362,-22.972876629199394,-1.0182946623515932,5.894182324415112,36.26795208350136,False,False
755434585,760642621,VISam,44,0.27189216889069245,45.087356187480175,-0.8549243139223666,-0.5187527517655891,57.719448648884125,6.021081737417739,12.703489209090684,-9.658288370738624,47.66843034203744,True,False
755434585,760642628,VISp,71,0.2873261199530836,47.524273504415156,-0.9397267966425368,-0.3419262313306133,-12.556469484784131,2.9016729124838165,-31.88199141382114,-3.3838120180070117,20.321986089974516,True,False
755434585,760642631,VISl,23,0.2317948886270959,30.210059421743644,-0.6802664474751681,0.7329649107832613,-5.814288351648173,24.725840408792635,4.101339934702679,1.798848281684445,24.979324496662475,False,True
755434585,760642634,VISal,33,0.28328165085323587,41.01058653912347,-0.9590848904490613,0.2831186551824376,23.85345340932243,32.32544639176857,10.37055835538694,-8.455938728012509,42.9524135680795,True,False
756029989,760640083,VISam,39,0.4002888258579276,44.67983582915789,-0.9218039130315696,-0.3876564792695801,20.898969231662157,15.596744789423314,8.85377445495726,-10.071031856726323,28.353509045008586,True,False
756029989,760640090,VISp,45,0.12552390193589386,15.175617336152376,-0.28410545505827905,0.9587930383592322,-2.2076668157854584,-7.413788699598226,0.25980240989880343,3.733027186504039,11.416650506096818,False,False
756029989,760640094,VISl,35,0.24211410965893898,29.42634311713201,-0.674953747085615,0.7378600404514989,-25.223741492000855,15.993501670233734,6.6041299447666475,0.5640193831150384,35.370642118060424,False,True
756029989,760640097,VISal,38,0.42282820840633095,50.07916347373006,-0.9133588507506949,0.4071555105305217,21.465326708604383,-1.6971299682095489,11.190111098771254,-8.759518231581708,12.46825504275459,True,True
756029989,760640104,VISrl,9,0.18890473138006478,21.529844058366997,-0.999762125902593,-0.021810355584628027,87.33427041035954,9.909705058469344,-9.09611840285485,0.0,96.9382387967388,False,False
757216464,769322745,VISam,36,0.11224832416805625,17.35930491200568,-0.21588287694092798,0.9764192662190295,-79.25911061695014,-15.953771335456029,-2.359150169205982,0.06865734629088305,78.55139806347358,True,False
757216464,769322749,VISp,75,0.16305929195319752,26.43381336795144,0.15647710885536573,0.9876815855346631,11.761380415115196,-5.892977559710258,9.207900188815557,6.817633759920415,12.964563293255452,True,False
757216464,769322751,VISl,44,0.35464479141583477,43.95772466311288,-0.7130970569608834,0.701065323171619,-23.888554031144924,17.997951483669112,11.6408528832105,0.5914052816216397,39.56420865340112,False,True
757216464,769322753,VISal,40,0.39752861362589376,44.8903710234924,-0.9051181779371674,0.42516006864203787,4.369601423953929,11.271078348338845,28.399995494292174,1.7504472910024216,25.847674071484004,True,True
