stimulus_presentation_id,stimulus_block,start_time,stop_time,y_position,size,x_position,spatial_frequency,color,temporal_frequency,contrast,stimulus_name,orientation,phase,frame,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
1799,0.0,534.73497,534.9852,-30.0,"[20.0, 20.0]",0.0,0.08,null,4.0,0.8,gabors,45.0,"[3644.93333333, 3644.93333333]",null,0.2502249,3,,,0,,False,6,train,1
1800,0.0,534.9852,535.23542,-10.0,"[20.0, 20.0]",0.0,0.08,null,4.0,0.8,gabors,45.0,"[3644.93333333, 3644.93333333]",null,0.2502249,228,,,0,,False,9,train,1
1801,0.0,535.23542,535.48562,30.0,"[20.0, 20.0]",-30.0,0.08,null,4.0,0.8,gabors,0.0,"[3644.93333333, 3644.93333333]",null,0.2501951,73,,,0,,False,7,train,0
1802,0.0,535.48562,535.73581,-30.0,"[20.0, 20.0]",-20.0,0.08,null,4.0,0.8,gabors,45.0,"[3644.93333333, 3644.93333333]",null,0.2501951,32,,,0,,False,6,train,1
1803,0.0,535.73581,535.98601,0.0,"[20.0, 20.0]",0.0,0.08,null,4.0,0.8,gabors,45.0,"[3644.93333333, 3644.93333333]",null,0.2501951,219,,,0,,False,6,train,1
1804,0.0,535.98601,536.2362,-10.0,"[20.0, 20.0]",40.0,0.08,null,4.0,0.8,gabors,0.0,"[3644.93333333, 3644.93333333]",null,0.2501951,183,,,0,,False,8,test,0
1805,0.0,536.2362,536.48643,-30.0,"[20.0, 20.0]",20.0,0.08,null,4.0,0.8,gabors,90.0,"[3644.93333333, 3644.93333333]",null,0.2502224,208,,,0,,False,6,train,2
1806,0.0,536.48643,536.73665,20.0,"[20.0, 20.0]",0.0,0.08,null,4.0,0.8,gabors,0.0,"[3644.93333333, 3644.93333333]",null,0.2502224,232,,,0,,False,6,train,0
1807,0.0,536.73665,536.98687,-10.0,"[20.0, 20.0]",-40.0,0.08,null,4.0,0.8,gabors,0.0,"[3644.93333333, 3644.93333333]",null,0.2502224,119,,,0,,False,8,test,0
1808,0.0,536.98687,537.23709,-10.0,"[20.0, 20.0]",-10.0,0.08,null,4.0,0.8,gabors,0.0,"[3644.93333333, 3644.93333333]",null,0.2502224,234,,,0,,False,7,train,0
1809,0.0,537.23709,537.48729,-30.0,"[20.0, 20.0]",0.0,0.08,null,4.0,0.8,gabors,0.0,"[3644.93333333, 3644.93333333]",null,0.2501951,105,,,0,,False,5,test,0
1810,0.0,537.48729,537.73748,30.0,"[20.0, 20.0]",-20.0,0.08,null,4.0,0.8,gabors,90.0,"[3644.93333333, 3644.93333333]",null,0.2501951,30,,,0,,False,5,test,2
1811,0.0,537.73748,537.98768,-40.0,"[20.0, 20.0]",10.0,0.08,null,4.0,0.8,gabors,0.0,"[3644.93333333, 3644.93333333]",null,0.2501951,45,,,0,,False,8,test,0
1812,0.0,537.98768,538.23787,0.0,"[20.0, 20.0]",-30.0,0.08,null,4.0,0.8,gabors,45.0,"[3644.93333333, 3644.93333333]",null,0.2501951,173,,,0,,False,6,train,1
1813,0.0,538.23787,538.4881,10.0,"[20.0, 20.0]",40.0,0.08,null,4.0,0.8,gabors,45.0,"[3644.93333333, 3644.93333333]",null,0.2502249,238,,,0,,False,6,train,1
1814,0.0,538.4881,538.73832,40.0,"[20.0, 20.0]",30.0,0.08,null,4.0,0.8,gabors,90.0,"[3644.93333333, 3644.93333333]",null,0.2502249,46,,,0,,False,11,test,2
1815,0.0,538.73832,538.98855,40.0,"[20.0, 20.0]",20.0,0.08,null,4.0,0.8,gabors,0.0,"[3644.93333333, 3644.93333333]",null,0.2502249,175,,,0,,False,9,train,0
1816,0.0,538.98855,539.23877,-30.0,"[20.0, 20.0]",-10.0,0.08,null,4.0,0.8,gabors,45.0,"[3644.93333333, 3644.93333333]",null,0.2502249,130,,,0,,False,7,train,1
1817,0.0,539.23877,539.48897,10.0,"[20.0, 20.0]",-20.0,0.08,null,4.0,0.8,gabors,0.0,"[3644.93333333, 3644.93333333]",null,0.2501926,181,,,0,,False,5,test,0
1818,0.0,539.48897,539.73916,-30.0,"[20.0, 20.0]",-20.0,0.08,null,4.0,0.8,gabors,0.0,"[3644.93333333, 3644.93333333]",null,0.2501926,72,,,0,,False,9,train,0
1819,0.0,539.73916,539.98935,-40.0,"[20.0, 20.0]",40.0,0.08,null,4.0,0.8,gabors,0.0,"[3644.93333333, 3644.93333333]",null,0.2501926,216,,,0,,False,8,test,0
1820,0.0,539.98935,540.23954,-20.0,"[20.0, 20.0]",30.0,0.08,null,4.0,0.8,gabors,0.0,"[3644.93333333, 3644.93333333]",null,0.2501926,152,,,0,,False,5,test,0
1821,0.0,540.23954,540.48976,20.0,"[20.0, 20.0]",-20.0,0.08,null,4.0,0.8,gabors,45.0,"[3644.93333333, 3644.93333333]",null,0.2502149,29,,,0,,False,5,test,1
1822,0.0,540.48976,540.73997,40.0,"[20.0, 20.0]",-40.0,0.08,null,4.0,0.8,gabors,90.0,"[3644.93333333, 3644.93333333]",null,0.2502149,95,,,0,,False,6,train,2
1823,0.0,540.73997,540.99019,40.0,"[20.0, 20.0]",-40.0,0.08,null,4.0,0.8,gabors,0.0,"[3644.93333333, 3644.93333333]",null,0.2502149,27,,,0,,False,9,train,0
1824,0.0,540.99019,541.2404,20.0,"[20.0, 20.0]",-40.0,0.08,null,4.0,0.8,gabors,45.0,"[3644.93333333, 3644.93333333]",null,0.2502149,198,,,0,,False,8,test,1
1825,0.0,541.2404,541.49061,10.0,"[20.0, 20.0]",-30.0,0.08,null,4.0,0.8,gabors,45.0,"[3644.93333333, 3644.93333333]",null,0.2502076,79,,,0,,False,7,train,1
1826,0.0,541.49061,541.74082,-40.0,"[20.0, 20.0]",20.0,0.08,null,4.0,0.8,gabors,45.0,"[3644.93333333, 3644.93333333]",null,0.2502076,28,,,0,,False,6,train,1
1827,0.0,541.74082,541.99103,-40.0,"[20.0, 20.0]",-40.0,0.08,null,4.0,0.8,gabors,90.0,"[3644.93333333, 3644.93333333]",null,0.2502076,103,,,0,,False,8,test,2
1828,0.0,541.99103,542.24123,10.0,"[20.0, 20.0]",-20.0,0.08,null,4.0,0.8,gabors,90.0,"[3644.93333333, 3644.93333333]",null,0.2502076,162,,,0,,False,6,train,2
1829,0.0,542.24123,542.49146,0.0,"[20.0, 20.0]",10.0,0.08,null,4.0,0.8,gabors,90.0,"[3644.93333333, 3644.93333333]",null,0.2502224,158,,,0,,False,8,test,2
1830,0.0,542.49146,542.74168,30.0,"[20.0, 20.0]",-40.0,0.08,null,4.0,0.8,gabors,0.0,"[3644.93333333, 3644.93333333]",null,0.2502224,230,,,0,,False,10,train,0
1831,0.0,542.74168,542.9919,-20.0,"[20.0, 20.0]",20.0,0.08,null,4.0,0.8,gabors,0.0,"[3644.93333333, 3644.93333333]",null,0.2502224,196,,,0,,False,6,train,0
1832,0.0,542.9919,543.24212,30.0,"[20.0, 20.0]",10.0,0.08,null,4.0,0.8,gabors,90.0,"[3644.93333333, 3644.93333333]",null,0.2502224,63,,,0,,False,8,test,2
1833,0.0,543.24212,543.49232,-30.0,"[20.0, 20.0]",0.0,0.08,null,4.0,0.8,gabors,45.0,"[3644.93333333, 3644.93333333]",null,0.2501976,3,,,0,,False,7,train,1
1834,0.0,543.49232,543.74252,10.0,"[20.0, 20.0]",30.0,0.08,null,4.0,0.8,gabors,0.0,"[3644.93333333, 3644.93333333]",null,0.2501976,159,,,0,,False,5,test,0
1835,0.0,543.74252,543.99272,-20.0,"[20.0, 20.0]",30.0,0.08,null,4.0,0.8,gabors,0.0,"[3644.93333333, 3644.93333333]",null,0.2501976,152,,,0,,False,6,train,0
1836,0.0,543.99272,544.24291,-30.0,"[20.0, 20.0]",-40.0,0.08,null,4.0,0.8,gabors,0.0,"[3644.93333333, 3644.93333333]",null,0.2501976,223,,,0,,False,7,train,0
1837,0.0,544.24291,544.49313,10.0,"[20.0, 20.0]",-30.0,0.08,null,4.0,0.8,gabors,45.0,"[3644.93333333, 3644.93333333]",null,0.2502149,79,,,0,,False,8,test,1
1838,0.0,544.49313,544.74334,-10.0,"[20.0, 20.0]",0.0,0.08,null,4.0,0.8,gabors,45.0,"[3644.93333333, 3644.93333333]",null,0.2502149,228,,,0,,False,10,train,1
1839,0.0,544.74334,544.99356,-30.0,"[20.0, 20.0]",10.0,0.08,null,4.0,0.8,gabors,45.0,"[3644.93333333, 3644.93333333]",null,0.2502149,75,,,0,,False,7,train,1
1840,0.0,544.99356,545.24377,20.0,"[20.0, 20.0]",30.0,0.08,null,4.0,0.8,gabors,90.0,"[3644.93333333, 3644.93333333]",null,0.2502149,150,,,0,,False,5,test,2
1841,0.0,545.24377,545.49397,-40.0,"[20.0, 20.0]",0.0,0.08,null,4.0,0.8,gabors,0.0,"[3644.93333333, 3644.93333333]",null,0.2502001,104,,,0,,False,8,test,0
1842,0.0,545.49397,545.74417,20.0,"[20.0, 20.0]",-30.0,0.08,null,4.0,0.8,gabors,0.0,"[3644.93333333, 3644.93333333]",null,0.2502001,94,,,0,,False,7,train,0
1843,0.0,545.74417,545.99437,40.0,"[20.0, 20.0]",-10.0,0.08,null,4.0,0.8,gabors,0.0,"[3644.93333333, 3644.93333333]",null,0.2502001,165,,,0,,False,7,train,0
1844,0.0,545.99437,546.24457,40.0,"[20.0, 20.0]",0.0,0.08,null,4.0,0.8,gabors,45.0,"[3644.93333333, 3644.93333333]",null,0.2502001,92,,,0,,False,8,test,1
1845,0.0,546.24457,546.4948,-40.0,"[20.0, 20.0]",30.0,0.08,null,4.0,0.8,gabors,0.0,"[3644.93333333, 3644.93333333]",null,0.2502224,82,,,0,,False,4,train,0
1846,0.0,546.4948,546.74502,-40.0,"[20.0, 20.0]",-10.0,0.08,null,4.0,0.8,gabors,90.0,"[3644.93333333, 3644.93333333]",null,0.2502224,235,,,0,,False,7,train,2
1847,0.0,546.74502,546.99524,0.0,"[20.0, 20.0]",40.0,0.08,null,4.0,0.8,gabors,45.0,"[3644.93333333, 3644.93333333]",null,0.2502224,187,,,0,,False,5,test,1
1848,0.0,546.99524,547.24546,-10.0,"[20.0, 20.0]",30.0,0.08,null,4.0,0.8,gabors,90.0,"[3644.93333333, 3644.93333333]",null,0.2502224,132,,,0,,False,9,train,2
1849,0.0,547.24546,547.49566,10.0,"[20.0, 20.0]",20.0,0.08,null,4.0,0.8,gabors,0.0,"[3644.93333333, 3644.93333333]",null,0.2501951,39,,,0,,False,7,train,0
