stimulus_presentation_id,stimulus_block,start_time,stop_time,x_position,color,size,stimulus_name,y_position,contrast,phase,frame,orientation,temporal_frequency,spatial_frequency,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
1604,0.0,485.70232,485.95252,-30.0,null,"[20.0, 20.0]",gabors,40.0,0.8,"[3644.93333333, 3644.93333333]",null,90.0,4.0,0.08,0.25020267,235,,,0,,False,5,test,2
1605,0.0,485.95252,486.20274,10.0,null,"[20.0, 20.0]",gabors,-40.0,0.8,"[3644.93333333, 3644.93333333]",null,45.0,4.0,0.08,0.25021733,157,,,0,,False,11,test,1
1606,0.0,486.20274,486.45296,20.0,null,"[20.0, 20.0]",gabors,-10.0,0.8,"[3644.93333333, 3644.93333333]",null,45.0,4.0,0.08,0.25021733,239,,,0,,False,7,train,1
1607,0.0,486.45296,486.70317,0.0,null,"[20.0, 20.0]",gabors,30.0,0.8,"[3644.93333333, 3644.93333333]",null,90.0,4.0,0.08,0.25021733,240,,,0,,False,3,train,2
1608,0.0,486.70317,486.95339,40.0,null,"[20.0, 20.0]",gabors,30.0,0.8,"[3644.93333333, 3644.93333333]",null,0.0,4.0,0.08,0.25021733,37,,,0,,False,5,test,0
1609,0.0,486.95339,487.20359,10.0,null,"[20.0, 20.0]",gabors,-20.0,0.8,"[3644.93333333, 3644.93333333]",null,90.0,4.0,0.08,0.25020267,162,,,0,,False,6,train,2
1610,0.0,487.20359,487.4538,-10.0,null,"[20.0, 20.0]",gabors,40.0,0.8,"[3644.93333333, 3644.93333333]",null,90.0,4.0,0.08,0.25020267,241,,,0,,False,4,train,2
1611,0.0,487.4538,487.704,-30.0,null,"[20.0, 20.0]",gabors,-10.0,0.8,"[3644.93333333, 3644.93333333]",null,45.0,4.0,0.08,0.25020267,238,,,0,,False,4,train,1
1612,0.0,487.704,487.9542,20.0,null,"[20.0, 20.0]",gabors,10.0,0.8,"[3644.93333333, 3644.93333333]",null,45.0,4.0,0.08,0.25020267,190,,,0,,False,7,train,1
1613,0.0,487.9542,488.20441,40.0,null,"[20.0, 20.0]",gabors,0.0,0.8,"[3644.93333333, 3644.93333333]",null,45.0,4.0,0.08,0.25020733,119,,,0,,False,6,train,1
1614,0.0,488.20441,488.45462,-10.0,null,"[20.0, 20.0]",gabors,10.0,0.8,"[3644.93333333, 3644.93333333]",null,45.0,4.0,0.08,0.25020733,211,,,0,,False,7,train,1
1615,0.0,488.45462,488.70482,-10.0,null,"[20.0, 20.0]",gabors,30.0,0.8,"[3644.93333333, 3644.93333333]",null,90.0,4.0,0.08,0.25020733,72,,,0,,False,7,train,2
1616,0.0,488.70482,488.95503,10.0,null,"[20.0, 20.0]",gabors,-20.0,0.8,"[3644.93333333, 3644.93333333]",null,0.0,4.0,0.08,0.25020733,53,,,0,,False,8,test,0
1617,0.0,488.95503,489.20524,-30.0,null,"[20.0, 20.0]",gabors,20.0,0.8,"[3644.93333333, 3644.93333333]",null,0.0,4.0,0.08,0.25021017,215,,,0,,False,3,train,0
1618,0.0,489.20524,489.45545,-40.0,null,"[20.0, 20.0]",gabors,0.0,0.8,"[3644.93333333, 3644.93333333]",null,45.0,4.0,0.08,0.25021017,27,,,0,,False,5,test,1
1619,0.0,489.45545,489.70566,30.0,null,"[20.0, 20.0]",gabors,30.0,0.8,"[3644.93333333, 3644.93333333]",null,0.0,4.0,0.08,0.25021017,6,,,0,,False,8,test,0
1620,0.0,489.70566,489.95587,40.0,null,"[20.0, 20.0]",gabors,-10.0,0.8,"[3644.93333333, 3644.93333333]",null,0.0,4.0,0.08,0.25021017,186,,,0,,False,7,train,0
1621,0.0,489.95587,490.20608,0.0,null,"[20.0, 20.0]",gabors,0.0,0.8,"[3644.93333333, 3644.93333333]",null,0.0,4.0,0.08,0.25020483,103,,,0,,False,8,test,0
1622,0.0,490.20608,490.45628,-30.0,null,"[20.0, 20.0]",gabors,-40.0,0.8,"[3644.93333333, 3644.93333333]",null,45.0,4.0,0.08,0.25020483,35,,,0,,False,5,test,1
1623,0.0,490.45628,490.70649,20.0,null,"[20.0, 20.0]",gabors,20.0,0.8,"[3644.93333333, 3644.93333333]",null,45.0,4.0,0.08,0.25020483,54,,,0,,False,6,train,1
1624,0.0,490.70649,490.95669,-30.0,null,"[20.0, 20.0]",gabors,10.0,0.8,"[3644.93333333, 3644.93333333]",null,45.0,4.0,0.08,0.25020483,237,,,0,,False,6,train,1
1625,0.0,490.95669,491.20691,-20.0,null,"[20.0, 20.0]",gabors,-10.0,0.8,"[3644.93333333, 3644.93333333]",null,0.0,4.0,0.08,0.25021517,99,,,0,,False,6,train,0
1626,0.0,491.20691,491.45712,-20.0,null,"[20.0, 20.0]",gabors,-10.0,0.8,"[3644.93333333, 3644.93333333]",null,90.0,4.0,0.08,0.25021517,233,,,0,,False,5,test,2
1627,0.0,491.45712,491.70734,30.0,null,"[20.0, 20.0]",gabors,-20.0,0.8,"[3644.93333333, 3644.93333333]",null,0.0,4.0,0.08,0.25021517,131,,,0,,False,6,train,0
1628,0.0,491.70734,491.95755,-10.0,null,"[20.0, 20.0]",gabors,30.0,0.8,"[3644.93333333, 3644.93333333]",null,0.0,4.0,0.08,0.25021517,202,,,0,,False,6,train,0
1629,0.0,491.95755,492.20776,30.0,null,"[20.0, 20.0]",gabors,10.0,0.8,"[3644.93333333, 3644.93333333]",null,0.0,4.0,0.08,0.25020733,164,,,0,,False,5,test,0
1630,0.0,492.20776,492.45797,30.0,null,"[20.0, 20.0]",gabors,20.0,0.8,"[3644.93333333, 3644.93333333]",null,90.0,4.0,0.08,0.25020733,181,,,0,,False,6,train,2
1631,0.0,492.45797,492.70817,0.0,null,"[20.0, 20.0]",gabors,-20.0,0.8,"[3644.93333333, 3644.93333333]",null,90.0,4.0,0.08,0.25020733,83,,,0,,False,8,test,2
1632,0.0,492.70817,492.95838,10.0,null,"[20.0, 20.0]",gabors,20.0,0.8,"[3644.93333333, 3644.93333333]",null,0.0,4.0,0.08,0.25020733,173,,,0,,False,7,train,0
1633,0.0,492.95838,493.20859,30.0,null,"[20.0, 20.0]",gabors,40.0,0.8,"[3644.93333333, 3644.93333333]",null,90.0,4.0,0.08,0.25020767,137,,,0,,False,6,train,2
1634,0.0,493.20859,493.4588,0.0,null,"[20.0, 20.0]",gabors,-30.0,0.8,"[3644.93333333, 3644.93333333]",null,90.0,4.0,0.08,0.25020767,161,,,0,,False,9,train,2
1635,0.0,493.4588,493.709,10.0,null,"[20.0, 20.0]",gabors,0.0,0.8,"[3644.93333333, 3644.93333333]",null,0.0,4.0,0.08,0.25020767,231,,,0,,False,7,train,0
1636,0.0,493.709,493.95921,-20.0,null,"[20.0, 20.0]",gabors,20.0,0.8,"[3644.93333333, 3644.93333333]",null,90.0,4.0,0.08,0.25020767,116,,,0,,False,7,train,2
1637,0.0,493.95921,494.20943,-40.0,null,"[20.0, 20.0]",gabors,-20.0,0.8,"[3644.93333333, 3644.93333333]",null,90.0,4.0,0.08,0.25021733,57,,,0,,False,5,test,2
1638,0.0,494.20943,494.45965,40.0,null,"[20.0, 20.0]",gabors,-10.0,0.8,"[3644.93333333, 3644.93333333]",null,0.0,4.0,0.08,0.25021733,186,,,0,,False,8,test,0
1639,0.0,494.45965,494.70986,40.0,null,"[20.0, 20.0]",gabors,20.0,0.8,"[3644.93333333, 3644.93333333]",null,0.0,4.0,0.08,0.25021733,30,,,0,,False,7,train,0
1640,0.0,494.70986,494.96008,30.0,null,"[20.0, 20.0]",gabors,30.0,0.8,"[3644.93333333, 3644.93333333]",null,0.0,4.0,0.08,0.25021733,6,,,0,,False,9,train,0
1641,0.0,494.96008,495.21028,30.0,null,"[20.0, 20.0]",gabors,0.0,0.8,"[3644.93333333, 3644.93333333]",null,45.0,4.0,0.08,0.25020017,192,,,0,,False,4,train,1
1642,0.0,495.21028,495.46048,40.0,null,"[20.0, 20.0]",gabors,-30.0,0.8,"[3644.93333333, 3644.93333333]",null,45.0,4.0,0.08,0.25020017,143,,,0,,False,9,train,1
1643,0.0,495.46048,495.71068,-10.0,null,"[20.0, 20.0]",gabors,40.0,0.8,"[3644.93333333, 3644.93333333]",null,0.0,4.0,0.08,0.25020017,191,,,0,,False,7,train,0
1644,0.0,495.71068,495.96088,30.0,null,"[20.0, 20.0]",gabors,10.0,0.8,"[3644.93333333, 3644.93333333]",null,45.0,4.0,0.08,0.25020017,132,,,0,,False,3,train,1
1645,0.0,495.96088,496.2111,-40.0,null,"[20.0, 20.0]",gabors,40.0,0.8,"[3644.93333333, 3644.93333333]",null,90.0,4.0,0.08,0.25021483,189,,,0,,False,8,test,2
1646,0.0,496.2111,496.46131,20.0,null,"[20.0, 20.0]",gabors,30.0,0.8,"[3644.93333333, 3644.93333333]",null,45.0,4.0,0.08,0.25021483,44,,,0,,False,5,test,1
1647,0.0,496.46131,496.71153,0.0,null,"[20.0, 20.0]",gabors,-20.0,0.8,"[3644.93333333, 3644.93333333]",null,45.0,4.0,0.08,0.25021483,18,,,0,,False,6,train,1
1648,0.0,496.71153,496.96174,-40.0,null,"[20.0, 20.0]",gabors,-20.0,0.8,"[3644.93333333, 3644.93333333]",null,0.0,4.0,0.08,0.25021483,185,,,0,,False,6,train,0
1649,0.0,496.96174,497.21195,0.0,null,"[20.0, 20.0]",gabors,-40.0,0.8,"[3644.93333333, 3644.93333333]",null,45.0,4.0,0.08,0.25020517,208,,,0,,False,7,train,1
1650,0.0,497.21195,497.46215,30.0,null,"[20.0, 20.0]",gabors,-10.0,0.8,"[3644.93333333, 3644.93333333]",null,90.0,4.0,0.08,0.25020517,45,,,0,,False,6,train,2
1651,0.0,497.46215,497.71236,-10.0,null,"[20.0, 20.0]",gabors,30.0,0.8,"[3644.93333333, 3644.93333333]",null,45.0,4.0,0.08,0.25020517,31,,,0,,False,7,train,1
1652,0.0,497.71236,497.96256,0.0,null,"[20.0, 20.0]",gabors,-10.0,0.8,"[3644.93333333, 3644.93333333]",null,45.0,4.0,0.08,0.25020517,63,,,0,,False,9,train,1
1653,0.0,497.96256,498.21277,30.0,null,"[20.0, 20.0]",gabors,-10.0,0.8,"[3644.93333333, 3644.93333333]",null,0.0,4.0,0.08,0.25020733,230,,,0,,False,5,test,0
1654,0.0,498.21277,498.46298,40.0,null,"[20.0, 20.0]",gabors,30.0,0.8,"[3644.93333333, 3644.93333333]",null,45.0,4.0,0.08,0.25020733,13,,,0,,False,7,train,1
1655,0.0,498.46298,498.71318,-30.0,null,"[20.0, 20.0]",gabors,-20.0,0.8,"[3644.93333333, 3644.93333333]",null,45.0,4.0,0.08,0.25020733,109,,,0,,False,7,train,1
1656,0.0,498.71318,498.96339,20.0,null,"[20.0, 20.0]",gabors,10.0,0.8,"[3644.93333333, 3644.93333333]",null,45.0,4.0,0.08,0.25020733,190,,,0,,False,8,test,1
1657,0.0,498.96339,499.2136,30.0,null,"[20.0, 20.0]",gabors,20.0,0.8,"[3644.93333333, 3644.93333333]",null,0.0,4.0,0.08,0.25020517,152,,,0,,False,7,train,0
1658,0.0,499.2136,499.4638,20.0,null,"[20.0, 20.0]",gabors,-40.0,0.8,"[3644.93333333, 3644.93333333]",null,90.0,4.0,0.08,0.25020517,3,,,0,,False,9,train,2
1659,0.0,499.4638,499.71401,-40.0,null,"[20.0, 20.0]",gabors,-10.0,0.8,"[3644.93333333, 3644.93333333]",null,45.0,4.0,0.08,0.25020517,9,,,0,,False,9,train,1
1660,0.0,499.71401,499.96421,40.0,null,"[20.0, 20.0]",gabors,20.0,0.8,"[3644.93333333, 3644.93333333]",null,45.0,4.0,0.08,0.25020517,243,,,0,,False,1,train,1
1661,0.0,499.96421,500.21443,40.0,null,"[20.0, 20.0]",gabors,20.0,0.8,"[3644.93333333, 3644.93333333]",null,90.0,4.0,0.08,0.25021733,184,,,0,,False,6,train,2
1662,0.0,500.21443,500.46465,0.0,null,"[20.0, 20.0]",gabors,20.0,0.8,"[3644.93333333, 3644.93333333]",null,0.0,4.0,0.08,0.25021733,158,,,0,,False,4,train,0
1663,0.0,500.46465,500.71486,10.0,null,"[20.0, 20.0]",gabors,0.0,0.8,"[3644.93333333, 3644.93333333]",null,0.0,4.0,0.08,0.25021733,231,,,0,,False,8,test,0
1664,0.0,500.71486,500.96508,30.0,null,"[20.0, 20.0]",gabors,10.0,0.8,"[3644.93333333, 3644.93333333]",null,45.0,4.0,0.08,0.25021733,132,,,0,,False,4,train,1
1665,0.0,500.96508,501.21528,-20.0,null,"[20.0, 20.0]",gabors,0.0,0.8,"[3644.93333333, 3644.93333333]",null,45.0,4.0,0.08,0.25020267,62,,,0,,False,8,test,1
