dtheta_deg,dscale_ap,dscale_ml,offset_az,offset_el,in_sample_median_error_deg,ecephys_session_id,n_cells
10.0,1.8,1.8,27.314026220754336,-4.064840894235408,5.828801693065428,715093703,314
-60.0,2.3,2.3,25.864671063063287,-13.099092928283678,8.989675084962174,719161530,251
20.0,1.6,1.6,47.9289948745244,-5.8201287415840355,8.554332786467661,721123822,330
-55.0,1.8,1.8,96.29837547117044,0.24216996241952463,4.873376757023833,744228101,168
10.0,1.6,1.6,30.526858523955557,-1.8227655296926728,5.755852440464498,750749662,298
-60.0,3.0,3.0,89.07201998343076,1.8105441845769483,7.328990503938149,751348571,331
-35.0,3.0,3.0,9.457515680440736,30.007435438635575,9.725903052126093,754312389,339
-25.0,1.9000000000000001,1.9000000000000001,44.86641842965481,-22.767246466283204,9.093297648448143,754829445,223
25.0,2.9,2.9,5.11010900456405,19.35706226978384,7.525326622542626,755434585,400
-25.0,2.6,2.6,96.93059301344893,4.279709804696486,6.098295306762669,756029989,393
-60.0,2.8,2.8,85.48707830193668,21.033599755232462,6.313690812842807,757216464,409
-10.0,2.1,2.1,8.88006931293655,33.596838731857424,6.762018961739804,757970808,354
-55.0,1.9000000000000001,1.9000000000000001,76.9273912586612,-0.12785990503938274,7.811189437354087,758798717,289
-50.0,1.9000000000000001,1.9000000000000001,37.80691375940601,10.687098463475184,8.830352876201317,759883607,298
-60.0,2.6,2.6,-0.5887994413757132,7.992561245649773,6.623917685380029,760345702,327
-50.0,2.2,2.2,2.672846575814665,14.540312387304501,4.680929556882779,761418226,328
-60.0,2.3,2.3,93.86868683250763,11.767328779986883,7.7755885390584,762602078,228
-40.0,1.8,1.8,5.799220493381898,-0.8377937050652597,10.173088371180317,763673393,268
-60.0,1.9000000000000001,1.9000000000000001,13.522586409502667,7.375811738480334,6.9776280155336305,766640955,317
-40.0,2.1,2.1,51.61278145021115,18.22889955862766,7.730426111248159,767871931,372
-5.0,1.9000000000000001,1.9000000000000001,48.72676509190697,-1.7885723973818533,8.763047699570365,768515987,373
55.0,3.0,3.0,35.88009171898379,-6.126603742086897,5.789273520256655,771160300,378
-60.0,2.6,2.6,76.77314880897619,24.385440979993685,7.10758653515122,771990200,252
-35.0,2.6,2.6,93.09406030318515,13.955964896394484,4.833926691768975,773418906,325
-60.0,3.0,3.0,43.93748438609529,30.016218573574644,4.121323920170784,774875821,450
-5.0,1.9000000000000001,1.9000000000000001,28.800270133476793,-6.8199833510532235,8.477793406719666,778240327,455
-15.0,2.0,2.0,65.59803436473324,5.457793107240466,5.940964394573753,778998620,345
-60.0,1.9000000000000001,1.9000000000000001,40.30681977940069,8.313502779664963,10.04555417906699,779839471,263
25.0,2.1,2.1,36.52292234801696,34.67024532500112,4.998554475038214,781842082,381
-60.0,2.8,2.8,68.36667527354783,14.027601903510076,6.436460781212545,786091066,576
-60.0,2.7,2.7,70.37902154322481,29.91767461298138,5.793298810984707,787025148,215
0.0,3.0,3.0,11.656519298703785,0.8121885624477257,4.044673523922122,789848216,180
-50.0,1.6,1.6,52.31326880320916,-6.699131746528985,7.908128926755481,791319847,349
60.0,1.3,1.3,30.223722498310075,3.9838016034817834,6.738573135332464,793224716,253
45.0,3.0,3.0,5.306970760241192,31.04909120889275,6.232071216447656,794812542,383
15.0,2.0,2.0,74.74328467140481,10.371887219674548,9.132872100546965,797828357,340
-55.0,2.4,2.4,87.074381076969,19.801120147844774,6.567608613918087,798911424,478
-60.0,1.8,1.8,67.2007627542996,-9.479840035691584,10.682557434990258,799864342,327
60.0,3.0,3.0,-0.9647169938789011,4.7439388653563554,6.118166986231692,816200189,322
-5.0,2.9,2.9,79.31082178975065,7.41078088088203,3.601333197257207,829720705,398
-25.0,1.8,1.8,80.29167845488264,11.501959993350079,9.242004734877163,831882777,310
-60.0,2.1,2.1,23.311680906148194,3.6443079266051575,8.251485620217297,835479236,271
-60.0,2.9,2.9,91.15934167832513,13.01598514446465,8.297288238906551,839068429,329
-55.0,1.8,1.8,8.832792601564112,-1.3659235818791466,6.7581517849515755,840012044,385
60.0,2.5,2.5,-0.1571278292652171,7.319311541192808,5.860913445530872,847657808,414
