ecephys_session_id,ecephys_probe_id,baseline_dispersion_deg2,candidate_dispersion_deg2,improvement_deg2
715093703,810755797,601.4169666021988,603.1643878862025,-1.7474212840036216
715093703,810755801,147.89117384518792,147.86797317676638,0.023200668421537785
715093703,810755803,288.95182467982875,291.16163378962426,-2.209809109795515
715093703,810755805,276.4191149332415,271.7917824904244,4.627332442817078
715093703,810755807,357.8279224118561,355.0036710964707,2.824251315385368
719161530,729445648,418.0247083471322,446.0753339003052,-28.050625553173006
719161530,729445650,327.3590955899875,328.4109039880623,-1.0518083980747974
719161530,729445652,212.8114594091881,220.21696068400055,-7.405501274812451
719161530,729445654,358.7968219025864,363.35470461339656,-4.5578827108101905
719161530,729445656,374.81974249103206,368.49088777962385,6.328854711408212
719161530,729445658,108.1467104413186,99.6501964965029,8.496513944815703
721123822,760213137,407.29529692773633,418.4553553257059,-11.160058397969578
721123822,760213145,270.6755168821936,271.95591153677753,-1.2803946545839153
721123822,760213147,537.3627681222201,540.6328970459158,-3.2701289236956654
721123822,760213150,987.3951538901265,1016.810410650929,-29.41525676080255
721123822,760213153,370.63982640825566,368.7643984831774,1.8754279250782702
744228101,757904513,205.8581608830573,209.46219792214774,-3.6040370390904286
744228101,757904516,471.78807396875544,482.54811879693597,-10.760044828180526
744228101,757904520,1091.180200364114,1115.0201528101136,-23.839952445999643
744228101,757904522,361.6310583102665,361.55965620992316,0.0714021003433345
750749662,769322802,471.61014016094424,508.6949728958949,-37.08483273495068
750749662,769322804,637.0317011571511,643.5974829527248,-6.565781795573685
750749662,769322806,202.08189743820776,200.76711137654735,1.3147860616604135
750749662,769322808,330.6728686087908,337.405775050403,-6.732906441612215
750749662,769322810,301.0042637265346,321.60524637568255,-20.600982649147966
750749662,769322812,386.47693066203493,386.5400688889607,-0.06313822692578697
751348571,757984813,609.3395873296155,617.9886212282977,-8.649033898682205
751348571,757984818,794.943373276239,800.3093369579153,-5.365963681676362
751348571,757984820,252.45000901171838,251.67092862964915,0.7790803820692247
751348571,757984822,326.3649918451612,331.67652113582045,-5.311529290659223
751348571,757984826,605.7172632641822,569.0273633879408,36.689899876241384
751348571,757984830,940.1003501524619,928.134395213052,11.965954939409926
754312389,756781553,551.9597031534574,551.3653852240839,0.5943179293735739
754312389,756781555,495.2480404036226,493.77810006335125,1.4699403402713642
754312389,756781557,254.67638007616787,254.27405013246786,0.4023299437000105
754312389,756781559,529.4318924849358,523.6417826154201,5.790109869515732
754312389,756781561,561.5649474019393,546.6941823014829,14.870765100456424
754312389,756781563,915.9493076556661,917.4618041819533,-1.5124965262872365
