ecephys_session_id,held_probe,n_train_cells,n_held_cells,baseline_held_error_deg,candidate_held_error_deg,chosen_dscale_ap,chosen_dscale_ml,improvement_deg
715093703,810755797,265,49,22.29175726355065,22.40595977817185,1.075,0.9624999999999999,-0.11420251462120135
715093703,810755801,222,92,21.522803445885373,20.810918886474507,1.15,1.0,0.7118845594108656
715093703,810755803,259,55,19.095857612086373,12.00969701483011,1.15,0.9624999999999999,7.086160597256264
715093703,810755805,250,64,21.700232021119263,20.87449801402915,1.075,0.9624999999999999,0.8257340070901122
715093703,810755807,260,54,13.69983314048276,15.624606981852292,1.15,0.9624999999999999,-1.9247738413695323
719161530,729445648,203,48,21.719946071385394,20.442235011071496,0.9624999999999999,1.1124999999999998,1.277711060313898
719161530,729445650,217,34,62.66283462863109,58.73654734949938,1.0,1.1124999999999998,3.9262872791317065
719161530,729445652,170,81,12.818878621334013,13.54423022948941,1.0374999999999999,1.15,-0.7253516081553961
719161530,729445654,198,53,26.271350861878382,18.874796417056704,1.15,1.1124999999999998,7.396554444821678
719161530,729445656,232,19,26.638664283726175,25.119642638743052,1.0,1.1124999999999998,1.5190216449831233
719161530,729445658,235,16,11.040179645932731,14.1218241388742,1.1124999999999998,1.15,-3.081644492941468
721123822,760213137,265,65,29.331947770193807,31.53001928357251,0.9624999999999999,0.8875,-2.1980715133787037
721123822,760213145,273,57,12.316327588554284,15.108775463765328,0.9249999999999999,0.8875,-2.792447875211044
721123822,760213147,275,55,17.287242990577475,17.65055184502915,0.9624999999999999,0.8875,-0.3633088544516738
721123822,760213150,246,84,31.587476951562113,37.18539970095755,1.15,1.0,-5.597922749395433
721123822,760213153,261,69,17.293078853444413,18.56598507452345,1.1124999999999998,1.1124999999999998,-1.2729062210790367
744228101,757904513,112,56,25.31152339471128,28.600502110349822,1.15,0.85,-3.2889787156385424
744228101,757904516,128,40,14.114306748561338,15.669693290950956,1.1124999999999998,0.85,-1.555386542389618
744228101,757904520,135,33,51.31298857839144,52.0747199090293,0.8875,0.8875,-0.7617313306378577
744228101,757904522,129,39,22.504490455999374,28.84367740116794,0.85,0.8875,-6.339186945168567
750749662,769322802,248,50,17.03200789639719,14.840497585468238,0.85,1.1124999999999998,2.191510310928951
750749662,769322804,262,36,36.879682459291374,35.91776871515496,0.9249999999999999,1.0,0.9619137441364103
750749662,769322806,207,91,12.958574055182222,15.059279795245784,0.85,1.075,-2.100705740063562
750749662,769322808,281,17,16.031254418044327,18.887634224977134,0.85,1.15,-2.8563798069328072
750749662,769322810,246,52,37.74092106905188,27.205637551814295,0.85,1.075,10.535283517237584
750749662,769322812,246,52,25.510538452777258,17.592365110704247,0.85,1.075,7.918173342073011
751348571,757984813,267,64,27.169630971540485,21.761918337025627,1.15,0.8875,5.4077126345148585
751348571,757984818,278,53,45.55949645627537,43.97834901497037,1.15,0.9624999999999999,1.5811474413049993
751348571,757984820,258,73,30.71263049331537,37.72959408925006,1.0,0.85,-7.016963595934687
751348571,757984822,303,28,52.43023752127539,63.582829353435656,1.075,0.85,-11.152591832160269
751348571,757984826,271,60,35.18502774362602,50.674098126943974,1.0,1.15,-15.489070383317951
751348571,757984830,278,53,27.71395822064314,20.341873139166502,1.15,0.9249999999999999,7.372085081476637
754312389,756781553,258,81,23.423074329515874,27.486984282748946,1.15,1.15,-4.063909953233072
754312389,756781555,312,27,50.73052541250353,50.299958588684156,0.85,0.85,0.43056682381937605
754312389,756781557,196,143,27.308904768948857,26.117194094570003,1.0374999999999999,0.9249999999999999,1.1917106743788537
754312389,756781559,334,5,31.92384385525133,35.70858270568124,0.8875,0.85,-3.784738850429907
754312389,756781561,300,39,32.20132235186729,33.631006221502446,0.8875,0.85,-1.4296838696351557
754312389,756781563,295,44,26.788481822992743,31.144917482734503,1.15,0.9249999999999999,-4.356435659741759
754829445,760640033,177,46,25.733788934356802,25.75666715860343,1.15,1.0,-0.022878224246628776
754829445,760640037,205,18,35.507093939509076,35.018861424749474,1.075,1.0,0.48823251475960205
754829445,760640039,118,105,19.999266794550856,27.82231335788597,0.8875,0.8875,-7.823046563335115
754829445,760640043,198,25,26.960872892142802,27.193306946844007,1.1124999999999998,1.0,-0.23243405470120493
754829445,760640049,194,29,19.28159373760581,15.552655084147595,1.1124999999999998,1.0,3.728938653458215
755434585,760642621,302,98,32.6200676033223,34.24916210357672,1.15,1.15,-1.6290945002544248
755434585,760642624,319,81,59.680342659555016,62.36358753716678,0.85,1.15,-2.683244877611763
755434585,760642628,258,142,37.825437205991975,39.68199432003544,1.15,1.15,-1.8565571140434685
755434585,760642631,367,33,39.632007837390525,33.61219693225617,1.15,1.15,6.0198109051343565
755434585,760642634,354,46,52.921640140375864,47.464636804638786,0.9624999999999999,1.15,5.4570033357370775
756029989,760640083,315,78,17.758727743952207,22.664469880244425,0.85,1.15,-4.9057421362922184
756029989,760640087,309,84,34.32969984521188,33.937801965541766,1.15,1.15,0.39189787967011114
756029989,760640090,303,90,35.011704697888376,33.48659989282859,0.85,1.075,1.525104805059783
756029989,760640094,330,63,30.92796871183912,18.55984459702995,1.1124999999999998,1.1124999999999998,12.36812411480917
756029989,760640097,331,62,51.52457923001575,45.450088386849636,1.1124999999999998,1.15,6.074490843166117
756029989,760640104,377,16,22.85573984722742,22.308849284435976,1.15,1.15,0.5468905627914431
757216464,769322745,350,59,38.92581653260338,35.168723277035326,1.15,1.1124999999999998,3.7570932555680514
757216464,769322749,259,150,25.054720413032804,22.73575571497537,0.85,1.1124999999999998,2.318964698057435
