ecephys_session_id,held_probe,n_train_cells,n_held_cells,baseline_held_error_deg,candidate_held_error_deg,chosen_dtheta_deg,chosen_dscale,improvement_deg
715093703,810755797,265,49,22.29175726355065,23.71797395758346,30.0,1.6,-1.42621669403281
715093703,810755801,222,92,21.522803445885373,11.7965072584858,-10.0,1.6,9.726296187399573
715093703,810755803,259,55,19.095857612086373,12.926488816141728,-8.0,1.6,6.169368795944646
715093703,810755805,250,64,21.700232021119263,57.06389053365283,4.0,1.6,-35.36365851253357
719161530,729445648,203,48,21.719946071385394,26.35090308613959,16.0,1.15,-4.630957014754195
719161530,729445650,217,34,62.66283462863109,52.49426954659453,0.0,1.1,10.168565082036558
719161530,729445652,170,81,12.818878621334013,12.676975835649541,2.0,1.1,0.14190278568447212
719161530,729445654,198,53,26.271350861878382,19.684966102463253,2.0,1.15,6.586384759415129
719161530,729445656,232,19,26.638664283726175,20.79677129373542,2.0,1.15,5.841892989990754
719161530,729445658,235,16,11.040179645932731,17.22629187838554,8.0,1.6,-6.186112232452807
721123822,760213145,273,57,12.316327588554284,32.50840937064177,26.0,1.6,-20.192081782087488
721123822,760213147,275,55,17.287242990577475,22.333006006795884,-24.0,1.6,-5.045763016218409
744228101,757904513,112,56,25.31152339471128,28.542835462373517,-30.0,1.6,-3.2313120676622376
744228101,757904516,128,40,14.114306748561338,25.25481831583572,-30.0,1.4500000000000002,-11.140511567274382
750749662,769322806,207,91,12.958574055182222,46.29092810224633,-28.0,1.55,-33.332354047064115
750749662,769322808,281,17,16.031254418044327,29.118068835462857,12.0,1.4,-13.08681441741853
751348571,757984813,267,64,27.169630971540485,33.818674316643204,24.0,1.6,-6.649043345102719
751348571,757984818,278,53,45.55949645627537,41.07480313582912,4.0,1.2000000000000002,4.484693320446247
751348571,757984820,258,73,30.71263049331537,31.610073674756073,22.0,1.6,-0.8974431814407033
751348571,757984822,303,28,52.43023752127539,51.034977181602436,-4.0,1.6,1.3952603396729515
751348571,757984826,271,60,35.18502774362602,38.485863412978524,4.0,1.25,-3.3008356693525016
751348571,757984830,278,53,27.71395822064314,55.37565422850916,30.0,1.55,-27.661696007866023
754312389,756781553,258,81,23.423074329515874,18.59399126817003,6.0,0.6,4.829083061345845
754312389,756781555,312,27,50.73052541250353,48.763541615102646,-30.0,1.6,1.9669837974008857
754312389,756781557,196,143,27.308904768948857,56.896222602991266,14.0,1.5,-29.58731783404241
754312389,756781559,334,5,31.92384385525133,23.148336123201425,0.0,0.6,8.775507732049906
754312389,756781563,295,44,26.788481822992743,87.5243822133325,-30.0,1.55,-60.73590039033976
754829445,760640037,205,18,35.507093939509076,34.99945147438275,28.0,1.35,0.5076424651263238
754829445,760640039,118,105,19.999266794550856,63.56412218642207,-22.0,1.5,-43.56485539187121
755434585,760642621,302,98,32.6200676033223,22.954675647659815,22.0,1.3,9.665391955662482
755434585,760642624,319,81,59.680342659555016,43.77028643858845,30.0,1.4,15.910056220966567
755434585,760642628,258,142,37.825437205991975,44.82708773206562,2.0,1.6,-7.001650526073647
755434585,760642634,354,46,52.921640140375864,42.520283317958274,28.0,1.35,10.40135682241759
756029989,760640090,303,90,35.011704697888376,52.72676494658445,18.0,1.4500000000000002,-17.715060248696076
756029989,760640094,330,63,30.92796871183912,56.661648644949956,-16.0,1.6,-25.733679933110835
756029989,760640104,377,16,22.85573984722742,24.077352254132926,-22.0,1.6,-1.221612406905507
757216464,769322745,350,59,38.92581653260338,61.22898976947809,-30.0,1.6,-22.303173236874713
757216464,769322749,259,150,25.054720413032804,40.96528915249642,30.0,1.6,-15.910568739463613
757216464,769322753,328,81,28.354143128446026,47.0393083294938,24.0,1.6,-18.685165201047774
757216464,769322755,373,36,20.42979765777922,24.62172635823336,-6.0,1.6,-4.191928700454142
757970808,769322852,276,78,33.63907313628283,35.287281599766494,24.0,1.6,-1.6482084634836625
757970808,769322856,208,146,34.71998075416052,50.950022376060424,-4.0,1.6,-16.230041621899908
757970808,769322860,288,66,52.15517423492076,61.084083988367105,-12.0,1.05,-8.928909753446348
757970808,769322862,290,64,14.083997487678236,20.05303511459649,-14.0,0.6,-5.969037626918254
758798717,770930067,227,62,42.996402929141624,47.864741827982954,12.0,1.6,-4.86833889884133
758798717,770930071,255,34,42.175942159552875,38.38248832605569,22.0,1.6,3.793453833497182
758798717,770930073,206,83,35.34802194439187,40.17565874038356,12.0,1.6,-4.827636795991694
758798717,770930077,179,110,44.85443456967346,32.0129051239211,30.0,1.4500000000000002,12.841529445752357
759883607,769322785,225,73,21.489058000877787,34.40041614879094,14.0,1.55,-12.911358147913152
759883607,769322789,220,78,17.71695097523037,32.287516854361584,-10.0,1.6,-14.570565879131212
759883607,769322793,207,91,11.40174769103013,33.916783486688885,20.0,1.6,-22.515035795658754
759883607,769322797,242,56,41.75367864245045,39.73044194811454,28.0,1.4,2.023236694335914
760345702,810753197,272,55,35.65489134457952,53.52203748171351,-6.0,1.6,-17.867146137133993
760345702,810753199,236,91,11.765423581138121,19.766800372402418,0.0,1.6,-8.001376791264297
761418226,768908579,283,45,17.103917478813674,43.556399947117114,30.0,1.6,-26.45248246830344
761418226,768908582,276,52,44.33418912443571,39.31329648644185,14.0,1.55,5.02089263799386
761418226,768908585,272,56,12.272154691495556,28.981805827011357,-10.0,1.55,-16.7096511355158
761418226,768908587,253,75,37.95974634009269,30.176715510076445,0.0,1.15,7.783030830016248
761418226,768908589,266,62,34.04031257921413,30.86349161489212,2.0,1.1,3.1768209643220118
