ecephys_session_id,held_probe,n_train_cells,n_held_cells,baseline_held_error_deg,candidate_held_error_deg,chosen_dtheta_deg,chosen_dscale,improvement_deg
715093703,810755801,222,92,21.522803445885373,31.834429171910855,-50.0,1.8,-10.311625726025483
715093703,810755805,250,64,21.700232021119263,47.18216383876537,10.0,1.6,-25.481931817646107
719161530,729445650,217,34,62.66283462863109,51.600244286398336,-60.0,2.0,11.062590342232753
719161530,729445652,170,81,12.818878621334013,12.605912151303919,-5.0,2.1,0.2129664700300946
721123822,760213145,273,57,12.316327588554284,19.026927721328192,-50.0,1.6,-6.710600132773909
721123822,760213147,275,55,17.287242990577475,36.23752013936821,25.0,1.6,-18.950277148790732
744228101,757904513,112,56,25.31152339471128,63.872704457621964,-15.0,2.1,-38.561181062910684
744228101,757904516,128,40,14.114306748561338,25.499745344947378,-30.0,1.5000000000000002,-11.38543859638604
750749662,769322806,207,91,12.958574055182222,43.573337028677315,-20.0,1.6,-30.614762973495093
750749662,769322808,281,17,16.031254418044327,29.540119857814588,10.0,1.5000000000000002,-13.508865439770261
751348571,757984820,258,73,30.71263049331537,63.20250752925496,20.0,1.9000000000000001,-32.489877035939585
754312389,756781557,196,143,27.308904768948857,99.75631086583532,0.0,2.0,-72.44740609688645
754829445,760640039,118,105,19.999266794550856,62.543843114140884,-20.0,1.5000000000000002,-42.54457631959003
755434585,760642628,258,142,37.825437205991975,71.57648258435557,15.0,2.2,-33.7510453783636
756029989,760640090,303,90,35.011704697888376,30.404585117518998,-50.0,1.9000000000000001,4.607119580369378
756029989,760640104,377,16,22.85573984722742,32.001737768144224,-20.0,1.8,-9.145997920916805
757216464,769322749,259,150,25.054720413032804,67.4094055792115,-20.0,1.8,-42.35468516617869
757970808,769322856,208,146,34.71998075416052,39.59908944441596,30.0,2.3,-4.879108690255443
758798717,770930067,227,62,42.996402929141624,53.421868899536626,-55.0,1.8,-10.425465970395003
758798717,770930071,255,34,42.175942159552875,46.62993632781014,-45.0,1.8,-4.4539941682572675
758798717,770930073,206,83,35.34802194439187,35.316632834180936,-15.0,1.8,0.03138911021093094
