dtheta_deg,dscale_ap,dscale_ml,offset_az,offset_el,in_sample_median_error_deg,ecephys_session_id,n_cells
-1.0,1.1124999999999998,0.9624999999999999,42.605301610188114,-13.29588627513195,14.620648547583462,715093703,314
4.0,1.15,1.075,53.871771878078796,-15.399135440402915,14.069728343877152,719161530,251
6.0,0.9624999999999999,1.0,47.781430247263536,-10.24547938763647,16.85886361534614,721123822,330
6.0,1.15,1.15,68.7147463649371,5.397978093990755,14.134255035146559,744228101,168
-5.0,1.0,1.15,38.34391027653289,-6.741458202724427,14.019645722356952,750749662,298
4.0,1.15,1.15,51.35428717232668,-7.889298540014936,22.954375443394987,751348571,331
-2.0,0.85,0.85,23.930967619920303,-8.567736724292024,18.512700707360697,754312389,339
-3.0,1.1124999999999998,0.9249999999999999,53.07319699217751,-19.513622943978394,15.80648450676324,754829445,223
8.0,1.15,1.1124999999999998,41.08825867561771,-3.58116892166193,22.586219934792574,755434585,400
1.0,1.15,1.15,59.52384351926119,-9.133273238911352,23.041683712283366,756029989,393
2.0,1.0374999999999999,1.075,36.06733988346668,-1.3907911308948744,18.785576508092817,757216464,409
7.0,1.1124999999999998,1.0374999999999999,18.845823110792924,-0.7289110833187257,19.434176370731326,757970808,354
5.0,1.15,1.15,42.383055028231,-0.28374224140009535,24.765651852749784,758798717,289
8.0,1.0,1.0374999999999999,36.80046146505491,-1.4311392494095605,13.005266647579688,759883607,298
8.0,1.075,1.1124999999999998,38.93593170141163,-12.850188119269239,15.156901711897408,760345702,327
8.0,0.9249999999999999,1.15,19.196789634586366,-8.227093301156541,22.772763622419102,761418226,328
8.0,1.0374999999999999,1.15,44.38306334571405,12.956813920865411,15.302667859596266,762602078,228
1.0,1.15,0.9624999999999999,28.43876928785954,-9.800592502503278,17.302468983397358,763673393,268
4.0,1.15,1.15,24.46819587535763,-12.165487986856364,20.64317001518806,766640955,317
5.0,1.1124999999999998,0.9624999999999999,40.95424286547424,-1.8222965875154211,17.443438224912136,767871931,372
8.0,1.075,1.15,47.11891374038816,-3.930766757059917,14.025262186006838,768515987,373
2.0,0.85,1.1124999999999998,33.65641998799016,-18.353059640404055,15.55496765122376,771160300,378
7.0,1.075,0.85,33.2277122725922,-1.166201476204455,18.259525552298843,771990200,252
8.0,1.075,1.075,49.93946841084072,9.689284835801994,20.5651317654608,773418906,325
8.0,1.15,0.9624999999999999,20.412799759141624,-2.239420676405873,14.666247140488387,774875821,450
8.0,1.15,1.075,35.332919194482,-11.890879153486924,16.771653275993195,778240327,455
-5.0,1.15,1.15,49.5886563086179,-5.216009686967039,20.243822737640663,778998620,345
0.0,0.8875,0.9249999999999999,37.711096875473395,-11.077291020197082,19.284875603549008,779839471,263
-3.0,1.15,1.15,55.589656237090736,15.148207963049687,24.53034833193047,781842082,381
8.0,1.1124999999999998,1.15,32.779390041531975,1.9249707294642644,23.353577193224126,786091066,576
8.0,1.15,1.1124999999999998,30.934263383265126,-0.6755607221648101,15.468488629197433,787025148,215
-4.0,1.1124999999999998,1.15,11.69043823903796,-2.6606378308690157,6.605329132938812,789848216,180
5.0,1.1124999999999998,1.075,57.5591199361058,-7.9526551097207925,15.604263361232755,791319847,349
-3.0,1.0,1.1124999999999998,52.744380303090466,4.384600665357093,14.158661630244756,793224716,253
8.0,1.15,1.15,50.659735233989856,3.383831647763942,23.802251098266538,794812542,383
8.0,1.15,1.0374999999999999,54.598230162829026,3.8047052448254877,28.49678747093,797828357,340
7.0,0.9624999999999999,1.075,43.188768947106105,-0.1061525722560774,20.616397825129866,798911424,478
-6.0,1.15,1.15,44.1780873805603,0.7363229256875816,27.958501060450075,799864342,327
3.0,0.85,1.075,42.84164239924122,5.827480151035811,11.657704808596257,816200189,322
-3.0,1.15,1.075,65.94597947659959,3.5830564213381315,26.245438584404695,829720705,398
7.0,1.15,1.0374999999999999,54.13589079463796,-5.728490099747163,23.23536885283299,831882777,310
-8.0,1.0374999999999999,0.85,51.00949406007769,19.873980722927787,33.08604562742796,835479236,271
8.0,1.1124999999999998,1.0,52.54003497270948,-3.893347236140007,17.383015238154073,839068429,329
7.0,1.075,1.0374999999999999,39.25613555378438,-12.005211479072356,13.858035036478835,840012044,385
7.0,0.9624999999999999,1.15,28.04968253783091,1.1896103977421564,20.045574557166248,847657808,414
