stimulus_presentation_id,stimulus_block,start_time,stop_time,orientation,size,spatial_frequency,phase,temporal_frequency,contrast,color,Speed,y_position,frame,coherence,stimulus_name,x_position,Dir,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
3169,0.0,861.62903,861.87924,0.0,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,null,-20.0,null,null,gabors,-40.0,null,0.25020448,223,,,0,,False,13,train,0
3170,0.0,861.87924,862.12944,0.0,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,null,0.0,null,null,gabors,-40.0,null,0.25020448,233,,,0,,False,11,test,0
3171,0.0,862.12944,862.37964,0.0,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,null,0.0,null,null,gabors,30.0,null,0.25020448,92,,,0,,False,12,train,0
3172,0.0,862.37964,862.62985,0.0,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,null,40.0,null,null,gabors,-10.0,null,0.25020448,64,,,0,,False,11,test,0
3173,0.0,862.62985,862.88007,45.0,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,null,10.0,null,null,gabors,30.0,null,0.25021802,6,,,0,,False,12,train,1
3174,0.0,862.88007,863.13028,90.0,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,null,-30.0,null,null,gabors,40.0,null,0.25021802,217,,,0,,False,13,train,2
3175,0.0,863.13028,863.3805,0.0,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,null,40.0,null,null,gabors,30.0,null,0.25021802,95,,,0,,False,11,test,0
3176,0.0,863.3805,863.63072,45.0,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,null,20.0,null,null,gabors,-20.0,null,0.25021802,76,,,0,,False,11,test,1
3177,0.0,863.63072,863.88092,45.0,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,null,-30.0,null,null,gabors,-40.0,null,0.25019948,133,,,0,,False,12,train,1
3178,0.0,863.88092,864.13112,90.0,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,null,-40.0,null,null,gabors,-40.0,null,0.25019948,158,,,0,,False,12,train,2
3179,0.0,864.13112,864.38132,90.0,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,null,-20.0,null,null,gabors,-10.0,null,0.25019948,8,,,0,,False,11,test,2
3180,0.0,864.38132,864.63152,0.0,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,null,20.0,null,null,gabors,-30.0,null,0.25019948,117,,,0,,False,13,train,0
3181,0.0,864.63152,864.88174,45.0,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,null,0.0,null,null,gabors,-30.0,null,0.25022052,79,,,0,,False,13,train,1
3182,0.0,864.88174,865.13196,45.0,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,null,20.0,null,null,gabors,10.0,null,0.25022052,178,,,0,,False,12,train,1
3183,0.0,865.13196,865.38218,45.0,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,null,10.0,null,null,gabors,-20.0,null,0.25022052,205,,,0,,False,13,train,1
3184,0.0,865.38218,865.6324,90.0,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,null,20.0,null,null,gabors,0.0,null,0.25022052,228,,,0,,False,12,train,2
3185,0.0,865.6324,865.8826,45.0,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,null,-10.0,null,null,gabors,-40.0,null,0.25019948,234,,,0,,False,11,test,1
3186,0.0,865.8826,866.1328,45.0,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,null,-40.0,null,null,gabors,40.0,null,0.25019948,152,,,0,,False,11,test,1
3187,0.0,866.1328,866.383,0.0,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,null,20.0,null,null,gabors,40.0,null,0.25019948,125,,,0,,False,13,train,0
3188,0.0,866.383,866.6332,45.0,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,null,-30.0,null,null,gabors,-10.0,null,0.25019948,221,,,0,,False,9,train,1
3189,0.0,866.6332,866.88341,0.0,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,null,-20.0,null,null,gabors,0.0,null,0.25021302,154,,,0,,False,12,train,0
3190,0.0,866.88341,867.13362,0.0,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,null,30.0,null,null,gabors,-40.0,null,0.25021302,4,,,0,,False,12,train,0
3191,0.0,867.13362,867.38384,45.0,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,null,10.0,null,null,gabors,-30.0,null,0.25021302,39,,,0,,False,11,test,1
3192,0.0,867.38384,867.63405,90.0,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,null,20.0,null,null,gabors,-10.0,null,0.25021302,199,,,0,,False,12,train,2
3193,0.0,867.63405,867.88426,45.0,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,null,-40.0,null,null,gabors,-10.0,null,0.25020448,126,,,0,,False,13,train,1
3194,0.0,867.88426,868.13446,90.0,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,null,40.0,null,null,gabors,30.0,null,0.25020448,134,,,0,,False,11,test,2
3195,0.0,868.13446,868.38466,45.0,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,null,-30.0,null,null,gabors,-10.0,null,0.25020448,221,,,0,,False,10,train,1
3196,0.0,868.38466,868.63487,0.0,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,null,20.0,null,null,gabors,30.0,null,0.25020448,29,,,0,,False,11,test,0
3197,0.0,868.63487,868.88507,90.0,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,null,20.0,null,null,gabors,20.0,null,0.25020552,77,,,0,,False,11,test,2
3198,0.0,868.88507,869.13528,90.0,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,null,30.0,null,null,gabors,40.0,null,0.25020552,93,,,0,,False,9,train,2
3199,0.0,869.13528,869.38549,45.0,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,null,-40.0,null,null,gabors,-20.0,null,0.25020552,242,,,0,,False,11,test,1
3200,0.0,869.38549,869.63569,45.0,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,null,-40.0,null,null,gabors,20.0,null,0.25020552,141,,,0,,False,13,train,1
3201,0.0,869.63569,869.8859,90.0,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,null,20.0,null,null,gabors,10.0,null,0.25021198,46,,,0,,False,12,train,2
3202,0.0,869.8859,870.13611,90.0,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,null,10.0,null,null,gabors,0.0,null,0.25021198,20,,,0,,False,13,train,2
3203,0.0,870.13611,870.38633,45.0,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,null,0.0,null,null,gabors,-40.0,null,0.25021198,72,,,0,,False,13,train,1
3204,0.0,870.38633,870.63654,0.0,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,null,-40.0,null,null,gabors,30.0,null,0.25021198,17,,,0,,False,13,train,0
3205,0.0,870.63654,870.88675,45.0,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,null,-10.0,null,null,gabors,-30.0,null,0.25021552,208,,,0,,False,13,train,1
3206,0.0,870.88675,871.13697,90.0,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,null,-30.0,null,null,gabors,-40.0,null,0.25021552,58,,,0,,False,12,train,2
3207,0.0,871.13697,871.38719,45.0,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,null,10.0,null,null,gabors,30.0,null,0.25021552,6,,,0,,False,13,train,1
3208,0.0,871.38719,871.6374,0.0,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,null,-40.0,null,null,gabors,10.0,null,0.25021552,33,,,0,,False,14,test,0
3209,0.0,871.6374,871.88761,45.0,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,null,20.0,null,null,gabors,-20.0,null,0.25020698,76,,,0,,False,12,train,1
3210,0.0,871.88761,872.13781,90.0,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,null,10.0,null,null,gabors,30.0,null,0.25020698,210,,,0,,False,13,train,2
3211,0.0,872.13781,872.38802,45.0,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,null,-40.0,null,null,gabors,30.0,null,0.25020698,118,,,0,,False,13,train,1
3212,0.0,872.38802,872.63823,0.0,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,null,10.0,null,null,gabors,0.0,null,0.25020698,136,,,0,,False,12,train,0
3213,0.0,872.63823,872.88843,45.0,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,null,-40.0,null,null,gabors,-40.0,null,0.25020552,195,,,0,,False,14,test,1
3214,0.0,872.88843,873.13864,0.0,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,null,-30.0,null,null,gabors,-30.0,null,0.25020552,202,,,0,,False,10,train,0
3215,0.0,873.13864,873.38885,90.0,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,null,10.0,null,null,gabors,10.0,null,0.25020552,89,,,0,,False,11,test,2
3216,0.0,873.38885,873.63905,0.0,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,null,10.0,null,null,gabors,0.0,null,0.25020552,136,,,0,,False,13,train,0
3217,0.0,873.63905,873.88926,45.0,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,null,40.0,null,null,gabors,10.0,null,0.25020948,100,,,0,,False,13,train,1
3218,0.0,873.88926,874.13947,90.0,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,null,-30.0,null,null,gabors,0.0,null,0.25020948,97,,,0,,False,13,train,2
3219,0.0,874.13947,874.38968,90.0,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,null,-40.0,null,null,gabors,20.0,null,0.25020948,186,,,0,,False,13,train,2
3220,0.0,874.38968,874.63989,45.0,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,null,40.0,null,null,gabors,10.0,null,0.25020948,100,,,0,,False,14,test,1
3221,0.0,874.63989,874.8901,90.0,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,null,10.0,null,null,gabors,40.0,null,0.25021552,26,,,0,,False,12,train,2
3222,0.0,874.8901,875.14032,90.0,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,null,40.0,null,null,gabors,20.0,null,0.25021552,222,,,0,,False,14,test,2
3223,0.0,875.14032,875.39054,90.0,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,null,-20.0,null,null,gabors,0.0,null,0.25021552,216,,,0,,False,10,train,2
3224,0.0,875.39054,875.64075,90.0,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,null,40.0,null,null,gabors,0.0,null,0.25021552,2,,,0,,False,12,train,2
3225,0.0,875.64075,875.89095,45.0,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,null,-40.0,null,null,gabors,30.0,null,0.25020198,118,,,0,,False,14,test,1
3226,0.0,875.89095,876.14115,45.0,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,null,-10.0,null,null,gabors,40.0,null,0.25020198,99,,,0,,False,13,train,1
