heldout_session_id,model,feature_index,azimuth_coefficient,elevation_coefficient
760345702,affine,0,22.869479214678297,-7.679896872715467
760345702,affine,1,4.406765997805147,0.5001623166670477
760345702,quadratic,0,24.55592663528815,-6.640123057052534
760345702,quadratic,1,2.9613674871344737,-0.30556652821486463
760345702,quadratic,2,3.8956986173025023,2.146147262353852
760345702,quadratic,3,1.1765269712013215,-1.2716950044593753
760345702,quadratic,4,2.9578237245131924,1.8390582130561082
719161530,affine,0,23.15163482952504,-7.600671727303892
719161530,affine,1,4.872472195922495,0.8790600328664904
719161530,quadratic,0,24.925863162187866,-6.635734002769768
719161530,quadratic,1,3.3148302008853876,0.09355917431590208
719161530,quadratic,2,3.800084115694012,2.0139509516752065
719161530,quadratic,3,0.6578044296568621,-1.482204153583188
719161530,quadratic,4,2.882531450169947,1.4230180469715852
835479236,affine,0,22.826474717615937,-7.6959558240364325
835479236,affine,1,4.2361760689819015,0.4791953112183942
835479236,quadratic,0,24.243719308241317,-6.710877325483915
835479236,quadratic,1,2.881515333404457,-0.2742414605237906
835479236,quadratic,2,3.60399973005258,2.1786181653194783
835479236,quadratic,3,0.7991303608464552,-1.112588517834528
835479236,quadratic,4,4.332328106753483,1.7731316468515685
