stimulus_presentation_id,stimulus_block,start_time,stop_time,y_position,stimulus_name,x_position,temporal_frequency,color,size,spatial_frequency,phase,orientation,contrast,frame,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
2891,0.0,814.633,814.88321,-40.0,gabors,20.0,4.0,null,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",45.0,0.8,null,0.25021006,90,,,0,,False,12,train,1
2892,0.0,814.88321,815.13342,0.0,gabors,20.0,4.0,null,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",45.0,0.8,null,0.25021006,174,,,0,,False,11,test,1
2893,0.0,815.13342,815.38362,10.0,gabors,40.0,4.0,null,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",0.0,0.8,null,0.25020494,146,,,0,,False,13,train,0
2894,0.0,815.38362,815.63383,-20.0,gabors,30.0,4.0,null,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",0.0,0.8,null,0.25020494,63,,,0,,False,10,train,0
2895,0.0,815.63383,815.88403,-20.0,gabors,-20.0,4.0,null,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",45.0,0.8,null,0.25020494,103,,,0,,False,12,train,1
2896,0.0,815.88403,816.13424,0.0,gabors,30.0,4.0,null,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",0.0,0.8,null,0.25020494,189,,,0,,False,12,train,0
2897,0.0,816.13424,816.38445,-40.0,gabors,0.0,4.0,null,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",0.0,0.8,null,0.25021256,205,,,0,,False,12,train,0
2898,0.0,816.38445,816.63466,30.0,gabors,-10.0,4.0,null,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",90.0,0.8,null,0.25021256,36,,,0,,False,11,test,2
2899,0.0,816.63466,816.88487,-20.0,gabors,0.0,4.0,null,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",45.0,0.8,null,0.25021256,77,,,0,,False,12,train,1
2900,0.0,816.88487,817.13509,-10.0,gabors,-20.0,4.0,null,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",45.0,0.8,null,0.25021256,11,,,0,,False,12,train,1
2901,0.0,817.13509,817.3853,-30.0,gabors,-40.0,4.0,null,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",90.0,0.8,null,0.25021744,227,,,0,,False,12,train,2
2902,0.0,817.3853,817.63552,0.0,gabors,10.0,4.0,null,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",0.0,0.8,null,0.25021744,208,,,0,,False,11,test,0
2903,0.0,817.63552,817.88574,-10.0,gabors,-10.0,4.0,null,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",0.0,0.8,null,0.25021744,9,,,0,,False,12,train,0
2904,0.0,817.88574,818.13596,-10.0,gabors,0.0,4.0,null,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",90.0,0.8,null,0.25021744,105,,,0,,False,12,train,2
2905,0.0,818.13596,818.38616,-10.0,gabors,30.0,4.0,null,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",0.0,0.8,null,0.25020006,30,,,0,,False,8,test,0
2906,0.0,818.38616,818.63636,-20.0,gabors,10.0,4.0,null,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",90.0,0.8,null,0.25020006,80,,,0,,False,10,train,2
2907,0.0,818.63636,818.88656,30.0,gabors,-10.0,4.0,null,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",0.0,0.8,null,0.25020006,49,,,0,,False,13,train,0
2908,0.0,818.88656,819.13676,0.0,gabors,20.0,4.0,null,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",90.0,0.8,null,0.25020006,190,,,0,,False,9,train,2
2909,0.0,819.13676,819.38697,-40.0,gabors,30.0,4.0,null,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",90.0,0.8,null,0.25021744,20,,,0,,False,8,test,2
2910,0.0,819.38697,819.63719,-40.0,gabors,-40.0,4.0,null,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",45.0,0.8,null,0.25021744,173,,,0,,False,12,train,1
2911,0.0,819.63719,819.88741,30.0,gabors,0.0,4.0,null,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",0.0,0.8,null,0.25021744,119,,,0,,False,14,test,0
2912,0.0,819.88741,820.13763,20.0,gabors,0.0,4.0,null,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",0.0,0.8,null,0.25021744,211,,,0,,False,10,train,0
2913,0.0,820.13763,820.38783,-40.0,gabors,-30.0,4.0,null,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",45.0,0.8,null,0.25020256,114,,,0,,False,12,train,1
2914,0.0,820.38783,820.63803,40.0,gabors,-10.0,4.0,null,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",90.0,0.8,null,0.25020256,195,,,0,,False,13,train,2
2915,0.0,820.63803,820.88823,30.0,gabors,20.0,4.0,null,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",45.0,0.8,null,0.25020256,231,,,0,,False,12,train,1
2916,0.0,820.88823,821.13844,-10.0,gabors,0.0,4.0,null,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",0.0,0.8,null,0.25020256,184,,,0,,False,10,train,0
2917,0.0,821.13844,821.38864,10.0,gabors,20.0,4.0,null,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",45.0,0.8,null,0.25020744,213,,,0,,False,10,train,1
2918,0.0,821.38864,821.63885,-40.0,gabors,-30.0,4.0,null,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",45.0,0.8,null,0.25020744,114,,,0,,False,13,train,1
2919,0.0,821.63885,821.88906,30.0,gabors,-30.0,4.0,null,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",0.0,0.8,null,0.25020744,200,,,0,,False,10,train,0
2920,0.0,821.88906,822.13927,-40.0,gabors,-40.0,4.0,null,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",0.0,0.8,null,0.25020744,127,,,0,,False,11,test,0
2921,0.0,822.13927,822.38948,20.0,gabors,30.0,4.0,null,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",45.0,0.8,null,0.25021006,124,,,0,,False,13,train,1
2922,0.0,822.38948,822.63969,30.0,gabors,30.0,4.0,null,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",90.0,0.8,null,0.25021006,56,,,0,,False,9,train,2
2923,0.0,822.63969,822.8899,20.0,gabors,10.0,4.0,null,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",0.0,0.8,null,0.25021006,220,,,0,,False,10,train,0
2924,0.0,822.8899,823.14011,-20.0,gabors,0.0,4.0,null,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",90.0,0.8,null,0.25021006,84,,,0,,False,13,train,2
2925,0.0,823.14011,823.39032,40.0,gabors,-10.0,4.0,null,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",45.0,0.8,null,0.25020994,92,,,0,,False,10,train,1
2926,0.0,823.39032,823.64053,30.0,gabors,-40.0,4.0,null,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",90.0,0.8,null,0.25020994,169,,,0,,False,11,test,2
2927,0.0,823.64053,823.89074,20.0,gabors,10.0,4.0,null,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",90.0,0.8,null,0.25020994,45,,,0,,False,10,train,2
