ecephys_unit_id,ecephys_probe_id,area,ccf_ap_mm,ccf_ml_mm,ephys_effective_n,zhuang_da_dap_degmm,zhuang_da_dml_degmm,zhuang_de_dap_degmm,zhuang_de_dml_degmm,zhuang_azimuth_gradient_magnitude_degmm,zhuang_elevation_gradient_magnitude_degmm,ephys_da_dap_degmm,ephys_da_dml_degmm,ephys_de_dap_degmm,ephys_de_dml_degmm,ephys_azimuth_gradient_magnitude_degmm,ephys_elevation_gradient_magnitude_degmm
950996794,792586876,VISam,7.677,7.702,3529.150132212946,11.907829459919324,31.33268757965482,10.155146103729873,-41.60727895397672,33.51915442565307,42.828642919687915,-16.435731848973255,49.36665261142374,5.87385419715457,-77.06588609722492,52.03075697573834,77.28941042005609
950996816,792586876,VISam,7.675,7.701,3530.684516257375,12.442839760642682,31.09123455177249,9.919631016532563,-41.12157034717811,33.488641764968044,42.30109487143415,-16.502584138887173,49.57948127074694,5.6790226855981185,-77.31328427529851,52.253806046424955,77.52157908670759
950996824,792586876,VISam,7.669,7.699,3532.976843639573,13.969208555447185,30.87400502176726,9.236713829027572,-39.79279689568816,33.887209589308014,40.85074744898603,-16.848916154358175,50.015479284097744,5.1943010360687865,-77.91598510331252,52.77721235149316,78.08893326120497
950996898,792586876,VISam,7.649,7.687,3553.828792399733,18.45465379003054,29.572054336836175,5.993339878494221,-29.03131999132607,34.85800688809789,29.64350963259779,-17.281083511055414,52.4471759719649,3.0607520501227348,-80.68243184807909,55.220848551523765,80.74046700405106
950996998,792586876,VISam,7.636,7.679,3568.4287439683676,21.680692588229963,28.456468830788555,3.737799753809348,-18.94026918097931,35.77461459503051,19.30556768519206,-17.569200863114837,54.001362450381876,1.6634196486335129,-82.51740030154282,56.787533539201974,82.5341645468864
950997021,792586876,VISam,7.633,7.678,3569.7965223628894,22.640661671102155,28.509915037374228,3.410459117947572,-17.360164828634606,36.40624694119968,17.691991246678644,-17.756165558104474,54.193969998406686,1.42463679884347,-82.82212010345407,57.02865770395635,82.83437190224593
950997043,792586876,VISam,7.625,7.673,3579.2443221502676,25.071626731530497,27.485003997991488,2.2953081547101477,-11.843531121669756,37.202310569839646,12.063899409189343,-17.9400289459221,55.13326210052144,0.5616738330494814,-83.9664018007391,57.97862734167925,83.96828037335227
950997076,792586876,VISam,7.616,7.668,3588.5320343672497,28.288310436106258,26.637006060641458,1.3399892482721578,-7.030685414501343,38.8556121970066,7.157241688190144,-18.244410582558213,56.051586283730416,-0.34513523642002236,-85.16810422150603,58.946067234612336,85.16880353167309
950997093,792586876,VISam,7.611,7.665,3594.3294760202375,29.98931675954348,25.79344374126185,0.9641565922111427,-5.0913554402367085,39.555794262508186,5.181843123168834,-18.3888430773341,56.59254670690296,-0.8690864508656151,-85.86860184246476,59.50517534211466,85.8729997941077
950997102,792586876,VISam,7.611,7.665,3594.3294760202375,29.98931675954348,25.79344374126185,0.9641565922111427,-5.0913554402367085,39.555794262508186,5.181843123168834,-18.3888430773341,56.59254670690296,-0.8690864508656151,-85.86860184246476,59.50517534211466,85.8729997941077
