ecephys_unit_id,area,ephys_effective_n,zhuang_azimuth_grad,zhuang_elevation_grad,garrett_azimuth_grad,garrett_elevation_grad,naive_azimuth_grad,naive_elevation_grad,ephys_azimuth_grad,ephys_elevation_grad
950996794,VISam,3529.150132212946,[11.90782946 31.33268758],[ 10.1551461  -41.60727895],[ 3.50943397 22.58754467],[  1.59167786 -34.67843117],[-9.24002687 27.67215854],[-13.99544005 -69.51417933],[-16.43573185  49.36665261],[  5.8738542 -77.0658861]
950996816,VISam,3530.684516257375,[12.44283976 31.09123455],[  9.91963102 -41.12157035],[ 3.4682178  22.55117003],[  1.55068293 -34.75782093],[-9.3618592  27.65936866],[-13.94660536 -69.59518862],[-16.50258414  49.57948127],[  5.67902269 -77.31328428]
950996824,VISam,3532.976843639573,[13.96920856 30.87400502],[  9.23671383 -39.7927969 ],[ 3.38140929 22.39784974],[  1.45099363 -34.9668939 ],[-9.73460343 27.60233305],[-13.82335546 -69.65617419],[-16.84891615  50.01547928],[  5.19430104 -77.9159851 ]
950996898,VISam,3553.828792399733,[18.45465379 29.57205434],[  5.99333988 -29.03131999],[ 2.82907396 22.02155226],[  1.03862601 -35.73944463],[-11.03953336  27.42393281],[-13.08300049 -70.5564899 ],[-17.28108351  52.44717597],[  3.06075205 -80.68243185]
950996998,VISam,3568.4287439683676,[21.68069259 28.45646883],[  3.73779975 -18.94026918],[ 2.23066682 21.29186027],[  1.00702559 -35.90874994],[-11.95289609  27.25383915],[-12.46173091 -70.9976769 ],[-17.56920086  54.00136245],[  1.66341965 -82.5174003 ]
950997021,VISam,3569.7965223628894,[22.64066167 28.50991504],[  3.41045912 -17.36016483],[ 2.14030803 21.11396708],[  1.00695515 -35.94393695],[-12.16454345  27.203363  ],[-12.34873105 -70.95970421],[-17.75616556  54.19397   ],[  1.4246368 -82.8221201]
950997043,VISam,3579.2443221502676,[25.07162673 27.485004  ],[  2.29530815 -11.84353112],[ 1.75138755 20.65411653],[  0.98514158 -36.04048468],[-12.758612    27.07184162],[-11.89844729 -71.15701784],[-17.94002895  55.1332621 ],[  0.56167383 -83.9664018 ]
950997076,VISam,3588.5320343672497,[28.28831044 26.63700606],[ 1.33998925 -7.03068541],[ 1.35423449 20.10246624],[  1.00931378 -36.08820882],[-13.44323896  26.90198815],[-11.38248735 -71.2333358 ],[-18.24441058  56.05158628],[ -0.34513524 -85.16810422]
950997093,VISam,3594.3294760202375,[29.98931676 25.79344374],[ 0.96415659 -5.09135544],[ 1.13855456 19.74933952],[  1.10820839 -36.00315194],[-13.83612872  26.79947833],[-11.06190986 -71.27785381],[-18.38884308  56.59254671],[ -0.86908645 -85.86860184]
950997102,VISam,3594.3294760202375,[29.98931676 25.79344374],[ 0.96415659 -5.09135544],[ 1.13855456 19.74933952],[  1.10820839 -36.00315194],[-13.83612872  26.79947833],[-11.06190986 -71.27785381],[-18.38884308  56.59254671],[ -0.86908645 -85.86860184]
950997110,VISam,3594.3294760202375,[29.98931676 25.79344374],[ 0.96415659 -5.09135544],[ 1.13855456 19.74933952],[  1.10820839 -36.00315194],[-13.83612872  26.79947833],[-11.06190986 -71.27785381],[-18.38884308  56.59254671],[ -0.86908645 -85.86860184]
950997119,VISam,3598.321511576989,[32.2509716  25.17697968],[ 0.61051616 -3.27259714],[ 0.91502408 19.32692371],[  1.22260901 -35.9122222 ],[-14.34229164  26.70662211],[-10.67723729 -71.08497432],[-18.72041327  57.00495496],[ -1.3709418  -86.51294667]
950997165,VISam,3593.7951862769473,[33.19229748 24.83759984],[ 0.49157282 -2.66860151],[ 0.8351029  19.11817783],[  1.27678143 -35.87722806],[-14.49667492  26.62181439],[-10.34164959 -70.80882771],[-19.16065595  56.85976084],[ -1.48153678 -86.56293686]
950997203,VISam,3573.1150200995708,[37.64597006 22.51815722],[ 0.14599272 -0.82830866],[ 0.29894037 18.05952573],[  1.55774973 -35.65590147],[-15.38791889  26.2449555 ],[ -8.50312535 -69.42548826],[-21.24384788  56.23889656],[ -2.06936477 -86.85477227]
950997213,VISam,3573.1150200995708,[37.64597006 22.51815722],[ 0.14599272 -0.82830866],[ 0.29894037 18.05952573],[  1.55774973 -35.65590147],[-15.38791889  26.2449555 ],[ -8.50312535 -69.42548826],[-21.24384788  56.23889656],[ -2.06936477 -86.85477227]
950997243,VISam,3577.627957720972,[36.87533503 22.91434245],[ 0.18768115 -1.05135906],[ 0.37992218 18.26885789],[  1.50380899 -35.69141239],[-15.22697156  26.33813186],[ -8.83421854 -69.68925848],[-20.80229786  56.38951412],[ -1.96549782 -86.81011827]
950997277,VISam,3573.1150200995708,[37.64597006 22.51815722],[ 0.14599272 -0.82830866],[ 0.29894037 18.05952573],[  1.55774973 -35.65590147],[-15.38791889  26.2449555 ],[ -8.50312535 -69.42548826],[-21.24384788  56.23889656],[ -2.06936477 -86.85477227]
950997285,VISam,3573.1150200995708,[37.64597006 22.51815722],[ 0.14599272 -0.82830866],[ 0.29894037 18.05952573],[  1.55774973 -35.65590147],[-15.38791889  26.2449555 ],[ -8.50312535 -69.42548826],[-21.24384788  56.23889656],[ -2.06936477 -86.85477227]
950997306,VISam,3560.55193739678,[39.66444713 21.11379889],[ 0.05772576 -0.34574777],[ 0.07404273 17.51133461],[  1.73252213 -35.51253861],[-15.93042467  25.98901629],[ -7.42955291 -68.63287437],[-22.5094872   55.83959708],[ -2.39839215 -87.00967647]
950997333,VISam,3556.049040534358,[40.17023849 20.70422358],[ 0.04597348 -0.27764223],[ 0.0461887  17.35541857],[  1.79140519 -35.46903977],[-16.09629505  25.88956345],[ -7.1018306  -68.37838642],[-22.95201773  55.68491195],[ -2.49721307 -87.05032832]
