source,kind,n,median_angle_deg,fraction_within_45deg,atlas_median_magnitude,ephys_median_magnitude
zhuang,azimuth,210,108.0711913381722,0.10952380952380952,49.380168297861964,51.042255055096284
zhuang,elevation,210,52.46143877668517,0.3761904761904762,24.301883107950847,34.23132807964121
garrett,azimuth,148,82.22574950682703,0.25675675675675674,18.061999745419197,54.71309659174045
garrett,elevation,148,55.31159365806123,0.40540540540540543,7.629045997950412,36.38196094884231
naive,azimuth,185,24.989106901605478,0.9351351351351351,22.76453723825221,52.38035178266281
naive,elevation,185,52.29380337294838,0.4810810810810811,32.77672710433926,35.81403424782621
