unit_id,model,success,baseline,amplitude,center_y_px,center_x_px,sigma_y_px,sigma_x_px,height_rf_deg,width_rf_deg,sse,rmse_per_pixel,parameters_at_bound,threshold_center_x_px,threshold_center_y_px,observed_area_pixels,observed_area_deg2,observed_mean,observed_min,observed_max
951867908,"Allen unbounded, no baseline",True,0,163.67424,3.9846423,3.6169462,1.0858633,0.87293125,10.858633,8.7293125,20570.592,15.936057,False,3.6667,3.6667,3,300,19.111111,3,145
951867908,baseline + wide-bound Gaussian,True,9.7729784,167.33175,3.5963056,4.0011117,0.75613573,0.95147285,7.5613573,9.5147285,1826.1877,4.748213,False,3.6667,3.6667,3,300,19.111111,3,145
951867908,baseline + screen-bounded Gaussian,True,9.7729789,167.33176,3.5963056,4.0011117,0.75613568,0.95147283,7.5613568,9.5147283,1826.1877,4.748213,False,3.6667,3.6667,3,300,19.111111,3,145
951868026,"Allen unbounded, no baseline",False,0,10580.602,337.69235,317.95347,133.25302,142.00035,1332.5302,1420.0035,10433.157,11.349203,False,8,2.5,4,400,40,15,69
951868026,baseline + wide-bound Gaussian,True,39.461987,35.265927,6.3043229,3.0003117,0.49553148,0.22600362,4.9553148,2.2600362,9907.4943,11.0596,False,8,2.5,4,400,40,15,69
951868026,baseline + screen-bounded Gaussian,True,39.445481,38.676676,6.3338103,2.9725582,0.45666056,0.35,4.5666056,3.5,9909.6489,11.060802,True,8,2.5,4,400,40,15,69
