site,session_reference_x_deg,session_reference_y_deg,session_shift_x_deg,session_shift_y_deg,aligned_reference_x_deg,aligned_reference_y_deg,simultaneous_probes
site2,-13.6778,15.3617,-0.097039,15.7575,-13.5808,-0.395869,4
site3,-16.9818,-6.49909,-3.40098,-6.10322,-13.5808,-0.395869,4
site4,-11.2556,-5.90586,2.32522,-5.50999,-13.5808,-0.395869,4
site5,-10.0509,4.56968,3.52986,4.96555,-13.5808,-0.395869,4
site6,-13.4838,-3.90116,0.097039,-3.5053,-13.5808,-0.395869,4
site7,-30.6526,3.10943,-17.0718,3.5053,-13.5808,-0.395869,4
site8,-28.431,-11.3407,-14.8502,-10.9448,-13.5808,-0.395869,4
site9,-4.6375,9.07921,8.9433,9.47508,-13.5808,-0.395869,4
