site,probe,n_units,depth_range_um,anchor_row,anchor_col,p0_row,p0_col,p1_row,p1_col,shank_length_px,length_source,direction_source,jacobian_cond,jacobian_radius_px,rf_span_estimated_angle_deg,domain_dist_p0,domain_dist_p1,max_endpoint_domain_dist
site6,C,39,825.0699999999999,291.0,207.0,313.9650827798936,178.59169418247996,268.0349172201064,235.40830581752004,73.05961583553824,rf_depth_span_angle,gradient_inversion,1.7711882744174205,20.0,57.87314609964943,34.3223431833427,0.0,34.3223431833427
site7,B,16,546.0699999999999,277.0,273.0,285.9622210930687,269.35355316859307,268.0377789069313,276.64644683140693,19.351277106725874,rf_depth_span_angle,gradient_inversion,1.7296371407604945,20.0,19.81088374965221,0.0,0.0,0.0
site7,C,60,1970.8599999999997,304.0,173.0,258.0443463733869,253.10946588094637,349.9556536266131,92.89053411905363,184.71002814118947,rf_depth_span_angle,gradient_inversion,1.5792160659173413,20.0,63.67933743459914,0.0,113.03401819099864,113.03401819099864
site8,A,24,1160.85,160.0,200.0,205.5923533647334,221.43581976211473,114.40764663526657,178.56418023788527,100.76025117492689,rf_depth_span_angle,gradient_inversion,1.6143121918685817,20.0,56.11182072820998,0.0,31.737999367971184,31.737999367971184
site8,B,23,1459.24,222.0,274.0,280.70937262795195,244.6801312770088,163.29062737204805,303.3198687229912,131.24702109078368,rf_depth_span_angle,gradient_inversion,2.293065882602299,20.0,59.33790486422272,0.0,0.0,0.0
site8,C,31,1031.57,274.0,189.0,312.02437434327555,195.6935324691947,235.97562565672442,182.3064675308053,77.21803989000801,rf_depth_span_angle,gradient_inversion,1.5996942559297687,20.0,45.71690961187184,23.418415293331584,0.0,23.418415293331584
site9,A,49,804.1200000000003,183.0,218.0,215.57794839965482,207.98228309929544,150.42205160034518,228.01771690070456,68.16677706429233,rf_depth_span_angle,gradient_inversion,1.8593222319176288,20.0,54.16863733511023,0.0,0.0,0.0
site9,B,22,2640.0,259.0,259.0,258.14701627102085,215.74197085070227,259.85298372897915,302.2580291492977,86.53287622917418,rf_depth_span_angle,gradient_inversion,1.9957948311798008,20.0,18.26903159280221,0.0,0.0,0.0
site9,C,50,1686.6999999999998,304.0,228.0,232.61855889987936,230.79001315883735,375.38144110012064,225.20998684116265,142.87189096468876,rf_depth_span_angle,gradient_inversion,1.9192578089391947,20.0,54.106048362375375,0.0,65.99113083146709,65.99113083146709
site9,E,42,1651.8500000000001,252.0,175.0,307.1467497250579,229.75506722268017,196.85325027494213,120.24493277731982,155.42562712498085,rf_depth_span_angle,gradient_inversion,1.4735214504151215,20.0,64.14202626135216,3.408463683346388,10.152095963358391,10.152095963358391
