site,probe,n_units,depth_range_um,anchor_row,anchor_col,p0_row,p0_col,p1_row,p1_col,shank_length_px,length_source,direction_source,jacobian_cond,jacobian_radius_px,rf_span_estimated_angle_deg,domain_dist_p0,domain_dist_p1,max_endpoint_domain_dist
site2,A,41,801.4300000000003,207.0,221.0,236.82161291599573,210.99715464813497,177.17838708400427,231.00284535186503,62.908998149543294,rf_depth_span_angle,gradient_inversion,2.0304459993204262,20.0,48.65290007330955,0.0,0.0,0.0
site2,B,43,2013.24,302.0,239.0,317.28793893318436,150.32318877502655,286.71206106681564,327.67681122497345,179.96997444967704,rf_depth_span_angle,gradient_inversion,1.895758382158013,20.0,58.753204136229805,53.31368862614129,12.572859124513156,53.31368862614129
site2,C,17,833.1499999999999,309.0,187.0,293.8757898671532,177.8989206644919,324.1242101328468,196.1010793355081,35.302769138622494,rf_depth_span_angle,gradient_inversion,1.709231516411858,20.0,23.9064511035988,18.413574283137056,33.88564659802124,33.88564659802124
site2,E,19,2154.1,252.0,195.0,228.71645160415784,221.8144814722718,275.28354839584216,168.1855185277282,71.02506719541579,rf_depth_span_angle,gradient_inversion,1.7424528848776608,20.0,18.38126636594893,0.0,8.740596510228206,8.740596510228206
site3,A,45,701.5799999999999,167.0,210.0,184.2463475677616,188.8027138890471,149.7536524322384,231.1972861109529,54.65387242996172,rf_depth_span_angle,gradient_inversion,1.7223954149147982,20.0,48.16190529628043,0.0,0.0,0.0
site3,B,79,1343.24,236.0,266.0,279.47524216778197,227.437492150804,192.52475783221806,304.562507849196,116.22673863043028,rf_depth_span_angle,gradient_inversion,2.1151736789350375,20.0,55.84589119786112,0.0,0.0,0.0
site3,C,72,1943.0400000000002,288.0,205.0,214.76743503587284,254.734612247171,361.23256496412716,155.265387752829,177.04847050004759,rf_depth_span_angle,gradient_inversion,1.7555669718180185,20.0,60.62747155712455,0.0,86.58133245107116,86.58133245107116
site3,E,15,2078.77,197.0,195.0,203.31177640531908,260.4753698654245,190.68822359468092,129.5246301345755,131.55778320426174,rf_depth_span_angle,gradient_inversion,1.4406104594773588,20.0,37.24752475494795,0.0,5.5872504487264925,5.5872504487264925
site4,A,28,737.7400000000002,155.0,222.0,168.95014282739916,211.55310349885877,141.04985717260084,232.44689650114123,34.8565133890579,rf_depth_span_angle,gradient_inversion,2.2059798015060297,20.0,26.863636624026693,0.0,0.0,0.0
site4,B,28,2834.59,237.0,277.0,160.60412062599667,287.94335556330645,313.39587937400336,266.05664443669355,154.3513837490577,rf_depth_span_angle,gradient_inversion,2.0137047570043554,20.0,31.38439046188224,0.0,0.0,0.0
site4,C,28,692.48,298.0,206.0,317.12042328803227,183.94950517984054,278.87957671196773,228.05049482015946,58.37173660351067,rf_depth_span_angle,gradient_inversion,1.7853491835088013,20.0,53.723458916626335,33.96681703642093,0.0,33.96681703642093
site5,A,55,895.7799999999997,185.0,217.0,222.68595801456723,200.7658131594021,147.31404198543277,233.2341868405979,82.06778305403809,rf_depth_span_angle,gradient_inversion,1.8514013650283576,20.0,61.18723597062378,0.0,0.0,0.0
site5,B,41,1427.6699999999998,244.0,273.0,243.85306512142006,217.11073758569844,244.14693487857994,328.8892624143015,111.77891112500967,rf_depth_span_angle,gradient_inversion,1.9086830191251254,20.0,48.48620670683494,0.0,0.0,0.0
site5,C,73,1653.9400000000003,303.0,209.0,228.01452634253775,208.0459520570327,377.98547365746225,209.9540479429673,149.98308527445943,rf_depth_span_angle,gradient_inversion,1.810428305411015,20.0,60.14288052852727,0.0,75.14100992483468,75.14100992483468
site5,E,68,2817.1400000000003,257.0,193.0,154.74734031300244,274.9480361873981,359.25265968699756,111.05196381260194,262.07698905501826,rf_depth_span_angle,gradient_inversion,1.7257487981659836,20.0,62.83774568088918,0.0,110.29370186020351,110.29370186020351
site6,A,22,2247.0499999999997,170.0,211.0,208.11006148563297,216.6253708302156,131.88993851436703,205.3746291697844,77.04600141256302,rf_depth_span_angle,gradient_inversion,1.7185829067172638,20.0,19.142624230519544,0.0,8.537468686718007,8.537468686718007
site6,B,33,2428.3,245.0,259.0,262.71445365785945,231.8524637486484,227.28554634214058,286.1475362513516,64.83180062021717,rf_depth_span_angle,gradient_inversion,1.9907297295505764,20.0,14.793679353334031,0.0,0.0,0.0
