site,delta_azimuth_deg,delta_elevation_deg
site2,22.29641779911315,-10.472828609721615
site3,-12.117740737816087,6.531845126938655
site4,7.198210721256382,3.5929903530063427
site5,4.694597072283456,-6.760707263833632
site6,6.714112808349766,-2.4933024107354838
site7,15.81626599482797,-28.67575695826554
site8,-6.190614739008656,1.9374079827042674
site9,4.058433840889334,-13.908349232803406
