site,probe,unit_id,inferred_row,inferred_col,predicted_azimuth_deg,predicted_elevation_deg,observed_azimuth_deg,observed_elevation_deg,log2_rf_area,delta_azimuth_deg,delta_elevation_deg,fit_residual_deg
site2,A,2000432,236.82161291599573,210.99715464813497,45.443310649177235,-11.603909605641574,67.66824646972657,-10.494869218963622,8.234126300821973,22.29641779911315,-10.472828609721615,45.49540040501946
site2,A,2000457,226.77477727555447,214.3670911928158,37.826232313426026,-9.013246914040042,38.78675746972656,31.763179781036378,7.665369290765649,22.29641779911315,-10.472828609721615,38.199390735325686
site2,A,2000465,224.34344305056766,215.18261583662857,36.11893153389303,-8.467994038686168,17.415986469726562,3.1124947810363777,7.965292297961884,22.29641779911315,-10.472828609721615,3.7603134759783625
site2,A,2000466,224.39553775388848,215.16514209158208,36.15544611890994,-8.477705873530569,14.161536469726563,-11.608210218963622,7.853217272648367,22.29641779911315,-10.472828609721615,13.606696096759528
site2,A,2000473,222.36384432437703,215.8466181483953,34.672639791114136,-8.144414274897784,25.730896469726563,-10.468768218963623,8.922156752407034,22.29641779911315,-10.472828609721615,18.49635671479594
site2,A,2000484,220.42294452065326,216.49763996384178,33.22809576520878,-7.884575460769833,30.60800646972656,-15.704070218963622,7.5752900660416325,22.29641779911315,-10.472828609721615,26.865721609128297
site2,A,2000487,215.79023697533867,218.0515551483335,30.455892305053098,-7.111280195831301,31.873126469726564,-13.547700218963623,7.208655803461087,22.29641779911315,-10.472828609721615,29.12490306914812
site2,A,2000492,218.2483627620333,217.22704400706826,31.80430306238775,-7.564952542084976,19.110206469726563,-10.880957218963623,6.635104520062553,22.29641779911315,-10.472828609721615,16.802871658068824
site2,A,2000499,213.5486763124491,218.8034254351912,29.025596084002906,-6.63030885329669,38.04302746972656,2.841800781036377,10.085199574159466,22.29641779911315,-10.472828609721615,31.32983544863278
site2,A,2000500,214.63001351137956,218.44072041301183,29.757490676921215,-6.865503007160938,34.72996646972656,-8.019027218963622,8.017121147610004,22.29641779911315,-10.472828609721615,29.6439646076219
site2,A,2000503,215.7909811853861,218.05130552340427,30.456325445620646,-7.111435475097491,28.958306469726562,-8.029004218963623,7.507588712223316,22.29641779911315,-10.472828609721615,23.713172404431656
site2,A,2000504,214.5913145889127,218.4537009093321,29.73224405409706,-6.857194033643754,20.348566469726563,7.587595781036377,8.551813710879573,22.29641779911315,-10.472828609721615,13.509823672688245
site2,A,2000505,213.16466392797003,218.93223189867678,28.752103820098593,-6.545406761247125,25.42530646972656,-12.097900218963623,7.541256949188199,22.29641779911315,-10.472828609721615,24.83258841390515
site2,A,2000506,214.4342862689028,218.5063717694008,29.63007562192191,-6.823402915516533,47.378456469726565,-9.682302218963622,8.423129114319604,22.29641779911315,-10.472828609721615,42.205697101492724
site2,A,2000509,215.9576842360127,217.99538953925548,30.553566558410555,-7.145953030591277,24.149796469726564,-12.191260218963622,6.733689381283843,22.29641779911315,-10.472828609721615,22.21235669387412
site2,A,2000510,214.2281400857619,218.57551787479906,29.496618180597626,-6.778857275069701,7.963916469726563,1.1319137810363773,9.62123650622551,22.29641779911315,-10.472828609721615,2.67346239387769
site2,A,2000519,212.6042737622476,219.12019947039119,28.342606256174843,-6.418150050788306,62.170606469726565,9.658639781036378,8.570988827322816,22.29641779911315,-10.472828609721615,56.40349881558037
site2,A,2000534,208.33920598036843,220.55079993984052,25.628269743646108,-5.404319182922949,19.275876469726562,-5.898068218963623,7.846905395403731,22.29641779911315,-10.472828609721615,19.35142742333258
site2,A,2000543,204.40531166960014,221.87031731577997,23.65848399977321,-4.473498219296099,50.96724946972656,-6.9375582189636225,9.152349506072834,22.29641779911315,-10.472828609721615,51.264386215475334
site2,A,2000547,203.29941553910413,222.2412599606241,22.93734507974087,-4.220501872930684,36.428866469726565,-10.479390218963623,7.826724789265551,22.29641779911315,-10.472828609721615,39.506036800596966
site2,A,2000556,198.3013008604965,223.9177409853705,19.836530953685028,-3.1198968450050555,34.76524646972656,-18.769000218963626,8.172371201883587,22.29641779911315,-10.472828609721615,45.475992357408245
