ecephys_session_id,target_subset,subset_units,shift_azimuth_deg,shift_elevation_deg,minimum_loss,basin_grid_points_delta_005,at_bound,cell_half_vector_difference_deg,physical_half_vector_difference_deg,exact_support_shuffle_fit_p
781842082,full,105,-6.0,-2.0,0.15047243288620699,199,False,10.0,34.058772731852805,0.0
781842082,cell_half_0,53,-10.0,-4.0,0.1454137677604047,309,False,10.0,34.058772731852805,0.0
781842082,cell_half_1,52,-2.0,-10.0,0.13217918706680482,367,False,10.0,34.058772731852805,0.0
781842082,physical_half_0,56,-24.0,14.0,0.02585379020984167,178,False,10.0,34.058772731852805,0.0
781842082,physical_half_1,49,-2.0,-12.0,1.0172079934796174,217,False,10.0,34.058772731852805,0.0
798911424,full,127,-28.0,-16.0,0.12700669450696206,693,False,10.770329614269007,60.03332407921454,0.03
798911424,cell_half_0,64,-30.0,26.0,0.1696757573162183,93,True,10.770329614269007,60.03332407921454,0.03
798911424,cell_half_1,63,-20.0,30.0,0.10556839352425196,540,True,10.770329614269007,60.03332407921454,0.03
798911424,physical_half_0,61,30.0,22.0,0.11912321618313582,184,True,10.770329614269007,60.03332407921454,0.03
798911424,physical_half_1,66,-30.0,24.0,0.07426861647232434,31,True,10.770329614269007,60.03332407921454,0.03
778240327,full,130,8.0,-6.0,0.029813737202559306,384,False,28.071337695236398,41.23105625617661,0.0
778240327,cell_half_0,65,8.0,28.0,0.056633913886363546,646,False,28.071337695236398,41.23105625617661,0.0
778240327,cell_half_1,65,6.0,0.0,0.056930612942707515,374,False,28.071337695236398,41.23105625617661,0.0
778240327,physical_half_0,66,30.0,-2.0,0.08940163350657387,294,True,28.071337695236398,41.23105625617661,0.0
778240327,physical_half_1,64,-8.0,14.0,0.043082401661316994,176,False,28.071337695236398,41.23105625617661,0.0
760345702,full,92,12.0,0.0,0.38784229921940583,150,False,7.211102550927978,2.0,0.0
760345702,cell_half_0,46,6.0,-8.0,0.8055704470420864,249,False,7.211102550927978,2.0,0.0
760345702,cell_half_1,46,2.0,-2.0,0.07860279106954365,476,False,7.211102550927978,2.0,0.0
760345702,physical_half_0,51,10.0,-10.0,0.3936558110840802,257,False,7.211102550927978,2.0,0.0
760345702,physical_half_1,41,10.0,-12.0,0.24466027896576717,337,False,7.211102550927978,2.0,0.0
771990200,full,97,24.0,24.0,0.04887794649694444,205,False,57.201398584300364,33.94112549695428,0.0
771990200,cell_half_0,49,22.0,-14.0,0.07126467108083911,365,False,57.201398584300364,33.94112549695428,0.0
771990200,cell_half_1,48,-24.0,20.0,0.12451897355952125,161,False,57.201398584300364,33.94112549695428,0.0
771990200,physical_half_0,53,-6.0,0.0,0.014363026872579739,419,False,57.201398584300364,33.94112549695428,0.0
771990200,physical_half_1,44,-30.0,-24.0,0.17466239155090427,135,True,57.201398584300364,33.94112549695428,0.0
