ecephys_unit_id,ecephys_session_id,ecephys_structure_acronym,group,p_value_rf,snr,firing_rate_dg,released_area_rf_deg2,released_width_rf_deg,released_height_rf_deg,map_mean,map_max,threshold_azimuth_deg,threshold_elevation_deg,threshold_area_deg2,threshold_component_touches_edge,allen_success,allen_center_azimuth_deg,allen_center_elevation_deg,allen_sigma_x_deg,allen_sigma_y_deg,allen_rmse,corrected_success,corrected_at_bound,corrected_sigma_upper_bound,corrected_center_bound,corrected_baseline,corrected_center_azimuth_deg,corrected_center_elevation_deg,corrected_sigma_x_deg,corrected_sigma_y_deg,corrected_rmse,fit_exception,allen_major_sigma_deg,allen_halfmax_area_deg2,corrected_major_sigma_deg,corrected_halfmax_area_deg2,published_like_qc,allen_finite,corrected_censored
951868676,737581020,VISp,V1,0,2.2413225,7.6257787,600,65.035323,59.593672,103.7037,163,50,15,600,False,True,50.65033,15.573341,65.035322,59.593672,16.114382,True,False,False,False,95.620946,50.572272,16.085498,12.175254,11.10517,10.388908,,65.035322,16879.313,12.175254,588.85526,True,True,False
951868691,737581020,VISp,V1,0,1.9598816,3.9193177,1600,41.65133,67.158523,69.580247,115,67.5,8.75,1600,True,True,44.873869,27.370331,41.65133,67.158523,20.923652,True,False,False,False,45.172818,68.290078,4.9212863,39.920602,22.567242,9.281633,,67.158523,12182.47,39.920602,3923.5655,True,True,False
951868706,737581020,VISp,V1,0,1.9960481,2.1592783,300,9.6737416,11.584649,16.716049,115,63.333,13.333,300,False,True,51.775324,20.979288,9.6737416,11.584649,22.029186,True,False,False,False,8.9942559,61.345068,11.940349,9.9300291,8.1889245,6.3342196,,11.584649,488.07065,9.9300291,354.14631,True,True,False
951868721,737581020,VISp,V1,0,1.7472755,0.24303794,300,6.8913893,8.1831545,0.32098765,5,55,10,200,False,True,47.860126,10.762715,6.8913893,8.1831545,0.5869846,True,False,False,False,0.10982306,50.611525,7.6880588,7.8896114,6.5036731,0.46552983,,8.1831545,245.60255,7.8896114,223.47021,True,True,False
951868820,737581020,VISp,V1,0,2.282589,5.8731522,300,13.40159,13.506883,34.876543,181,56.667,6.667,300,False,True,46.558962,18.185583,13.40159,13.506883,37.801769,True,False,False,False,24.311074,58.16437,6.3065375,8.7055114,8.2348565,7.427451,,13.506883,788.34587,8.7055114,312.21636,True,True,False
951870296,737581020,VISp,V1,0,2.0113759,2.1010339,400,8.48134,9.4528743,8.1975309,65,53.333,3.333,300,False,True,43.210239,13.107014,8.48134,9.4528743,12.70436,True,False,False,False,5.0281094,52.812017,3.6685754,7.7188162,6.9073177,4.5389932,,9.4528743,349.1674,7.7188162,232.20174,True,True,False
951868731,737581020,VISp,V1,0,1.9252961,1.2644327,600,9.6422613,19.436998,7.617284,38,58,6,500,False,True,45.880286,16.859422,9.6422612,19.436998,10.635891,True,False,False,False,5.1011394,59.797598,5.0057697,10.872411,6.4086234,4.1594967,,19.436998,816.23163,10.872411,303.45614,True,True,False
951868744,737581020,VISp,V1,0,3.9179789,0.45854217,200,4.7192698,6.9307544,5.7407407,82,50,0,100,False,True,42.682993,12.00628,4.7192698,6.9307544,14.284568,True,False,False,False,3.6013745,52.12526,4.3085972,6.4088364,2.4325236,2.2245118,,6.9307544,142.44941,6.4088364,67.895592,True,True,False
951868832,737581020,VISp,V1,0,1.4539039,2.515628,1100,29.612005,31.849374,14.098765,36,56.364,10.909,1100,False,True,49.064021,14.023049,29.612005,31.849374,5.2500826,True,False,False,False,8.4274195,54.964104,10.646062,19.531277,17.652235,4.3904029,,31.849374,4107.4666,19.531277,1501.5357,True,True,False
951868796,737581020,VISp,V1,0,2.3121638,2.1841645,800,19.217658,67.50556,4.8024691,21,62,6,500,False,True,51.717408,-15.600585,19.217658,67.505558,4.6353366,True,False,False,False,3.907376,60.643593,5.441614,8.665142,8.3854716,3.0841167,,67.505558,5649.9593,8.665142,316.45248,True,True,False
951868848,737581020,VISp,V1,0,2.0108136,1.2792585,200,24.50729,22.988975,14.197531,78,60,5,200,False,True,45.793022,17.226321,24.50729,22.988975,11.9804,True,False,False,False,11.139099,59.584678,5.1969966,7.2866757,6.0699254,4.035044,,24.50729,2453.693,7.2866757,192.62743,True,True,False
951868864,737581020,VISp,V1,0,2.4686022,1.0341026,600,35.463428,43.632027,8.8888889,26,55,10,400,False,True,42.763901,9.951403,35.463428,43.632027,4.4766055,True,False,False,False,7.9586257,56.823837,11.999885,9.4959011,6.437016,3.7640025,,43.632027,6738.9375,9.4959011,266.21107,True,True,False
951868891,737581020,VISp,V1,0,0.63221631,2.5828738,600,31.137975,39.915636,34.074074,92,58.333,8.333,600,False,True,45.604385,13.392389,31.137975,39.915636,11.627672,True,False,False,False,25.99857,57.056447,7.8585116,17.303966,11.970571,6.2537671,,39.915636,5413.0089,17.303966,902.12319,False,True,False
951868909,737581020,VISp,V1,0,2.2093572,0.62374443,300,7.0253142,6.4208801,3.3950617,55,65,5,400,False,True,48.573191,26.916494,7.0253143,6.4208801,9.8894114,True,False,False,False,2.0131579,67.050732,8.5692194,5.2138111,5.9946713,4.631513,,7.0253143,196.45616,5.9946713,136.12127,True,True,False
951868924,737581020,VISp,V1,0,4.4240561,2.9535199,900,28.77454,34.21944,10.432099,25,57.778,4.444,900,False,True,44.836094,12.985678,28.77454,34.21944,4.8369029,True,False,False,False,6.45582,55.766566,4.0756003,19.966713,16.354574,3.6465404,,34.21944,4288.3144,19.966713,1422.1688,True,True,False
951868936,737581020,VISp,V1,0,2.3441649,2.086208,400,8.6497884,14.066569,11.925926,93,55,5,400,False,True,46.352091,17.030752,8.6497885,14.066569,17.353344,True,False,False,False,7.3115538,57.660057,6.4318615,10.849375,6.3643523,5.677315,,14.066569,529.9062,10.849375,300.72136,True,True,False
951868968,737581020,VISp,V1,0,2.0013461,3.5253739,300,8.2248645,10.65908,7.4444444,61,53.333,6.667,300,False,True,46.397168,11.419078,8.2248645,10.65908,8.0878088,True,False,False,False,3.6515784,51.341155,6.2054855,9.4333094,7.2040278,2.908622,,10.65908,381.81572,9.4333094,295.96802,True,True,False
951869012,737581020,VISp,V1,0.497,4.6746782,0.31240171,0,5.7197625,18.660252,0.2962963,2,65,5,400,False,True,44.927532,22.858653,5.7197626,18.660252,0.71347034,True,False,False,False,0.26582325,24.148692,-30.196535,3.1470677,2.0968522,0.53768827,,18.660252,464.83716,3.1470677,28.739502,False,True,False
951869028,737581020,VISp,V1,0,3.7319046,0.35846773,400,9.791644,10.271273,3.382716,36,55,15,400,False,True,53.31973,16.493961,9.791644,10.271273,3.2875079,True,False,False,False,0.94603036,56.385192,13.475363,9.5759235,9.3203592,2.2385978,,10.271273,438.0112,9.5759235,388.70368,True,True,False
951869044,737581020,VISp,V1,0,2.4208239,3.6063865,400,37.830256,29.502448,12.617284,53,55,5,400,False,True,38.799908,12.904734,37.830256,29.502448,9.3218679,True,False,False,False,10.206057,56.669155,6.9612799,7.7136632,8.9501471,5.637757,,37.830256,4860.7431,8.9501471,300.67421,True,True,False
951869058,737581020,VISp,V1,0,1.6458993,1.3867459,400,8.5533506,11.816324,7.5679012,58,55,5,400,False,True,46.33008,14.676067,8.5533506,11.816324,11.288392,True,False,False,False,3.0859635,54.517206,6.2397716,10.658377,7.7168195,2.4526849,,11.816324,440.17362,10.658377,358.20758,True,True,False
951869072,737581020,VISp,V1,0,5.4955471,0.284868,300,6.3382433,7.2251054,3.8148148,71,46.667,6.667,300,False,True,46.309845,7.3903293,6.3382433,7.2251054,2.8322795,True,False,False,False,0.50219421,47.375269,6.2737012,7.1428109,6.2237409,1.81748,,7.2251054,199.44283,7.1428109,193.6092,True,True,False
951869083,737581020,VISp,V1,0,2.8939352,0.66080904,500,29.947522,29.403163,43.308642,146,62,4,500,False,True,43.797084,21.166443,29.947522,29.403163,30.225541,True,False,False,False,32.024946,60.107425,3.1586909,10.422371,12.792089,12.430556,,29.947522,3834.9551,12.792089,580.64857,True,True,False
951869098,737581020,VISp,V1,0,1.7104976,0.90702395,400,12.426071,9.3549101,15.259259,125,55,5,400,False,True,47.080959,12.924171,12.426071,9.3549101,17.039583,True,False,False,False,7.3051454,53.014019,7.2818218,7.9753873,10.601246,6.8421468,,12.426071,506.26602,10.601246,368.22566,True,True,False
951870308,737581020,VISp,V1,,3.3745119,0.059303376,,,,0.098765432,1,52.5,3.75,800,False,True,41.826402,12.595792,18.384698,8.7134425,0.29290698,True,False,False,False,0.020894512,52.690671,1.6387332,8.3011805,17.81697,0.26003051,,18.384698,697.67249,17.81697,644.13816,False,True,False
951869110,737581020,VISp,V1,0,2.7977973,0.43312644,300,9.2972457,9.81818,30.592593,343,53.333,6.667,300,False,True,49.427584,13.513682,9.2972457,9.81818,33.95232,True,False,False,False,4.2625991,53.517885,9.4224565,9.6113871,9.136438,10.635615,,9.81818,397.54896,9.6113871,382.4444,True,True,False
951869126,737581020,VISp,V1,0,1.742119,1.1013484,200,8.3124927,8.3702924,5.0617284,46,65,10,200,False,True,50.208917,24.422182,8.3124927,8.3702924,11.034738,True,False,False,False,2.7678974,64.533197,10.264808,7.2133812,7.5815704,2.2500879,,8.3702924,303.02414,7.5815704,238.17896,True,True,False
951869143,737581020,VISp,V1,0,3.2418204,0.20703232,200,6.8886857,6.2455796,3.2345679,66,55,10,200,False,True,48.835836,17.755859,6.8886857,6.2455796,10.434643,True,False,False,False,1.0012293,57.682097,8.8123232,6.0313043,6.7225685,1.500955,,6.8886857,187.37621,6.7225685,176.58419,True,True,False
951869211,737581020,VISp,V1,0,1.7374333,2.9074539,300,33.271891,40.584341,16.012346,51,60,7.5,400,False,True,43.645933,14.462354,33.271891,40.584341,7.5650852,True,False,False,False,13.799982,58.37712,9.8174868,11.321924,6.7375833,4.8187583,,40.584341,5880.8664,11.321924,332.22301,True,True,False
951869160,737581020,VISp,V1,0,2.3587587,0.58032589,400,6.1657045,12.733498,3.1358025,30,55,15,400,False,True,58.076172,15.182638,6.1657045,12.733498,4.6089457,True,False,False,False,1.4817056,55.152667,17.849611,11.677646,5.4128087,2.0175333,,12.733498,341.92887,11.677646,275.28548,True,True,False
951869176,737581020,VISp,V1,0,1.7226742,0.70105062,400,11.251619,11.459995,4.4320988,29,53.333,6.667,300,False,True,49.705341,13.071851,11.251619,11.459995,3.6484442,True,False,False,False,2.4029802,52.992681,9.1127169,9.0998944,9.1717968,2.3703398,,11.459995,561.57111,9.1717968,363.49305,True,True,False
951869225,737581020,VISp,V1,0,3.2015033,0.25415732,100,7.9398534,10.5062,0.72839506,11,66.667,6.667,300,False,True,46.305015,28.535633,7.9398534,10.5062,2.8229853,True,False,False,False,0.016032612,68.543924,6.2934133,10.481708,7.9158519,0.83087077,,10.5062,363.29841,10.481708,361.3558,True,True,False
951869243,737581020,VISp,V1,0,1.9277661,0.78894669,200,15.338057,14.311628,2.6790123,15,60,0,700,False,True,40.225355,19.869904,15.338057,14.311628,4.0852342,True,False,False,False,1.3457502,60.082397,0.8811689,10.907955,12.190742,1.7402634,,15.338057,956.01499,12.190742,579.13368,True,True,False
951869260,737581020,VISp,V1,0,3.6555537,0.4177711,200,19.19908,18.851521,1.2098765,9,45,5,400,False,True,43.91403,6.163879,19.19908,18.851521,1.5905362,True,False,False,False,0.93228511,44.298863,4.3157655,3.836355,3.790034,1.2353594,,19.19908,1576.2756,3.836355,63.323837,True,True,False
951869279,737581020,VISp,V1,0,1.971364,2.850798,400,10.783515,12.774671,45.555556,353,60,7.5,400,False,True,47.229597,19.747456,10.783515,12.774671,75.130247,True,False,False,False,15.702494,59.598451,7.2455485,11.433255,9.7889005,11.264131,,12.774671,599.95048,11.433255,487.42651,True,True,False
951869294,737581020,VISp,V1,0,2.1092558,0.24886238,400,8.0527536,8.4247879,1.5555556,19,55,5,400,False,True,44.430466,18.616754,8.0527536,8.4247879,3.7881904,True,False,False,False,0.76312014,58.549394,4.2521338,7.4268301,7.1700328,1.1902962,,8.4247879,295.46682,7.4268301,231.9156,True,True,False
951869357,737581020,VISp,V1,0,4.9868071,0.50990313,500,7.6786098,15.081379,3.4938272,29,56.667,3.333,300,False,True,42.629793,18.52142,7.6786098,15.081379,6.8841853,True,False,False,False,2.1849864,56.202489,2.4773393,9.2558991,5.7157342,2.6739389,,15.081379,504.34646,9.2558991,230.40716,True,True,False
951869373,737581020,VISp,V1,0,1.7124626,1.0309256,400,8.4723642,9.1524974,18.135802,222,65,5,400,False,True,41.629012,26.161777,8.4723642,9.1524974,59.958333,True,False,False,False,4.1150041,66.151809,1.6223967,8.8338543,8.2054482,4.6661655,,9.1524974,337.71438,8.8338543,315.68785,True,True,False
951870323,737581020,VISp,V1,,3.2188461,0.062480342,,,,0.024691358,1,60,-30,100,True,False,60,-5,35.355339,,,True,False,False,False,0.012499839,59.997802,-32.675308,2.0472283,2.1595184,0.1104145,,35.355339,,2.1595184,19.254335,False,False,False
951869343,737581020,VISp,V1,0,1.1970251,1.1839495,400,11.003103,12.60814,7.8888889,65,55,5,400,False,True,48.016103,16.152109,11.003103,12.60814,9.8025284,True,False,False,False,2.8411048,56.169262,7.858818,11.158819,9.8834413,3.5644605,,12.60814,604.18725,11.158819,480.3212,True,True,False
951869388,737581020,VISp,V1,0.692,2.2244081,1.5344748,0,6.2684098,3.4160057,0.16049383,2,48,28,500,False,True,74.368682,3.5752505,6.2684098,3.416102,0.55636741,True,False,False,False,0.10317116,43.984358,34.808835,2.6091199,4.0908675,0.30724663,,6.2684098,93.259599,4.0908675,46.485208,False,True,False
951869403,737581020,VISp,V1,0,1.8651608,0.61103657,400,11.501549,13.988663,7.3950617,54,65,15,400,False,True,52.229769,22.004817,11.501549,13.988663,9.289391,True,False,False,False,4.0586189,62.522441,11.069263,11.207502,7.3743052,3.7914502,,13.988663,700.70924,11.207502,359.94427,True,True,False
951869419,737581020,VISp,V1,0,1.4962581,2.4955072,900,34.616654,32.069798,11.580247,30,57.143,15.714,700,False,True,43.473409,13.064965,34.616654,32.069798,5.7205688,True,False,False,False,10.142123,60.966157,22.176971,8.266709,9.0707693,5.091779,,34.616654,4834.8905,9.0707693,326.57437,True,True,False
951870335,737581020,VISp,V1,,5.7457648,0.011119383,,,,0,0,,,0,False,False,,,,,,True,True,False,False,6.0233993e-09,-1.7561634,-41.756163,10.110895,10.110895,6.8422588e-06,,,,10.110895,445.2301,False,False,False
951869456,737581020,VISp,V1,0,2.640471,0.62798039,400,7.2234354,11.326783,3.5555556,46,65,5,400,False,True,45.948705,22.822756,7.2234355,11.326783,11.787713,True,False,False,False,0.47040842,62.793581,5.9054063,11.115013,7.0477394,2.2229409,,11.326783,356.33274,11.115013,341.16552,True,True,False
