group,model,azimuth_deg,elevation_deg,halfmax_area_deg2,effective_local_units
V1,allen,18.75,-27.5,,1.9402627
V1,allen,20,-27.5,,1.9601375
V1,allen,21.25,-27.5,,1.9840596
V1,allen,22.5,-27.5,,2.012424
V1,allen,23.75,-27.5,,2.0456868
V1,allen,25,-27.5,,2.0843766
V1,allen,26.25,-27.5,,2.1291074
V1,allen,27.5,-27.5,,2.1805953
V1,allen,28.75,-27.5,,2.2396774
V1,allen,30,-27.5,,2.3073362
V1,allen,31.25,-27.5,,2.3847278
V1,allen,32.5,-27.5,,2.4732184
V1,allen,33.75,-27.5,,2.5744278
V1,allen,35,-27.5,,2.6902843
V1,allen,36.25,-27.5,,2.8230929
V1,allen,37.5,-27.5,,2.9756197
V1,allen,38.75,-27.5,50357.586,3.1511988
V1,allen,40,-27.5,44553.789,3.3538649
V1,allen,41.25,-27.5,39270.318,3.5885195
V1,allen,42.5,-27.5,34509.539,3.8611373
V1,allen,43.75,-27.5,30263.504,4.1790192
V1,allen,45,-27.5,26515.386,4.5510957
V1,allen,46.25,-27.5,23241.233,4.9882749
V1,allen,47.5,-27.5,20411.899,5.5038062
V1,allen,48.75,-27.5,17995.048,6.1135863
V1,allen,50,-27.5,15957.126,6.8362319
V1,allen,51.25,-27.5,14265.223,7.6925579
V1,allen,52.5,-27.5,12888.803,8.7037588
V1,allen,53.75,-27.5,11801.295,9.8870422
V1,allen,55,-27.5,10981.611,11.246785
V1,allen,56.25,-27.5,10415.695,12.75901
V1,allen,57.5,-27.5,10098.258,14.348852
V1,allen,58.75,-27.5,10034.902,15.867841
V1,allen,60,-27.5,10244.891,17.091773
V1,allen,61.25,-27.5,10764.826,17.769133
V1,allen,62.5,-27.5,11653.511,17.724905
V1,allen,63.75,-27.5,12998.108,16.959292
V1,allen,65,-27.5,14921.454,15.653252
V1,allen,66.25,-27.5,17589.73,14.072565
V1,allen,67.5,-27.5,21218.786,12.455465
V1,allen,68.75,-27.5,26076.173,10.956272
V1,allen,70,-27.5,32474.843,9.6467676
V1,allen,71.25,-27.5,40754.306,8.5425543
V1,allen,72.5,-27.5,51246.761,7.6294133
V1,allen,73.75,-27.5,64229.833,6.8811481
V1,allen,75,-27.5,79873.305,6.2693556
V1,allen,76.25,-27.5,98192.317,5.7679125
V1,allen,77.5,-27.5,119020.77,5.35457
V1,allen,78.75,-27.5,142014.6,5.011156
V1,allen,80,-27.5,166686.11,4.7231958
V1,allen,81.25,-27.5,192461.41,4.4793431
V1,allen,82.5,-27.5,218747.24,4.2707992
V1,allen,83.75,-27.5,244992.57,4.0907889
V1,allen,85,-27.5,270734.74,3.9341148
V1,allen,86.25,-27.5,295625.26,3.7967903
V1,allen,87.5,-27.5,319436.49,3.675747
V1,allen,88.75,-27.5,342053.36,3.5686041
V1,allen,90,-27.5,363456.01,3.4734919
V1,allen,10,-26.25,,2.11659
V1,allen,11.25,-26.25,,2.1185893
V1,allen,12.5,-26.25,,2.1233914
V1,allen,13.75,-26.25,,2.1312459
V1,allen,15,-26.25,,2.1424247
V1,allen,16.25,-26.25,,2.1572263
V1,allen,17.5,-26.25,,2.1759832
V1,allen,18.75,-26.25,,2.1990684
V1,allen,20,-26.25,,2.2269036
V1,allen,21.25,-26.25,,2.2599693
V1,allen,22.5,-26.25,,2.2988152
V1,allen,23.75,-26.25,,2.3440738
V1,allen,25,-26.25,,2.3964759
V1,allen,26.25,-26.25,,2.4568687
V1,allen,27.5,-26.25,,2.5262387
V1,allen,28.75,-26.25,,2.605738
V1,allen,30,-26.25,,2.6967167
V1,allen,31.25,-26.25,,2.800763
V1,allen,32.5,-26.25,,2.9197506
V1,allen,33.75,-26.25,55319.675,3.0558984
V1,allen,35,-26.25,49681.126,3.2118424
V1,allen,36.25,-26.25,44398.421,3.3907253
V1,allen,37.5,-26.25,39497.708,3.5963063
V1,allen,38.75,-26.25,34995.684,3.833096
V1,allen,40,-26.25,30899.847,4.1065221
V1,allen,41.25,-26.25,27209.127,4.423132
V1,allen,42.5,-26.25,23914.848,4.7908352
V1,allen,43.75,-26.25,21001.949,5.2191892
V1,allen,45,-26.25,18450.365,5.719722
V1,allen,46.25,-26.25,16236.494,6.3062667
V1,allen,47.5,-26.25,14334.653,6.9952473
V1,allen,48.75,-26.25,12718.456,7.8057833
V1,allen,50,-26.25,11362.08,8.7593422
V1,allen,51.25,-26.25,10241.386,9.8784246
V1,allen,52.5,-26.25,9334.909,11.18337
V1,allen,53.75,-26.25,8624.7576,12.685814
V1,allen,55,-26.25,8097.484,14.376824
V1,allen,56.25,-26.25,7745.0211,16.208176
V1,allen,57.5,-26.25,7565.8119,18.068525
V1,allen,58.75,-26.25,7566.2924,19.765142
V1,allen,60,-26.25,7762.9251,21.035002
V1,allen,61.25,-26.25,8185.0217,21.611098
V1,allen,62.5,-26.25,8878.6096,21.335141
V1,allen,63.75,-26.25,9911.5713,20.246613
V1,allen,65,-26.25,11380.141,18.569766
V1,allen,66.25,-26.25,13416.505,16.606268
V1,allen,67.5,-26.25,16196.599,14.620553
V1,allen,68.75,-26.25,19946.215,12.784052
V1,allen,70,-26.25,24942.294,11.177511
V1,allen,71.25,-26.25,31505.316,9.8189631
V1,allen,72.5,-26.25,39978.766,8.6922545
V1,allen,73.75,-26.25,50693.716,7.7669296
V1,allen,75,-26.25,63920.949,7.0094909
V1,allen,76.25,-26.25,79818.718,6.3887748
V1,allen,77.5,-26.25,98388.793,5.8779806
V1,allen,78.75,-26.25,119453.9,5.4550258
V1,allen,80,-26.25,142664.94,5.1021666
V1,allen,81.25,-26.25,167537.82,4.805365
V1,allen,82.5,-26.25,193511.13,4.5536199
V1,allen,83.75,-26.25,220011.03,4.3383583
V1,allen,85,-26.25,246509.64,4.152915
V1,allen,86.25,-26.25,272567.56,3.9921039
V1,allen,87.5,-26.25,297856.79,3.851875
V1,allen,88.75,-26.25,322165.54,3.7290443
V1,allen,90,-26.25,345389.32,3.6210838
V1,allen,10,-25,,2.39613
V1,allen,11.25,-25,,2.4037899
V1,allen,12.5,-25,,2.4147104
V1,allen,13.75,-25,,2.4292673
V1,allen,15,-25,,2.447864
V1,allen,16.25,-25,,2.4709392
V1,allen,17.5,-25,,2.4989754
V1,allen,18.75,-25,,2.5325088
V1,allen,20,-25,,2.5721409
V1,allen,21.25,-25,,2.6185517
V1,allen,22.5,-25,,2.6725153
V1,allen,23.75,-25,,2.7349181
V1,allen,25,-25,,2.8067804
V1,allen,26.25,-25,,2.8892823
V1,allen,27.5,-25,,2.983794
