unit_id,f1_f0_dg,mod_idx_dg,pref_ori_dg,pref_tf_dg,pref_sf_dg,pref_contrast_dg,pref_phase_dg,preferred_mean_spikes_dg,preferred_condition_ties_dg,preferred_trials_dg,analysis_duration_s_dg
3000000,1.5930391802921364,0.7581430416819804,45.0,4.0,0.32,0.8,,2.2666666666666666,1,15,1.0
3000001,1.4218356614851284,0.44883111761612166,90.0,8.0,0.32,0.8,,2.2,1,15,1.0
3000002,1.2100701064051624,4.025961509798278,135.0,4.0,0.08,0.8,,4.666666666666667,1,15,1.0
3000003,1.4285236373153114,6.9547722660727045,135.0,4.0,0.08,0.8,,4.933333333333334,1,15,1.0
3000004,1.5486692105555122,2.9367945125960326,0.0,4.0,0.32,0.8,,1.6,1,15,1.0
3000005,1.7143091610483272,1.613894853895424,90.0,8.0,0.32,0.8,,2.3333333333333335,1,15,1.0
3000006,1.5161234720106127,0.5826530921706693,90.0,8.0,0.32,0.8,,2.933333333333333,1,15,1.0
3000007,1.03636182205072,6.338750762538157,0.0,4.0,0.32,0.8,,2.4,1,15,1.0
3000008,1.6596466589141232,0.5414016630873698,0.0,4.0,0.32,0.8,,1.3333333333333333,1,15,1.0
3000009,1.418078215344676,0.4696187441181454,90.0,4.0,0.16,0.8,,1.6666666666666667,1,15,1.0
3000010,1.4781926331111994,0.43244270792064343,0.0,4.0,0.32,0.8,,2.4,1,15,1.0
3000011,2.0,0.4003459128795136,0.0,4.0,0.02,0.8,,0.4,3,15,1.0
3000012,1.4628434390809482,1.7476931891102556,45.0,4.0,0.32,0.8,,3.0,1,15,1.0
3000013,0.9436031092344969,0.2896536878714275,90.0,8.0,0.32,0.8,,4.8,1,15,1.0
3000014,1.6158155311328397,0.6627516755393941,45.0,2.0,0.32,0.8,,1.7333333333333334,2,15,1.0
3000015,1.7290817937668075,0.8018186606175163,90.0,2.0,0.08,0.8,,0.6666666666666666,1,15,1.0
3000016,1.3059686281504956,0.7728446758406385,90.0,4.0,0.16,0.8,,2.0,1,15,1.0
3000017,1.424705352794707,2.2012123304310394,0.0,4.0,0.32,0.8,,2.2666666666666666,1,15,1.0
3000018,1.5164003362738143,5.138233697085021,0.0,4.0,0.32,0.8,,2.466666666666667,1,15,1.0
3000019,1.0852926929709101,0.045831491104830556,90.0,8.0,0.32,0.8,,3.466666666666667,1,15,1.0
3000020,1.3546273314549213,1.00121762023095,0.0,4.0,0.32,0.8,,3.466666666666667,1,15,1.0
3000021,1.1812139132427157,0.8596312968372691,90.0,8.0,0.32,0.8,,2.4,1,15,1.0
