stimulus_presentation_id,stimulus_block,start_time,stop_time,spatial_frequency,stimulus_name,Speed,temporal_frequency,phase,orientation,y_position,x_position,size,Dir,color,coherence,contrast,frame,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
1,0.0,75.264542,75.49807,0.08,gabors,null,4.0,"[3644.93333333, 3644.93333333]",90.0,-40.0,-40.0,"[20.0, 20.0]",null,null,null,0.8,null,0.23352837,1,,,0,,False,0,train,2
2,0.0,75.49807,75.748279,0.08,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.0,-40.0,30.0,"[20.0, 20.0]",null,null,null,0.8,null,0.25020897,2,,,0,,False,0,train,0
3,0.0,75.748279,75.998488,0.08,gabors,null,4.0,"[3644.93333333, 3644.93333333]",90.0,10.0,30.0,"[20.0, 20.0]",null,null,null,0.8,null,0.25020897,3,,,0,,False,0,train,2
4,0.0,75.998488,76.248697,0.08,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.0,-40.0,-20.0,"[20.0, 20.0]",null,null,null,0.8,null,0.25020897,4,,,0,,False,0,train,0
5,0.0,76.248697,76.498913,0.08,gabors,null,4.0,"[3644.93333333, 3644.93333333]",90.0,0.0,-30.0,"[20.0, 20.0]",null,null,null,0.8,null,0.25021618,5,,,0,,False,0,train,2
6,0.0,76.498913,76.74913,0.08,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.0,40.0,-30.0,"[20.0, 20.0]",null,null,null,0.8,null,0.25021618,6,,,0,,False,0,train,0
7,0.0,76.74913,76.999346,0.08,gabors,null,4.0,"[3644.93333333, 3644.93333333]",45.0,0.0,0.0,"[20.0, 20.0]",null,null,null,0.8,null,0.25021618,7,,,0,,False,0,train,1
8,0.0,76.999346,77.249562,0.08,gabors,null,4.0,"[3644.93333333, 3644.93333333]",90.0,-30.0,30.0,"[20.0, 20.0]",null,null,null,0.8,null,0.25021618,8,,,0,,False,0,train,2
9,0.0,77.249562,77.499768,0.08,gabors,null,4.0,"[3644.93333333, 3644.93333333]",90.0,10.0,-40.0,"[20.0, 20.0]",null,null,null,0.8,null,0.25020632,9,,,0,,False,0,train,2
10,0.0,77.499768,77.749975,0.08,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.0,20.0,20.0,"[20.0, 20.0]",null,null,null,0.8,null,0.25020632,10,,,0,,False,0,train,0
11,0.0,77.749975,78.000181,0.08,gabors,null,4.0,"[3644.93333333, 3644.93333333]",90.0,-10.0,30.0,"[20.0, 20.0]",null,null,null,0.8,null,0.25020632,11,,,0,,False,0,train,2
12,0.0,78.000181,78.250387,0.08,gabors,null,4.0,"[3644.93333333, 3644.93333333]",90.0,20.0,-20.0,"[20.0, 20.0]",null,null,null,0.8,null,0.25020632,12,,,0,,False,0,train,2
13,0.0,78.250387,78.500603,0.08,gabors,null,4.0,"[3644.93333333, 3644.93333333]",45.0,10.0,20.0,"[20.0, 20.0]",null,null,null,0.8,null,0.25021618,13,,,0,,False,0,train,1
14,0.0,78.500603,78.75082,0.08,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.0,-10.0,-20.0,"[20.0, 20.0]",null,null,null,0.8,null,0.25021618,14,,,0,,False,0,train,0
15,0.0,78.75082,79.001036,0.08,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.0,10.0,20.0,"[20.0, 20.0]",null,null,null,0.8,null,0.25021618,15,,,0,,False,0,train,0
16,0.0,79.001036,79.251252,0.08,gabors,null,4.0,"[3644.93333333, 3644.93333333]",90.0,-30.0,-20.0,"[20.0, 20.0]",null,null,null,0.8,null,0.25021618,16,,,0,,False,0,train,2
17,0.0,79.251252,79.501448,0.08,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.0,10.0,-10.0,"[20.0, 20.0]",null,null,null,0.8,null,0.25019632,17,,,0,,False,0,train,0
18,0.0,79.501448,79.751645,0.08,gabors,null,4.0,"[3644.93333333, 3644.93333333]",45.0,40.0,-20.0,"[20.0, 20.0]",null,null,null,0.8,null,0.25019632,18,,,0,,False,0,train,1
19,0.0,79.751645,80.001841,0.08,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.0,-10.0,10.0,"[20.0, 20.0]",null,null,null,0.8,null,0.25019632,19,,,0,,False,0,train,0
20,0.0,80.001841,80.252037,0.08,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.0,30.0,40.0,"[20.0, 20.0]",null,null,null,0.8,null,0.25019632,20,,,0,,False,0,train,0
21,0.0,80.252037,80.502251,0.08,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.0,0.0,30.0,"[20.0, 20.0]",null,null,null,0.8,null,0.25021368,21,,,0,,False,0,train,0
22,0.0,80.502251,80.752465,0.08,gabors,null,4.0,"[3644.93333333, 3644.93333333]",90.0,20.0,20.0,"[20.0, 20.0]",null,null,null,0.8,null,0.25021368,22,,,0,,False,0,train,2
23,0.0,80.752465,81.002678,0.08,gabors,null,4.0,"[3644.93333333, 3644.93333333]",90.0,-40.0,-40.0,"[20.0, 20.0]",null,null,null,0.8,null,0.25021368,1,,,0,,False,1,train,2
24,0.0,81.002678,81.252892,0.08,gabors,null,4.0,"[3644.93333333, 3644.93333333]",45.0,10.0,-40.0,"[20.0, 20.0]",null,null,null,0.8,null,0.25021368,23,,,0,,False,0,train,1
25,0.0,81.252892,81.503098,0.08,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.0,40.0,0.0,"[20.0, 20.0]",null,null,null,0.8,null,0.25020632,24,,,0,,False,0,train,0
26,0.0,81.503098,81.753305,0.08,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.0,20.0,-20.0,"[20.0, 20.0]",null,null,null,0.8,null,0.25020632,25,,,0,,False,0,train,0
27,0.0,81.753305,82.003511,0.08,gabors,null,4.0,"[3644.93333333, 3644.93333333]",90.0,-20.0,10.0,"[20.0, 20.0]",null,null,null,0.8,null,0.25020632,26,,,0,,False,0,train,2
28,0.0,82.003511,82.253717,0.08,gabors,null,4.0,"[3644.93333333, 3644.93333333]",45.0,0.0,-20.0,"[20.0, 20.0]",null,null,null,0.8,null,0.25020632,27,,,0,,False,0,train,1
