site,delta_azimuth_deg,delta_elevation_deg,n_probes
site2,5.957961582270597,-3.75308389353944,4
site3,2.425778946941671,-12.815094778989959,4
site4,3.581243840734032,-3.0840999889726652,3
site5,5.979633801443872,-16.251318033692108,4
site6,1.3072624400966606,-0.5900062480893414,3
site7,19.060303394443455,-32.96967279518256,2
site8,-11.555548314710219,1.7566023215270878,3
site9,-1.0727845290204114,-14.69344135996343,4
